"(N0 V N1 Prép N2)";"(N0 V N1 et N2)";"non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: V0-inf W) et non (Prép2 =: <E>) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: V0-inf W) et non (N2 =: V1-inf W)";"((N2 lieu source de N1) ou (N2 lieu de destination de N1))";"((Prép2 =: avec) ou (Prép2 =: d'avec) ou (Prép2 =: de))";"36SL";"Luc colle la fiche bleue sur la fiche jaune"
"(N0 V N1 Prép N2)";"(N0 V N1 et N2)";"non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: V0-inf W) et non (Prép2 =: <E>) et non (N2 lieu source de N1) et non (N2 lieu de destination de N1) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: V0-inf W) et non (N2 =: V1-inf W)";;"((Prép2 =: avec) ou (Prép2 =: d'avec) ou (Prép2 =: à) ou (Prép2 =: de))";"36S";"Luc compare Guy (à+avec+et) Louis"
"(N0 V N1 à N2)";;"non (N0 V N1 et N2) et non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: V0-inf W) et non (N1 lieu de destination de N0) et non (N2 lieu source de N1) et non (N2 lieu de destination de N1) et non (N2 lieu statique de N1) et non (Prép2 # à) et non (N2 bénéficiaire) et non (N2 détrimentaire) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: V0-inf W) et non (N2 =: V1-inf W) et non (N2 =: Npl obl)";;;"36R";"Luc conjugue le verbe au futur"
"(N0 V N1 de N2)";" ";"non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: V0-inf W) et non (Prép2 =: à+<E>) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: V0-inf W) et non (N2 =: V1-inf W) et non (N2 lieu source de N0) et non (N2 lieu source de N1) et non (N2 lieu de destination de N1) et non (N2 lieu statique de N1) et non (N2 bénéficiaire) et non (N2 détrimentaire) et non (N0 V N1 et N2)";"((N1 lieu source de N2) ou (N1 détrimentaire))";"Col. N0 V N2 Loc N1source";"37E";"Luc débarrasse le salon de tous les meubles"
"(N0 V N1 Prép N2)";"(Prép2 =: de) et (N1 bénéficiaire)";"non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: V0-inf W) et non (Prép2 =: à+<E>) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: V1-inf W) et non (N2 lieu source de N0) et non (N2 lieu source de N1) et non (N2 lieu de destination de N1) et non (N2 lieu statique de N1) et non (N2 bénéficiaire) et non (N2 détrimentaire) et non (N0 V N1 et N2)";" ";"En fait de nombreuses entrées (La nature a loti Luc d'un solide appétit) s'analysent mieux en considérant N2 comme un nom prédicatif et N1 comme un de ses arguments.";"37M1";"L'héritage a nanti Luc d'une fortune"
"(N0 V N1 Prép N2)";"(Prép2 =: de) et (N1 lieu de destination de N2)";"non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: V0-inf W) et non (Prép2 =: à+<E>) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: V1-inf W) et non (N2 lieu source de N0) et non (N2 bénéficiaire) et non (N2 détrimentaire) et non (N0 V N1 et N2)";" ";" ";"37M2";"Luc a hachuré la feuille de traits rouges
Luc a labouré le terrain de profonds sillons
Luc a jonché le sol de papiers gras
On a goudronné la route d'une épaisse couche de goudron
On a gainé le fil d'une gaine de plastique rouge"
"(N0 V N1 Prép N2)";"(Prép2 =: de) et (N1 lieu de destination de N2)";"non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: V0-inf W) et non (Prép2 =: à+<E>) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: V1-inf W) et non (N2 lieu source de N0) et non (N2 bénéficiaire) et non (N2 détrimentaire) et non (N0 V N1 et N2)";" ";" ";"37M3";"Luc a hachuré la feuille de traits rouges
Luc a labouré le terrain de profonds sillons
Luc a jonché le sol de papiers gras
On a goudronné la route d'une épaisse couche de goudron
On a gainé le fil d'une gaine de plastique rouge"
"(N0 V N1 Prép N2)";"(Prép2 =: de) et (N1 lieu de destination de N2)";"non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: V0-inf W) et non (Prép2 =: à+<E>) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: V1-inf W) et non (N2 lieu source de N0) et non (N2 bénéficiaire) et non (N2 détrimentaire) et non (N0 V N1 et N2)";" ";" ";"37M4";"Luc a hachuré la feuille de traits rouges
Luc a labouré le terrain de profonds sillons
Luc a jonché le sol de papiers gras
On a goudronné la route d'une épaisse couche de goudron
On a gainé le fil d'une gaine de plastique rouge"
"(N0 V N1 Prép N2)";"(Prép2 =: de) et (N1 lieu de destination de N2)";"non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: V0-inf W) et non (Prép2 =: à+<E>) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: V1-inf W) et non (N2 lieu source de N0) et non (N2 bénéficiaire) et non (N2 détrimentaire) et non (N0 V N1 et N2)";" ";" ";"37M5";"Luc a hachuré la feuille de traits rouges
Luc a labouré le terrain de profonds sillons
Luc a jonché le sol de papiers gras
On a goudronné la route d'une épaisse couche de goudron
On a gainé le fil d'une gaine de plastique rouge"
"(N0 V N1 Prép N2)";"(Prép2 =: de) et (N1 lieu de destination de N2)";"non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: V0-inf W) et non (Prép2 =: à+<E>) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: V1-inf W) et non (N2 lieu source de N0) et non (N2 bénéficiaire) et non (N2 détrimentaire) et non (N0 V N1 et N2)";" ";" ";"37M6";"Luc a hachuré la feuille de traits rouges
Luc a labouré le terrain de profonds sillons
Luc a jonché le sol de papiers gras
On a goudronné la route d'une épaisse couche de goudron
On a gainé le fil d'une gaine de plastique rouge"
