"(N0 V N1)";"(N1 =: Qu Psubj) et (Qu Psubj =: Qu Ni Vsubj W = (Ni) (de Vi-inf W))";;;" ";"12";"Paul apprécie (que Léa l'ait aidé+Léa de l'avoir aidé)"
"(N0 V N1)";"(thèmeN1) et [passif par]";"non (N0 =: Qu P) et non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: combien P) et non (N1 =: V0-inf W) et non (N0 lieu source de N1) et non (N0 lieu de destination de N1) et non (N0 lieu statique de N1) et non (N1 lieu source de N0) et non (N1 lieu de destination de N0) et non (N1 lieu statique de N0) et non (N1 lieu de passage de N0)";;"N1 = petite classe d'objets";"32R3";"Luc a brisé ses chaussures
Cet appareil adoucit l'eau"
"(N0 V N1)";"[passif par]";"non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: combien P) et non (N1 =: V0-inf W) et non (thèmeN1) et non (N1 apparition) et non (N1 disparition) et non (N1 =: Npl obl) et non (N0 lieu source de N1) et non (N0 lieu de destination de N1) et non (N0 lieu statique de N1) et non (N1 lieu source de N0) et non (N1 lieu de destination de N0) et non (N1 lieu statique de N0) et non (N1 lieu de passage de N0)";"((N0 rendre N1 V-adj) ou (N0 rendre N1 plus V-adj)) et ((N1 =: Nconc) ou non (N0 =: Qu P) ou non (N1 =: Nhum))";"Les Npc sont des Nconc";"32RA";"Ce rideau assombrit la pièce"
"(N0 V N1)";"(N1 apparition) et [passif par]";"non (N0 =: Qu P) et non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: combien P) et non (N1 =: V0-inf W) et non (thèmeN1)";;"Col. N0 V N1 Loc N2 (N2 destination+matériau)";"32A";"Luc construit une cabane"
"(N0 V N1)";"(N1 disparition) et [passif par]";"non (N0 =: Qu P) et non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: combien P) et non (N1 =: V0-inf W) et non (thèmeN1)";;;"32D";"L'explosion a soufflé le bar"
"(N0 V N1)";"(N1 =: Npl obl) et [passif par]";"non (N0 =: Qu P) et non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: combien P) et non (N1 =: V0-inf W) et non (thèmeN1) et non (N1 apparition) et non (N1 disparition)";;"Col. N0 V N1 Loc N2 source Loc N3 destination";"32PL";"Luc entasse les cubes"
"(N0 V N1)";"(N1 =: Nhum) et [passif par]";"non (N0 =: Qu P) et non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: combien P) et non (N1 =: V0-inf W) et non (thèmeN1) et non (N1 =: N-hum) et non (N1 apparition) et non (N1 disparition) et non (N1 =: Npl obl) et non (N0 rendre N1 V-adj) et non (N0 rendre N1 plus V-adj)";;"Col. N1 =: Nconc métaphore, 
N1 =: Nabs métaphore
";"32H";"Luc a violé Ida"
"(N0 V N1)";;"non (N0 =: Qu P) et non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: combien P) et non (N1 =: V0-inf W) et non [passif par] et non [passif de] et non (N0 lieu source de N1) et non (N0 lieu de destination de N1) et non (N0 lieu statique de N1) et non (N1 lieu source de N0) et non (N1 lieu de destination de N0) et non (N1 lieu statique de N0) et non (N1 lieu de passage de N0)";;"Col. N actif V N0 (+ passif possible)";"32NM";"Le sac pèse 10 kg"
"(N0 V N1)";"(N1 =: N-hum)";"non (N0 =: Qu P) et non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: combien P) et non (N1 =: V0-inf W) et non (N1 apparition) et non (N1 disparition) et non (N1 =: Npl obl)";"((N0 lieu source de N1) ou (N0 lieu de destination de N1) ou (N0 lieu statique de N1))";"Col. N0 V N1 Loc N2 (N2 source+destination)";"38L0";"Luc a inhalé le gaz"
"(N0 V N1)";"(N1 =: N-hum)";"non (N0 =: Qu P) et non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: combien P) et non (N1 =: V0-inf W) et non (N1 apparition) et non (N1 disparition) et non (N1 =: Npl obl)";"((N1 lieu source de N0) ou (N1 lieu de destination de N0) ou (N1 lieu statique de N0) ou (N1 lieu de passage de N0)) et ((N1 être Vpp W) ou non (N0 V N1 Loc N1pc W) ou non (N1 =: Npc) ou non [passif par])";;"38L1";"Luc gagne la porte"
"(N0 V N1)";"(N0 V N1 Loc N1pc W) et (N1 =: Npc) et [passif par]";"non (N0 =: Qu P) et non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: combien P) et non (N1 =: V0-inf W) et non (N1 =: Nabs) et non (thèmeN1) et non (N1 apparition) et non (N1 disparition) et non (N1 =: Npl obl) et non (N0 lieu source de N1) et non (N0 lieu de destination de N1) et non (N0 lieu statique de N1) et non (N0 rendre N1 V-adj) et non (N0 rendre N1 plus V-adj) et non (N1 être Vpp (statique))";;"Les Npc sont des N-hum";"32CL";"Luc embrasse (le front de Léa+Léa sur le front)"
"(N0 V N1)";"(N1 =: N-hum) et [passif par]";"non (N0 =: Qu P) et non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: combien P) et non (N1 =: V0-inf W) et non (N1 =: Nabs) et non (thèmeN1) et non (N1 apparition) et non (N1 disparition) et non (N1 =: Npl obl) et non (N0 lieu source de N1) et non (N0 lieu de destination de N1) et non (N0 lieu statique de N1) et non (N1 lieu source de N0) et non (N1 lieu de destination de N0) et non (N1 lieu statique de N0) et non (N1 lieu de passage de N0) et non (N0 rendre N1 V-adj) et non (N0 rendre N1 plus V-adj)";"((N1 être Vpp W) ou non (N0 V N1 Loc N1pc W) ou non (N1 =: Npc))";"Col. N1 =: Nabs métaphore";"32C";"Luc a abîmé le livre"
"(N0 V N1)";"(N1 =: Nabs) et (N0 V (N1 de N1c) = N0 V (N1c) (Prép N1)) et [passif par]";"non (N0 =: Qu P) et non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: combien P) et non (N1 =: V0-inf W) et non (thèmeN1) et non (N1 apparition) et non (N1 disparition) et non (N1 =: Npl obl) et non (N0 lieu source de N1) et non (N0 lieu de destination de N1) et non (N0 lieu statique de N1) et non (N1 lieu source de N0) et non (N1 lieu de destination de N0) et non (N1 lieu statique de N0) et non (N1 lieu de passage de N0) et non (N0 rendre N1 V-adj) et non (N0 rendre N1 plus V-adj)";" ";"Les Nabs sont des N-hum";"32R1";"Luc singe (les attitudes de Léa+Léa dans ses attitudes)"
