;"Propriété";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"LGLex";"table";"V_1";"V_2";"V_2T";"V_3";"V_4";"V_5";"V_6";"V_7";"V_8";"V_9";"V_10";"V_11";"V_12";"V_13";"V_14";"V_15";"V_16";"V_18";"V_31H";"V_31R";"V_32A";"V_32D";"V_32C";"V_32CL";"V_32CV";"V_32H";"V_32NM";"V_32PL";"V_32R1";"V_32R2";"V_32R3";"V_32RA";"V_33";"V_34L0";"V_35L";"V_35LD";"V_35LR";"V_35LS";"V_35R";"V_35RR";"V_35S";"V_35ST";"V_36DT";"V_36R";"V_36S";"V_36SL";"V_37E";"V_37M1";"V_37M2";"V_37M3";"V_37M4";"V_37M5";"V_37M6";"V_38L";"V_38L0";"V_38L1";"V_38LD";"V_38LH";"V_38LHD";"V_38LHR";"V_38LHS";"V_38LR";"V_38LS";"V_38PL";"V_38R";"V_38RR";"V_39"
"C";"de N1 V N0";"-";"-";"?";"?";"?";"?";"?";"?";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"T";"de N2 =: de combien ?";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?-";"?";"?";"?";"?"
"x";"de Nhum source";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"?";"?";"?";"?"
"x";"dé-V";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"-";"-";"?";"?";"?";"?-";"?";"?";"?";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"o";"o";"o";"o";"o";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"?";"?"
"T";"en combien ?";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"?";"?";"?"
"T";"il être Vpp Prép N1 (E+par N0)";"-";"-";"?";"?";"?";"?";"?";"o";"o";"?";"?";"?";"?";"?";"o";"o";"o";"o";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"T";"il être Vpp Prép N2 (E+par N0)";"-";"-";"?";"?";"?";"?";"?";"-";"-";"o";"?";"o";"?";"o";"?";"o";"o";"-";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"C";"il V Prép N1 N0 =: il V Prép N1 de V1c-inf W";"-";"-";"?";"?";"?";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"C";"il V Prép N1 N0 =: il V Prép N1 de V1-inf W";"-";"-";"?";"?";"?";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"-";"-";"-";"?";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"?";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"C";"il V Prép N1 N0 =: il V Prép N1 Qu Pind";"-";"-";"?";"?";"?";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"-";"-";"-";"?";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"?";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"C";"il V Prép N1 N0 =: il V Prép N1 Qu Psubj";"-";"-";"?";"?";"?";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"-";"-";"-";"?";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"?";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"T";"il V Qu P W";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"-";"-";"-";"?";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"o";"-";"-";"-";"-";"-";"?";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"x";"il y avoir V-n entre N0 et N1";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"x";"il y avoir V-n entre N0 et N1 (forme V-n)";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"x";"il y avoir V-n entre N1 et N2";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
