VerbNet,LVF,LADL,Parangon,Commentaires
37.3: manner_speaking-37.3,C2a,9,,
37.4: instr_communication-37.4,C1a ou C1b,9,,
37.5: talk-37.5,C1a,9,,
37.6: chit_chat-37.6,C1h ou C1f,9,,
37.7: say-37.7,C2a,9,,
37.8: complain-37.8,C1f ou C1j,9,,
37.9: advise-37.9,C2,9,,
37.10: confess-37.10,C2c ou C2d ou C2e ou P1h,9,avouer,
37.11: lecture-37.11,C1h,9,,
37.12: overstate-37.12,T4d ou C1e ou M4b,9,,
37.13: promise-37.13,C2 ou D3a ou D3c,9,,
38: animal_sounds-38,C1a.1,9,,
39.1: eat-39.1,S3j,38L0,manger,boire
39.2: chew-39.2,R3h ou S3j,38L0,mâcher,Aussi siroter (d'où S3j)
39.3: gobble-39.3,S3j,38L0,avaler,en français pas de down donc
39.4: devour-39.4,S3j,38L0,dévorer,regrouper 39-3 et 39-4
39.5: dine-39.5,?,35R,dîner,dîner d’une poire – un peu partout dans LVF
39.6: gorge-39.6,N1c ou S3a,35R,vivre,se nourrir de poires – regrouper 39.5 et 39.6 ?
39.7: feeding-39.7,N1c ou S3a,37M1,nourrir,nourrir N1 de/avec des poires
40.1.1: hiccup-40.1.1,E1c ou H1a,38L0,roter,roter un rot gras – défini par tout ce qui est involontaire : réparti dans le LVF
40.1.2: breathe-40.1.2,E1c,38L0,respirer,"pleurer, vomir"
40.1.3: exhale-40.1.3,-,38L0,déféquer,inhaler  prend un cod et doit être mis en 40.1.2
40.2: nonverbal_expression-40.2,*,31H,grimacer,réparti dans le LVF
40.3.1: wink-40.3.1,M1a.1 ou M1a.2,31H,cligner,"hocher de la tête,  se lécher les babines"
40.3.2: crane-40.3.2,M3b,31H,?,épaules voutées ? Faire un mouvement du corps pouvant indiquer une information
40.3.3: curtsey-40.3.3,M2b.1 ou M3b.1 ou M1b.3,38LHD,s’agenouiller,Luc a agenouillé Max ? (je ne sais pas non plus)
40.4: snooze-40.4,H1a,31H,dormir,faire un roupillon/sieste/somme
40.5: flinch-40.5,M1a.1 ou M1a.2 ou M1a.4,31H,tressaillir,tressauter
40.6: body_internal_states-40.6,M1a.1 ou M1a.2,8,frissonner,trembler
40.7: suffocate-40.7,F1b,32H,asphyxier,noyer en 38LHR
40.8.1: pain-40.8.1,F1d.1,32H,gratter,
40.8.2: tingle-40.8.2,H1b.1,?,picoter,"fourmiller, picoter en 32 C et bazar dans les tables LADL"
40.8.3: hurt-40.8.3,F1d,37M3,s'écorcher,"Max s’est fracturé le tibia : pas codé, uniqument : un choc a - son tibia, itou pour sedéchirer un muscle (hurt body part → parfait pour le LVF)"
40.8.4: change_bodily_state-40.8.4,H1a ou P1c ou T1b,31H,s’évanouir,
41.1.1: dress-41.1.1,N1a ou N1b,37M6,habiller ,"se déhabiller : codé bizarement, dévêtir et désaper pas codé au LADL"
41.1.2: groom-41.1.2,N1c ou R1a.2,32R3 ou 32CL,panser,
41.2.1: floss-41.2.1,R1a.1,32R3,se brosser,se brosser les dents
41.2.2: braid-41.2.2,N1c.3 ou N1a ou R1a ou T3d,32R3,brosser,natter 32PL
41.3.1: simple_dressing-41.3.1,L3b.2,32R3 ou 38L0,,filtrer par HAB serait sympa ici
41.3.2: dressing_well-41.3.2,-,-,-,être tiré à 4 épingles/sur son 31
41.3.3: being_dressed-41.3.3,-,-,s’affubler,affubler 37M6
42.1: murder-42.1,F1b,32H,assassiner,
42.2: poison-42.2,N1c ou F1b,32H,empoisonner,
42.3: subjugate-42.3,F4b,32H,asphyxier,"étouffer, soumettre, réprimer (plein d'autres classes que F4b en théorie)"
43.1: light_emission-43.1,H3c.1,34L0,scintiller,
43.2: sound_emission-43.2,H3d,34L0,crépiter,
43.3: smell_emission-43.3,E1c.1,32NM,puer,Ce fromage - l’amoniaque
43.4: substance_emission-43.4,E1c,38L0,jaillir,"baver, vomir"
44: destroy-44,F3c,32D ou 32H,détruire,
45.1: break-45.1,R3i,37M3 ou 32C,fêler,
45.2: bend-45.2,M3a ou R3i ou R3f,32C,plier,
45.3: cooking-45.3,R3c,32C,cuire,classe proche de 26-3
45.4: other_cos-45.4,*,32C ou 32CL ou 32CV ou 32RA,,pas compris ?
45.5: entity_specific_cos-45.5,*,31R,germer,
45.6: calibratable_cos-45.6,M4a ou M3a,?,,c'est le bazar dans les tables du LADL
46: lodge-46,L1a,35ST,camper,la causative alternation est codée en 38LHR
47.1: exist-47.1,X3a ou M4a,35ST,exister,
47.2: entity_specific_modes_being-47.2,M3a ou H3e,34L0 ou 31R,"mousser, écumer, fleurir",c'est le bazar : autant de classes que de verbes
47.3: modes_of_being_with_motion-47.3,M1a ou M3a,34L0 ou 31R,vaciller,c'est le bazar
47.4: sound_existence-47.4,E3b ou H3d,34L0,résonner,
47.5.1: swarm-47.5.1,M1a,34L0,grouiller,
47.5.2: herd-47.5.2,U1a,32PL et 2,s'ammasser,
47.5.3: bulge-47.5.3,M1a ou M3a ou N3c,37M3 ou 37M4,"gonfler, renfler",
47.6: spatial_configuration-47.6,M1b ou M3b ou M3a ou L3a ou L3b,38LR ou 38LD,"dresser, pendre",
47.7: meander-47.7,L3a,35ST ou 35LR,courir,
47.8: contiguous_location-47.8,F3d ou L3b,35ST,toucher,bcp de verbes anglais ne doivent pas avoir de traduction en français
48.1.1: appear-48.1.1,L1a ou E3a,35L ou 35LS,"apparaître, émaner",
48.1.2: reflexive_appearance-48.1.2,C4d,35R ou 31R,"se manifester, se déclarer",
48.2: disappearance-48.2,X4a ou F4b,35L,disparaître,incohérence dans les frames de VerbNet
48.3: occurrence-48.3,L4a ou M4a,31R ou 35R,se produire,
49: body_internal_motion-49,M1a,32CL ou 32R3 ou 32C,"se trémousser, se tortiller","gigoter  permet peu de locatif de destination : jusqu'au bar, se dandiner vers la sortie"
50: assuming_position-50,M1a ou L1a,38LD,"s'allonger, s'étendre","LADL formes pronominales de verbes de 38LD - verbes LVF sans conviction : s'allonger, s'étendre ont des entrées dans le LVF en M1a"
51.1: escape-51.1,E1a ou E1d,2,"sortir, rentrer",découpage nécessaire
51.2: leave-51.2,S3h,38L1,quitter,
51.3.1: roll-51.3.1,E3c ou E3d ou E3f ou E1e ou E1d,35L ou 38L,rouler,
51.3.2: run-51.3.2,M1a ou E3e,2,courir,
51.4.1: vehicle-51.4.1,M1a,2,"skier, patiner",V= VN= vehicule
51.4.2: nonvehicle-51.4.2,M1a,2,pédaler,
51.5: waltz-51.5,M1a,32R3,"dancer, valser",valser est en 32CV valser un tango
51.6: chase-51.6,M1c,38LD,poursuivre,
51.7: accompany-51.7,E1e,3,conduire,
51.8: reach-51.8,S3g ou E1d ou E3d,38L1,atteindre,
52: avoid-52,S3c ou E1a,32R2,éviter,classe peu définie
53.1: linger-53.1,E4d ou M2a ou X1a,?,"traîner, faire traîner",voir ce qui est fait avec les sentential complements
53.2: rush-53.2,M4a ou M4b,?,"accélérer, faire accélérer",voir ce qui est fait avec les sentential complements
54.1: register-54.1,H3f,32NM,peser,
54.2: cost-54.2,H3f,32NM,coûter,
54.3: fit-54.3,S3k,32NM,contenir,
54.4: price-54.4,H3f,32R2,évaluer,
54.5: bill-54.5,D2a ou L1b ou N4a ou F2b,36DT,facturer,LVF : une classe par verbe
55.1: begin-55.1,X1a ou X4a ou M4b,1,commencer,
55.2: complete-55.2,X1a ou X4a ou M4b,1,achever,
55.3: continue-55.3,X1a ou M4a ou M4b ou S3f,1,continuer,
55.4: stop-55.4,X1a ou X4a ou M3a ou M3b ou M4a ou M4b,1,arrêter,
55.5: establish-55.5,X4a ou R3b,32A ou 38R,établir,initier et introduire 38R
55.6: sustain-55.6,S4f ou L2b ou M4b,36R,"maintenir, garder",garder 15 entrées
56: weekend-56,-,-,-,V=Vn = période n'existe pas en français
57: weather-57,H3b,C_31i,neiger,table de figée ; ancien 31I
58.1: urge-58.1,C2,9,conseiller,
58.2: beg-58.2,C2h ou C2k,9,demander,
59: force-59,H2j,11,forcer,
60: order-60,C2b,9,ordonner,
61: try-61,P1h,1,essayer,
62: wish-62,P1i,6,souhaiter,
63: enforce-63,C2b,6,imposer,3 verbes danas la classe : pas sérieux mais 2 rôles sémantiques et pas 3 donc pas en 9 : mais à voir ???
64: allow-64,D3c ou P1h,6 ou 9,autoriser,
65: admit-65,S2f ou E1f,38LHD,recevoir,"classe  de merde, objet humain"
66: consume-66,,11,gâcher,classe de 3 elements 
67: forbid-67,S2e ou M2c ou S4f ou C2b,12 ou 6,empêcher,classe dont les frames ne sont pas clairs en anglais
68: pay-68,D2a ou N2a ou S4b,39,payer,
69: refrain-69,S2e ou U2c ou C4d ou P1e,8,s'abstenir,
70: rely-70,P1f ou P1d,16,compter/parier sur,
71: conspire-71,F2d ou C1f ou P3c,14,conspirer,conspirer avec N2 pour V-inf ; refair les frames français
72: help-72,D1c ou P2a,11,aider,aider (à + pour) V-inf
73: cooperate-73,U2b,14,collaborer,collaborer (à+pour) V-inf
74: succeed-74,H2e,1,"réussir, échouer",
75: neglect-75,S4b,1,négliger,traduc de manage = not-neglect ?
76: limit-76,L4b ou L2b ou M2c,11,confiner,
77: accept-77,?,6,,"Classe bizarre – mal défini sémantiquement (comprendre, encourager, accepter)"
78: indicate-78,C4b,9,"indiquer, expliquer",à sujet Nnr et pas à sujet humain
79: dedicate-79,D2a ou P1h,11,dévouer,dévouer sa vie / se dévouer à+pour V-inf
80: free-80,U2c ou E2b,13,"libérer, guérir",
81: suspect-81,P3c,13,soupçonner,
82: withdraw-82,E1a,?,se retirer,4 verbes anglais et pas de table en français
83: cope-83,M2b ou E2a,7,"se débrouiller, réussir",alternance à /pour
84: discover-84,P3c ou P3b,6,découvrir,
85: defend-85,F2d,13 ou 32R3,défendre,pas bien clair
86.1: correlate-86.1,T2a,?,alterner,"classe mal définie, se rapporter à, se rattacher à ? Je ne comprends pas Theme et co-Theme"
86.2: relate-86.2,F2b,4,concerner,emploi non psy
87.1: focus-87.1,P1e ou P1f,11,concentrer,concentrer ses efforts ou se concentrer
87.2: comprehend-87.2,P3c,6,comprendre,
88.1: care-88.1,P2a ou P1a,8 ou 4,s'inquiéter,
88.2: empathize-88.2,U2b,35R,compatir,
89: settle-89,U2a ou F4b ou X1a,14 ou 16,s'harmoniser,"une classe LVF par verbe, s'accorder à, s'arranger pour"
90: exceed-90,E4d,32R2 ou 32R1,"dépasser, surpasser",
91: matter-91,H2k,5,compter,classes de deux verbes
92: confine-92,L1b,38LHD,incarcérer,
93: adopt-93,H4c,6,adopter,
94: risk-94,L4b,?,"(se) risquer, jouer","jouer a 20 entrées, pas de bonne entreée pour (se) risquer ou hasarder"
95: acquiesce-95,D1b ou P1f,?,"se rendre, capituler","capituler 35R, se rendre 33"
96: addict-96,H2j,11,"prédisposer, inciter",sujet Nnr ou Hum – LVF sans conviction
97.1: base-97.1,L4b,10 ou 38R,baser,pas de bonne entrée pour établir
97.2: deduce-97.2,E4b,16,déduire,
98: confront-98,F4a,32R2,braver,
99: ensure-99,T4b ou D3c,9,garantir,sujet Nnr = cause
100: own-100,S3k,32R2,posséder,
101: patent-101,L3b ou N4a,32R3,breveter,LVF: sans conviction
102: promote-102,D3b ou P2a ou P2c,32R2,"promouvoir, promotionner",
103: require-103,C2k,10,nécessiter,demander à sujet Nnr
104: spend_time-104,?,?,passer,classe mal définie : J'ai perdu/gaspillé 5 heures à Vinf – LVF : E4d ?
105: use-105,S4h,11,utiliser,à et pour 
106: void-106,F4b,32RA,"annuler, invalider",32RA définie sur un critère morphologique
107: involve-107,?,11,engager,à et pour
108: multiply-108,∅,32PL ou 36S,multiplier,"additionner  soustraire – une classe LVF par verbe, pas de complétive"
109: seem-109,X2a,1,sembler,
