"<ID>";"N0 =: Nhum";"N0 =: le fait Qu P";"N0 =: V1-inf W";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 être V-ant W";"N0 être V-able W";"N0 être V-eux W";"N0 être V-(eur+ateur) W";"N1 =: Nabs";"N1 =: le fait Qu P";"N1 se V de ce Qu P";"N1 se V auprès de N3hum de ce Qu P";"N1 être Vpp de ce Qu P";"[passif par]";"[passif de]";"N0 V N1 contre N2hum";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"26";"+";"+";"+";"<E>";"-";"aigrir";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"(E+L'attitude de)Max a aigri Luc"
"27";"-";"+";"+";"<E>";"-";"alanguir";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"L'inaction alanguit Max"
"28";"+";"+";"+";"<E>";"-";"alarmer";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"(E+L'attitude de)Paul alarme Max"
"29";"+";"+";"+";"<E>";"-";"aliéner";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Le travail aliène Max"
"30";"+";"+";"+";"<E>";"-";"allécher";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Cette offre allèche Max"
"31";"+";"+";"+";"<E>";"-";"allumer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Cette affaire a salement allumé Luc"
"32";"+";"+";"+";"<E>";"-";"amadouer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Que Max soit parti a amadoué Ida"
"33";"+";"+";"+";"<E>";"-";"améliorer";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Qu'il ait travaillé améliore Max"
"34";"+";"+";"+";"<E>";"-";"amender";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Qu'il ait travaillé a amendé Max"
"35";"+";"+";"+";"<E>";"-";"amocher";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Qu'Ida soit partie a amoché Max"
