"<ID>";"N0 =: Nhum";"N0 =: Nnc";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 est Vpp W";"N0 V";"Prép1";"Tp = Tc";"Tc =: passé";"Tc =: présent";"Tc =: futur";"Vc =: devoir";"Vc =: pouvoir";"Vc =: savoir";"Prép V0-inf W = Ppv";"N0 V Prép N1hum";"N0 V Prép N1-hum";"Prép N1 = Ppv";"N0 V dans N1";"N0 V N1hum";"N0 V N1-hum";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"24";"+";"+";"<E>";"-";"-";"-";"daigner";"-";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Il a daigné pleuvoir"
"25";"+";"-";"se";"+";"-";"-";"déballonner";"-";"-";"+";"-";"+";"de";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max se déballonne de venir"
"26";"-";"+";"se";"+";"-";"-";"décider";"-";"-";"+";"+";"+";"à";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"Max s'est décidé à partir"
"27";"+";"-";"se";"+";"-";"-";"défendre";"-";"-";"+";"-";"-";"de";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max se défend d'intervenir"
"28";"+";"-";"se";"+";"-";"-";"défiler";"-";"-";"+";"-";"+";"de";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max se défile de venir"
"29";"+";"-";"se";"+";"-";"-";"dégonfler";"-";"-";"+";"-";"+";"de";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max se dégonfle de sauter dans l'eau"
"30";"+";"-";"se";"+";"-";"-";"dégrouiller";"-";"-";"+";"-";"+";"de";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"Max se dégrouille de partir"
"31";"+";"-";"ne";"-";"-";"+";"demander que";"+";"+";"-";"-";"-";"à";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max ne demande qu'à rester"
"32";"+";"-";"se";"+";"-";"-";"démerder";"-";"-";"+";"-";"+";"de";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"Max se démerde de s'enfuir"
"33";"+";"-";"<E>";"-";"-";"-";"demeurer";"-";"-";"+";"-";"-";"à";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"Max demeure à faire ce travail"
"34";"+";"-";"<E>";"-";"-";"-";"demeurer là";"-";"-";"+";"-";"-";"à";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max demeure là à ne rien faire"
"35";"+";"-";"se";"+";"-";"-";"dépêcher";"-";"-";"+";"-";"+";"de";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max se dépêche de venir"
"36";"+";"-";"<E>";"-";"-";"-";"descendre";"-";"-";"+";"-";"-";"à+jusqu'à";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Paul descend (E+jusqu')à demander une faveur"
"37";"+";"+";"<E>";"-";"-";"-";"devoir";"-";"+";"-";"-";"-";"<E>";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"Max doit déjà être loin à cette heure-ci"
"38";"+";"-";"<E>";"-";"-";"-";"devoir";"-";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"Max doit absolument partir"
"39";"+";"+";"se";"+";"-";"-";"devoir";"-";"-";"-";"-";"-";"de";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"Max se doit de rester en vie"
"40";"~";"~";"se";"+";"-";"-";"disposer";"-";"-";"+";"~";"~";"à";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Paul se dispose à parler"
"41";"+";"-";"s'";"+";"-";"-";"efforcer";"-";"-";"+";"-";"-";"de";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"Max s'efforce de bien faire"
"42";"+";"-";"s'";"+";"-";"-";"empresser";"-";"-";"+";"+";"+";"de";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"Max s'empresse de venir"
"43";"+";"+";"<E>";"-";"-";"-";"être";"-";"+";"-";"-";"-";"pour";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max était pour partir quand il s'est mis à pleuvoir"
"44";"+";"-";"<E>";"-";"-";"-";"être";"-";"+";"-";"-";"-";"pour";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"Ce vin est pour boire dans 3 ans"
"45";"~";"~";"<E>";"-";"-";"-";"être";"-";"+";"-";"~";"~";"à";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Ce film est à voir"
"46";"~";"~";"<E>";"-";"-";"-";"être appelé";"-";"+";"-";"~";"~";"à";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Ce quartier est appelé à disparaître"
"47";"~";"~";"<E>";"-";"-";"-";"être foutu";"-";"+";"-";"~";"~";"de";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"La pluie est foutue de tomber"
"48";"~";"~";"<E>";"-";"-";"-";"être obligé";"-";"+";"-";"~";"~";"de";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max est obligé de venir"
"49";"~";"~";"<E>";"-";"-";"-";"faillir";"-";"+";"-";"~";"~";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a failli tomber"
"50";"+";"+";"ne";"-";"-";"+";"faire pas que";"+";"+";"-";"-";"-";"<E>";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"Paul ne fait pas que parler"
"51";"+";"+";"<E>";"-";"-";"-";"finir";"-";"+";"-";"-";"+";"de";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"Max a fini de ranger"
"52";"+";"+";"<E>";"-";"-";"-";"finir";"-";"+";"-";"-";"-";"par";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"Max a fini par ranger"
"53";"+";"+";"n'en";"-";"+";"+";"finir";"+";"+";"-";"-";"-";"de";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"La pluie n'en finit pas (E+de tomber)"
"54";"+";"-";"se";"+";"-";"-";"grouiller";"-";"-";"+";"-";"+";"de";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max se grouille de prévenir ses amis"
"55";"~";"~";"<E>";"-";"-";"-";"hasarder";"-";"+";"-";"~";"~";"de";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a hasardé de proposer une solution"
"56";"+";"-";"se";"+";"-";"-";"hâter";"-";"-";"+";"-";"+";"de";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"Max se hâte d'arriver"
"57";"+";"-";"<E>";"-";"-";"-";"hésiter";"-";"+";"-";"-";"+";"à";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max hésite à venir"
"58";"+";"-";"n'";"-";"-";"+";"hésiter";"+";"+";"-";"-";"+";"à";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max n'hésite pas à dire la vérité"
"59";"~";"~";"<E>";"-";"-";"-";"insister";"-";"+";"-";"~";"~";"pour";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max insiste pour que Léa vienne"
"60";"+";"+";"s'";"+";"-";"-";"interrompre";"-";"-";"+";"-";"+";"de";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Max s'est interrompu de travailler"
"61";"+";"-";"ne";"-";"-";"+";"laisser";"+";"+";"-";"-";"-";"de";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"Paul ne laisse pas de m'étonner"
"62";"~";"~";"se";"+";"-";"-";"laisser";"-";"-";"+";"~";"~";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Ce film se laisse regarder"
"63";"+";"-";"se";"+";"-";"-";"lancer";"-";"-";"+";"+";"+";"à";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Max s'est lancé à parler en public"
"64";"+";"-";"<E>";"-";"-";"-";"lanterner";"-";"+";"-";"-";"-";"à";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"Max lanterne à se décider"
"65";"+";"-";"se";"+";"-";"-";"magner";"-";"-";"+";"-";"+";"de";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max se magne d'arriver"
"66";"+";"+";"<E>";"-";"-";"-";"manquer";"-";"+";"-";"-";"-";"de";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"Il a manqué (E+de)pleuvoir"
"67";"+";"+";"ne";"-";"-";"+";"manquer";"+";"+";"-";"-";"-";"de";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"Max ne manquera pas de venir"
"68";"+";"+";"se";"+";"-";"-";"mêler";"-";"-";"+";"-";"-";"de";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max se mêle (d'apprendre l'anglais+*d'anglais)"
"69";"+";"+";"<E>";"-";"-";"-";"menacer";"-";"+";"-";"-";"-";"de";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"La pluie menace (E+de tomber)"
"70";"+";"+";"se";"+";"-";"-";"mettre";"-";"-";"+";"-";"-";"à";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"Paul se met à travailler"
"71";"~";"~";"se";"+";"-";"-";"mouiller";"-";"-";"+";"~";"~";"à";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max s'est mouillé à répondre au patron"
"72";"+";"-";"<E>";"-";"-";"-";"négliger";"-";"+";"-";"-";"-";"de";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max a négligé de se laver"
"73";"+";"-";"s'";"+";"-";"-";"offrir";"-";"-";"+";"-";"-";"de";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"Max s'offre (de+pour)raccompagner Ida"
"74";"+";"-";"<E>";"-";"-";"-";"omettre";"-";"+";"-";"-";"-";"de";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max a omis de fermer la porte"
"75";"+";"-";"<E>";"-";"-";"-";"oser";"-";"+";"-";"-";"+";"<E>";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"Max a osé venir"
"76";"+";"-";"<E>";"-";"-";"-";"oublier";"-";"+";"-";"-";"-";"de";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max a oublié de venir"
"77";"+";"-";"s'";"+";"-";"-";"oublier";"-";"-";"+";"-";"-";"à";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max s'est oublié à injurier Luc"
"78";"~";"~";"<E>";"-";"-";"-";"paraître";"-";"+";"-";"~";"~";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Sa santé paraît s'améliorer"
"79";"~";"~";"<E>";"-";"-";"-";"parler";"-";"+";"-";"~";"~";"de";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max parle de prendre sa retraite"
"80";"+";"-";"<E>";"-";"-";"-";"partir";"-";"-";"+";"-";"-";"à";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max est parti (à+d'un éclat de)rire"
"81";"+";"-";"<E>";"-";"-";"-";"passer";"-";"+";"-";"-";"-";"pour";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"Paul passe pour avoir du talent"
"82";"+";"-";"en";"-";"+";"-";"passer";"-";"-";"+";"-";"-";"par";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Ida en passera par faire la vaisselle"
"83";"+";"-";"se";"+";"-";"-";"permettre";"-";"-";"+";"-";"-";"de";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"Paul s'est permis de gagner malgré la fatigue"
"84";"+";"-";"<E>";"-";"-";"-";"persévérer";"-";"+";"-";"-";"+";"à";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Max persévère à planter des radis"
"85";"+";"+";"<E>";"-";"-";"-";"persister";"-";"+";"-";"-";"+";"à";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Max persiste à planter des radis"
"86";"+";"-";"<E>";"-";"-";"-";"pouvoir";"-";"+";"-";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Il peut toujours pleuvoir (E+j'ai mon parapluie)*"
"87";"+";"+";"<E>";"-";"-";"-";"pouvoir";"-";"+";"-";"-";"-";"<E>";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"La machine peut soulever 10 tonnes."
