"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 =: V-inf W";"N0 être V-n";"N0 =: Npl obl";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"<ENT>V";"N0 V";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"N0 V Loc N1 source";"N0 V Loc N2 destination";"trajet";"de combien ?";"Loc N1 =: de N1 source";"Loc N1 =: Loc N1 source, Loc # de";"Loc N1 = Ppv =: en";"N0 V N1 source";"N0 V N2 destination";"Loc N2 =: dans N2 destination";"Loc N2 =: sur N2 destination";"Loc N2 =: contre N2 destination";"Loc N2 =: à N2 destination";"Loc N2 =: vers N2 destination";"autre Loc2";"Loc N2 = Ppv =: y";"N0 lui V Loc (N1pc+N2pc)";"N0 V Prép N0pc";"(N1+N2) =: le fait Qu P";"(N1+N2) être V-n";"N0 être V-ant Prép (N1+N2)";"[extrap]";"N0 =: idée, (N1+N2) =: esprit";"N0 =: Nhum, (N1+N2) =: Nabs";"il V Qu P W";"N0 être V-n (forme V-n)";"(N1+N2) être V-n (forme V-n)";"<OPT>"
"24";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"découcher";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"de chez";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"couche";"Max a découché de chez Léa"
"25";"-";"+";"-";"-";"-";"-";"se";"+";"-";"dégager";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Une odeur se dégage de cette malle"
"26";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"dégouliner";"~";"+";"-";"~";"~";"~";"~";"+";"+";"~";"~";"+";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"L'eau dégouline du toit sur le sol"
"27";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"déraper";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"~";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"L'auto dérape dans le fossé"
"28";"-";"+";"-";"-";"-";"-";"<E>";"-";"-";"dériver";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Le bateau dérive vers la côte"
"29";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"descendre";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Les parisiens descendent (sur la côte+à Gap)"
"30";"-";"+";"+";"+";"-";"-";"<E>";"-";"-";"digresser";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a digressé de son sujet, sur un autre sujet"
"31";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"disparaître";"~";"+";"-";"~";"~";"~";"~";"+";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"de chez";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul a disparu de chez lui"
"32";"~";"~";"~";"~";"~";"~";"s'";"+";"-";"échapper";"~";"-";"+";"~";"~";"~";"~";"+";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le gaz s' échappe du tuyau"
"33";"-";"+";"-";"-";"-";"-";"s'";"+";"-";"écouler";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"L'eau s' écoule de la fissure sur le sol"
"34";"-";"+";"-";"-";"-";"-";"s'";"+";"-";"élever";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"~";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"La fusée s' élève dans le ciel"
"35";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"embarquer";"~";"+";"-";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max embarque dans l'avion"
"36";"-";"+";"-";"-";"-";"-";"<E>";"-";"-";"évoluer";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le danseur évolue (sur la piste+vers la sortie)"
"37";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"exsuder";"~";"+";"-";"~";"~";"~";"~";"+";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"<E>";"<E>";"Un suc exsude de l'arbre"
"38";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"fondre";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Le vautour a fondu sur l'agneau"
