"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 =: V-inf W";"N0 être V-n";"N0 =: Npl obl";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"<ENT>V";"N0 V";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"N0 V Loc N1 source";"N0 V Loc N2 destination";"trajet";"de combien ?";"Loc N1 =: de N1 source";"Loc N1 =: Loc N1 source, Loc # de";"Loc N1 = Ppv =: en";"N0 V N1 source";"N0 V N2 destination";"Loc N2 =: dans N2 destination";"Loc N2 =: sur N2 destination";"Loc N2 =: contre N2 destination";"Loc N2 =: à N2 destination";"Loc N2 =: vers N2 destination";"autre Loc2";"Loc N2 = Ppv =: y";"N0 lui V Loc (N1pc+N2pc)";"N0 V Prép N0pc";"(N1+N2) =: le fait Qu P";"(N1+N2) être V-n";"N0 être V-ant Prép (N1+N2)";"[extrap]";"N0 =: idée, (N1+N2) =: esprit";"N0 =: Nhum, (N1+N2) =: Nabs";"il V Qu P W";"N0 être V-n (forme V-n)";"(N1+N2) être V-n (forme V-n)";"<OPT>"
"72";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"revenir";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"L'aiguille est revenue sur le zéro"
"73";"-";"+";"-";"-";"-";"-";"<E>";"-";"-";"ricocher";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"~";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"La balle a ricoché dans l'oeil de Max"
"74";"-";"+";"-";"-";"-";"-";"<E>";"-";"-";"riper";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"~";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le poinçon a ripé vers la gauche"
"75";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"rouler";"~";"+";"-";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La pierre a roulé dans le fossé"
"76";"-";"+";"-";"-";"-";"-";"<E>";"-";"-";"ruisseler";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"~";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"L'eau ruisselle de la gouttière sur les passants"
"77";"+";"-";"-";"+";"-";"+";"<E>";"-";"-";"serpenter";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"La colonne serpentait vers le fond de la vallée"
"78";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"sortir";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"~";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"La fumée sort de la cheminée"
"79";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"surgir";"~";"+";"-";"~";"~";"~";"~";"+";"+";"~";"~";"+";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Une île a surgi (de la mer+dans l'océan)"
"80";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"tomber";"~";"+";"-";"~";"~";"~";"~";"+";"+";"~";"~";"+";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max est tombé du toit dans la mare"
"81";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"tomber";"~";"+";"-";"~";"~";"~";"~";"-";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les prix tombent de 3 points"
"82";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"transiter";"~";"+";"-";"~";"~";"~";"~";"-";"+";"~";"~";"+";"-";"~";"~";"~";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les passagers transitent vers Paris"
"83";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"transmigrer";"~";"+";"-";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Son âme a transmigré dans le corps d'un chat"
"84";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"valdinguer";"~";"+";"-";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La table a valdingué contre le mur"
"85";"-";"+";"-";"-";"-";"-";"<E>";"-";"-";"valser";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"~";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Le rapport a valsé dans la poubelle"
"86";"~";"~";"~";"~";"~";"~";"s'en";"+";"+";"venir";"~";"-";"+";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"+";"~";"chez";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'en vient chez vous"
"87";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"voguer";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"La nef vogue vers Ré"
"88";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"voler";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"L'avion a volé jusqu'à Gap"
"89";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"voleter";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"~";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"La feuille a voleté sur son bureau"
"90";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"voltiger";"~";"+";"-";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le livre a voltigé dans la poubelle"
"91";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"voyager";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"La marchandise voyage de France au Pérou"
"92";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"yoyoter";"~";"+";"-";"~";"~";"~";"~";"-";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le dollar yoyote (de+entre)5(et+à)6 francs"
"93";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"zapper";"~";"+";"-";"~";"~";"~";"~";"-";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max zappe de la 1ère et la 2ème chaîne"
"94";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"zigzaguer";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"L'avion zigzague vers la piste"

