"<ID>";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"Ppv =: le";"N0 V N1";"N0 V N2";"N0 V N1 comme N2";"N2 =: Nhum";"N0 V N1 de V-n";"N2 =: Npr";"N2 =: Adj";"N0 V N1 de N-hum";"N0 V N1 Loc N-hum";"N1 être Vpp (statique)";"N2 =: Dnum Nmes";"N0 V N1 de V-n (forme V-n)";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"26";"-";"<E>";"coopter";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"la groupe a coopté Luc membre actif"
"27";"-";"<E>";"coter";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"cote";"Max cote l'or mille francs"
"28";"-";"<E>";"couronner";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"Le chef a couronné le roi"
"29";"~";"<E>";"déclarer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"On a déclaré Max président"
"30";"-";"<E>";"dénommer";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"nom";"Max a dénommé son fils Luc"
"31";"-";"<E>";"désigner";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"Max a désigné cet objet(E+du nom de)clapet"
"32";"~";"<E>";"désigner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a désigné Luc(E+comme)représentant de notre groupe"
"33";"-";"<E>";"élire";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"<E>";"On a élu Mac(E+comme)député"
"34";"-";"<E>";"élire";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"Ida a élu Max(E+comme)confident"
"35";"-";"<E>";"établir";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"<E>";"Max a établi son fils(E+comme)notaire"
"36";"-";"<E>";"étiqueter";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"étiquette";"On a étiqueté Max(E+comme)spécialiste"
"37";"~";"<E>";"faire";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Le peuple a fait Max roi"
"38";"-";"<E>";"ficher";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"On a fiché Max(E+comme)ennemi public"
"39";"~";"<E>";"finir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a fini sa carrière(E+comme)président"
"40";"-";"<E>";"garder";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"<E>";"On a gardé Max ministre"
