"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 être V-n";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: les figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 être V-ant";"N0 être Vpp";"N0 V de N0pc";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"Ppv =: lui";"Ppv =: y";"N1 être V-n";"N0hum V W sur ce point";"[extrap]";"N0idée V Loc N1esprit";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>"
"19";"+";"+";"-";"-";"<E>";"-";"-";"-";"-";"assister";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max a assisté régulièrement à toutes les réunions"
"20";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"assister";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"On assiste à une augmentation des prix"
"21";"+";"-";"-";"-";"s'";"+";"-";"-";"-";"attaquer";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"+";"<E>";"<E>";"Max s' attaque à ces abus"
"22";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"attenter";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"Max a attenté à la vie de Luc"
"23";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"bavarder";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a bavardé |aux flics|"
"24";"+";"-";"-";"+";"<E>";"-";"-";"-";"-";"candidater";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"candidat";"<E>";"Max a candidaté à un poste"
"25";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"carburer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max carbure au gros rouge"
"26";"~";"~";"~";"~";"ne";"-";"-";"-";"+";"causer";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max ne cause plus à Luc"
"27";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"céder";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ida a cédé à Paul"
"28";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"céder";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max cède au désespoir"
"29";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"chiquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max chique à l'intellectuel"
"30";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"cogiter";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"<E>";"<E>";"Max a cogité à une solution"
