"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 être V-n";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: les figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 être V-ant";"N0 être Vpp";"N0 V de N0pc";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"Ppv =: lui";"Ppv =: y";"N1 être V-n";"N0hum V W sur ce point";"[extrap]";"N0idée V Loc N1esprit";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>"
"121";"-";"+";"-";"-";"se";"+";"-";"-";"-";"rapporter";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"L'adjectif se rapporte au nom"
"122";"+";"+";"-";"-";"<E>";"-";"-";"-";"-";"réagir";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"Ce corps réagit à l'acide"
"123";"-";"+";"-";"-";"se";"+";"-";"-";"-";"réduire";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"L'appartement se réduit à deux pièces"
"124";"-";"+";"+";"-";"<E>";"-";"-";"-";"-";"référer";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Cette note réfère à un ouvrage ancien"
"125";"+";"-";"-";"-";"se";"+";"-";"-";"-";"refuser";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Lili s'est refusée à Max"
"126";"-";"+";"+";"-";"<E>";"-";"-";"-";"-";"remonter";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Cette histoire remonte à(deux mois+l'année dernière)"
"127";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"remonter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul est remontée à la guerre dans son récit"
"128";"+";"+";"+";"-";"en";"-";"+";"-";"-";"remontrer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max en a remontré à Luc sur la mécanique"
"129";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"renaître";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"<E>";"<E>";"Max renaît au bonheur de vivre"
"130";"+";"-";"-";"-";"se";"+";"-";"-";"-";"rendre";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"Max s'est rendu à mon(opinion+avis)"
"131";"+";"-";"-";"-";"se";"+";"-";"-";"-";"rendre";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le caporal s'est rendu à l'ennemi"
"132";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"renoncer";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max renonce à son héritage"
"133";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"renvoyer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ce signe renvoie la note à 2"
"134";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"repiquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a repiqué à la boisson"
"135";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"répliquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cet enfant réplique à ses parents"
"136";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"replonger";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paulo a replongé à la(piquouse+drogue)"
"137";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"répondre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ce motif répond à celui là"
"138";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"répondre";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Cet enfant répond à sa mère"
"139";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"répondre";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Cet objet répond à la description"
"140";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"répondre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cet organisme répond au stimulus"
"141";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"répondre";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"Max répond au téléphone"
"142";"+";"+";"-";"-";"se";"+";"-";"-";"-";"reporter";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max s'est reporté au texte original"
"143";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"résister";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette couleur résiste (à l'eau+au lavage)"
"144";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"résister";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"<E>";"<E>";"Max résiste à(Luc+l'oppression)"
"145";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"ressembler";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"<E>";"<E>";"Ida ressemble à Léa"
"146";"-";"+";"+";"-";"<E>";"-";"-";"-";"-";"ressortir";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Ce problème ressortit à la chimie"
"147";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"rester";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"<E>";"<E>";"Quelques amis sont restés à Max"
"148";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"retourner";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La maison retournera à Luc(E+à sa mort)"
