"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 être Vpp W";"N0 être V-ant";"N0 V";"N0 V contre Nhum";"N0 V de N1";"N1 =: Qu Pind";"N1 =: Qu Psubj";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: si P ou si P";"N1 =: V0-inf W";"N1 =: V2-inf W";"Tc =: passé";"Tc =: futur";"Vc =: devoir";"Vc =: pouvoir";"Vc =: savoir";"N1 =: ce(ci+la)";"Prép N1 =: Prép Qu P = Ppv";"de N1 =: de ce Qu P = de là";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"Prép N1-hum = Ppv";"il être Vpp Prép N1 (E+par N0)";"N1 être Vpp par N0";"N0 V N1 Prép N2";"N1 être Vpp de N0";"N0 V Prép N2";"Prép2";"Prép2 =: auprès de = à";"N2 =: Nhum";"Prép N2hum = Ppv";"N2 =: N-hum";"Prép N2-hum = Ppv";"il être Vpp Prép N2 (E+par N0)";"N1 être Vpp de N0 Prép N2";"N1 être Vpp par N0 Prép N2";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"54";"+";"-";"-";"-";"-";"<E>";"-";"-";"pester";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"auprès de";"-";"+";"-";"-";"-";"+";"-";"-";"Max peste auprès d'Ida que la porte soit ouverte"
"55";"+";"-";"-";"-";"-";"<E>";"-";"-";"philosopher";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"avec";"-";"+";"-";"-";"-";"-";"-";"-";"Max philosophe auprès de Luc de ce que Léa est partie"
"56";"+";"-";"-";"-";"-";"se";"+";"-";"plaindre";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"auprès de";"+";"+";"-";"-";"-";"-";"-";"-";"Max se plaint amèrement à Luc de ce que tout est dérangé"
"57";"+";"-";"-";"-";"-";"<E>";"-";"-";"plaisanter";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"auprès de";"-";"+";"-";"-";"-";"-";"-";"-";"Max plaisante (avec+auprès de)Ida de ce que Luc porte un chapeau"
"58";"+";"-";"-";"-";"-";"<E>";"-";"-";"plastronner";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"auprès de";"+";"+";"-";"-";"-";"+";"+";"-";"Max plastronne auprès de Luc de ce qu'il a réussi"
"59";"+";"-";"-";"-";"-";"<E>";"-";"-";"polémiquer";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"avec";"-";"+";"-";"-";"-";"+";"-";"-";"Max polémique (avec+auprès de)Luc de ce que la situation empire ou non"
"60";"+";"-";"-";"-";"-";"<E>";"-";"-";"politiquer";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"auprès de";"-";"+";"-";"-";"-";"+";"-";"-";"Max politique avec Luc de ce que la situation est confuse"
"61";"+";"-";"-";"-";"-";"<E>";"-";"-";"protester";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"auprès de";"-";"+";"-";"-";"-";"+";"-";"-";"Max proteste auprès de Luc(E+de ce)qu'il était malade"
"62";"+";"-";"-";"-";"-";"<E>";"-";"-";"raisonner";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"auprès de";"-";"+";"-";"-";"-";"-";"-";"-";"Lolo raisonne auprès de Mimi de ce que le soleil tourne autour de la terre"
"63";"+";"-";"-";"-";"-";"<E>";"-";"-";"râler";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"auprès de";"+";"+";"-";"-";"-";"+";"+";"-";"Max a râlé auprès de l'administration de ce que sa note était exagérée"
"64";"+";"-";"-";"-";"-";"<E>";"-";"-";"recauser";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"à";"-";"+";"+";"-";"-";"-";"-";"-";"Max a recausé à Ida de ce qu'elle n'était pas venue"
"65";"+";"-";"-";"-";"-";"<E>";"-";"-";"référer";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"auprès de";"+";"+";"+";"-";"-";"-";"-";"-";"Max a référé auprès de son chef de ce que la situation était critique"
"66";"+";"-";"-";"-";"-";"<E>";"-";"-";"répondre";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"devant";"-";"+";"-";"-";"-";"-";"-";"-";"Max répond (devant+auprès de)Luc de ce que tout soit en ordre"
"67";"+";"-";"-";"-";"-";"se";"+";"-";"reposer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"sur";"-";"+";"-";"+";"-";"-";"-";"-";"Max se repose sur Ida de ce que le ménage doit être fait"
"68";"+";"-";"-";"-";"-";"se";"+";"-";"rétracter";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"auprès de";"+";"+";"-";"-";"-";"-";"-";"-";"Max s'est rétracté auprès du tribunal de ce qu'il ait dit ceci"
"69";"~";"~";"~";"~";"~";"se";"+";"-";"revancher";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"sur";"~";"~";"~";"~";"~";"~";"~";"~";"Luc s'est revanché sur Max de ce que Léa l'avait trahi"
"70";"~";"~";"~";"~";"~";"<E>";"-";"-";"ricaner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"auprès de";"~";"~";"~";"~";"~";"~";"~";"~";"Max ricane auprès de Luc de ce que Flo est partie"
"71";"+";"-";"-";"-";"-";"<E>";"-";"-";"rigoler";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"auprès de";"-";"+";"-";"-";"-";"+";"-";"-";"Max rigole auprès de Luc de ce que Flo est partie"
"72";"+";"-";"-";"-";"-";"<E>";"-";"-";"rire";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"auprès de";"-";"+";"-";"-";"-";"+";"-";"-";"Max rit auprès de Léa de ce que Flo a échoué"
"73";"~";"~";"~";"~";"~";"<E>";"-";"-";"rouscailler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"auprès de";"~";"~";"~";"~";"~";"~";"~";"~";"Max rouscaille auprès du serveur de ce que le vin est mauvais"
"74";"+";"-";"-";"-";"-";"<E>";"-";"-";"rouspéter";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"auprès de";"+";"+";"-";"-";"-";"+";"-";"-";"Max rouspète auprès du serveur de ce que le vin est mauvais"
"75";"+";"-";"-";"-";"-";"<E>";"-";"-";"soupirer";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"auprès de";"+";"+";"+";"-";"-";"-";"+";"-";"Zoé soupire auprès de Luc de ce qu'elle n'a pas été choisie"
"76";"+";"-";"-";"-";"-";"se";"+";"-";"targuer";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"auprès de";"-";"+";"-";"-";"-";"-";"-";"-";"Max se targue auprès de Léa de ce qu'il peut boire"
"77";"~";"~";"~";"~";"~";"<E>";"-";"-";"tchatcher";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"avec";"~";"~";"~";"~";"~";"~";"~";"~";"Max tchatche avec Ida de ce que Luc est parti"
"78";"+";"+";"+";"-";"-";"<E>";"-";"-";"témoigner";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"auprès de";"-";"+";"+";"-";"-";"-";"+";"-";"Max témoigne auprès de Léa de ce que Flo est bien arrivée"
"79";"~";"~";"~";"~";"~";"<E>";"-";"-";"traiter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"avec";"~";"~";"~";"~";"~";"~";"~";"~";"Max traite de ce sujet avec Paul"
"80";"+";"-";"-";"-";"-";"se";"+";"-";"vanter";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"auprès de";"+";"+";"-";"-";"-";"-";"-";"-";"Max se vante  auprès de Léa de ce qu'il est fort"
"81";"-";"-";"-";"-";"-";"<E>";"-";"-";"venir";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"à";"-";"+";"+";"-";"-";"-";"-";"-";"Les ennuis viennent à Max de ce qu'il est bête"
"82";"+";"-";"-";"-";"-";"en";"-";"+";"vouloir";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"à";"-";"+";"+";"-";"-";"-";"-";"-";"Max en veut  à Luc de ce qu'il n'est pas venu"

