"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: le fait de V1-inf W";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V contre Nhum";"N0 V après Nhum";"N1 =: Qu Pind";"Qu P = V0-inf W";"N1 =: Qu P = Aux V0-inf W";"Qu P = de V0-inf W";"N1 = (N) (V-ant W)";"N1 = (N) (V-inf W)";"N1 = (N) (être Adj)";"N0 V (être Adj) (Qu P)";"Qu N0 V (être Adj)";"N1 = (N) (Adj)";"N0 V (Adj) (Qu P)";"Qu N0 V (Adj)";"(Nég, interro) => subj";"impératif => subj";"N1 =: Qu Psubj";"Qu Psubj = V0-inf W";"Qu Psubj = de V0-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N0 V N1 de N2hum";"N0 V N1 à ce Qu P";"[passif par]";"[passif de]";"<OPT>"
"129";"+";"-";"-";"-";"<E>";"-";"-";"deviner";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"Max a deviné que Luc était en faute"
"130";"+";"-";"-";"-";"<E>";"-";"-";"diagnostiquer";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"+";"-";"Max a diagnostiqué que le fusible avait brûlé"
"131";"+";"+";"+";"-";"<E>";"-";"-";"différer Advfut";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"Max a différé au lendemain qu'on prenne la décision"
"132";"+";"-";"-";"-";"<E>";"-";"-";"digérer Advm";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"Max digère mal qu'on l'évince"
"133";"+";"-";"-";"-";"<E>";"-";"-";"discerner";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"Max a discerné que Luc était en faute"
"134";"+";"+";"+";"-";"<E>";"-";"-";"discontinuer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max a discontinué que l'on finance ce projet"
"135";"+";"-";"-";"-";"ne se";"+";"+";"dissimuler";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"Ida ne se dissimule pas que Max lui ment"
"136";"+";"-";"-";"-";"<E>";"-";"-";"distinguer";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"Max distingue qu'Ida est capable"
"137";"+";"-";"-";"-";"<E>";"-";"-";"divaguer";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max divague que la guerre va éclater"
"138";"+";"-";"-";"-";"<E>";"-";"-";"doser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max a dosé quelles étaient ses chances"
