"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: le fait de V1-inf W";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V contre Nhum";"N0 V après Nhum";"N1 =: Qu Pind";"Qu P = V0-inf W";"N1 =: Qu P = Aux V0-inf W";"Qu P = de V0-inf W";"N1 = (N) (V-ant W)";"N1 = (N) (V-inf W)";"N1 = (N) (être Adj)";"N0 V (être Adj) (Qu P)";"Qu N0 V (être Adj)";"N1 = (N) (Adj)";"N0 V (Adj) (Qu P)";"Qu N0 V (Adj)";"(Nég, interro) => subj";"impératif => subj";"N1 =: Qu Psubj";"Qu Psubj = V0-inf W";"Qu Psubj = de V0-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N0 V N1 de N2hum";"N0 V N1 à ce Qu P";"[passif par]";"[passif de]";"<OPT>"
"182";"+";"-";"-";"-";"<E>";"-";"-";"escompter";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"Max escompte que Léa partira"
"183";"~";"~";"~";"~";"<E>";"-";"-";"escompter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"J' escompte de Paul qu'il vienne"
"184";"+";"-";"-";"-";"<E>";"-";"-";"esgourder";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"Max esgourde si les flics arrivent"
"185";"+";"-";"-";"-";"<E>";"-";"-";"espérer";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"Max espère que Léa partira"
"186";"+";"-";"-";"-";"<E>";"-";"-";"espionner";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"Max espionne si Léa s'en va ou non"
"187";"+";"-";"-";"-";"<E>";"-";"-";"esquiver";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"Max a finalement esquivé (E+qu'on lui colle)cette corvée"
"188";"+";"-";"-";"-";"<E>";"-";"-";"essayer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"Max essaye que Léa vienne"
"189";"+";"-";"-";"-";"<E>";"-";"-";"estimer";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"Max estime que Luc a tort"
"190";"+";"-";"-";"-";"<E>";"-";"-";"estimer";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"Max estime que Léa mettra deux jours à venir"
"191";"~";"~";"~";"~";"<E>";"-";"-";"établir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"L'enquête a établi que Léa était coupable"
"192";"+";"+";"+";"-";"<E>";"-";"-";"étaler";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"Max étale qu'il est(grand+beau+fort+etc...)"
"193";"+";"-";"-";"-";"<E>";"-";"-";"étrenner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max a étrenné que Léa ne rentre pas"
"194";"+";"-";"-";"-";"<E>";"-";"-";"étudier";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"Max étudie si la terre tourne ou pas"
"195";"+";"-";"-";"-";"<E>";"-";"-";"évaluer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"Max évalue si l'opération est rentable ou non"
"196";"+";"-";"-";"-";"<E>";"-";"-";"éventer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Ida a éventé un secret"
"197";"+";"-";"-";"-";"<E>";"-";"-";"éventer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Ida a éventé à Léa que Max était parti"
"198";"+";"+";"+";"-";"<E>";"-";"-";"éviter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"Cette barre évite que la porte se ferme"
"199";"+";"+";"+";"-";"<E>";"-";"-";"évoquer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Ceci évoque (E+pour Max)que Léa est partie"
"200";"+";"-";"-";"-";"<E>";"-";"-";"examiner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"Max examine si tout est en ordre"
"201";"+";"-";"-";"-";"s'";"+";"-";"exclamer";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"Léa s 'est exclamée que Max était stupide"
"202";"+";"-";"-";"-";"<E>";"-";"-";"exclure";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Max exclut que la terre soit carrée"
"203";"+";"-";"-";"-";"<E>";"-";"-";"exiger";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"Max exige que tout soit en ordre"
"204";"+";"-";"-";"-";"<E>";"-";"-";"expectorer";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max expectorait des injures confuses"
"205";"+";"-";"-";"-";"<E>";"-";"-";"expérimenter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Jo a expérimenté que son hypothèse était exacte"
"206";"+";"-";"-";"-";"<E>";"-";"-";"expertiser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a expertisé si le tableau est authentique ou non"
"207";"+";"-";"-";"-";"s'";"+";"-";"expliquer";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"Max s'explique (E+mal)que Luc vienne"
"208";"+";"+";"+";"+";"<E>";"-";"-";"exploiter";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"Le voleur a exploité (E+le fait)que la porte était ouverte"
"209";"+";"-";"-";"-";"<E>";"-";"-";"explorer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"Max explorera si cette solution s'applique ou non"
"210";"+";"-";"-";"-";"<E>";"-";"-";"exploser";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max explosa soudain que Léa l'agaçait"
"211";"+";"+";"+";"+";"<E>";"-";"-";"extérioriser";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Max extériorise (E+auprès de Luc)qu'il est mécontent"
"212";"+";"-";"-";"-";"<E>";"-";"-";"fabriquer";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max a fabriqué que Luc faisait partie d'un complot"
"213";"+";"-";"-";"-";"<E>";"-";"-";"fabuler";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"+";"Max a fabulé que Léa était venue"
"214";"+";"-";"-";"-";"se";"+";"-";"fader";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"Max s'est fadé de nettoyer le frigo"
"215";"-";"-";"-";"-";"<E>";"-";"-";"faire";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"Cette histoire fait que le ministre doit démissionner"
"216";"+";"-";"-";"-";"<E>";"-";"-";"fantasmer";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"Max fantasme que Léa lui gratte la tête"
"217";"+";"-";"-";"-";"se";"+";"-";"farcir";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"Max se farcit de sortir les poubelles"
"218";"+";"+";"+";"+";"<E>";"-";"-";"favoriser";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"L'état favorise que l'on ne prenne pas d'initiative"
"219";"+";"-";"-";"-";"<E>";"-";"-";"feindre";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"Max feignait de ne rien comprendre"
"220";"+";"-";"-";"-";"se";"+";"-";"figurer";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"Max se figure que Léa viendra"
"221";"~";"~";"~";"~";"se";"+";"-";"figurer se";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max se figure comment Léa était belle"
"222";"+";"-";"-";"-";"<E>";"-";"-";"filmer";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Max a filmé que la crevasse s'agrandissait"
"223";"~";"~";"~";"~";"<E>";"-";"-";"finaliser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Le chercheur finalise qu'il fait ces expériences!"
"224";"~";"~";"~";"~";"<E>";"-";"-";"fixer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a fixé que tout devait être rangé"
"225";"~";"~";"~";"~";"<E>";"-";"-";"fixer Advfut";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a fixé au 15 décembre qu'on partait à Marne"
"226";"+";"-";"-";"-";"<E>";"-";"-";"flairer";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"Max a flairé que Bob était l'assassin"
"227";"+";"-";"-";"-";"<E>";"-";"-";"fouiller";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"Max fouille si Ida est fichée ou non"
"228";"+";"-";"-";"-";"<E>";"-";"-";"frapper";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a frappé en tête qu'on était le 10 Août"
"229";"+";"-";"-";"-";"<E>";"-";"-";"fulminer";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"Max fulmine qu'on l'a trompé"
"230";"~";"~";"~";"~";"<E>";"-";"-";"gaffer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max gaffait si les flics arrivent"
"231";"+";"-";"-";"-";"<E>";"-";"-";"gager";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a gagé que Léa|ne|viendrait pas"
"232";"+";"-";"-";"-";"<E>";"-";"-";"gagner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max a bien gagné qu'on lui donne ce poste"
"233";"~";"~";"~";"~";"<E>";"-";"-";"gamberger";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max gamberge que Léa ne viendra pas"
"234";"~";"~";"~";"~";"<E>";"-";"-";"garantir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"La signature de Max garantit l'exactitude de cette nouvelle"
"235";"+";"-";"-";"-";"<E>";"-";"-";"gober";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"Max a gobé que Léa était partie"
"236";"+";"-";"-";"-";"ne";"-";"+";"gober";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"Max ne gobe pas Ida"
"237";"+";"-";"-";"-";"<E>";"-";"-";"goûter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"Max goûte peu que Léa soit là"
"238";"+";"-";"-";"-";"<E>";"-";"-";"goûter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"Max goûte si c'est bon ou non"
"239";"~";"~";"~";"~";"<E>";"-";"-";"gratter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Il faudrait gratter si Paul est capable de faire çà"
"240";"+";"+";"+";"-";"<E>";"-";"-";"grossir";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"La presse a grossi que Luc avait reçu des pots-de-vin"
"241";"+";"-";"-";"-";"<E>";"-";"-";"guetter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"Max guette si Léa arrive ou non"
"242";"+";"-";"-";"-";"<E>";"-";"-";"gueuler";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max a gueulé auprès de Luc de ce qu'on lui avait supprimé un poste"
"243";"+";"-";"-";"-";"<E>";"-";"-";"halluciner";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a halluciné que Léa revenait"
"244";"+";"-";"-";"-";"<E>";"-";"-";"hâter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Cet événement a hâté que Léa revienne"
"245";"+";"+";"+";"+";"<E>";"-";"-";"homologuer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"Max a homologué que le record avait été battu"
"246";"+";"-";"-";"-";"<E>";"-";"-";"humer";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max hume si le ragoût est bon ou pas"
"247";"+";"+";"+";"-";"<E>";"-";"-";"hypothéquer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"Ce scandale hypothèque que Max puisse être ministre"
"248";"+";"+";"+";"+";"<E>";"-";"-";"identifier";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"Max identifiera si le tableau est vrai ou non"
"249";"-";"+";"+";"-";"<E>";"-";"-";"ignorer";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"J'ignore qu'on ne me salue pas, je m'en fous"
"250";"+";"-";"-";"-";"<E>";"-";"-";"ignorer";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"Max ignore (que Léa est partie+si Léa est partie ou non)"
"251";"+";"+";"+";"+";"<E>";"-";"-";"illustrer";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Cette attitude illustre que Paul est un incapable"
"252";"+";"-";"-";"-";"<E>";"-";"-";"imaginer";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"J' imagine que vous serez en retard"
"253";"+";"-";"-";"-";"<E>";"-";"-";"imaginer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Max a imaginé cette solution"
"254";"+";"-";"-";"-";"s'";"+";"-";"imaginer";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"Max s'imagine que Léa partira"
"255";"~";"~";"~";"~";"<E>";"-";"-";"imaginer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a imaginé que la terre était cubique"
"256";"+";"-";"-";"-";"<E>";"-";"-";"imprimer";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a imprimé dans son livre que Léa était folle"
"257";"+";"-";"-";"-";"<E>";"-";"-";"improviser";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max a improvisé qu'il ferait un discours"
"258";"+";"+";"+";"-";"<E>";"-";"-";"inaugurer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max a inauguré que l'on procéderait ainsi"
"259";"+";"+";"+";"-";"<E>";"-";"-";"infirmer";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"Qu'il y ait du feu dans la maison infirme que celle ci soit abandonnée"
"260";"+";"+";"+";"-";"<E>";"-";"-";"innover";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"Max a innové que tout devrait être en ordre"
"261";"+";"-";"-";"-";"<E>";"-";"-";"insister";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"Max insiste (E+sur le fait)que tout doit être en ordre"
"262";"+";"-";"-";"-";"<E>";"-";"-";"inspecter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"Max inspecte si tout est en ordre"
"263";"+";"+";"+";"-";"<E>";"-";"-";"instaurer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max a instauré que l'on arriverait à l'heure"
"264";"~";"~";"~";"~";"<E>";"-";"-";"institutionnaliser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"On a institutionnalisé que les cadres soient remboursés"
"265";"~";"~";"~";"~";"<E>";"-";"-";"intégrer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max n'a pas intégré (ces notion + que Marie venait demain) "
"266";"+";"+";"+";"-";"<E>";"-";"-";"intercepter";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"La table d'écoute a intercepté que la manifestation aurait lieu"
"267";"+";"+";"+";"-";"<E>";"-";"-";"intérioriser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"Max a intériorisé que Léa ne l'aimait pas"
"268";"+";"-";"-";"-";"<E>";"-";"-";"interjecter";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"Max a interjecté qu'il s'était fait mal"
"269";"+";"-";"-";"-";"<E>";"-";"-";"interpréter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"Max interprétera si la situation est grave ou non"
"270";"+";"-";"-";"-";"<E>";"-";"-";"interpréter Advm";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"Max a interprété mal que Léa soit partie"
