"<ID>";"N0 être V-n";"N1 V";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V N1c";"N1c =: Nhum";"N1c =: N-hum";"N0 faire le V-n de N1";"N1 être Vpp W";"N1c être Vpp";"N1 =: Nconc";"N0 être V-n (forme V-n)";"N0 faire le V-n de N1 (forme V-n)";"<OPT>"
"68";"-";"-";"<E>";"prévenir";"+";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"Max prévient tous les désirs de Léa"
"69";"-";"-";"<E>";"rabaisser";"+";"-";"+";"+";"-";"-";"-";"-";"+";"<E>";"<E>";"Max se rabaisse "
"70";"~";"~";"<E>";"ralentir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La fatigue ralentit les mouvements de Luc"
"71";"~";"~";"<E>";"rattraper";"+";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a rattrapé Luc par(la manche+le bras)"
"72";"~";"~";"<E>";"récompenser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a récompensé le travail de Luc"
"73";"+";"-";"<E>";"réfréner";"+";"-";"+";"+";"-";"-";"-";"-";"-";"?";"<E>";"Max réfrène son(impatience+désir)"
"74";"-";"-";"<E>";"régenter";"+";"-";"+";"+";"-";"-";"+";"-";"-";"<E>";"<E>";"Max régente les(activités+loisirs)de Luc"
"75";"-";"-";"<E>";"régir";"+";"-";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"Ida régit les travaux de Max"
"76";"~";"~";"<E>";"renforcer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ceci renforce les opinions de Max"
"77";"~";"~";"<E>";"reprendre";"+";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le prof. a repris l'élève sur sa prononciation"
"78";"~";"~";"<E>";"rétablir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a rétabli les fonctions de Max"
"79";"~";"~";"<E>";"retarder";"+";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ceci a retardé la progression de l'ennemi"
"80";"~";"~";"<E>";"retenir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On retient les eaux dans leur poussée"
"81";"+";"-";"<E>";"satiriser";"+";"-";"+";"+";"+";"+";"+";"+";"+";"satiriste";"satire";"Max satirise les travers des ministres"
"82";"-";"-";"<E>";"seconder";"+";"-";"+";"+";"-";"-";"+";"+";"-";"<E>";"<E>";"Max seconde les(travaux+plan)de Luc"
"83";"-";"-";"<E>";"singer";"+";"-";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"Max singe les manières de Luc"
"84";"~";"~";"<E>";"soigner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a soigné (la note+l'addition)du client"
"85";"-";"-";"<E>";"sonder";"+";"-";"+";"+";"+";"-";"-";"-";"+";"<E>";"<E>";"Max sonde les intentions de Léa"
"86";"-";"-";"<E>";"soutenir";"+";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"Max soutient les opinions de Léa"
"87";"+";"-";"<E>";"stimuler";"+";"-";"+";"+";"-";"-";"-";"-";"-";"stimulation";"<E>";"Ceci stimule Max dans ses aspirations"
"88";"-";"-";"<E>";"stopper";"+";"-";"+";"+";"+";"-";"-";"+";"+";"<E>";"<E>";"Ce médicament a stoppé la maladie dans son évolution"
"89";"~";"~";"<E>";"subir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max subit Ida dans ses débordements"
"90";"-";"-";"<E>";"suivre";"+";"-";"+";"+";"+";"-";"-";"-";"+";"<E>";"<E>";"Les salaires suivent les prix"
"91";"~";"~";"<E>";"suivre";"+";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max suit les positions de Luc"
"92";"-";"-";"<E>";"superviser";"+";"-";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"Max supervise (Léa dans ses travaux+les travaux de Léa)"
"93";"-";"-";"<E>";"surclasser";"+";"-";"+";"+";"+";"-";"+";"+";"-";"<E>";"<E>";"Max a surclassé son concurrent"
"94";"-";"-";"<E>";"surpasser";"+";"-";"+";"+";"+";"-";"+";"+";"-";"<E>";"<E>";"Max surpasse Luc en intelligence"
"95";"~";"~";"<E>";"tenailler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La migraine tenaille (sa+Luc à la)tête"
"96";"-";"-";"<E>";"tester";"+";"-";"+";"+";"+";"+";"+";"-";"-";"<E>";"test";"Max teste les capacités de Luc"
"97";"~";"~";"<E>";"traiter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max traite la maladie de foie de Luc"
"98";"~";"~";"<E>";"violer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a violé les convictions de Paul"

