"<ID>";"N1 V avec N2";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N1 =: Nhum";"N1 =: Npc";"N0 lui V N1pc W";"N0 V N1 Loc N1pc W";"N0 V N0pc W";"N1 =: N-hum";"N1 =: le fait Qu P";"N1 être V-n";"Ppv =: le";"N0 V N1";"Prép2 =: à";"Prép2 =: de";"N2 =: Nhum";"N2 =: N-hum";"N2 =: le fait Qu P";"N2 =: Npc";"N2 être V-n";"Ppv =: lui";"Ppv =: y";"Ppv =: en";"N1 V N2";"N1 être Vpp W";"N1 et N2 faire V-n";"il y avoir V-n entre N1 et N2";"Prép2 =: avec";"Prép2 =: d'avec";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"il y avoir V-n entre N1 et N2 (forme V-n)";"N1 et N2 faire V-n (forme V-n)";"<OPT>"
"34";"-";"-";"<E>";"concaténer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"<E>";"<E>";"concaténation";"concaténation";"Max a concaténé ce mot(à+avec+et)celui-là"
"35";"-";"-";"<E>";"concilier";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max concilie l'utile(à+avec+et)l'agréable"
"36";"-";"-";"<E>";"confédérer";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"confédération";"Cette loi confédère la Belgique(à+avec+et)la Hollande"
"37";"-";"-";"<E>";"confondre";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a confondu Ida(avec+et)Léa"
"38";"-";"-";"<E>";"confronter";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"confrontation";"<E>";"Max confronte Luc(à+avec+et)Ida"
"39";"-";"-";"<E>";"conglomérer";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a congloméré des pierres(avec+à+et)du ciment en une boule étanche"
"40";"~";"~";"<E>";"conglutiner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"~";"~";"~";"+";"-";"<E>";"<E>";"<E>";"<E>";"Le courant a conglutiné les pierres(et+avec)les graviers"
"41";"-";"-";"<E>";"conjoindre";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a conjoint sa note au texte"
"42";"-";"-";"<E>";"conjuguer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max conjugue la clarté(et+avec)la brièveté(E+de ses articles)"
"43";"+";"-";"<E>";"contraster";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"<E>";"<E>";"contraste";"contraste";"Max contraste ce bleu(avec+et)ce rouge"
"44";"~";"~";"<E>";"coordonner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"~";"~";"~";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a coordonné la phrase A(avec+et)la phrase B"
"45";"-";"-";"<E>";"coordonner";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max coordonne la peinture(avec+et)le séchage"
"46";"-";"-";"<E>";"corréler";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"corrélation";"Max corrèle ce nombre(à+avec+et)ton résultat"
"47";"-";"-";"<E>";"coupler";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a couplé cette bielle(à+avec+et)celle-là"
"48";"-";"-";"<E>";"croiser";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"croisement";"<E>";"Max croise son fox(avec+et)son chat"
"49";"-";"-";"<E>";"cumuler";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max cumule le grade(avec+et)la fonction"
"50";"-";"-";"<E>";"démêler";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"<E>";"Max a démêlé le vrai du faux"
"51";"~";"~";"<E>";"dépareiller";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"~";"~";"~";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a dépareillé cette chaussure avec l'autre"
"52";"-";"-";"<E>";"départager";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"<E>";"Max a départagé Luc d'avec Ida"
"53";"-";"-";"<E>";"différencier";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"différence";"<E>";"Max différencie Luc(d'avec+de+et)Ida"
"54";"-";"-";"<E>";"discerner";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"<E>";"Max discerne le vert(du+et)rouge"
"55";"-";"-";"<E>";"discriminer";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"<E>";"Max discrimine le vrai(de+d'avec+et)le faux"
"56";"-";"-";"<E>";"disjoindre";"+";"-";"-";"+";"~";"~";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"~";"+";"-";"-";"+";"-";"+";"-";"+";"-";"+";"?";"?";"disjonction";"<E>";"Le juge a disjoint les deux affaires"
"57";"-";"-";"<E>";"disproportionner";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"disproportion";"<E>";"Ce miroir disproportionne les hauteurs"
"58";"-";"-";"<E>";"dissocier";"+";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"<E>";"<E>";"<E>";"<E>";"Jo dissocie Ida de Paul"
"59";"-";"-";"<E>";"distinguer";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"<E>";"Max a distingué le vrai(d'avec+de+et)le faux"
"60";"+";"-";"<E>";"divorcer";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"<E>";"<E>";"divorce";"<E>";"Le juge a divorcé Ida(d'avec+de)Luc"
"61";"-";"-";"<E>";"doser";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max dose les compliments(avec+et)les reproches"
"62";"~";"~";"<E>";"échanger";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"~";"~";"~";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a échangé l'étiquette du vin avec celle de la bière"
"63";"-";"+";"<E>";"égaler";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max égale César(avec+à+et)Napoléon"
"64";"-";"-";"<E>";"embrouiller";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a embrouillé la laine(et+avec)le coton"
"65";"-";"-";"<E>";"entrecroiser";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"croisement";"Max entrecroise le brin de laine avec la trame de coton"
"66";"-";"-";"<E>";"entrelacer";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"entrelacement";"Max entrelace le brin de laine avec la trame de coton"
"67";"-";"-";"<E>";"entremêler";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"entremêlement";"Max entremêle les fleurs rouges(aux+avec les)fleurs blanches"
"68";"-";"-";"<E>";"équilibrer";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"équilibre";"<E>";"Max équilibre les dépenses(et+avec)les recettes"
"69";"-";"-";"<E>";"fâcher";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Cette histoire a fâché Max(et+avec)Luc"
"70";"-";"-";"<E>";"fiancer";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"fiancé";"<E>";"<E>";"Les parents ont fiancé Eva(avec+et)Bob"
"71";"-";"-";"<E>";"fusionner";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"<E>";"<E>";"fusion";"fusion";"Le conseil a fusionné les ventes(avec+et)la promotion"
