"<ID>";"N1 V avec N2";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N1 =: Nhum";"N1 =: Npc";"N0 lui V N1pc W";"N0 V N1 Loc N1pc W";"N0 V N0pc W";"N1 =: N-hum";"N1 =: le fait Qu P";"N1 être V-n";"Ppv =: le";"N0 V N1";"Prép2 =: à";"Prép2 =: de";"N2 =: Nhum";"N2 =: N-hum";"N2 =: le fait Qu P";"N2 =: Npc";"N2 être V-n";"Ppv =: lui";"Ppv =: y";"Ppv =: en";"N1 V N2";"N1 être Vpp W";"N1 et N2 faire V-n";"il y avoir V-n entre N1 et N2";"Prép2 =: avec";"Prép2 =: d'avec";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"il y avoir V-n entre N1 et N2 (forme V-n)";"N1 et N2 faire V-n (forme V-n)";"<OPT>"
"90";"-";"-";"<E>";"marier";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"<E>";"mariage";"<E>";"mariage";"Max a marié dans son tableau le bleu(et+avec)le vert"
"91";"-";"-";"<E>";"mélanger";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"mélange";"Max a mélangé le sucre(et+avec+à)l'eau"
"92";"-";"-";"<E>";"mêler";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a mêlé l'oeuf(à+avec+et)la farine"
"93";"-";"-";"<E>";"mixer";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max mixe les carottes(et+avec)les navets dans un mixeur"
"94";"-";"-";"<E>";"multiplier";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max multiplie (trois par deux+la somme par le coefficient)"
"95";"-";"-";"<E>";"opposer";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"opposition";"Des différences de goût opposent Max(et+avec+à)Luc"
"96";"~";"~";"<E>";"panacher";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"~";"~";"~";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a panaché les socialistes avec les communistes(E+sur la liste)"
"97";"+";"-";"<E>";"permuter";"+";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a permuté Luc(et+avec)Ida"
"98";"-";"-";"<E>";"présenter";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"?";"<E>";"Max a présenté Luc(à+avec+et)Bob"
"99";"-";"-";"<E>";"proportionner";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"proportion";"<E>";"Max a proportionné la taille des meubles à celle de la pièce"
"100";"-";"-";"<E>";"rabibocher";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Le temps a rabiboché Ida(et+avec)Léa"
"101";"-";"-";"<E>";"raccommoder";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a raccommodé Ida(et+avec)Luc"
"102";"~";"~";"<E>";"recoller";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"~";"~";"~";"+";"-";"<E>";"<E>";"<E>";"<E>";"Ceci a recollé Paul(et+avec)Ida"
"103";"-";"-";"<E>";"réconcilier";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Cet événement a réconcilié Max(et+avec)Luc"
"104";"-";"+";"<E>";"recouper";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a recoupé le fait que Léa était venue et le fait que la maison était bordélique"
"105";"-";"-";"<E>";"relier";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"lien";"Cette route relie Gap(et+avec+à)Auch"
"106";"-";"-";"<E>";"sélectionner";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"sélection";"<E>";"Max a sélectionné les bons(et+avec)les méchants"
"107";"~";"~";"<E>";"séparer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"~";"~";"~";"+";"-";"<E>";"<E>";"<E>";"<E>";"Cette question sépare Luc de Paul"
"108";"-";"-";"<E>";"solidariser";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"La politique du pouvoir a solidarisé les cadres(et+avec+des)les paysans"
"109";"~";"~";"<E>";"solidariser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"~";"~";"~";"+";"-";"<E>";"<E>";"<E>";"<E>";"L'embrayage solidarise le moteur avec la transmission"
"110";"-";"-";"<E>";"sommer";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"somme";"<E>";"<E>";"Max somme ce nombre(et+avec)celui-là"
"111";"~";"~";"<E>";"symétriser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"~";"~";"~";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a symétrisé les bleus et les rouges sur un tableau"
"112";"-";"-";"<E>";"synchroniser";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a synchronisé son arrivée avec le départ de Flo"
"113";"-";"-";"<E>";"trier";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"<E>";"<E>";"tri";"<E>";"Max trie les lentilles(de+d'avec+et)les cailloux"
"114";"-";"-";"<E>";"unir";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"union";"(Max+le destin)a uni Bob(et+avec+à)Flo"
"115";"~";"~";"<E>";"unir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"~";"~";"~";"+";"-";"<E>";"<E>";"<E>";"<E>";"Le curé a uni (les époux+Bob à Flo)"

