"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 être V-n";"N0 =: Npl obl";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V";"N0 être V-ant";"N0 être Vpp";"Loc N1 =: dans N1";"Loc N1 =: sur N1";"Loc N1 =: de N1 source";"N0 lui V Loc N1pc";"N1 =: N-hum";"N1 =: le fait Qu P";"Ppv =: y";"N0 être V-ant Loc N1";"[extrap]";"N1hum V Prép N0";"N1 V";"N1 être V-ant";"N1pc lui V";"N1 V de N1pc";"Prép0 =: en";"N1 V Prép N0hum";"N1 en V";"N1 V Prép N0 = N0 être V-n";"N1 V Prép N0pl obl";"N1 être V-ant Prép N0";"N0 =: idée, N1 =: esprit";"il V Qu P W";"N0 être V-n (forme V-n)";"<OPT>"
"62";"-";"+";"-";"+";"-";"<E>";"miroiter";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"miroitement";"Les lueurs miroitent à la surface de l'étang"
"63";"-";"+";"-";"+";"+";"<E>";"moutonner";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"mouton";"La mer moutonne de gros paquets d'écume"
"64";"-";"+";"-";"+";"-";"<E>";"ondoyer";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"onde";"Les blés mûrissants ondoyaient dans la plaine"
"65";"+";"+";"-";"-";"-";"<E>";"palpiter";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"<E>";"Ses narines palpitent de mouvements réguliers"
"66";"-";"+";"-";"-";"-";"<E>";"papilloter";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"<E>";"Des reflets papillotaient à la surface de l'eau"
"67";"-";"+";"-";"+";"-";"<E>";"pelucher";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"peluche";"De petites boules peluchent sur le tricot"
"68";"-";"+";"-";"+";"-";"<E>";"perler";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"perle";"La sueur perlait sur son front"
"69";"-";"+";"-";"+";"-";"<E>";"pétarader";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"pétard";"Des motos pétaradent sur la place"
"70";"-";"+";"-";"-";"-";"<E>";"pétiller";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"<E>";"Le champagne pétille (E+de bulles)"
"71";"~";"~";"~";"~";"~";"<E>";"pétiller";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"pétillement";"Les brindilles pétillent dans le feu"
"72";"-";"+";"-";"+";"-";"<E>";"plucher";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"pluche";"De petites boules pluchent sur le tricot"
"73";"-";"+";"-";"+";"-";"<E>";"poudroyer";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"poudre";"Des nuages de poussière poudroyaient sur la route"
"74";"+";"+";"-";"-";"+";"<E>";"proliférer";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"<E>";"Les escrocs prolifèrent dans ce milieu"
"75";"+";"+";"-";"-";"+";"<E>";"pulluler";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"<E>";"Les fourmis pullulent dans cette souche"
"76";"-";"+";"-";"-";"-";"<E>";"pyramider";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"<E>";"Des fruits divers pyramident à l'étal"
"77";"-";"+";"-";"+";"+";"<E>";"rayonner";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"rayon";"Des lueurs rayonnent sur la mer"
"78";"+";"+";"-";"-";"+";"<E>";"regorger";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"<E>";"Les fautes regorgent dans ce texte"
"79";"-";"+";"-";"+";"-";"<E>";"reluire";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"lueur";"Des cuivres reluisaient dans le salon"
"80";"-";"+";"-";"-";"-";"<E>";"résonner";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"<E>";"Les voix des enfants résonnent dans la cour"
"81";"-";"+";"-";"+";"-";"<E>";"resplendir";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"splendeur";"Les cuivres resplendissaient dans la pièce"
"82";"-";"+";"-";"-";"-";"<E>";"retentir";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"<E>";"Des applaudissement retentissent dans la salle"
"83";"~";"~";"~";"~";"~";"<E>";"ronfler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"ronflement";"Les machines ronflent dans l'usine"
"84";"+";"+";"-";"-";"-";"<E>";"ronronner";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"<E>";"Les machines ronronnent dans l'usine"
"85";"-";"+";"-";"+";"-";"<E>";"rougeoyer";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"rougeur";"Les clartés de l'incendie rougeoyaient à l'horizon"
"86";"-";"+";"-";"-";"-";"<E>";"rouler";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Le bruit des tambours roulait dans la caserne"
"87";"-";"+";"-";"+";"-";"<E>";"ruisseler";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"ruisseau";"L'eau ruisselle (du+le long du toit)"
"88";"-";"+";"-";"-";"-";"<E>";"rutiler";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"<E>";"Des diamants rutilent dans la vitrine"
"89";"-";"+";"-";"+";"-";"<E>";"scintiller";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"scintillement";"Les étoiles scintillent dans le ciel"
"90";"-";"+";"-";"-";"-";"<E>";"siffler";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"<E>";"Des inflexions aiguës sifflent dans sa voix"
"91";"-";"+";"-";"+";"-";"<E>";"sonner";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"son";"Le téléphone sonne "
"92";"-";"+";"-";"+";"-";"<E>";"suinter";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"suintement";"Le salpêtre suinte des murs"
"93";"-";"+";"-";"-";"-";"<E>";"suppurer";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"<E>";"La plaie suppurait d'humeurs nauséabondes"
"94";"+";"+";"-";"-";"+";"<E>";"surabonder";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"<E>";"Le pays surabonde de richesses"
"95";"-";"+";"-";"+";"-";"<E>";"tictaquer";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"tictac";"Les horloges tictaquent dans l'échoppe"
"96";"~";"~";"~";"~";"~";"<E>";"tintamarrer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"tintamarre";"Les klaxons tintamarrent dans la rue"
"97";"-";"+";"-";"+";"-";"<E>";"tinter";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"tintement";"Les clochettes tintent dans l'échoppe"
"98";"+";"+";"-";"-";"-";"<E>";"tintinnabuler";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"<E>";"Les clochettes tintinnabulent dans l'échoppe"
"99";"-";"+";"-";"-";"-";"<E>";"tonner";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"<E>";"Les déflagrations tonnent dans la rue"
"100";"+";"+";"-";"+";"-";"<E>";"tourbillonner";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"tourbillon";"Une foule de danseurs tourbillonne sur la piste"
"101";"+";"+";"-";"-";"-";"<E>";"tournoyer";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"<E>";"Les flocons tournoient dans le courant d'air"
"102";"-";"+";"-";"-";"-";"<E>";"trembler";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"<E>";"La surface de l'étang tremblait de vaguelettes"
"103";"-";"+";"-";"-";"-";"<E>";"trembloter";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"<E>";"La surface de l'eau tremblote de friselis"
"104";"-";"+";"-";"-";"-";"<E>";"trépider";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"<E>";"Les machines trépident dans l'usine"
"105";"~";"~";"~";"~";"~";"<E>";"vaciller";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les flammes vacillent dans la nuit"
"106";"-";"+";"-";"+";"-";"<E>";"verdoyer";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"verdure";"Des bosquets nouveaux verdoient dans la campagne"
"107";"-";"+";"-";"-";"-";"<E>";"vibrer";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"<E>";"Des accords harmonieux vibrent dans la salle"
"108";"~";"~";"~";"~";"~";"<E>";"vibrionner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les bactéries vibrionnent dans ce liquide"
"109";"-";"+";"-";"+";"-";"<E>";"vrombir";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"vrombissement";"Des bourdons vrombissent dans la pièce"

