"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 être V-n";"N0 =: Npl obl";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V";"N0 être V-ant";"N0 être Vpp";"Loc N1 =: dans N1";"Loc N1 =: sur N1";"Loc N1 =: de N1 source";"N0 lui V Loc N1pc";"N1 =: N-hum";"N1 =: le fait Qu P";"Ppv =: y";"N0 être V-ant Loc N1";"[extrap]";"N1hum V Prép N0";"N1 V";"N1 être V-ant";"N1pc lui V";"N1 V de N1pc";"Prép0 =: en";"N1 V Prép N0hum";"N1 en V";"N1 V Prép N0 = N0 être V-n";"N1 V Prép N0pl obl";"N1 être V-ant Prép N0";"N0 =: idée, N1 =: esprit";"il V Qu P W";"N0 être V-n (forme V-n)";"<OPT>"
"19";"-";"+";"-";"-";"-";"<E>";"couiner";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"Les souris couinent dans le grenier"
"20";"+";"+";"-";"+";"-";"<E>";"couiner";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"couinement";"Le grenier couine de cris de souris"
"21";"-";"+";"-";"+";"-";"<E>";"craqueter";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"craquètement";"Les brindilles craquetaient dans la cheminée"
"22";"-";"+";"-";"+";"-";"<E>";"crépiter";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"crépitement";"Les étincelles crépitent dans la cheminée"
"23";"-";"+";"-";"-";"-";"<E>";"crisser";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"<E>";"Les pneus crissaient sur la route"
"24";"-";"+";"-";"-";"-";"<E>";"déborder";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"<E>";"Les fruits débordent sur ces étals"
"25";"-";"+";"-";"-";"-";"<E>";"dégouliner";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"+";"+";"<E>";"De l'eau dégouline sur le toit"
"26";"-";"+";"-";"+";"-";"<E>";"dégoutter";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"détonation";"De l'eau dégoutte du manteau"
"27";"-";"+";"-";"-";"-";"<E>";"détonner";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"<E>";"Des voix détonnent dans le choeur"
"28";"-";"+";"-";"-";"-";"<E>";"éclater";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"<E>";"La joie éclate sur son visage"
"29";"+";"+";"-";"-";"-";"<E>";"éclore";"+";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"<E>";"Mille petits bourgeons éclosaient sur la branche"
"30";"-";"+";"-";"+";"-";"<E>";"écumer";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"écume";"Une mousse blanchâtre écumait sur la mer"
"31";"-";"+";"-";"+";"-";"<E>";"étinceler";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"étincelle";"L'intelligence étincelle dans son regard"
"32";"-";"+";"-";"-";"-";"<E>";"exploser";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"<E>";"Un tonnerre d'applaudissements explosa dans la salle"
"33";"-";"+";"-";"+";"-";"<E>";"ferrailler";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"ferraille";"Le wagon ferraille de bruits inquiétants"
"34";"-";"+";"-";"+";"-";"<E>";"flamber";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"flambée";"La colère flambe dans son regard"
"35";"-";"+";"-";"+";"-";"<E>";"flamboyer";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"-";"flambée";"La haine flamboie dans ses yeux"
"36";"-";"+";"-";"+";"-";"<E>";"flasher";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"flash";"Des enseignes flashaient dans la grand rue"
"37";"~";"~";"~";"~";"~";"<E>";"fleurir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"fleur";"De petites corolles fleurissent sur le pommier"
"38";"~";"~";"~";"~";"~";"<E>";"fleurir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"Des boutiques fleurissent dans le quartier"
"39";"-";"+";"-";"-";"-";"<E>";"flûter";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"<E>";"Des inflexions gracieuses flûtaient dans sa voix"
"40";"+";"+";"-";"-";"+";"<E>";"foisonner";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"<E>";"Les lapins foisonnent dans ce jardin"
"41";"+";"+";"-";"+";"+";"<E>";"fourmiller";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"fourmi";"Les fautes fourmillent dans ce texte"
