"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V N1";"N1 =: Nhum";"N1 =: N-hum";"N0 V Loc N2";"Tp = Tc";"Vc =: avoir";"Vc =: être";"Vc =: devoir";"Vc =: pouvoir";"Vc =: savoir";"Vc =: vouloir";"Vc =: aimer";"où N0 V-il N1 ?";"V1-inf W = Ppv";"Loc N2 = ici";"Loc N2 = là";"Loc N2 =: à Nhum";"Loc N2 =: à N-hum";"Loc N2 =: dans N2";"Loc N2 =: de N2";"[passif par]";"[passif de]";"<OPT>";"<ENGLISH>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"19";"+";"-";"-";"<E>";"emporter";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"On emporte Luc se faire soigner";"to take"
"20";"+";"-";"-";"<E>";"entraîner";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"Max entraîne Luc boire un coup";"to take"
"21";"+";"+";"+";"<E>";"envoyer";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Max envoie Ida chercher du pain";"to send"
"22";"+";"-";"-";"<E>";"escorter";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"Max escorte Léa(à sa voiture+chercher du vin)";"to escort"
"23";"+";"-";"-";"<E>";"expédier";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"Max expédie Léa chercher du vin";"to send"
"24";"+";"+";"+";"<E>";"expulser";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"On a expulsé Max faire des troubles ailleurs";"to expel"
"25";"+";"+";"+";"<E>";"guider";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"Max guide Luc(chercher du pain+vers la sortie)";"to guide"
"26";"+";"-";"-";"<E>";"héliporter";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"Max héliporte Luc prévenir ses amis";"to transport by helicopter"
"27";"~";"~";"~";"<E>";"laisser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max laisse Luc dormir";"to let"
"28";"+";"-";"-";"<E>";"lancer";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"Max lance son cheval rattraper le peloton";"to give his horse its head"
