"<ID>";"N1 V Loc N2";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N1 =: Nhum";"N0 V N0pc W";"N0 V N0pc W";"N1 =: N-hum";"N1 être V-n";"Loc N2 =: de N2 source";"Loc N2 =: de N2 destination";"Loc N2 =: dans N2 destination";"Loc N2 =: sur N2 destination";"Loc N2 =: contre N2 destination";"Loc N2 =: à N2 destination";"N2 =: Nhum";"de combien ?";"N1 V N2";"il y avoir V-n entre N1 et N2";"V-n attache";"N0 V N1 de N3 attache";"N0 V N1";"N3 attache V N1";"V-n résultat";"N0 V N résultat";"N0 V N1 + 2";"N0 V N2 (E+de N1)";"Loc N2 =: à Nhum";"à Nhum =: Loc Npc";"N1 =: mot, N2 =: texte";"N1 =: idée, N2 =: esprit";"N0 V N1abs Loc N2abs";"N0 V N1hum Loc N2abs";"Prép2 =: avec";"Prép2 =: d'avec";"N1 être V-n (forme V-n)";"il y avoir V-n entre N1 et N2 (forme V-n)";"V-n résultat (forme V-n)";"V-n attache (forme V-n)";"<OPT>"
"37";"-";"-";"<E>";"dégrafer";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"<E>";"Max dégrafe la feuille du mur"
"38";"-";"-";"<E>";"détacher";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"<E>";"<E>";"<E>";"<E>";"Son absence a détaché Luc de Léa"
"40";"-";"-";"<E>";"disjoindre";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"<E>";"Luc disjoint la planche de la table"
"41";"-";"-";"<E>";"disjoncter";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"<E>";"Max a disjoncté cette ligne du circuit principal"
"42";"-";"-";"<E>";"écarter";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"<E>";"écart";"<E>";"<E>";"Max écarte le lit du mur"
"44";"-";"-";"<E>";"éloigner";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"<E>";"<E>";"<E>";"<E>";"Max a éloigné la chaise du fauteuil"
"61";"-";"-";"<E>";"espacer";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"<E>";"espace";"<E>";"<E>";"Jo espace les poteaux de dix mètres"

