"<ID>";"N0 lieu source de N1";"N0 lieu de destination de N1";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N0 dé-V N1 Loc N3 nv-dest";"N1 être V-n";"N0 V N2 (E+de N1)";"Loc N2 =: dans N2 destination";"Loc N2 =: sur N2 destination";"Loc N2 =: contre N2 destination";"Loc N2 =: à N2 destination";"Loc N2 =: vers N2 destination";"Loc N2 = Ppv =: y";"N2 être V-n";"N1 être Vpp (statique)";"N1 =: Nconc métaphore";"N1 =: mot, N2 =: texte";"N1 =: idée, N2 =: esprit";"N0 V N1abs Loc N2abs";"N0 V N1hum Loc N2abs";"N1 =: Qu P métaphore";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>"
"75";"-";"-";"-";"-";"<E>";"nommer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"On a nommé Luc(E+au grade de)président"
"76";"-";"-";"-";"-";"<E>";"orienter";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"On a orienté Max(sur+vers)un spécialiste"
"77";"-";"-";"+";"-";"<E>";"parquer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"<E>";"parc";"Max a parqué les(boeufs+gens)dans l'enclos"
"78";"-";"-";"-";"-";"<E>";"pelotonner";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Ida se pelotonne sur le divan"
"79";"-";"-";"+";"-";"<E>";"pieuter";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"pieu";"Max a pieuté Luc au grenier"
"80";"-";"-";"-";"-";"<E>";"planquer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"planque";"Le général a planqué son fils dans l'intendance"
"81";"-";"-";"-";"-";"<E>";"plaquer";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a plaqué son adversaire au sol"
"82";"-";"-";"+";"-";"<E>";"plumer";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"plume";"Ida a plumé les mômes sur le canapé (=les a couchés)"
"83";"-";"-";"-";"+";"<E>";"polariser";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max polarise son équipe sur ce problème"
"84";"-";"-";"-";"-";"<E>";"poser";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a posé Léa devant sa porte"
"85";"-";"-";"-";"-";"<E>";"poster";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"<E>";"poste";"Max a posté Ida au coin de la rue"
