"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"N0 =: V2c-inf W";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V N1";"N1 =: Qu Pind";"N1 =: Qu P = Aux V0-inf W";"N1 =: Qu Psubj";"N1 =: de V0-inf W";"N1 =: de V2-inf W";"N1 =: de V2c-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N1-hum = Ppv";"N1 être Vpp par N0";"N1 être Vpp de N0";"N0 être V-ant pour N1";"N0 V Prép N2";"Prép2";"N2 =: Nhum";"N2 =: N-hum";"Prép N2 =: à Nq";"Prép N2 =: dans Nq";"Prép N2 =: de Nq";"N1 être Vpp par N0 Prép N2";"N1 être Vpp de N0 Prép N2";"<OPT>"
"202";"+";"-";"-";"-";"-";"-";"<E>";"solliciter";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"auprès de";"+";"-";"-";"-";"-";"+";"-";"Max a sollicité (auprès de+da la part de)Luc qu'il puisse venir"
"203";"-";"+";"+";"-";"+";"-";"<E>";"solliciter";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"pour";"+";"+";"-";"-";"-";"+";"+";"La situation sollicite pour Max qu'il travaille plus"
"204";"+";"+";"+";"+";"-";"+";"<E>";"souligner";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max a souligné dans ce rapport que tout allait bien"
"205";"-";"+";"+";"-";"+";"-";"<E>";"souligner";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"pour";"+";"+";"-";"-";"-";"-";"-";"Que Léa ait fait cela souligne pour Max qu'elle est bête"
"206";"-";"+";"+";"-";"+";"-";"<E>";"sous-entendre";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"pour";"-";"+";"+";"-";"-";"-";"-";"Qu'il neige sous-entend pour Paul qu'Ida ne viendra pas"
"207";"-";"+";"+";"-";"+";"+";"<E>";"supposer";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"pour";"+";"+";"-";"-";"-";"-";"-";"Faire ce travail suppose pour Max d'être libre le soir"
"208";"+";"+";"+";"-";"-";"+";"<E>";"supprimer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Loc";"-";"+";"-";"+";"+";"+";"-";"Max a supprimé de son texte qu'Ida était méchante"
"209";"-";"+";"+";"+";"+";"+";"<E>";"supprimer";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"pour";"+";"+";"-";"-";"+";"-";"-";"Ceci supprime pour Max de devoir repasser par chez lui"
"210";"+";"+";"+";"+";"-";"+";"<E>";"surajouter";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"+";"-";"-";"+";"-";"Max a surajouté (dans son rapport+que Léa était folle)"
"211";"+";"-";"-";"-";"-";"-";"<E>";"surimprimer";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"Loc";"-";"+";"+";"+";"-";"+";"-";"Max a surimprimé sur la photo qu'elle datait du 10"
"212";"+";"-";"-";"-";"-";"-";"<E>";"suspendre";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"à";"-";"+";"-";"-";"-";"+";"-";"Max a suspendu qu'il vienne à ma décision"
"213";"~";"~";"~";"~";"~";"~";"<E>";"symboliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"pour";"~";"~";"~";"~";"~";"~";"~";"Cette loi symbolise pour Max que le régime va s'effondrer"
"214";"+";"-";"-";"-";"-";"-";"<E>";"tatouer";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"Loc";"-";"+";"+";"+";"-";"+";"-";"Max a tatoué sur son torse qu'il aimait Ida"
"215";"+";"-";"-";"-";"-";"-";"<E>";"tirer";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"de";"+";"-";"-";"-";"-";"+";"-";"Max a tiré de Paul que tout était en ordre"
"216";"+";"-";"-";"-";"-";"-";"<E>";"toper";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"avec";"+";"-";"-";"-";"-";"-";"-";"Max a topé avec Luc que le marché était conclu"
"217";"+";"-";"-";"-";"-";"-";"<E>";"tracer";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"Loc";"-";"+";"+";"+";"-";"+";"-";"Max a tracé sur le mur qu'il aimait Ida"
"218";"+";"+";"+";"-";"-";"-";"<E>";"traduire";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"par";"-";"+";"-";"-";"-";"+";"-";"Max traduit par cette mimique qu'il est content"
"219";"~";"~";"~";"~";"~";"~";"<E>";"trahir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"par";"~";"~";"~";"~";"~";"~";"~";"Max trahit qu'il a honte par sa rougeur"
"220";"+";"-";"-";"-";"-";"-";"<E>";"tramer";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"avec";"+";"-";"-";"-";"-";"+";"-";"Max a tramé avec Luc qu'ils iraient boire"
"221";"+";"-";"-";"-";"-";"-";"<E>";"transcrire";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"Loc";"-";"+";"+";"+";"-";"+";"-";"Max transcrit sur l'affiche que la réunion était annulée"
"222";"-";"+";"+";"+";"+";"-";"<E>";"valoriser";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"pour";"+";"-";"-";"-";"-";"+";"-";"Max valorise que l'on travaille auprès de ses collaborateurs"
"223";"~";"~";"~";"~";"~";"~";"<E>";"véhiculer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Loc";"~";"~";"~";"~";"~";"~";"~";"Max véhicule dans son livre l'idée que Dieu est partout"
"224";"~";"~";"~";"~";"~";"~";"<E>";"voir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Loc";"~";"~";"~";"~";"~";"~";"~";"Max a vu cette histoire dans le journal"
"225";"+";"+";"+";"-";"-";"+";"<E>";"voler";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"+";"+";"+";"Max a volé dans le livre que E=MC2"

