"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"N0 =: V2c-inf W";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V N1";"N1 =: Qu Pind";"N1 =: Qu P = Aux V0-inf W";"N1 =: Qu Psubj";"N1 =: de V0-inf W";"N1 =: de V2-inf W";"N1 =: de V2c-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N1-hum = Ppv";"N1 être Vpp par N0";"N1 être Vpp de N0";"N0 être V-ant pour N1";"N0 V Prép N2";"Prép2";"N2 =: Nhum";"N2 =: N-hum";"Prép N2 =: à Nq";"Prép N2 =: dans Nq";"Prép N2 =: de Nq";"N1 être Vpp par N0 Prép N2";"N1 être Vpp de N0 Prép N2";"<OPT>"
"145";"+";"+";"+";"+";"-";"+";"<E>";"nicher";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max a niché dans un coin de sa mémoire que Léa reviendrait"
"146";"+";"-";"-";"-";"-";"-";"<E>";"noter";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"Loc";"-";"+";"-";"+";"-";"+";"+";"Max note sur son agenda(qu'il aille+d'aller)chez le coiffeur"
"147";"+";"+";"+";"+";"-";"+";"<E>";"oblitérer";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Loc";"-";"+";"-";"-";"+";"+";"-";"Max a oblitéré que Léa était partie"
"148";"-";"+";"+";"-";"+";"+";"<E>";"occasionner";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"pour";"+";"+";"-";"-";"-";"-";"-";"Ceci occasionne pour Max qu'il doive tout remettre en ordre"
"149";"+";"-";"-";"-";"-";"-";"<E>";"organiser";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"avec";"+";"-";"-";"-";"-";"-";"-";"Max a organisé avec Luc qu'ils feraient un pique-nique"
"150";"+";"+";"+";"+";"-";"+";"<E>";"ôter";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"-";"+";"+";"-";"Max a ôté de son rapport que Luc était bête"
"151";"+";"-";"-";"-";"-";"-";"<E>";"ourdir";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"avec";"+";"-";"-";"-";"-";"+";"-";"Max a ourdi (E+avec Luc)de renverser le gouvernement"
"152";"+";"-";"-";"-";"-";"-";"<E>";"parier";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"+";"avec";"+";"-";"-";"-";"-";"-";"-";"Max a parié avec Luc que Léa ne viendrait pas"
"153";"+";"-";"-";"-";"-";"-";"<E>";"pêcher";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"Loc";"-";"+";"-";"+";"+";"+";"-";"Max a pêché dans une revue que le temps s'arrangerait"
"154";"-";"+";"+";"-";"+";"+";"<E>";"perpétuer";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"pour";"+";"+";"-";"-";"-";"-";"-";"Ceci perpétue pour Max qu'il puisse travailler"
"155";"+";"-";"-";"-";"-";"-";"<E>";"placarder";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"Loc";"-";"+";"+";"+";"-";"+";"-";"Max a placardé sur le panneau que la réunion n'aurait pas lieu"
"156";"+";"+";"+";"-";"-";"-";"<E>";"plaider";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"+";"auprès de";"+";"-";"-";"-";"-";"+";"-";"Max plaide auprès de Luc qu'il était malade"
"157";"+";"-";"-";"-";"-";"-";"<E>";"pomper";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"+";"sur";"+";"+";"-";"+";"+";"+";"-";"Max a pompé dans cet article que le dollar baissait"
