"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"[extrap]";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 V";"N0 être Vpp W";"N1 =: Qu Pind";"N1 =: Qu Psubj";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: si P ou si P";"N1 =: V0-inf W";"Tc =: futur";"Tc =: passé";"Vc =: devoir";"Vc =: pouvoir";"Vc =: savoir";"N1 =: ce(ci+la)";"Prép N1 =: Prép Qu P = Ppv";"de N1 =: de ce Qu P = de là";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"Prép N1hum = Ppv";"il être Vpp Prép N1 (E+par N0)";"de N1 V N0";"N0 V contre Nhum";"<OPT>"
"16";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"bicher";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Paul biche d'avoir eu son bac"
"17";"+";"-";"-";"-";"-";"se";"+";"-";"-";"biler";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"Max se bile de ce qu'Ida est partie"
"18";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"bisquer";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max bisque de ce qu'Ida est partie"
"19";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"blaguer";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"Max blague de ce qu'Ida est partie"
"20";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"blanchir";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max blanchit de colère de ce qu'on l'ait insulté"
"21";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"blêmir";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Max blêmit de ce qu'on l'ait insulté"
"22";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"bleuir";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max bleuit de ce qu'il est trop resté dans l'eau"
"23";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"bondir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max bondit de colère d'entendre ça"
"24";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"bouder";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"Max boude de ce qu'on ne l'ait pas pris"
"25";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"bouillir";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"Max bout de ce que Paul soit absent"
"26";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"bouillonner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max bouillonne de ce qu'on l'ait insulté"
"27";"+";"-";"-";"-";"-";"se";"+";"-";"-";"branler";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"Max se branle de ce qu'Ida parte"
"28";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"brûler";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max brûle de ce qu'il va revoir Ida"
"29";"+";"-";"-";"-";"-";"se";"+";"-";"-";"cacher";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"Max se cache de ce que son père avait été en prison"
"30";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"charrier";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Max charrie de ce qu'il a raconté cela"
"31";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"claquer";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"Max est claqué de ce qu'il a trop bu"
"32";"+";"-";"-";"-";"-";"se";"+";"-";"-";"contenter";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Max se contente de ce qu'on lui cède un lit"
"33";"+";"-";"-";"-";"-";"se";"+";"-";"-";"contrebalancer";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"Max se contrebalance de ce qu'Ida est partie"
"34";"+";"-";"-";"-";"-";"se";"+";"-";"-";"contreficher";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Max se contrefiche de ce que tout soit en ordre"
"35";"+";"-";"-";"-";"-";"se";"+";"-";"-";"contrefoutre";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Max se contrefout de ce que tout soit en ordre"
"36";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"convenir";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"Max convient de ce qu'il s'est trompé"
"37";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"crever";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"Max crève de ce qu'il fait trop chaud"
"38";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"culpabiliser";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"Max culpabilise qu'Ida soit partie"
"39";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"décéder";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"Max a décédé de ce qu'il a été mal soigné"
"40";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"déchanter";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"Max déchante de ce qu'Ida soit partie"
"41";"+";"+";"+";"-";"+";"<E>";"-";"-";"-";"décider";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"Ceci décidera de ce que Luc parte"
"42";"+";"-";"-";"-";"-";"ne";"-";"-";"+";"décolérer";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"Max ne décolère pas de ce que Léa soit partie"
"43";"-";"+";"+";"-";"+";"<E>";"-";"-";"-";"découler";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Qu'Ida vienne découle de ce Luc est absent"
"44";"+";"-";"-";"-";"-";"se";"+";"-";"-";"dédire";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"Max se dédit de ce qu'il ferait son travail"
"45";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"défaillir";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a défailli de ce qu'Ida était blessé"
"46";"+";"-";"-";"-";"-";"se";"+";"-";"-";"défier";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Max se défie de ce que tout soit calme"
"47";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"délirer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max délire (d'avoir réussi + de joie) "
"48";"-";"+";"+";"-";"+";"<E>";"-";"-";"-";"demeurer";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"Que Max soit en faute demeure de ce que Luc ait enqueté"
"49";"+";"-";"-";"-";"-";"ne";"-";"-";"+";"démordre";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"Max ne démord pas de ce q'il n'a pas fait d'erreur"
"50";"-";"+";"+";"-";"+";"<E>";"-";"-";"-";"dépendre";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"Que Max parte dépend de Luc"
"51";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"dépérir";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max dépérit de ce qu'il boit trop"
"52";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"déprimer";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"Luc déprime qu'Eva soit partie"
"53";"+";"-";"-";"-";"-";"ne";"-";"-";"+";"dérager";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"Max ne dérage pas de ce qu'on ne l'ait pas élu"
"54";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"dérailler";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max déraille de ce qu'Ida l'ait quitté"
"55";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"déraisonner";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max déraisonne de ce qu'on ne l'a pas élu"
"56";"-";"+";"+";"-";"+";"<E>";"-";"-";"-";"dériver";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Qu'Ida parte dérive de ce que Luc reste"
"57";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"désespérer";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Max désespère de ce qu'il devienne chef"
"58";"+";"-";"-";"-";"-";"ne";"-";"-";"+";"disconvenir";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"Max n'a pas disconvenu de ce qu'il avait fait une faute"
"59";"+";"-";"-";"-";"-";"ne";"-";"-";"+";"dormir";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"Max ne dort plus d'avoir vu ce spectacle"
"60";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"douter";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"Max doute de ce qu'Ida soit partie"
"61";"+";"-";"-";"-";"-";"se";"+";"-";"-";"douter";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"Max se doute de ce qu'Ida est en faute"
"62";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"écumer";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"Max écume (E+de ce)que Ida soit partie"
"63";"-";"+";"+";"-";"+";"<E>";"-";"-";"-";"émaner";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"Que l'on doive une taxe émane de cette autorité"
"64";"-";"+";"+";"-";"+";"<E>";"-";"-";"-";"émerger";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"Max émerge enfin de ce que Marie l'ait quitté"
"65";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"emparer";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"(Max+le journaliste) s'est emparé (de ce que+du fait que)le ministre avait été acheté"
"66";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"engouer";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"Max s'est engoué de cette star"
"67";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"enrager";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Ida enrage (E+de ce)que Max parte"
"68";"-";"+";"+";"-";"+";"s'";"+";"-";"-";"ensuivre";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"Une longue discussion s'ensuivi de ce Max est parti"
"69";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"étouffer";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max étouffe (E+de colère)que Léa réussisse"
"70";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"exagérer";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max exagère (E+de ce)que tout soit toujours en désordre"
"71";"~";"~";"~";"~";"~";"s'";"+";"-";"-";"excuser";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Je m'excuse de vous interrompre"
"72";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"extasier";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"Max s'extasie (E+de ce) que le vin soit si bon"
"73";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"exulter";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max exulte (E+de ce)que Léa s'en aille"
"74";"+";"-";"-";"-";"-";"se";"+";"-";"-";"féliciter";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"Max se félicite (E+de ce)que Léa soit partie"
"75";"+";"-";"-";"-";"-";"se";"+";"-";"-";"ficher";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Max se fiche de ce que tout soit en ordre"
"76";"+";"-";"-";"-";"-";"se";"+";"-";"-";"flatter";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"Max se flatte de ce que tout se passe bien"
"77";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"fondre";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Max fond de tendresse de voir Ida ainsi"
"78";"+";"-";"-";"-";"-";"se";"+";"-";"-";"foutre";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Max se fout de ce que tout soit en ordre"
"79";"+";"-";"-";"-";"-";"se";"+";"-";"-";"frapper";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"Max se frappe (E+de ce)que Léa soit partie"
"80";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"frémir";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"Max frémit (E+de ce)que Léa puisse revenir"
"81";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"frissonner";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"Max frissonne (E+de ce+à l'idée)que Léa pouvait revenir"
"82";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"fumer";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"Max fume (E+de ce)qu'on l'avait oublié"
"83";"+";"-";"-";"-";"-";"se";"+";"-";"-";"garder";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Max s'est bien gardé de répondre"
"84";"+";"-";"-";"-";"-";"se";"+";"-";"-";"gargariser";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"Max se gargarise de ce ue Léa a échoué"
"85";"+";"-";"-";"-";"-";"se";"+";"-";"-";"gausser";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Max se gausse de ce que Léa milite"
"86";"+";"-";"-";"-";"-";"se";"+";"-";"-";"goberger";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Max se goberge de ce que Léa est partie"
"87";"+";"-";"-";"-";"-";"se";"+";"-";"-";"gondoler";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max se gondole (E+de ce)que Léa soit partie"
"88";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"griller";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max se goberge de ce que Léa est partie"
"89";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"hériter";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"Max a hérité de laver les vitres"
"90";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"honorer";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"Max s'honore d'avoir réconcilié Léa et Ida"
"91";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"inquiéter";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"Max s'inquiète de trouver du travail"
"92";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"insurger";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"+";"Max s'insurge (E+de ça)que Léa ait dit ça"
"93";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"jaunir";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max jaunit d'envie de ce Luc porte un chapeau"
"94";"+";"-";"-";"-";"-";"se";"+";"-";"-";"jouer";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Max se joue de ce que Léa milite"
"95";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"jouir";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"Max jouit de ce qu'Eva soit partie"
"96";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"jubiler";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"Max jubile de ce qu'Ida soit partie"
"97";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"juger";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"Max jugera s'il viendra ou pas"
"98";"+";"-";"-";"-";"-";"ne";"-";"-";"+";"jurer";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Je ne jurerais pas de ce qu'il n'a jamais volé"
"99";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"languir";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max languit de ce que Léa est partie"
"100";"+";"-";"-";"-";"-";"se";"+";"-";"-";"languir";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"Max se languit de ce que Léa revienne"
"101";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"loucher";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Max louche (E+de convoitise)de voir Ida nue"
"102";"+";"-";"-";"-";"-";"se";"+";"-";"-";"louer";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"Max se loue d'avoir accepté cette offre"
"103";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"maronner";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"Max maronne de ce qu'Ida est partie"
"104";"+";"-";"-";"-";"-";"se";"+";"-";"-";"marrer";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"Max se marre (E+de ce)que Léa soit partie"
"105";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"méditer";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"Max médite (E+de ce)que Flo l'ait quitté"
"106";"+";"-";"-";"-";"-";"se";"+";"-";"-";"méfier";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Max se méfie (E+de ce)que Léa parte"
"107";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"méjuger";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"Max a méjugé de la compétence de Léa"
"108";"+";"-";"-";"-";"-";"se";"+";"-";"-";"mêler";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"Max se mêle de ce que Flo travaille"
"109";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"monologuer";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"Max monologue de ce que le tabac est mauvais"
"110";"+";"-";"-";"-";"-";"se";"+";"-";"-";"moquer";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"Max se moque de ce que Luc vienne ou pas"
"111";"+";"-";"-";"-";"-";"se";"+";"-";"-";"morfondre";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max se moque de ce que Luc vienne ou pas"
"112";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"mouiller";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Max mouille (E+de ce)qu'on le découvre"
"113";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"mourir";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"Max est mort d'avoir attrapé le peste"
"114";"-";"+";"+";"-";"+";"<E>";"-";"-";"-";"naître";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Le problème naît de ce que Max est absent"
