"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"[extrap]";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 V";"N0 être Vpp W";"N1 =: Qu Pind";"N1 =: Qu Psubj";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: si P ou si P";"N1 =: V0-inf W";"Tc =: futur";"Tc =: passé";"Vc =: devoir";"Vc =: pouvoir";"Vc =: savoir";"N1 =: ce(ci+la)";"Prép N1 =: Prép Qu P = Ppv";"de N1 =: de ce Qu P = de là";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"Prép N1hum = Ppv";"il être Vpp Prép N1 (E+par N0)";"de N1 V N0";"N0 V contre Nhum";"<OPT>"
"143";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"réchapper";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"Max a réchappé d'avoir dévalé cinq étages sur le dos"
"144";"+";"-";"-";"-";"-";"se";"+";"-";"-";"réclamer";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Max se réclame de ce que la terre tourne"
"145";"-";"+";"+";"+";"+";"<E>";"-";"-";"-";"relever";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"Que Paul réussisse relève de ce qu'il veuille bien travailler"
"146";"+";"-";"-";"-";"-";"ne se";"+";"-";"+";"relever";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"Max ne s'est pas relevé de ce qu'Ida était partie"
"147";"-";"+";"+";"-";"+";"<E>";"-";"-";"-";"renaître";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max renaît de ce qu'il a eu une éclipse"
"148";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"renauder";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max renaude (E+de ce) que tout soit en désordre"
"149";"+";"-";"-";"-";"-";"se";"+";"-";"-";"rengorger";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"Paul se rengorge de ce que Léa a choisi son fils"
"150";"+";"-";"-";"-";"-";"se";"+";"-";"-";"repentir";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"Max se repent de ce qu'il a fait cette promesse"
"151";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"resplendir";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max resplendit (de joie+E)de ce que Léa soit revenue"
"152";"+";"-";"-";"-";"-";"se";"+";"-";"-";"ressentir";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"Max ne se ressent pas de faire cette corvée"
"153";"~";"~";"~";"~";"~";"ne se";"+";"-";"+";"ressentir";"+";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max ne se ressent pas de faire cette corvée"
"154";"-";"+";"+";"-";"+";"<E>";"-";"-";"-";"ressortir";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Que Max a quitté le pays ressort de ce qu'on l'a licencié"
"155";"+";"-";"-";"-";"-";"se";"-";"-";"-";"ressouvenir";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"Max s'est ressouvenu tout à coup de ce qu'il n'avait pas fermé le gaz"
"156";"-";"+";"+";"-";"+";"<E>";"-";"-";"-";"rester";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"Que Léa a raison reste de toute la discussion"
"157";"-";"+";"+";"-";"+";"<E>";"-";"-";"-";"résulter";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Que Léa soit partie résulte de ce que Max ait agi ainsi"
"158";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"revenir";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"Paul est revenu de ce qu'il a toujours fait ça"
"159";"~";"~";"~";"~";"~";"n'en";"-";"+";"+";"revenir pas";"+";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Paul n'en revient pas (E+de ce)que Léa l'ait trahi"
