"<ID>";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"dé-V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Npc obl";"N0 V N1";"Prép2 =: avec";"Prép2 =: dans";"Prép2 =: en";"N2 =: Nhum";"N2 =: N-hum";"N2 =: trou";"N2 =: couche";"N2 =: coup";"N2 apparition";"N2 =: Npl obl";"N2 être V-n, Sfx = E";"N2 être V-n, Sfx # E";"Sfx =: age";"Sfx =: ment";"Sfx =: tion";"Sfx =: ure";"V-n instrument";"N1 =: texte, N2 =: mot";"N1 =: esprit, N2 =: idée";"N0 V N1hum de N2abs";"N0 V N2 (E+Loc N1 destination)";"N0 mettre V-n Loc N1";"N0 faire V-n Prép N1";"N0 donner V-n à N1";"N0 donner à N1 (une apparence Vpp+l'apparence de V-n)";"N0 lancer V-n Loc N1";"V-n instrument (forme V-n)";"<OPT>"
"19";"-";"+";"<E>";"biffer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a biffé le mot d'un trait rouge"
"20";"-";"+";"<E>";"border";"+";"-";"+";"~";"+";"-";"-";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max a bordé son jardin d'arbres"
"21";"-";"+";"<E>";"borner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max borne le pré de(piquets+bornes)"
"22";"-";"+";"<E>";"cerner";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"La fatigue cerne ses yeux de bistre"
"23";"-";"+";"<E>";"certifier";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max certifie ce document d'un tampon"
"24";"~";"~";"<E>";"chapeauter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"Le journaliste a chapeauté son article d'un chapeau à sensation"
"25";"-";"+";"<E>";"chiffrer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a chiffré la nappe de sa couronne"
"26";"-";"+";"<E>";"circonscrire";"+";"-";"-";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max a circonscrit le pré de bornes en dur"
"27";"-";"+";"<E>";"cocher";"+";"-";"-";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"<E>";"Max a coché chaque nom d'un trait"
"28";"-";"+";"<E>";"cochonner";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"Max a cochonné sa chemise"
"29";"-";"+";"<E>";"composter";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a composté son ticket d'une date"
"30";"-";"+";"<E>";"consteller";"+";"-";"-";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"<E>";"Léa a constellé ses cheveux de paillettes"
"31";"-";"+";"<E>";"contremarquer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a contremarqué le parchemin de son sceau"
"32";"-";"+";"<E>";"contresigner";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a contresigné l'ordre de son paraphe"
"33";"~";"~";"<E>";"copyrighter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"Max a copyrighté son bouquin d'un copyright"
"34";"-";"+";"<E>";"coter";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a coté son plan"
"35";"-";"+";"<E>";"couvrir";"+";"-";"-";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a couvert le mur de graffitis"
"36";"~";"~";"<E>";"damasquiner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"-";"+";"-";"-";"-";"<E>";"On damasquine les laines de motifs d'or"
"37";"+";"+";"<E>";"dater";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"<E>";"Max date sa lettre(d'un tampon+du dix Mai)"
"38";"-";"+";"<E>";"décorer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max décore sa maison de toile"
