"<ID>";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"dé-V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Npc obl";"N0 V N1";"Prép2 =: avec";"Prép2 =: dans";"Prép2 =: en";"N2 =: Nhum";"N2 =: N-hum";"N2 =: trou";"N2 =: couche";"N2 =: coup";"N2 apparition";"N2 =: Npl obl";"N2 être V-n, Sfx = E";"N2 être V-n, Sfx # E";"Sfx =: age";"Sfx =: ment";"Sfx =: tion";"Sfx =: ure";"V-n instrument";"N1 =: texte, N2 =: mot";"N1 =: esprit, N2 =: idée";"N0 V N1hum de N2abs";"N0 V N2 (E+Loc N1 destination)";"N0 mettre V-n Loc N1";"N0 faire V-n Prép N1";"N0 donner V-n à N1";"N0 donner à N1 (une apparence Vpp+l'apparence de V-n)";"N0 lancer V-n Loc N1";"V-n instrument (forme V-n)";"<OPT>"
"76";"-";"+";"<E>";"nervurer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Pourquoi la nature a-t-elle nervuré les feuilles?"
"77";"-";"+";"<E>";"noter";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max note les invendus d'une croix"
"78";"-";"+";"<E>";"numéroter";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"<E>";"Max a numéroté les cases(E+de numéros)de 1 à 10"
"79";"-";"+";"<E>";"oblitérer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"On oblitère les timbres d'un cachet dateur"
"80";"-";"+";"<E>";"orienter";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max a orienté la carte d'indications suffisantes"
"81";"-";"+";"<E>";"ornementer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max a ornementé le fronton de motifs en creux"
"82";"-";"-";"<E>";"ouvrager";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max a ouvragé son buffet de bas-reliefs"
"83";"-";"+";"<E>";"ouvrer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Ida ouvre ses napperons de motifs compliqués"
"84";"-";"+";"<E>";"paginer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max a paginé l'index en chiffres romains"
"85";"-";"-";"<E>";"parapher";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"Max a paraphé le traité d'une signature illisible"
"86";"~";"~";"<E>";"parasiter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"-";"+";"-";"-";"-";"<E>";"Ce moteur parasite la radio de parasites"
"87";"-";"+";"<E>";"parcourir";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max parcourt sa feuille de traits de plume"
"88";"-";"+";"<E>";"parenthéser";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max a parenthésé l'équation"
"89";"~";"~";"<E>";"parenthétiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"+";"+";"-";"-";"-";"<E>";"On a parenthétisé l'équation"
"90";"-";"+";"<E>";"picoter";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a picoté la feuille de trous d'aiguille"
"91";"-";"+";"<E>";"piquer";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"L'humidité a piqué le papier de taches de rouille"
"92";"-";"+";"<E>";"piquer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"pique";"Max a piqué la feuille de petits trous"
"93";"-";"+";"<E>";"piqueter";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"Le soleil a piqueté sa peau de taches de rousseur"
"94";"-";"+";"<E>";"pointer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max a pointé les reçus(en rouge+d'une croix)"
"95";"-";"+";"<E>";"pointiller";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max a pointillé la zone de points bleus"
"96";"-";"+";"<E>";"ponctuer";"+";"-";"-";"~";"+";"-";"-";"+";"-";"+";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max ponctue son discours de grognements"
"97";"-";"-";"<E>";"postdater";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a postdaté sa lettre au 10 juin"
"98";"~";"~";"<E>";"postfacer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"+";"+";"-";"-";"-";"<E>";"Max a postfacé ce roman d'une postface"
"99";"-";"+";"<E>";"précéder";"+";"-";"-";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max a précédé son discours de remerciements"
"100";"-";"+";"<E>";"préfacer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max a préfacé l'ouvrage de Luc"
"101";"-";"+";"<E>";"quadriller";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"<E>";"On a quadrillé la feuille de bandes noires"
"102";"-";"+";"<E>";"raturer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a raturé deux mots d'un trait rouge"
"103";"-";"+";"<E>";"rayer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a rayé la feuille(d'une rayure verticale+de rayures verticales)"
"104";"-";"-";"<E>";"régler";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"On règle le papier de lignes millimétrées"
"105";"-";"+";"<E>";"rehausser";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"Max a rehaussé le manuscrit d'enluminures"
"106";"-";"+";"<E>";"repérer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max repère les fils par des numéros"
"107";"-";"-";"<E>";"repiquer";"+";"-";"-";"~";"+";"-";"-";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max a repiqué la photo de traits discrets"
"108";"-";"-";"<E>";"retoucher";"+";"-";"-";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a retouché son tableau de quelques traits"
"109";"~";"~";"<E>";"revêtir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"-";"-";"-";"-";"-";"<E>";"Ce couturier revêt ses robes de sa(griffe+marque)"
"110";"-";"+";"<E>";"sabrer";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"~";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"Max a sabré la feuille de coups de crayon"
"111";"-";"-";"<E>";"scribouiller";"+";"-";"-";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max a scribouillé la feuille de dessins informes"
"112";"-";"+";"<E>";"signaler";"+";"-";"-";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max signale les fautes d'un trait rouge"
"113";"-";"+";"<E>";"signaliser";"+";"-";"-";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"On a signalisé la route de panneaux"
"114";"-";"+";"<E>";"signer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"Max a signé sa lettre(de son paraphe+d'une croix)"
"115";"-";"+";"<E>";"sillonner";"+";"-";"-";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Luc a sillonné sa carte de traits parallèles"
"116";"-";"+";"<E>";"souligner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max a souligné ce mot d'un trait rouge"
"117";"-";"+";"<E>";"sous-titrer";"+";"-";"+";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max a sous-titré son film de sous-titres anglais"
"118";"-";"+";"<E>";"strier";"+";"-";"-";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"<E>";"Max a strié la plaque de fines stries"
"119";"-";"+";"<E>";"surcharger";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"<E>";"Max a surchargé son dessin d'ombres épaisses"
"120";"~";"~";"<E>";"surligner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"+";"+";"-";"-";"-";"<E>";"Max a surligné le mot d'un trait jaune"
"121";"-";"+";"<E>";"tamponner";"+";"-";"-";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"tampon";"Max a tamponné le document"
"122";"~";"~";"<E>";"tatouer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"-";"+";"-";"-";"-";"<E>";"Max a tatoué son bras de dessins obscurs"
"123";"~";"~";"<E>";"taveler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"-";"-";"+";"~";"~";"~";"~";"~";"-";"+";"-";"-";"-";"<E>";"Le soleil a tavelé le visage de Max d'héphélides"
"124";"-";"+";"<E>";"timbrer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"La douane a timbré le document d'un cachet"
"125";"-";"+";"<E>";"titrer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"Max a titré son roman 'Notes'"
"126";"~";"~";"<E>";"tracer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"+";"+";"-";"-";"-";"<E>";"Max a tracé le chemin d'une ligne blanche"
"127";"+";"+";"<E>";"veiner";"+";"-";"-";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"L'artiste a veiné la surface de veines bleues"
"128";"-";"-";"<E>";"viser";"+";"-";"-";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a visé le passeport d'un sceau"
"129";"+";"+";"<E>";"zébrer";"+";"-";"-";"~";"+";"-";"-";"-";"-";"+";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"Max a zébré la feuille de rayures"

