"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 V";"N0 pousser V-n, Sfx = ment";"N0 pousser V-n, Sfx = E";"N0 V contre Nhum";"N0 V après Nhum";"N0 V N1";"N1 =: Qu Pind";"Qu P = V0-inf W";"N1 =: Qu P = Aux V0-inf W";"Qu P = de V0-inf W";"N1 = (N) (être Adj)";"N0 V (être Adj) (Qu P)";"Qu N0 V (être Adj)";"N1 = (N) (Adj)";"N0 V (Adj) (Qu P)";"Qu N0 V (Adj)";"(Nég, interro) => subj";"impératif => subj";"N1 =: Qu Psubj";"Qu Psubj = de V0-inf W";"Qu Psubj = de V2-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N0 V à N2";"Prép N2hum = Ppv";"N2 =: N-hum";"Prép N2-hum = Ppv";"à N2 = là";"il être Vpp Prép N2 (E+par N0)";"N0 V N1 à N2 de Nhum";"à quoi N0 V N1";"N0 V à N2 : 'P'";"'P',V N0 à N2";"[passif par]";"[passif de]";"<OPT>"
"63";"+";"-";"-";"-";"-";"<E>";"-";"chougner";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Luc chougne à Marie que Max n'est pas gentil"
"64";"+";"-";"-";"-";"-";"<E>";"-";"chuchoter";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max chuchote à Luc qu'il est prêt"
"65";"+";"-";"-";"-";"-";"<E>";"-";"chuinter";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max chuinte à Luc qu'il est là"
"66";"+";"-";"-";"-";"-";"<E>";"-";"citer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"Max a cité à Luc que Léa avait réussi"
"67";"~";"~";"~";"~";"~";"<E>";"-";"clabauder";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Les commères clabaudent à leurs consoeurs que Bob est cocu"
"68";"+";"-";"-";"-";"-";"<E>";"-";"claironner";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max claironne à Luc qu'il a réussi"
"69";"+";"-";"-";"-";"-";"<E>";"-";"clamer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max clame à Luc qu'il est innocent"
"70";"-";"-";"-";"-";"-";"<E>";"-";"clignoter";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Le journal lumineux clignote à Luc que tout est calme"
"71";"-";"-";"-";"-";"-";"<E>";"-";"cliqueter";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Le télétype cliquète à Max que tout est calme"
"72";"+";"-";"-";"-";"-";"<E>";"-";"coasser";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max coasse à Luc qu'il va venir"
"73";"+";"-";"-";"-";"-";"<E>";"-";"coller";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a collé à Luc qu'il se rende à Gap"
"74";"+";"+";"+";"-";"+";"<E>";"-";"commander";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"Max commande à Luc qu'il vienne"
"75";"+";"-";"-";"-";"-";"<E>";"-";"commenter";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max a commenté à Luc que cet accord a été conclu"
"76";"+";"-";"-";"-";"-";"<E>";"-";"communiquer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max communique à Luc qu'il peut venir"
"77";"+";"-";"-";"-";"-";"<E>";"-";"concéder";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max concède à Luc qu'il n'a pas tord"
"78";"+";"+";"+";"-";"+";"<E>";"-";"conférer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"Max a conféré à Luc qu'il préside la séance"
"79";"+";"-";"-";"-";"-";"<E>";"-";"confesser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max confesse à Luc qu'il est en faute"
"80";"~";"~";"~";"~";"~";"<E>";"-";"confier";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max confie à Luc qu'il fasse ce travail"
"81";"+";"-";"-";"-";"-";"<E>";"-";"confier";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max confie à Luc qu'il est prêt"
"82";"+";"+";"+";"-";"+";"<E>";"-";"confirmer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max confirme à Luc qu'il est d'accord"
"83";"+";"-";"-";"-";"-";"<E>";"-";"conseiller";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max conseille à Luc qu'il s'en aille"
"84";"+";"-";"-";"-";"-";"<E>";"-";"conter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a conté à Luc qu'Ida viendrait"
"85";"+";"-";"-";"-";"-";"<E>";"-";"contester";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max conteste à Luc qu'il puisse occuper ce lieu"
"86";"+";"+";"+";"-";"-";"<E>";"-";"contre-indiquer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"Max a contre-indiqué à Luc qu'il fasse ce travail"
"87";"+";"-";"-";"-";"-";"<E>";"-";"corner";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max corne à Luc qu'il doit se garer"
"88";"+";"-";"-";"-";"-";"<E>";"-";"couiner";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max couine à Luc qu'il est coincé"
"89";"-";"+";"+";"-";"+";"<E>";"-";"coûter";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Cette loi coûte à Max qu'il renonce à bâtir"
"90";"+";"-";"-";"-";"-";"<E>";"-";"cracher";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max crache à Luc(qu'il le méprise+des injures)"
"91";"+";"-";"-";"-";"-";"<E>";"-";"crachoter";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max crachote à Luc qu'il est d'accord"
"92";"+";"-";"-";"-";"-";"<E>";"-";"crachouiller";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"La radio crachouille à Max que tout va bien"
"93";"~";"~";"~";"~";"~";"<E>";"-";"craqueter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"La cigogne craquette "
"94";"-";"-";"-";"-";"-";"<E>";"-";"crépiter";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Le télétype crépite à Luc que tout est en ordre"
"95";"+";"-";"-";"-";"-";"<E>";"-";"criailler";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max criaille à Luc que le rôti est brûlé"
"96";"+";"-";"-";"-";"-";"<E>";"-";"crier";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Paul crie à Luc(sa douleur+des injures)"
"97";"+";"-";"-";"-";"-";"<E>";"-";"crisser";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Le disque crisse à Luc que tout est en ordre"
"98";"+";"-";"-";"-";"-";"<E>";"-";"croasser";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max croasse à Luc qu'il n'est pas d'accord"
"99";"+";"-";"-";"-";"-";"<E>";"-";"déballer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max a déballé à la police qu'Ida était coupable"
"100";"+";"-";"-";"-";"-";"<E>";"-";"débiter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max débite à Luc qu'Ida a les défauts suivants"
"101";"+";"-";"-";"-";"-";"<E>";"-";"déclamer";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a déclamé qu'un tient vaut mieux que deux tu l'auras"
"102";"+";"-";"-";"-";"-";"<E>";"-";"déclarer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a déclaré à Ida qu'il partait"
"103";"+";"-";"-";"-";"-";"<E>";"-";"décocher";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max a décoché à Luc qu'il était en faute"
"104";"+";"-";"-";"-";"-";"<E>";"-";"déconner";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max déconne à Luc qu'il va venir"
"105";"+";"-";"-";"-";"-";"<E>";"-";"déconseiller";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"Max déconseille à Luc qu'il parte"
"106";"+";"+";"+";"+";"+";"<E>";"-";"découvrir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"Max a découvert à Ida que Luc était en faute"
"107";"+";"+";"+";"-";"+";"<E>";"-";"décrire";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"Max a décrit à Luc s'il pouvait venir en auto ou non"
"108";"+";"-";"-";"-";"-";"<E>";"-";"décrocher";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a décroché à Luc qu'il fasse des heures supplémentaires"
"109";"+";"+";"+";"-";"+";"<E>";"-";"défendre";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"Max défend à Luc qu'il parte"
"110";"+";"-";"-";"-";"-";"<E>";"-";"défiler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a défilé à Luc qu'il disposait des arguments suivants"
"111";"+";"+";"+";"+";"+";"<E>";"-";"définir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Paul définit à Marie que le travail doit être organisé autrement"
"112";"+";"-";"-";"-";"-";"<E>";"-";"dégoiser";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max dégoise à Luc que Léa fait des bêtises"
"113";"+";"+";"+";"-";"+";"<E>";"-";"déguiser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"Max a déguisé à Luc qu'il prenait ce poste"
"114";"+";"+";"+";"+";"+";"<E>";"-";"déléguer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a délégué à Luc qu'il règle la question"
"115";"~";"~";"~";"~";"~";"<E>";"-";"demander";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max demande si Paul vient"
"116";"+";"-";"-";"-";"-";"<E>";"-";"demander";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"Max demande à Ida qu'elle parte"
"117";"+";"+";"+";"-";"+";"<E>";"-";"démontrer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"Max a démontré à Luc que Léa avait tort"
"118";"+";"+";"+";"-";"+";"<E>";"-";"dénier";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"Max dénie à Luc qu'il puisse occuper ce lieu"
"119";"+";"+";"+";"+";"+";"<E>";"-";"dénoncer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"Max dénonce au peuple que ces abus ont été commis"
"120";"+";"+";"+";"+";"+";"<E>";"-";"dépeindre";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"Max dépeindra à Luc si la situation est bonne ou non"
"121";"+";"-";"-";"-";"-";"<E>";"-";"détailler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max détaille à Luc qu'Ida est(laide+méchante+lâche)"
"122";"+";"-";"-";"-";"-";"<E>";"-";"déterrer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"Max a déterré à Luc qu'il avait fait une faute"
"123";"+";"-";"-";"-";"-";"<E>";"-";"développer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"Max développe à Luc qu'il veut partir"
"124";"+";"-";"-";"-";"-";"<E>";"-";"dévider";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max dévide à Luc(qu'il était méchant+que tout allait mal)"
"125";"+";"+";"+";"+";"+";"<E>";"-";"dévoiler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a dévoilé à Luc qu'il était son père"
"126";"~";"~";"~";"~";"~";"<E>";"-";"devoir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max doit à Luc de le présenter à Ida"
"127";"+";"+";"+";"-";"+";"<E>";"-";"dicter";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max dicte à Ida que la commande doit être livrée ce mois-ci"
"128";"+";"-";"-";"-";"-";"<E>";"-";"dicter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max dicte à Ida qu'elle vienne"
"129";"+";"-";"-";"-";"-";"<E>";"-";"diffuser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a diffusé à tous ses amis que le décret avait été pris"
"130";"+";"+";"+";"-";"+";"<E>";"-";"dire";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max dit à Luc qu'il est malade"
"131";"~";"~";"~";"~";"~";"<E>";"-";"disputailler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max disputaille à Ida d'être le premier"
"132";"+";"+";"+";"-";"+";"<E>";"-";"disputer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"Max dispute à Ida d'être le premier"
"133";"+";"+";"+";"+";"+";"<E>";"-";"dissimuler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"Max a dissimulé à Ida qu'il est malade"
"134";"+";"+";"+";"-";"+";"<E>";"-";"divulguer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max divulgue à Luc qu'il va venir"
"135";"+";"-";"-";"-";"-";"<E>";"-";"donner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Ce texte donne à Max qu'il peut s'absenter"
