"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 V";"N0 pousser V-n, Sfx = ment";"N0 pousser V-n, Sfx = E";"N0 V contre Nhum";"N0 V après Nhum";"N0 V N1";"N1 =: Qu Pind";"Qu P = V0-inf W";"N1 =: Qu P = Aux V0-inf W";"Qu P = de V0-inf W";"N1 = (N) (être Adj)";"N0 V (être Adj) (Qu P)";"Qu N0 V (être Adj)";"N1 = (N) (Adj)";"N0 V (Adj) (Qu P)";"Qu N0 V (Adj)";"(Nég, interro) => subj";"impératif => subj";"N1 =: Qu Psubj";"Qu Psubj = de V0-inf W";"Qu Psubj = de V2-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N0 V à N2";"Prép N2hum = Ppv";"N2 =: N-hum";"Prép N2-hum = Ppv";"à N2 = là";"il être Vpp Prép N2 (E+par N0)";"N0 V N1 à N2 de Nhum";"à quoi N0 V N1";"N0 V à N2 : 'P'";"'P',V N0 à N2";"[passif par]";"[passif de]";"<OPT>"
"14";"+";"+";"+";"+";"+";"<E>";"-";"arracher";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a arraché à Luc qu'il irait voir Ida"
"15";"+";"-";"-";"-";"-";"<E>";"-";"articuler";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max articule à Luc qu'il parte"
"16";"+";"-";"-";"-";"-";"<E>";"-";"asséner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max a asséné à Luc qu'Ida était partie"
"17";"+";"-";"-";"-";"-";"<E>";"-";"assigner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max a assigné à Luc qu'il se rende à la réunion"
"18";"+";"+";"+";"-";"+";"<E>";"-";"assurer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a assuré à Luc qu'Ida était partie"
"19";"+";"-";"-";"-";"-";"<E>";"-";"avancer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a avancé à Luc qu'Ida viendrait cet après-midi"
"20";"+";"-";"-";"-";"-";"<E>";"-";"aventurer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a aventuré à Luc qu'il aimerait ce poste"
"21";"+";"-";"-";"-";"-";"<E>";"-";"avouer";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a avoué qu'il s'était trompé"
"22";"+";"-";"-";"-";"-";"<E>";"-";"babiller";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max babille à Luc qu'il veut aller se promener"
"23";"+";"-";"-";"-";"-";"<E>";"-";"bafouiller";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max bafouille à Luc qu'il peut s'en aller"
"24";"+";"-";"-";"-";"-";"<E>";"-";"bâiller";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max bâille à Luc qu'il a sommeil"
"25";"+";"-";"-";"-";"-";"<E>";"-";"balancer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max balance à Luc qu'il est idiot"
"26";"+";"-";"-";"-";"-";"<E>";"-";"balbutier";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max balbutie à Luc qu'il s'est trompé"
"27";"+";"-";"-";"-";"-";"<E>";"-";"baragouiner";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max baragouine à Luc qu'il est mécontent"
"28";"+";"-";"-";"-";"-";"<E>";"-";"barrir";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max barrit à Luc qu'il est en colère"
"29";"+";"-";"-";"-";"-";"<E>";"-";"bavasser";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a bavassé aux voisins qu'Ida était partie"
"30";"+";"-";"-";"-";"-";"<E>";"-";"baver";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a bavé à Luc qu'il se vengerait"
"31";"+";"-";"-";"-";"-";"<E>";"-";"bégayer";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max bégaie à Luc qu'il s'excuse"
"32";"+";"-";"-";"-";"-";"<E>";"-";"bêler";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max bêle à Luc qu'il s'excuse"
"33";"+";"-";"-";"-";"-";"<E>";"-";"beugler";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max beugle à Luc qu'il doit partir"
"34";"+";"-";"-";"-";"-";"<E>";"-";"blatérer";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a blatéré à Luc qu'il partira"
"35";"+";"-";"-";"-";"-";"<E>";"-";"bonimenter";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max bonimente à Luc qu'il viendra"
"36";"~";"~";"~";"~";"~";"<E>";"-";"bonnir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"!Max bonnit à Luc qu'Ida était responsable"
"37";"+";"-";"-";"-";"-";"<E>";"-";"bougonner";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max bougonne à Luc qu'il viendra"
"38";"+";"-";"-";"-";"-";"<E>";"-";"bourdonner";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max bourdonne à Luc qu'il a sommeil"
"39";"+";"-";"-";"-";"-";"<E>";"-";"brailler";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max braille à Luc qu'il est coulant"
"40";"+";"-";"-";"-";"-";"<E>";"-";"braire";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max braille à Luc qu'il est coulant"
"41";"+";"-";"-";"-";"-";"<E>";"-";"bramer";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max brame à Luc qu'il va partir"
"42";"+";"-";"-";"-";"-";"<E>";"-";"bredouiller";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max bredouille à Luc qu'il parte"
