"<ID>";"N0 lieu source de N1";"N0 lieu de destination de N1";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N0 dé-V N1 Loc N3 nv-dest";"N1 être V-n";"N0 V N2 (E+de N1)";"Loc N2 =: de N2 source";"Loc N2 =: Loc N2 source, Loc # de";"Loc N2 = Ppv =: en";"N2 être V-n";"N1 être Vpp (statique)";"N1 =: Nconc métaphore";"N1 =: mot, N2 =: texte";"N1 =: idée, N2 =: esprit";"N0 V N1abs Loc N2abs";"N0 V N1hum Loc N2abs";"N1 =: Qu P métaphore";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>"
"55";"-";"-";"-";"-";"<E>";"saquer";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"<E>";"<E>";"Max a saqué Luc de son poste"
"56";"-";"-";"-";"-";"<E>";"scier";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"<E>";"<E>";"Ses adversaires ont scié Max de(son poste+sa position)"
"57";"-";"-";"-";"-";"<E>";"scratcher";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"<E>";"<E>";"On a scratché Max de la compétition"
"58";"~";"~";"~";"~";"<E>";"ségréguer";"+";"-";"~";"~";"~";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ces lois ségrèguent les Sioux du reste de la population"
"59";"-";"-";"+";"-";"<E>";"sortir";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a sorti Luc de cette affaire"
"60";"~";"~";"~";"~";"<E>";"suspendre";"+";"-";"~";"~";"~";"-";"+";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a suspendu Max de son poste"
"61";"~";"~";"~";"~";"<E>";"tirer";"+";"-";"~";"~";"~";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ida a tiré Max de cette situation"
"62";"-";"-";"-";"+";"<E>";"vider";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le conseil a vidé cet élève du lycée"
"63";"-";"-";"-";"+";"<E>";"virer";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"<E>";"<E>";"On a viré Max de son poste"

