"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><avoir>";"Vsup = il y avoir";"Vop = mettre";"Vop = N-hum donner";"<ENT>Det1";"C1 =: Npc";"Det1 pluriel";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"C2 =: Npc";"<ENT>C2";"Exemple"
"55";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"un";"-";"-";"  boulet";"à";"le";"+";"  pied";"§a§un boulet au pied "
"56";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"du";"-";"-";"  boulot";"par dessus";"la";"+";"  tête";"§a§du boulot par dessus la tête "
"57";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"des";"-";"-";"  bourdonnements";"dans";"les";"+";"  oreilles";"§a§des bourdonnements dans les oreilles "
"58";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"les";"+";"-";"  bras";"<E>";"le";"-";"  long du corps";"§a§les bras le long du corps "
"59";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"les";"+";"-";"  bras";"à";"la";"-";"  retourne";"§a§les bras à la retourne "
"60";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"la";"-";"-";"  bride";"sur";"le";"+";"  cou";"§a§la bride sur le cou "
"61";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"un";"-";"-";"  but";"dans";"la";"-";"  vie";"§a§un but dans la vie "
"62";"+";"-";"-";"+";"n'";"avoir que";"+";"-";"-";"<E>";"-";"-";"  ça";"à";"la";"+";"  bouche";"§n'a que§ça à la bouche "
"63";"+";"-";"-";"+";"n'";"avoir pas que";"+";"-";"+";"<E>";"-";"-";"  ça";"à";"<E>";"-";"  faire";"§n'a pas que§ça à fait "
"64";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"une";"-";"-";"  carte";"à";"<E>";"-";"  jouer";"§a§une carte à jouer "
"65";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"des";"-";"-";"  cartes";"dans";"Poss0";"-";"  jeu";"§a§des cartes dans son jeu "
"66";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"une";"-";"-";"  case";"en";"<E>";"-";"  moins";"§a§une case en moins "
"67";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"un";"-";"-";"  casque";"en";"<E>";"-";"  plomb";"§a§un casque en plomb "
"68";"+";"-";"-";"+";"n'";"avoir pas";"-";"+";"-";"un";"-";"-";"  centime";"de";"<E>";"-";"  côté";"§n'a pas§un centime de côté "
"69";"+";"-";"-";"+";"n'";"avoir pas";"-";"-";"-";"un";"-";"-";"  centime";"devant";"<E>";"-";"  Lui-0";"§n'a pas§un centime devant lui "
"70";"+";"-";"-";"+";"n'";"avoir pas";"-";"-";"-";"un";"-";"-";"  centime";"sur";"<E>";"-";"  Lui-0";"§n'a pas§un centime sur lui "
"71";"+";"-";"-";"+";"n'";"avoir pas";"-";"+";"-";"un";"-";"-";"  centime";"en";"<E>";"-";"  poche";"§n'a pas§un centime en poche "
"72";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"un";"+";"-";"  cerveau";"comme";"une";"-";"  passoire";"§a§un cerveau comme une passoire "
"73";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"une";"+";"-";"  cervelle";"comme";"une";"-";"  passoire";"§a§une cervelle comme une passoire "
"74";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"+";"du";"-";"-";"  champ";"par";"<E>";"-";"  rapport à N";"§a§du champ par rapport à N "
"75";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"de la";"-";"-";"  chance";"en";"<E>";"-";"  amour";"§a§de la chance en amour "
"76";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"de la";"-";"-";"  chance";"à";"le";"-";"  jeu";"§a§de la chance au jeu "
"77";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"le";"-";"-";"  chapeau";"sur";"la";"+";"  oreille";"§a§le chapeau sur l'oreille "
"78";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"un";"-";"-";"  chat";"dans";"la";"+";"  gorge";"§a§un chat dans la gorge "
"79";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"d'autres";"-";"-";"  chats";"à";"<E>";"-";"  fouetter";"§a§d'autres chats à fouetter "
"80";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  chaud";"à";"le";"+";"  coeur";"§a§chaud au coeur "
"81";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  chaud";"à";"les";"+";"  fesses";"§a§chaud aux fesses "
"82";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  chaud";"à";"le";"+";"  Npc";"§a§chaud au Npc "
"83";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  chaud";"à";"les";"+";"  oreilles";"§a§chaud aux oreilles "
"84";"+";"-";"-";"+";"n'";"avoir";"+";"-";"-";"un";"+";"-";"  cheveu";"sur";"le";"+";"  caillou";"§n'a§un cheveu sur le caillou "
"85";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"un";"-";"-";"  cheveu";"sur";"la";"+";"  langue";"§a§un cheveu sur la langue "
"86";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"+";"les";"+";"-";"  cheveux";"en";"<E>";"-";"  coup de vent";"§a§les cheveux en coup de vent "
"87";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"les";"+";"-";"  cheveux";"à";"le";"-";"  vent";"§a§les cheveux au vent "
"88";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"<E>";"-";"-";"  chevillé";"<E>";"la";"-";"  âme au corps de Nhum";"§a§chevillé l'âme au corps de Nhum "
"89";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"les";"+";"-";"  chevilles";"<E>";"qui";"-";"  enflent";"§a§les chevilles qui enflent "
"90";"+";"-";"-";"+";"n'";"avoir";"+";"-";"-";"grand";"-";"-";"  chose";"à";"<E>";"-";"  faire";"§n'a§grand chose à fait "
"91";"+";"-";"-";"+";"n'";"avoir";"+";"-";"-";"grand";"-";"-";"  chose";"à";"<E>";"-";"  perdre";"§n'a§grand chose à perdre "
"92";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"autre";"-";"-";"  chose";"en";"<E>";"+";"  tête";"§a§autre chose en tête "
"93";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"un";"-";"-";"  cigare";"à";"la";"+";"  bouche";"§a§un cigare à la bouche "
"94";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"une";"-";"-";"  cigarette";"à";"la";"+";"  bouche";"§a§une cigarette à la bouche "
"95";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"une";"-";"-";"  cigarette";"à";"les";"+";"  lèvres";"§a§une cigarette aux lèvres "
"96";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"<E>";"-";"-";"  cinq";"sur";"<E>";"-";"  cinq";"§a§cinq sur cinq "
"97";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"un";"-";"-";"  clope";"à";"la";"+";"  bouche";"§a§un clope à la bouche "
"98";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"une";"-";"-";"  clope";"à";"la";"+";"  bouche";"§a§une clope à la bouche "
"99";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"un";"-";"-";"  clope";"à";"les";"+";"  lèvres";"§a§un clope aux lèvres "
"100";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"une";"-";"-";"  clope";"à";"les";"+";"  lèvres";"§a§une clope aux lèvres "
"101";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"une";"-";"-";"  cochonnerie";"dans";"le";"+";"  oeil";"§a§une cochonnerie dans l'oeil "
"102";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"le";"+";"-";"  coeur";"sur";"la";"+";"  main";"§a§le coeur sur la main "
"103";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"+";"du";"+";"-";"  coeur";"à";"le";"-";"  ouvrage";"§a§du coeur à l'ouvrage "
"104";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"+";"le";"+";"-";"  coeur";"à";"le";"-";"  ouvrage";"§a§le coeur à l'ouvrage "
"105";"+";"-";"-";"+";"n'";"avoir";"-";"-";"-";"le";"+";"-";"  coeur";"à";"<E>";"-";"  rien";"§n'a§le coeur à rien "
"106";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"+";"du";"+";"-";"  coeur";"à";"le";"+";"  ventre";"§a§du coeur au ventre "
"107";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"un";"+";"-";"  coeur d'or";"sous";"des";"-";"  dehors hautains";"§a§un coeur d'or sous des dehors hautains "
"108";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"un";"+";"-";"  coeur d'or";"sous";"des";"-";"  dehors Modif";"§a§un coeur d'or sous des dehors Modif "
"109";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"un";"+";"-";"  coeur d'or";"derrière";"une";"-";"  façade arrogante";"§a§un coeur d'or derrière une façade arrogante "
"110";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"un";"+";"-";"  coeur d'or";"derrière";"une";"-";"  façade Modif";"§a§un coeur d'or derrière une façade Modif "
"111";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"de la";"-";"-";"  colère";"dans";"le";"-";"  regard";"§a§de la colère dans le regard "
"112";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"de la";"-";"-";"  colère";"dans";"les";"+";"  yeux";"§a§de la colère dans les yeux "
"113";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"+";"le";"-";"-";"  compas";"dans";"le";"+";"  oeil";"§a§le compas dans l'oeil "
"114";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  confiance";"dans";"le";"-";"  avenir";"§a§confiance dans l'avenir "
"115";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  confiance";"en";"le";"-";"  avenir";"§a§confiance en l'avenir "
"116";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  confiance";"dans";"Poss0";"-";"  étoile";"§a§confiance dans son étoile "
"117";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  confiance";"en";"Poss0";"-";"  étoile";"§a§confiance en son étoile "
"118";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  confiance";"dans";"Poss0 bonne";"-";"  étoile";"§a§confiance dans sa bonne étoile "
"119";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  confiance";"en";"Poss0 bonne";"-";"  étoile";"§a§confiance en sa bonne étoile "
"120";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  confiance";"en";"<E>";"-";"  Lui-0";"§a§confiance en lui "
"121";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  confiance";"dans";"le";"-";"  progrès";"§a§confiance dans le progrès "
"122";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"un";"-";"-";"  contrat";"en";"<E>";"-";"  poche";"§a§un contrat en poche "
"123";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"une";"-";"-";"  coquetterie";"dans";"le";"+";"  oeil";"§a§une coquetterie dans l'oeil "
"124";"+";"+";"-";"-";"<E>";"avoir";"-";"+";"+";"un";"-";"-";"  cor";"à";"le";"+";"  pied";"§a§un cor au pied "
"125";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"la";"-";"-";"  corde";"à";"le";"+";"  cou";"§a§la corde au cou "
"126";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"plusieurs";"-";"-";"  cordes";"à";"Poss0";"-";"  arc";"§a§plusieurs cordes à son arc "
"127";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"les";"+";"-";"  côtes";"en";"<E>";"-";"  long";"§a§les côtes en long "
"128";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"du";"-";"-";"  coton";"dans";"les";"+";"  oreilles";"§a§du coton dans les oreilles "
"129";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"les";"+";"-";"  coudes";"sur";"la";"-";"  table";"§a§les coudes sur la table "
"130";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"des";"+";"-";"  couilles";"à";"le";"+";"  cul";"§a§des couilles au cul "
"131";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"un";"-";"-";"  coup";"dans";"la";"+";"  aile";"§a§un coup dans l'aile "
"132";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"un sérieux";"-";"-";"  coup";"dans";"la";"+";"  aile";"§a§un sérieux coup dans l'aile "
"133";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"un";"-";"-";"  coup";"dans";"les";"-";"  carreaux";"§a§un coup dans les carreaux "
"134";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"un";"-";"-";"  coup";"à";"le";"+";"  coeur";"§a§un coup au coeur "
"135";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"un";"-";"-";"  coup";"dans";"le";"+";"  nez";"§a§un coup dans le nez "
"136";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"un sérieux";"-";"-";"  coup";"dans";"le";"+";"  nez";"§a§un sérieux coup dans le nez "
"137";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"+";"un";"-";"-";"  coup";"sur";"la";"+";"  tête";"§a§un coup sur la tête "
"138";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"un";"-";"+";"  créneau";"dans";"Poss0";"-";"  emploi du temps";"§a§un créneau dans son emploi du temps "
"139";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"+";"un";"-";"-";"  creux";"à";"le";"+";"  estomac";"§a§un creux à l'estomac "
"140";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"le";"+";"-";"  cul";"entre";"deux";"-";"  chaises";"§a§le cul entre deux chaises "
"141";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"un";"-";"-";"  décès";"dans";"Poss0";"-";"  famille";"§a§un décès dans sa famille "
"142";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"une";"-";"+";"  décoration";"à";"Poss0";"-";"  boutonnière";"§a§une décoration à sa boutonnière "
"143";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"un";"-";"-";"  découvert";"à";"la";"-";"  banque";"§a§un découvert à la banque "
"144";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"un";"-";"-";"  découvert";"en";"<E>";"-";"  banque";"§a§un découvert en banque "
"145";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"des";"-";"-";"  démêlés";"avec";"la";"-";"  justice";"§a§des démêlés avec la justice "
"146";"+";"-";"+";"-";"en";"avoir";"-";"-";"-";"<E>";"-";"-";"  deux";"comme";"<E>";"-";"  papa";"§en a§deux comme papa "
"147";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"le";"-";"-";"  diable";"à";"le";"+";"  corps";"§a§le diable au corps "
"148";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"le";"-";"-";"  diable";"dans";"la";"+";"  peau";"§a§le diable dans la peau "
"149";"+";"-";"-";"+";"n'";"avoir ni";"-";"-";"-";"<E>";"-";"-";"  Dieu";"ni";"<E>";"-";"  maître";"§n'a ni§Dieu ni maître "
"150";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"des";"-";"-";"  difficultés";"à";"<E>";"-";"  joindre les deux bouts";"§a§des difficultés à joindre les deux bouts "
"151";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"<E>";"-";"-";"  dix";"sur";"<E>";"-";"  dix";"§a§dix sur dix "
"152";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"le";"+";"-";"  doigt";"sur";"la";"-";"  détente";"§a§le doigt sur la détente "
"153";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"le";"+";"-";"  dos";"à";"le";"-";"  mur";"§a§le dos au mur "
"154";"+";"-";"-";"+";"n'";"avoir";"+";"-";"+";"le";"-";"-";"  droit";"à";"la";"-";"  erreur";"§n'a§le droit à l'erreur "
"155";"+";"-";"-";"+";"n'";"avoir";"+";"-";"+";"<E>";"-";"-";"  droit";"à";"la";"-";"  erreur";"§n'a§droit à l'erreur "
"156";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"<E>";"-";"-";"  droit";"à";"les";"-";"  honneurs de la presse";"§a§droit aux honneurs de la presse "
"157";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"le";"-";"-";"  droit";"pour";"<E>";"-";"  Lui-0";"§a§le droit pour lui "
"158";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"<E>";"-";"-";"  droit";"à";"le";"-";"  respect de Poss0 vie privée";"§a§droit au respect de sa vie privée "
"159";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"+";"la";"-";"-";"  eau";"à";"la";"+";"  bouche";"§a§l'eau à la bouche "
"160";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"de la";"-";"-";"  eau";"jusqu'à";"la";"+";"  ceinture";"§a§de l'eau jusqu'à la ceinture "
"161";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"de la";"-";"-";"  eau";"jusqu'à";"mi-";"+";"  cuisse";"§a§de l'eau jusqu'à mi-cuisse "
"162";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"de la";"-";"-";"  eau";"jusqu'à";"le";"+";"  Npc";"§a§de l'eau jusqu'à le Npc "
"163";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"de la";"-";"-";"  eau";"jusqu'à";"les";"+";"  oreilles";"§a§de l'eau jusqu'à les oreilles "
"164";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"de la";"-";"-";"  eau";"jusqu'à";"la";"+";"  taille";"§a§de l'eau jusqu'à la taille "
"165";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"de la";"-";"-";"  énergie";"à";"<E>";"-";"  revendre";"§a§de l'énergie à revendre "
"166";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"Dnum";"-";"+";"  enfant";"à";"<E>";"-";"  charge";"§a§Dnum enfant à charge "
"167";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"un Dnum-ième";"-";"+";"  enfant";"en";"<E>";"-";"  route";"§a§un Dnum-ième enfant en route "
"168";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"une";"-";"-";"  épée";"dans";"les";"+";"  reins";"§a§une épée dans les reins "
"169";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"une";"-";"-";"  éponge";"dans";"le";"+";"  gosier";"§a§une éponge dans le gosier "
"170";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"de le";"-";"-";"  esprit";"jusqu'à";"le";"+";"  bout des ongles";"§a§de l'esprit jusqu'à le bout des ongles "
"171";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"la";"-";"-";"  éternité";"à";"<E>";"-";"  Lui-0";"§a§l'éternité à lui "
"172";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"la";"-";"-";"  éternité";"devant";"<E>";"-";"  Lui-0";"§a§l'éternité devant lui "
"173";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"<E>";"-";"-";"  eu";"<E>";"un sale";"-";"  coup";"§a§eu un sale coup "
"174";"+";"-";"-";"+";"n'";"avoir pas";"-";"-";"-";"<E>";"-";"-";"  eu";"<E>";"de";"-";"  enfance";"§n'a pas§eu d'enfance "
"175";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"<E>";"-";"-";"  eu";"<E>";"une belle";"-";"  fin";"§a§eu une belle fin "
"176";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"<E>";"-";"-";"  eu";"<E>";"une triste";"-";"  fin";"§a§eu une triste fin "
"177";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"<E>";"-";"-";"  eu";"<E>";"une belle";"-";"  mort";"§a§eu une belle mort "
"178";"+";"-";"-";"-";"<E>";"avoir encore";"-";"-";"-";"<E>";"-";"-";"  fait";"<E>";"<E>";"-";"  quoi ?";"§a encore§fait quoi ? "
"179";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"<E>";"-";"-";"  fait";"<E>";"Poss0";"-";"  temps";"§a§fait son temps "
"180";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"une";"-";"+";"  famille";"à";"<E>";"-";"  charge";"§a§une famille à charge "
"181";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"une";"-";"+";"  femme";"à";"<E>";"-";"  charge";"§a§une femme à charge "
"182";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"une";"-";"-";"  femme";"dans";"chaque";"-";"  port";"§a§une femme dans chaque port "
"183";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"une";"-";"-";"  femme";"dans";"Poss0";"-";"  vie";"§a§une femme dans sa vie "
"184";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"deux";"-";"-";"  fers";"à";"le";"-";"  feu";"§a§deux fers au feu "
"185";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"plusieurs";"-";"-";"  fers";"à";"le";"-";"  feu";"§a§plusieurs fers au feu "
"186";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"les";"-";"-";"  fers";"à";"les";"+";"  pieds";"§a§les fers aux pieds "
"187";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"les";"+";"-";"  fesses";"à";"le";"-";"  chaud";"§a§les fesses au chaud "
"188";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"le";"-";"-";"  feu";"à";"le";"+";"  cul";"§a§le feu au cul "
"189";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"le";"-";"-";"  feu";"à";"le";"+";"  derrière";"§a§le feu au derrière "
"190";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"le";"-";"-";"  feu";"à";"les";"+";"  fesses";"§a§le feu aux fesses "
"191";"+";"-";"-";"+";"n'";"avoir ni";"-";"-";"-";"<E>";"-";"-";"  feu";"ni";"<E>";"-";"  lieu";"§n'a ni§feu ni lieu "
"192";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"du";"-";"-";"  feu";"dans";"les";"+";"  veines";"§a§du feu dans les veines "
"193";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"un";"-";"-";"  fil";"à";"la";"+";"  patte";"§a§un fil à la patte "
"194";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"-";"  fille";"et";"Dnum";"-";"  garçon";"§a§Dnum fille et Dnum garçon "
"195";"-";"+";"-";"+";"n'";"avoir ni";"+";"-";"-";"<E>";"-";"-";"  fin";"ni";"<E>";"-";"  trève";"§n'a ni§fin ni trève "
"196";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"une";"-";"-";"  flamme";"dans";"le";"-";"  regard";"§a§une flamme dans le regard "
"197";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"une";"-";"-";"  fleur";"à";"la";"-";"  boutonnière";"§a§une fleur à la boutonnière "
"198";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"la";"-";"-";"  fleur";"à";"le";"-";"  fusil";"§a§la fleur au fusil "
"199";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  foi";"dans";"le";"-";"  avenir";"§a§foi dans l'avenir "
"200";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  foi";"en";"le";"-";"  avenir";"§a§foi en l'avenir "
"201";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  foi";"en";"<E>";"-";"  DIEU";"§a§foi en DIEU "
"202";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  foi";"dans";"Poss0";"-";"  étoile";"§a§foi dans son étoile "
"203";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  foi";"dans";"Poss0 bonne";"-";"  étoile";"§a§foi dans sa bonne étoile "
"204";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  foi";"en";"Poss0";"-";"  étoile";"§a§foi en son étoile "
"205";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  foi";"en";"Poss0 bonne";"-";"  étoile";"§a§foi en sa bonne étoile "
"206";"+";"-";"-";"+";"n'";"avoir ni";"+";"-";"-";"<E>";"-";"-";"  foi";"ni";"<E>";"-";"  loi";"§n'a ni§foi ni loi "
"207";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  foi";"dans";"le";"-";"  progrès";"§a§foi dans le progrès "
"208";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"+";"du";"-";"-";"  foin";"dans";"Poss0";"-";"  bottes";"§a§du foin dans ses bottes "
"209";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"de la";"-";"-";"  force";"dans";"les";"+";"  bras";"§a§de la force dans les bras "
"210";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"de la";"-";"-";"  force";"dans";"les";"+";"  doigts";"§a§de la force dans les doigts "
"211";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"de la";"-";"-";"  force";"dans";"les";"+";"  mains";"§a§de la force dans les mains "
"212";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"de la";"-";"-";"  force";"dans";"les";"+";"  poignets";"§a§de la force dans les poignets "
"213";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"des";"-";"-";"  fourmis";"dans";"les";"+";"  jambes";"§a§des fourmis dans les jambes "
"214";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"du";"-";"-";"  fric";"de";"<E>";"-";"  côté";"§a§du fric de côté "
"215";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"de le";"-";"-";"  fric";"devant";"<E>";"-";"  Lui-0";"§a§du fric devant lui "
"216";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"de le";"-";"-";"  fric";"sur";"<E>";"-";"  Lui-0";"§a§du fric sur lui "
"217";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  froid";"à";"les";"+";"  mains";"§a§froid aux mains "
"218";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  froid";"Loc";"le";"+";"  Npc";"§a§froid Loc le Npc "
"219";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  froid";"à";"les";"+";"  oreilles";"§a§froid aux oreilles "
"220";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  froid";"à";"les";"+";"  pieds";"§a§froid aux pieds "
"221";"+";"-";"-";"+";"n'";"avoir pas";"-";"-";"-";"<E>";"-";"-";"  froid";"à";"les";"+";"  yeux";"§n'a pas§froid aux yeux "
"222";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"-";"  garçon";"et";"Dnum";"-";"  fille";"§a§Dnum garçon et Dnum fille "
