"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><avoir>";"Vsup = il y avoir";"Vop = mettre";"Vop = N-hum donner";"<ENT>Det1";"C1 =: Npc";"Det1 pluriel";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"C2 =: Npc";"<ENT>C2";"Exemple"
"544";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"de la";"-";"-";"  suite";"dans";"les";"-";"  idées";"§a§de la suite dans les idées "
"545";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"de le";"-";"-";"  temps";"pour";"Poss0";"-";"  amis";"§a§du temps pour ses amis "
"546";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"de le";"-";"-";"  temps";"devant";"<E>";"-";"  Lui-0";"§a§du temps devant lui "
"547";"+";"-";"-";"+";"n'";"avoir";"+";"-";"-";"de";"-";"-";"  temps";"à";"<E>";"-";"  perdre";"§n'a§de temps à perdre "
"548";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"la";"+";"-";"  tête";"en";"le";"-";"  air";"§a§la tête en l'air "
"549";"+";"+";"-";"-";"<E>";"avoir";"-";"+";"-";"la";"+";"+";"  tête";"en";"<E>";"-";"  bas";"§a§la tête en bas "
"550";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"une";"+";"-";"  tête";"à";"<E>";"-";"  caler les roues de corbillard";"§a§une tête à caler les roues de corbillard "
"551";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"une";"+";"-";"  tête";"à";"<E>";"-";"  claques";"§a§une tête à claques "
"552";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"la";"+";"-";"  tête";"à";"le";"+";"  creux de l'épaule de Nhum";"§a§la tête au creux de l'épaule de Nhum "
"553";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"la";"+";"-";"  tête";"hors de";"la";"-";"  eau";"§a§la tête hors de l'eau "
"554";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"une";"+";"-";"  tête";"à";"<E>";"-";"  gifles";"§a§une tête à gifles "
"555";"+";"-";"-";"+";"n'";"avoir plus";"-";"-";"-";"Poss0";"+";"-";"  tête";"à";"<E>";"-";"  Lui-0";"§n'a plus§sa tête à lui "
"556";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"la";"+";"-";"  tête";"comme";"une";"-";"  passoire";"§a§la tête comme une passoire "
"557";"+";"-";"-";"+";"n'";"avoir pas";"-";"-";"-";"une";"+";"-";"  tête";"à";"<E>";"-";"  sucer de la glace";"§n'a pas§une tête à sucer de la glace "
"558";"+";"-";"-";"+";"n'";"avoir pas";"-";"-";"-";"une";"+";"-";"  tête";"à";"<E>";"-";"  sucer des glaçons";"§n'a pas§une tête à sucer des glaçons "
"559";"+";"-";"-";"+";"n'";"avoir pas";"-";"+";"-";"une";"-";"-";"  thune";"de";"<E>";"-";"  côté";"§n'a pas§une thune de côté "
"560";"+";"-";"-";"+";"n'";"avoir pas";"-";"-";"-";"une";"-";"-";"  thune";"à";"<E>";"-";"  Lui-0";"§n'a pas§une thune à lui "
"561";"+";"-";"-";"+";"n'";"avoir pas";"-";"-";"-";"une";"-";"-";"  thune";"devant";"<E>";"-";"  Lui-0";"§n'a pas§une thune devant lui "
"562";"+";"-";"-";"+";"n'";"avoir pas";"-";"-";"-";"une";"-";"-";"  thune";"sur";"<E>";"-";"  Lui-0";"§n'a pas§une thune sur lui "
"563";"+";"-";"-";"+";"n'";"avoir pas";"-";"+";"-";"une";"-";"-";"  thune";"en";"<E>";"-";"  poche";"§n'a pas§une thune en poche "
"564";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"un";"-";"-";"  tigre";"dans";"Poss0";"-";"  moteur";"§a§un tigre dans son moteur "
"565";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"plus d'un";"-";"-";"  tour";"dans";"Poss0";"-";"  sac";"§a§plus d'un tour dans son sac "
"566";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"un";"-";"-";"  tournant";"dans";"Poss0";"-";"  vie";"§a§un tournant dans sa vie "
"567";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"<E>";"-";"-";"  tout";"pour";"<E>";"-";"  Lui-0";"§a§tout pour lui "
"568";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"<E>";"-";"-";"  tout";"de";"le";"-";"  N";"§a§tout du N "
"569";"+";"+";"-";"-";"<E>";"avoir";"-";"-";"-";"<E>";"-";"-";"  tout";"pour";"<E>";"-";"  plaire";"§a§tout pour plaire "
"570";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"un";"-";"-";"  train";"de";"<E>";"-";"  retard";"§a§un train de retard "
"571";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"un";"-";"+";"  transport";"à";"le";"+";"  cerveau";"§a§un transport au cerveau "
"572";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"du";"-";"-";"  travail";"par dessus";"la";"+";"  tête";"§a§du travail par dessus la tête "
"573";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"des";"-";"-";"  trémolos";"dans";"la";"-";"  voix";"§a§des trémolos dans la voix "
"574";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"les";"+";"-";"  tripes";"à";"le";"-";"  air";"§a§les tripes à l'air "
"575";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"les";"+";"-";"  tripes";"à";"le";"-";"  soleil";"§a§les tripes au soleil "
"576";"+";"-";"-";"+";"n'";"avoir pas";"-";"-";"-";"une";"+";"-";"  tronche";"à";"<E>";"-";"  sucer de la glace";"§n'a pas§une tronche à sucer de la glace "
"577";"+";"-";"-";"+";"n'";"avoir pas";"-";"-";"-";"une";"+";"-";"  tronche";"à";"<E>";"-";"  sucer des glaçons";"§n'a pas§une tronche à sucer des glaçons "
"578";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"<E>";"-";"-";"  trop";"à";"<E>";"-";"  faire";"§a§trop à fait "
"579";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"un";"-";"+";"  trou";"dans";"Poss0";"-";"  emploi du temps";"§a§un trou dans son emploi du temps "
"580";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"un";"-";"-";"  trou";"dans";"le";"+";"  talon";"§a§un trou dans le talon "
"581";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"un";"-";"-";"  trou de Nsomme";"dans";"Poss0";"-";"  caisse";"§a§un trou de Nsomme dans sa caisse "
"582";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"un";"-";"-";"  trou de Nsomme";"dans";"Poss0";"-";"  comptabilité";"§a§un trou de Nsomme dans sa comptabilité "
"583";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"un";"-";"-";"  trou de Nsomme";"dans";"Poss0";"-";"  comptes";"§a§un trou de Nsomme dans ses comptes "
"584";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"un";"-";"-";"  trou de yens";"dans";"Poss0";"-";"  caisse";"§a§un trou d'yens dans sa caisse "
