"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"N0 être Prép1 Det1 C1";"Prép1 C1 = où ?";"Exemple"
"189";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"tête";"à";"le";"classement général";"-";"-";"§être§en tête au classement général "
"190";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"tête";"à";"le";"classement par équipe";"-";"-";"§être§en tête au classement par équipe "
"191";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"tête";"dans";"les";"sondages";"-";"-";"§être§en tête dans les sondages "
"192";"+";"-";"-";"-";"<E>";"être";"sur";"Poss0";"trente";"et";"<E>";"un";"-";"-";"§être§sur son trente et un "
"193";"+";"+";"-";"-";"<E>";"être";"à";"<E>";"Trifouiilis-";"<E>";"les-";"oies";"-";"+";"§être§à Trifouiilis-les-oies "
"194";"-";"+";"-";"-";"<E>";"être";"à";"la";"va";"comme";"je te";"pousse";"-";"-";"§être§à la va comme je te pousse "
"195";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"vente";"dans";"toutes les bonnes";"librairies";"-";"-";"§être§en vente dans toutes les bonnes librairies "
"196";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"vente";"dans";"toutes les bonnes";"maisons";"-";"-";"§être§en vente dans toutes les bonnes maisons "
"197";"+";"-";"-";"-";"<E>";"être";"entre";"la";"vie";"et";"la";"mort";"-";"-";"§être§entre la vie et la mort "
"198";"-";"+";"-";"-";"<E>";"être";"à";"le";"vinaigre";"à";"la";"huile";"-";"-";"§être§au vinaigre à l'huile "
"199";"+";"-";"-";"-";"<E>";"être";"par";"<E>";"voies";"et par";"<E>";"chemins";"-";"+";"§être§par voies et par chemins "
"200";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"voile";"et à";"<E>";"vapeur";"-";"-";"§être§à voile et à vapeur "
"201";"-";"+";"-";"-";"<E>";"être";"avec";"<E>";"vue";"sur";"la";"mer";"-";"-";"§être§avec vue sur la mer "
"202";"+";"+";"-";"-";"<E>";"être";"entre";"le";"zist";"et";"le";"zest";"-";"-";"§être§entre le zist et le zest "

