"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"N0 être Prép1 Det1 C1";"Prép1 C1 = où ?";"Exemple"
"126";"+";"-";"-";"-";"<E>";"être";"sur";"la";"place";"<E>";"<E>";"Pasteur";"-";"+";"§être§sur la place Pasteur "
"127";"+";"-";"-";"-";"<E>";"être";"sur";"la";"place";"<E>";"<E>";"X";"-";"+";"§être§sur la place X "
"128";"-";"+";"+";"-";"<E>";"être";"en";"<E>";"plein";"dans";"le";"mille";"-";"-";"§être§en plein dans le mille "
"129";"+";"+";"+";"-";"<E>";"être";"en";"<E>";"plein";"dans";"le";"sujet";"-";"-";"§être§en plein dans le sujet "
"130";"+";"+";"-";"-";"<E>";"être";"entre";"la";"poire";"et";"le";"fromage";"-";"-";"§être§entre la poire et le fromage "
"131";"+";"-";"-";"-";"<E>";"être";"comme";"un";"poisson";"dans";"la";"eau";"-";"-";"§être§comme un poisson dans l'eau "
"132";"+";"-";"-";"-";"<E>";"être";"comme";"un";"poisson";"dans";"la";"eau";"-";"-";"§être§comme un poisson dans l'eau "
"133";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"porte";"à";"<E>";"faux";"-";"-";"§être§en porte à faux "
"134";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"porte";"à";"<E>";"faux";"-";"-";"§être§en porte à faux "
"135";"-";"+";"-";"-";"<E>";"être";"à";"<E>";"prendre";"ou à";"<E>";"laisser";"-";"-";"§être§à prendre ou à laisser "
"136";"+";"+";"-";"+";"n'";"être pas";"à";"<E>";"prendre";"avec";"des";"pincettes";"-";"-";"§n'est pas§à prendre avec des pincettes "
"137";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"proie";"à";"un";"délire";"-";"-";"§être§en proie à un délire "
"138";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"proie";"à";"un";"délire de persécution";"-";"-";"§être§en proie à un délire de persécution "
"139";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"proie";"à";"une";"douleur";"-";"-";"§être§en proie à une douleur "
"140";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"proie";"à";"le";"doute";"-";"-";"§être§en proie au doute "
"141";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"proie";"à";"une";"idée fixe";"-";"-";"§être§en proie à une idée fixe "
"142";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"proie";"à";"une";"obsession";"-";"-";"§être§en proie à une obsession "
"143";"+";"-";"-";"-";"<E>";"être";"sur";"Poss0";"quant";"à";"<E>";"soi";"-";"-";"§être§sur son quant à soi "
"144";"-";"+";"+";"-";"<E>";"être";"sans";"<E>";"queue";"ni";"<E>";"tête";"-";"-";"§être§sans queue ni tête "
"145";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"rage";"après";"<E>";"Lui-0-même";"-";"-";"§être§en rage après lui-même "
"146";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"rage";"contre";"<E>";"Lui-0-même";"-";"-";"§être§en rage contre lui-même "
