"<ID>";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>C1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"Exemple"
"396";"-";"<E>";" être";"une";"savate";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une savate "
"397";"-";"<E>";" être";"une vieille";"savate";"<E>";"<E>";"<E>";"+";"-";"-";"+";"-";"+";"-";"§est§une vieille savate "
"398";"-";"<E>";" être";"un demi-";"sel";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"-";"-";"§est§un demi-sel "
"399";"-";"<E>";" être";"un";"serpent";"à";"<E>";"sonnette";"+";"-";"-";"-";"+";"+";"-";"§est§un serpent à sonnette "
"400";"-";"<E>";" être";"un";"simple";"de";"<E>";"esprit";"+";"-";"+";"-";"+";"+";"+";"§est§un simple d'esprit "
"401";"-";"<E>";" être";"un";"soixante";"<E>";"<E>";"huitard";"+";"-";"-";"-";"+";"+";"+";"§est§un soixante huitard "
"402";"-";"<E>";" être";"une";"souche";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une souche "
"403";"-";"<E>";" être";"<E>";"soupe";"à";"le";"lait";"+";"-";"+";"-";"+";"+";"-";"§est§soupe au lait "
"404";"-";"<E>";" être";"une";"souris";"<E>";"<E>";"<E>";"+";"-";"-";"+";"-";"+";"-";"§est§une souris "
"405";"-";"<E>";" être";"un";"sphinx";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un sphinx "
"406";"-";"<E>";" être";"un";"squelette";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un squelette "
"407";"-";"<E>";" être";"un";"stentor";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un stentor "
"408";"-";"<E>";" être";"un vieux";"tableau";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un vieux tableau "
"409";"-";"<E>";" être";"une";"tache";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une tache "
"410";"-";"<E>";" être";"un";"tanagra";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"§est§un tanagra "
"411";"-";"<E>";" être";"une";"tapette";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"-";"-";"§est§une tapette "
"412";"-";"<E>";" être";"un";"tas";"de";"<E>";"merde";"+";"+";"-";"-";"+";"+";"-";"§est§un tas de merde "
"413";"-";"<E>";" être";"une";"taupe";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§une taupe "
"414";"-";"<E>";" être";"une";"taupe";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§une taupe "
"415";"-";"<E>";" être";"un";"taureau";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"-";"-";"§est§un taureau "
"416";"-";"<E>";" être";"un";"tendron";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un tendron "
"417";"-";"<E>";" être";"une";"tête";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une tête "
"418";"-";"<E>";" être";"une forte";"tête";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une forte tête "
"419";"-";"<E>";" être";"une grosse";"tête";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une grosse tête "
"420";"-";"<E>";" être";"une";"tête";"<E>";"<E>";"blonde";"+";"-";"-";"-";"+";"+";"-";"§est§une tête blonde "
"421";"-";"<E>";" être";"une";"tête";"<E>";"<E>";"brûlée";"+";"-";"+";"-";"+";"+";"-";"§est§une tête brûlée "
"422";"-";"<E>";" être";"une";"tête";"de";"<E>";"cochon";"+";"-";"-";"-";"+";"+";"-";"§est§une tête de cochon "
"423";"-";"<E>";" être";"une";"tête";"de";"<E>";"con";"+";"-";"-";"-";"+";"+";"-";"§est§une tête de con "
"424";"-";"<E>";" être";"une";"tête";"<E>";"<E>";"couronnée";"+";"-";"-";"-";"+";"+";"-";"§est§une tête couronnée "
"425";"-";"<E>";" être";"une";"tête";"de";"<E>";"linotte";"+";"-";"-";"-";"+";"+";"-";"§est§une tête de linotte "
"426";"-";"<E>";" être";"une";"tête";"de";"<E>";"noeud";"+";"-";"-";"-";"+";"+";"-";"§est§une tête de noeud "
"427";"-";"<E>";" être";"un";"tigre";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"-";"+";"§est§un tigre "
"428";"-";"<E>";" être";"<E>";"torse";"<E>";"<E>";"nu";"+";"-";"-";"-";"+";"+";"-";"§est§torse nu "
"429";"-";"<E>";" être";"une";"tortue";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§une tortue "
"430";"-";"<E>";" être";"une";"tour";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"§est§une tour "
"431";"-";"<E>";" être";"un";"tourbillon";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un tourbillon "
"432";"-";"<E>";" être";"un bon";"toutou";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"-";"-";"§est§un bon toutou "
"433";"-";"<E>";" être";"une";"traînée";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"§est§une traînée "
"434";"+";"n'";" être pas";"de";"trop";"<E>";"<E>";"<E>";"+";"+";"+";"-";"+";"+";"-";"§n'est pas§de trop "
"435";"-";"<E>";" être";"un";"trou";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"§est§un trou "
"436";"-";"<E>";" être";"un";"trou";"de";"le";"cul";"+";"-";"+";"-";"+";"+";"-";"§est§un trou du cul "
"437";"-";"<E>";" être";"une";"truie";"<E>";"<E>";"<E>";"+";"-";"-";"+";"-";"+";"-";"§est§une truie "
"438";"-";"<E>";" être";"<E>";"un";"de";"les";"nôtres";"+";"-";"-";"-";"+";"+";"+";"§est§un des nôtres "
"439";"-";"<E>";" être";"le";"un";"de";"les";"nôtres";"+";"-";"-";"-";"+";"+";"+";"§est§l'un des nôtres "
"440";"-";"<E>";" être";"<E>";"un";"de";"les";"vôtres";"+";"-";"-";"-";"+";"+";"+";"§est§un des vôtres "
