"<ID>";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>C1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"Exemple"
"87";"+";"n'";" être pas";"grand";"chose";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§n'est pas§grand chose "
"88";"-";"<E>";" être";"peu de";"chose";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§peu de chose "
"89";"-";"<E>";" être";"tout";"chose";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"+";"§est§tout chose "
"90";"-";"<E>";" être";"un pas grand";"chose";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"+";"§est§un pas grand chose "
"91";"-";"<E>";" être";"peu de";"chose";"sur";"<E>";"terre";"+";"-";"-";"-";"+";"+";"-";"§est§peu de chose sur terre "
"92";"-";"<E>";" être";"une vieille";"chouette";"<E>";"<E>";"<E>";"+";"-";"-";"+";"-";"+";"-";"§est§une vieille chouette "
"93";"-";"<E>";" être";"une";"cigale";"<E>";"<E>";"<E>";"+";"-";"+";"+";"+";"-";"-";"§est§une cigale "
"94";"-";"<E>";" être";"une";"cloche";"<E>";"<E>";"<E>";"+";"-";"+";"-";"+";"+";"-";"§est§une cloche "
"95";"-";"<E>";" être";"une pauvre";"cloche";"<E>";"<E>";"<E>";"+";"-";"+";"-";"+";"+";"-";"§est§une pauvre cloche "
"96";"-";"<E>";" être";"un";"cloporte";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un cloporte "
"97";"-";"<E>";" être";"un";"cobaye";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un cobaye "
"98";"-";"<E>";" être";"un";"cochon";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"-";"-";"§est§un cochon "
"99";"-";"<E>";" être";"un";"cochon";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"+";"§est§un cochon "
"100";"-";"<E>";" être";"une";"cocotte";"<E>";"<E>";"<E>";"+";"-";"-";"+";"-";"+";"-";"§est§une cocotte "
"101";"-";"<E>";" être";"un sans-";"coeur";"<E>";"<E>";"<E>";"+";"-";"+";"-";"+";"+";"-";"§est§un sans-coeur "
"102";"-";"<E>";" être";"une";"col";"<E>";"<E>";"blanc";"+";"-";"+";"-";"+";"+";"-";"§est§une col blanc "
"103";"-";"<E>";" être";"une";"col";"<E>";"<E>";"bleu";"+";"-";"+";"-";"+";"+";"-";"§est§une col bleu "
"104";"-";"<E>";" être";"<E>";"collet";"<E>";"<E>";"monté";"+";"-";"-";"-";"+";"+";"-";"§est§collet monté "
"105";"-";"<E>";" être";"une";"colombe";"<E>";"<E>";"<E>";"+";"-";"+";"+";"+";"+";"-";"§est§une colombe "
"106";"+";"n'";" être pas";"le";"commun";"de";"les";"mortels";"+";"-";"-";"-";"+";"+";"-";"§n'est pas§le commun des mortels "
"107";"-";"<E>";" être";"un";"con";"<E>";"<E>";"<E>";"+";"-";"+";"-";"+";"-";"-";"§est§un con "
"108";"-";"<E>";" être";"une vieux";"con";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une vieux con "
"109";"-";"<E>";" être";"tous des";"cons";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"+";"§est§tous des cons "
"110";"-";"<E>";" être";"un";"coq";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"-";"-";"§est§un coq "
"111";"-";"<E>";" être";"un";"corbeau";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un corbeau "
"112";"-";"<E>";" être";"une";"cordon";"<E>";"<E>";"bleu";"+";"-";"+";"-";"+";"+";"-";"§est§une cordon bleu "
"113";"-";"<E>";" être";"une";"couille";"<E>";"<E>";"molle";"+";"-";"+";"-";"+";"+";"-";"§est§une couille molle "
"114";"-";"<E>";" être";"un bon";"coup";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un bon coup "
"115";"-";"<E>";" être";"un deuxième";"couteau";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un deuxième couteau "
"116";"-";"<E>";" être";"un second";"couteau";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un second couteau "
"117";"-";"<E>";" être";"un";"crampon";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un crampon "
"118";"-";"<E>";" être";"un";"crapaud";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un crapaud "
"119";"-";"<E>";" être";"la";"crème";"de";"la";"crème";"+";"-";"-";"-";"+";"+";"-";"§est§la crème de la crème "
"120";"-";"<E>";" être";"la";"crème";"de";"les";"hommes";"+";"-";"-";"-";"+";"-";"-";"§est§la crème des hommes "
"121";"-";"<E>";" être";"une vieille";"croûte";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une vieille croûte "
"122";"-";"<E>";" être";"un vieux";"croûton";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un vieux croûton "
"123";"-";"<E>";" être";"une";"cruche";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une cruche "
"124";"-";"<E>";" être";"un faux-";"cul";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"-";"-";"§est§un faux-cul "
"125";"-";"<E>";" être";"un";"cul";"<E>";"<E>";"terreux";"+";"-";"-";"-";"+";"+";"+";"§est§un cul terreux "
"126";"-";"<E>";" être";"un";"danger";"<E>";"<E>";"public";"+";"-";"-";"-";"+";"+";"-";"§est§un danger public "
"127";"-";"<E>";" être";"un";"débris";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un débris "
"128";"-";"<E>";" être";"un";"débris";"<E>";"<E>";"humain";"+";"-";"-";"-";"+";"+";"-";"§est§un débris humain "
"129";"-";"<E>";" être";"le";"dernier";"de";"les";"derniers";"+";"-";"-";"-";"+";"+";"+";"§est§le dernier des derniers "
"130";"-";"<E>";" être";"le";"dessus";"de";"le";"panier";"+";"-";"-";"-";"+";"+";"-";"§est§le dessus du panier "
"131";"-";"<E>";" être";"un";"dieu";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"+";"§est§un dieu "
"132";"-";"<E>";" être";"une";"dinde";"<E>";"<E>";"<E>";"+";"-";"-";"+";"-";"+";"-";"§est§une dinde "
"133";"-";"<E>";" être";"le";"dindon";"de";"la";"farce";"+";"-";"-";"+";"+";"+";"-";"§est§le dindon de la farce "
"134";"-";"<E>";" être";"un";"dinosaure";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un dinosaure "
"135";"-";"<E>";" être";"une grosse";"dondon";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"§est§une grosse dondon "
"136";"-";"<E>";" être";"un vieux";"dragon";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un vieux dragon "
"137";"-";"<E>";" être";"un";"drôle";"de";"<E>";"animal";"+";"-";"-";"+";"+";"+";"-";"§est§un drôle d'animal "
"138";"-";"<E>";" être";"un";"drôle";"de";"<E>";"citoyen";"+";"-";"-";"-";"+";"+";"-";"§est§un drôle de citoyen "
"139";"-";"<E>";" être";"un";"drôle";"de";"<E>";"coco";"+";"-";"-";"-";"+";"-";"-";"§est§un drôle de coco "
"140";"-";"<E>";" être";"un";"drôle";"de";"<E>";"morceau";"+";"-";"-";"-";"+";"+";"-";"§est§un drôle de morceau "
"141";"-";"<E>";" être";"un ";"drôle";"de";"<E>";"numéro";"+";"-";"-";"-";"+";"+";"-";"§est§un drôle de numéro "
"142";"-";"<E>";" être";"un";"drôle";"de";"<E>";"oiseau";"+";"-";"-";"+";"+";"+";"-";"§est§un drôle d'oiseau "
"143";"-";"<E>";" être";"un";"drôle";"de";"<E>";"type";"+";"-";"-";"-";"+";"-";"-";"§est§un drôle de type "
"144";"-";"<E>";" être";"un";"drôle";"de";"<E>";"zèbre";"+";"-";"-";"+";"+";"-";"-";"§est§un drôle de zèbre "
"145";"-";"<E>";" être";"un";"drôle";"de";"<E>";"zigoto";"+";"-";"-";"-";"+";"-";"-";"§est§un drôle de zigoto "
"146";"-";"<E>";" être";"un";"drôle";"de";"<E>";"zigue";"+";"-";"-";"-";"+";"-";"-";"§est§un drôle de zigue "
"147";"-";"<E>";" être";"un";"dur";"à";"<E>";"cuire";"+";"-";"+";"-";"+";"-";"-";"§est§un dur à cuire "
"148";"-";"<E>";" être";"un";"dur";"de";"<E>";"dur";"+";"-";"+";"-";"+";"-";"-";"§est§un dur de dur "
"149";"-";"<E>";" être";"un grand";"échalas";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un grand échalas "
"150";"-";"<E>";" être";"un";"éléphant";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un éléphant "
"151";"-";"<E>";" être";"un";"emplâtre";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un emplâtre "
"152";"-";"<E>";" être";"une";"épave";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une épave "
"153";"-";"<E>";" être";"un";"escargot";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un escargot "
"154";"-";"<E>";" être";"de grands";"esprit";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§de grands esprit "
"155";"-";"<E>";" être";"un";"esprit";"<E>";"<E>";"fort";"+";"-";"-";"-";"+";"+";"-";"§est§un esprit fort "
"156";"-";"<E>";" être";"un";"esprit";"<E>";"<E>";"libre";"+";"-";"-";"-";"+";"+";"-";"§est§un esprit libre "
"157";"-";"<E>";" être";"un";"esprit";"<E>";"<E>";"faux";"+";"-";"-";"-";"+";"+";"-";"§est§un esprit faux "
"158";"-";"<E>";" être";"une";"étoile";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une étoile "
"159";"-";"<E>";" être";"un";"étourneau";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un étourneau "
"160";"-";"<E>";" être";"une";"exception";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une exception "
"161";"-";"<E>";" être";"une";"face";"de";"<E>";"Carême";"+";"-";"-";"-";"+";"+";"-";"§est§une face de Carême "
"162";"-";"<E>";" être";"une";"face";"de";"<E>";"rat";"+";"-";"-";"-";"+";"+";"-";"§est§une face de rat "
"163";"-";"<E>";" être";"<E>";"face";"contre";"<E>";"terre";"+";"-";"-";"-";"+";"+";"-";"§est§face contre terre "
"164";"-";"<E>";" être";"la";"face";"contre";"<E>";"terre";"+";"-";"+";"-";"+";"+";"-";"§est§la face contre terre "
"165";"-";"<E>";" être";"un";"faible";"de";"<E>";"esprit";"+";"-";"+";"-";"+";"+";"+";"§est§un faible d'esprit "
"166";"-";"<E>";" être";"<E>";"fair";"<E>";"<E>";"play";"+";"+";"+";"-";"+";"+";"-";"§est§fair play "
"167";"-";"<E>";" être";"un";"faisan";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"-";"-";"§est§un faisan "
"168";"-";"<E>";" être";"un";"faucon";"<E>";"<E>";"<E>";"+";"-";"+";"+";"+";"+";"-";"§est§un faucon "
"169";"-";"<E>";" être";"un";"fléau";"de";"<E>";"Dieu";"+";"-";"-";"-";"+";"+";"-";"§est§un fléau de Dieu "
"170";"-";"<E>";" être";"un";"fléau";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un fléau "
"171";"-";"<E>";" être";"une petite";"fleur";"de";"les";"bois";"+";"-";"-";"-";"-";"+";"-";"§est§une petite fleur des bois "
"172";"-";"<E>";" être";"une";"fort";"en";"<E>";"gueule";"+";"-";"-";"-";"+";"-";"-";"§est§une fort en gueule "
"173";"-";"<E>";" être";"une grosse";"fortune";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une grosse fortune "
"174";"-";"<E>";" être";"un";"foudre";"de";"<E>";"guerre";"+";"-";"-";"-";"+";"-";"-";"§est§un foudre de guerre "
"175";"-";"<E>";" être";"une bonne";"fourchette";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une bonne fourchette "
"176";"-";"<E>";" être";"une";"fourmi";"<E>";"<E>";"<E>";"+";"-";"+";"+";"+";"-";"-";"§est§une fourmi "
"177";"-";"<E>";" être";"du menu";"fretin";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§du menu fretin "
"178";"-";"<E>";" être";"un";"fumier";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"-";"-";"§est§un fumier "
"179";"-";"<E>";" être";"un bon";"fusil";"<E>";"<E>";"<E>";"+";"-";"+";"-";"+";"+";"-";"§est§un bon fusil "
"180";"-";"<E>";" être";"une";"gazelle";"<E>";"<E>";"<E>";"+";"-";"-";"+";"-";"+";"-";"§est§une gazelle "
"181";"-";"<E>";" être";"un sans-";"gêne";"<E>";"<E>";"<E>";"+";"-";"+";"-";"+";"+";"-";"§est§un sans-gêne "
"182";"-";"<E>";" être";"un gros";"gibier";"<E>";"<E>";"<E>";"+";"-";"+";"+";"+";"-";"-";"§est§un gros gibier "
"183";"-";"<E>";" être";"une grande";"girafe";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§une grande girafe "
"184";"-";"<E>";" être";"une";"girouette";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une girouette "
"185";"-";"<E>";" être";"un";"glaçon";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un glaçon "
"186";"-";"<E>";" être";"un";"goret";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"-";"-";"§est§un goret "
"187";"-";"<E>";" être";"un";"gorille";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un gorille "
"188";"-";"<E>";" être";"un";"gorille";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"-";"-";"§est§un gorille "
"189";"-";"<E>";" être";"un fin";"gourmet";"<E>";"<E>";"<E>";"+";"-";"+";"-";"+";"+";"-";"§est§un fin gourmet "
"190";"-";"<E>";" être";"de la mauvaise";"graine";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§de la mauvaise graine "
"191";"-";"<E>";" être";"une";"gravure";"de";"<E>";"mode";"+";"-";"-";"-";"+";"+";"-";"§est§une gravure de mode "
"192";"-";"<E>";" être";"une";"grenouille";"de";"<E>";"bénitier";"+";"-";"+";"+";"+";"+";"-";"§est§une grenouille de bénitier "
"193";"-";"<E>";" être";"toutes";"griffes";"<E>";"<E>";"dehors";"+";"-";"-";"-";"+";"+";"-";"§est§toutes griffes dehors "
"194";"-";"<E>";" être";"une vieux";"grigou";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une vieux grigou "
"195";"-";"<E>";" être";"un bon";"gros";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"+";"§est§un bon gros "
"196";"-";"<E>";" être";"une";"grue";"<E>";"<E>";"<E>";"+";"-";"-";"+";"-";"+";"-";"§est§une grue "
"197";"-";"<E>";" être";"une";"guenon";"<E>";"<E>";"<E>";"+";"-";"-";"+";"-";"+";"-";"§est§une guenon "
"198";"-";"<E>";" être";"une fine";"gueule";"<E>";"<E>";"<E>";"+";"-";"+";"-";"+";"+";"-";"§est§une fine gueule "
"199";"-";"<E>";" être";"une grande";"gueule";"<E>";"<E>";"<E>";"+";"-";"+";"-";"+";"+";"-";"§est§une grande gueule "
"200";"-";"<E>";" être";"de la mauvaise";"herbe";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§de la mauvaise herbe "
"201";"-";"<E>";" être";"un";"hibou";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un hibou "
"202";"-";"<E>";" être";"une";"hirondelle";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"-";"-";"§est§une hirondelle "
"203";"-";"<E>";" être";"une";"huile";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une huile "
"204";"-";"<E>";" être";"une grosse";"huile";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une grosse huile "
"205";"-";"<E>";" être";"une";"hyène";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§une hyène "
"206";"+";"n'";" être pas";"ne";"importe";"<E>";"<E>";"qui";"+";"-";"-";"-";"+";"+";"-";"§n'est pas§ne importe qui "
"207";"-";"<E>";" être";"un faux-";"jeton";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un faux-jeton "
"208";"-";"<E>";" être";"une";"jument";"de";"<E>";"brasseur";"+";"-";"-";"+";"-";"+";"-";"§est§une jument de brasseur "
"209";"-";"<E>";" être";"un";"jusqu'";"<E>";"<E>";"auboutiste";"+";"-";"-";"-";"+";"+";"-";"§est§un jusqu'auboutiste "
"210";"-";"<E>";" être";"un";"laissé";"pour";"<E>";"compte";"+";"-";"-";"-";"+";"+";"+";"§est§un laissé pour compte "
"211";"-";"<E>";" être";"une fine";"lame";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une fine lame "
"212";"-";"<E>";" être";"une mauvaise";"langue";"<E>";"<E>";"<E>";"+";"-";"+";"-";"+";"+";"-";"§est§une mauvaise langue "
"213";"-";"<E>";" être";"un chaud";"lapin";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"+";"§est§un chaud lapin "
"214";"-";"<E>";" être";"un fameux";"lapin";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"+";"§est§un fameux lapin "
"215";"-";"<E>";" être";"un rude";"lapin";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"+";"§est§un rude lapin "
"216";"-";"<E>";" être";"un gros";"lard";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"-";"-";"§est§un gros lard "
"217";"-";"<E>";" être";"une";"larve";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§une larve "
"218";"-";"<E>";" être";"une";"lavette";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une lavette "
"219";"-";"<E>";" être";"un";"légume";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un légume "
"220";"-";"<E>";" être";"une grosse";"légume";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une grosse légume "
"221";"-";"<E>";" être";"une";"liane";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"§est§une liane "
"222";"-";"<E>";" être";"une";"liane";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"§est§une liane "
"223";"-";"<E>";" être";"un";"lièvre";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un lièvre "
"224";"-";"<E>";" être";"une";"limace";"<E>";"<E>";"<E>";"+";"-";"+";"+";"+";"-";"-";"§est§une limace "
"225";"-";"<E>";" être";"une";"linotte";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§une linotte "
"226";"-";"<E>";" être";"un";"lion";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"-";"-";"§est§un lion "
"227";"-";"<E>";" être";"un";"loir";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un loir "
"228";"-";"<E>";" être";"une";"loque";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une loque "
"229";"-";"<E>";" être";"un";"loup";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"-";"+";"§est§un loup "
"230";"-";"<E>";" être";"un jeune";"loup";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"-";"-";"§est§un jeune loup "
"231";"-";"<E>";" être";"un";"loup";"de";"<E>";"mer";"+";"-";"-";"-";"+";"-";"-";"§est§un loup de mer "
"232";"-";"<E>";" être";"un";"maillot";"<E>";"<E>";"jaune";"+";"-";"+";"-";"+";"+";"-";"§est§un maillot jaune "
"233";"-";"<E>";" être";"un";"maillot";"<E>";"<E>";"jaune";"+";"-";"+";"-";"+";"+";"-";"§est§un maillot jaune "
"234";"-";"<E>";" être";"un";"malstrom";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un malstrom "
"235";"-";"<E>";" être";"un";"maquereau";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"-";"-";"§est§un maquereau "
"236";"-";"<E>";" être";"une";"maquerelle";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"§est§une maquerelle "
"237";"-";"<E>";" être";"une";"marionnette";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une marionnette "
"238";"-";"<E>";" être";"<E>";"marron";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§marron "
"239";"-";"<E>";" être";"<E>";"marteau";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§marteau "
"240";"-";"<E>";" être";"un";"m'as-tu";"<E>";"<E>";"vu";"+";"-";"+";"-";"+";"+";"+";"§est§un m'as-tu vu "
"241";"-";"<E>";" être";"un";"melon";"<E>";"<E>";"<E>";"+";"-";"+";"-";"+";"-";"-";"§est§un melon "
"242";"+";"n'";" être plus";"le";"même";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"+";"§n'est plus§le même "
"243";"-";"<E>";" être";"une";"merde";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une merde "
"244";"-";"<E>";" être";"une";"merde";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une merde "
"245";"-";"<E>";" être";"une";"mère";"<E>";"<E>";"poule";"+";"-";"-";"+";"-";"+";"-";"§est§une mère poule "
"246";"-";"<E>";" être";"un";"merle";"<E>";"<E>";"blanc";"+";"-";"-";"+";"+";"+";"-";"§est§un merle blanc "
"247";"-";"<E>";" être";"la huitième";"merveille";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§l'huitième merveille "
"248";"-";"<E>";" être";"la septième";"merveille";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§la septième merveille "
"249";"-";"<E>";" être";"une petite";"merveille";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une petite merveille "
"250";"-";"<E>";" être";"un";"minet";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"-";"-";"§est§un minet "
"251";"-";"<E>";" être";"un";"minus";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un minus "
"252";"-";"<E>";" être";"un";"minus";"<E>";"<E>";"habens";"+";"-";"-";"-";"+";"+";"-";"§est§un minus habens "
"253";"-";"<E>";" être";"un autre";"moi-";"<E>";"<E>";"même";"+";"-";"-";"-";"+";"+";"+";"§est§un autre moi-même "
"254";"-";"<E>";" être";"un";"moins";"que";"<E>";"rien";"+";"-";"-";"-";"+";"+";"+";"§est§un moins que rien "
"255";"-";"<E>";" être";"un";"molasson";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"+";"§est§un molasson "
"256";"-";"<E>";" être";"un";"mollusque";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un mollusque "
"257";"+";"n'";" être pas";"tout le";"monde";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§n'est pas§tout le monde "
"258";"-";"<E>";" être";"un";"monstre";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un monstre "
"259";"-";"<E>";" être";"un petit";"monstre";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un petit monstre "
"260";"-";"<E>";" être";"un";"monstre";"de";"<E>";"égoïsme";"+";"-";"-";"+";"+";"+";"-";"§est§un monstre d'égoïsme "
"261";"-";"<E>";" être";"un";"monstre";"de";"<E>";"ingratitude";"+";"-";"-";"+";"+";"+";"-";"§est§un monstre d'ingratitude "
"262";"-";"<E>";" être";"un";"monstre";"<E>";"<E>";"sacré";"+";"-";"-";"+";"+";"+";"-";"§est§un monstre sacré "
"263";"-";"<E>";" être";"une";"montagne";"de";"<E>";"chair";"+";"-";"-";"-";"+";"+";"-";"§est§une montagne de chair "
"264";"-";"<E>";" être";"un";"monte";"en";"le";"air";"+";"-";"+";"-";"+";"+";"-";"§est§un monte en l'air "
"265";"-";"<E>";" être";"un beau";"morceau";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un beau morceau "
"266";"-";"<E>";" être";"un sacré";"morceau";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un sacré morceau "
"267";"-";"<E>";" être";"un";"morpion";"<E>";"<E>";"<E>";"+";"-";"+";"+";"+";"-";"+";"§est§un morpion "
"268";"-";"<E>";" être";"un";"mort";"<E>";"<E>";"vivant";"+";"-";"-";"-";"+";"+";"+";"§est§un mort vivant "
"269";"-";"<E>";" être";"un heureux";"mortel";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un heureux mortel "
"270";"-";"<E>";" être";"une";"morue";"<E>";"<E>";"<E>";"+";"-";"-";"+";"-";"+";"-";"§est§une morue "
"271";"-";"<E>";" être";"une fine";"mouche";"<E>";"<E>";"<E>";"+";"-";"+";"+";"+";"+";"-";"§est§une fine mouche "
"272";"-";"<E>";" être";"un";"moulin";"à";"<E>";"paroles";"+";"-";"-";"-";"+";"+";"-";"§est§un moulin à paroles "
"273";"-";"<E>";" être";"un";"mouton";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un mouton "
"274";"-";"<E>";" être";"un";"mouton";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un mouton "
"275";"-";"<E>";" être";"un";"mouton";"<E>";"<E>";"noir";"+";"-";"+";"+";"+";"-";"-";"§est§un mouton noir "
"276";"-";"<E>";" être";"un";"mouton";"<E>";"<E>";"noir";"+";"-";"-";"+";"+";"+";"-";"§est§un mouton noir "
"277";"-";"<E>";" être";"un";"mouton";"à";"cinq";"pattes";"+";"-";"-";"+";"+";"+";"-";"§est§un mouton à cinq pattes "
"278";"-";"<E>";" être";"des";"moutons";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§des moutons "
"279";"-";"<E>";" être";"une";"mule";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§une mule "
"280";"-";"<E>";" être";"un";"mur";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un mur "
"281";"-";"<E>";" être";"une";"nana";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"§est§une nana "
"282";"-";"<E>";" être";"<E>";"nature";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§nature "
"283";"-";"<E>";" être";"très";"nature";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§très nature "
"284";"-";"<E>";" être";"une bonne";"nature";"<E>";"<E>";"<E>";"+";"-";"+";"-";"+";"+";"-";"§est§une bonne nature "
"285";"-";"<E>";" être";"une petite";"nature";"<E>";"<E>";"<E>";"+";"-";"+";"-";"+";"+";"-";"§est§une petite nature "
