"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: en figé";"<ENT>Ppv";"<ENT><avoir>";"<ENT>Det1";"C1 =: Npc0";"Det1 pluriel";"<ENT>C1";"<ENT>Adj1";"Det1 =: Dind";"Vop = N-hum donner";"il y avoir Det1 C1 Adj1 Prép2 (N2 de N0)";"Exemple"
"51";"+";"-";"-";"<E>";" avoir";"<E>";"-";"-";"  eu";"chaud";"-";"-";"-";"§a§eu chaud "
"52";"+";"-";"-";"<E>";" avoir";"la";"-";"-";"  fibre";"Adj";"-";"+";"+";"§a§la fibre Adj "
"53";"+";"-";"-";"<E>";" avoir";"la";"-";"-";"  fibre";"maternelle";"-";"+";"+";"§a§la fibre maternelle "
"54";"+";"-";"-";"<E>";" avoir";"la";"-";"-";"  fibre";"paternelle";"-";"+";"+";"§a§la fibre paternelle "
"55";"+";"+";"-";"<E>";" avoir";"<E>";"+";"-";"  figure";"Adj";"+";"+";"-";"§a§figure Adj "
"56";"+";"-";"-";"<E>";" avoir";"la";"-";"-";"  gâchette";"facile";"-";"-";"-";"§a§la gâchette facile "
"57";"+";"-";"-";"<E>";" avoir";"le";"+";"-";"  gosier";"serré";"-";"-";"-";"§a§le gosier serré "
"58";"-";"-";"-";"<E>";" avoir";"la";"+";"-";"  gueule";"enfarinée";"-";"-";"-";"§a§la gueule enfarinée "
"59";"+";"-";"-";"<E>";" avoir";"une";"-";"+";"  idée";"fixe";"-";"+";"+";"§a§une idée fixe "
"60";"+";"-";"-";"<E>";" avoir";"une";"+";"+";"  idée";"toute faite";"-";"+";"+";"§a§une idée toute faite "
"61";"+";"-";"-";"<E>";" avoir";"les";"-";"-";"  idées";"claires";"+";"-";"-";"§a§les idées claires "
"62";"+";"-";"-";"<E>";" avoir";"les";"-";"-";"  idées";"larges";"+";"-";"-";"§a§les idées larges "
"63";"+";"-";"-";"<E>";" avoir";"les";"+";"-";"  jambes";"torses";"-";"-";"-";"§a§les jambes torses "
"64";"+";"+";"-";"<E>";" avoir";"des";"-";"-";"  jours";"difficiles";"-";"+";"-";"§a§des jours difficiles "
"65";"+";"+";"-";"<E>";" avoir";"des";"-";"-";"  jours";"heureux";"-";"+";"-";"§a§des jours heureux "
"66";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  langue";"bien pendue";"+";"-";"-";"§a§la langue bien pendue "
"67";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  langue";"pendante";"+";"-";"-";"§a§la langue pendante "
"68";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  langue";"trop longue";"+";"-";"-";"§a§la langue trop longue "
"69";"+";"-";"-";"<E>";" avoir";"la";"-";"-";"  larme";"facile";"-";"-";"-";"§a§la larme facile "
"70";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  main";"leste";"-";"-";"-";"§a§la main leste "
