"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"C1 =: Npc0";"<ENT>C1";"N0 V Prép1 Det1 C1";"C1 =: C1 de Nhum";"C1 =: C1 de N-hum";"C1 de Nhum = Ppv-C1 =: lui-C1";"Det1 C1 de Nc = Poss C1";"Exemple"
"212";"+";"-";"-";"-";"-";"<E>";" passer";"sur";"le";"+";" ventre";"-";"+";"-";"+";"-";"§passer§sur le ventre "
"213";"+";"-";"-";"+";"-";"en";" passer";"par";"la";"-";" volonté";"-";"+";"-";"-";"+";"§en passer§par la volonté "
"214";"+";"+";"-";"-";"-";"<E>";" pêcher";"par";"<E>";"-";" excès";"-";"-";"+";"-";"-";"§pêcher§par excès "
"215";"-";"+";"+";"-";"-";"se";" peindre";"sur";"les";"+";" traits";"-";"+";"-";"-";"+";"§se peindre§sur les traits "
"216";"-";"+";"+";"-";"-";"se";" peindre";"sur";"le";"+";" visage";"-";"+";"-";"-";"+";"§se peindre§sur le visage "
"217";"-";"+";"+";"-";"-";"se";" peindre";"sur";"le";"+";" visage";"-";"+";"-";"-";"+";"§se peindre§sur le visage "
"218";"+";"-";"+";"-";"-";"se";" pencher";"sue";"le";"-";" cas";"-";"+";"-";"-";"+";"§se pencher§sue le cas "
"219";"+";"-";"-";"-";"-";"<E>";" pencher";"de";"le";"-";" côté";"-";"+";"-";"-";"+";"§pencher§du côté "
"220";"+";"-";"-";"-";"-";"<E>";" pencher";"en";"<E>";"-";" faveur";"-";"+";"-";"-";"+";"§pencher§en faveur "
"221";"+";"-";"+";"-";"-";"se";" pendre";"à";"les";"-";" basques";"-";"+";"-";"-";"+";"§se pendre§aux basques "
"222";"+";"-";"+";"-";"-";"se";" pendre";"à";"le";"+";" bras";"-";"+";"-";"-";"+";"§se pendre§au bras "
"223";"+";"-";"+";"-";"-";"se";" pendre";"à";"le";"+";" cou";"-";"+";"-";"-";"+";"§se pendre§au cou "
"224";"-";"+";"-";"-";"-";"<E>";" pendre";"à";"le";"+";" cou";"-";"+";"-";"+";"+";"§pendre§au cou "
"225";"+";"-";"+";"-";"-";"se";" pendre";"à";"les";"+";" lèvres";"-";"+";"-";"-";"+";"§se pendre§aux lèvres "
"226";"+";"-";"+";"-";"-";"se";" pendre";"à";"la";"-";" sonnette";"-";"+";"-";"-";"+";"§se pendre§à la sonnette "
"227";"+";"+";"+";"-";"-";"se";" perdre";"dans";"les";"-";" marais";"-";"-";"+";"-";"+";"§se perdre§dans les marais "
"228";"+";"+";"+";"-";"-";"se";" perdre";"dans";"la";"-";" masse";"-";"-";"+";"-";"+";"§se perdre§dans la masse "
"229";"+";"+";"+";"-";"-";"se";" perdre";"dans";"les";"-";" méandres";"-";"-";"+";"-";"+";"§se perdre§dans les méandres "
"230";"+";"+";"+";"-";"-";"se";" perdre";"dans";"les";"-";" sables";"-";"-";"+";"-";"+";"§se perdre§dans les sables "
"231";"-";"+";"-";"-";"-";"<E>";" peser";"sur";"le";"+";" coeur";"-";"+";"-";"+";"+";"§peser§sur le coeur "
"232";"-";"+";"-";"-";"-";"<E>";" peser";"sur";"les";"+";" épaules";"-";"+";"-";"+";"+";"§peser§sur les épaules "
"233";"-";"+";"-";"-";"-";"<E>";" péter";"dans";"les";"+";" doigts";"+";"+";"-";"+";"+";"§péter§dans les doigts "
"234";"-";"+";"-";"-";"-";"<E>";" péter";"dans";"la";"+";" figure";"+";"+";"-";"+";"-";"§péter§dans la figure "
