"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"C1 =: Npc0";"<ENT>C1";"N0 V Prép1 Det1 C1";"C1 =: C1 de Nhum";"C1 =: C1 de N-hum";"C1 de Nhum = Ppv-C1 =: lui-C1";"Det1 C1 de Nc = Poss C1";"Exemple"
"354";"-";"+";"-";"-";"-";"<E>";" tomber";"sous";"la";"+";" main";"-";"+";"-";"+";"-";"§tomber§sous la main "
"355";"+";"+";"-";"-";"-";"<E>";" tomber";"à";"les";"+";" mains";"-";"+";"-";"-";"-";"§tomber§aux mains "
"356";"+";"+";"-";"-";"-";"<E>";" tomber";"sur";"le";"-";" paletot";"-";"+";"-";"+";"-";"§tomber§sur le paletot "
"357";"+";"+";"-";"-";"-";"<E>";" tomber";"sous";"la";"+";" patte";"-";"+";"-";"+";"+";"§tomber§sous la patte "
"358";"+";"-";"-";"-";"-";"<E>";" tomber";"à";"les";"+";" pieds";"-";"+";"-";"-";"+";"§tomber§aux pieds "
"359";"+";"-";"-";"-";"-";"<E>";" tomber";"sur";"le";"+";" poil";"-";"+";"-";"+";"-";"§tomber§sur le poil "
"360";"+";"+";"-";"-";"-";"<E>";" tomber";"sur";"le";"+";" rable";"+";"-";"-";"+";"-";"§tomber§sur le rable "
"361";"+";"-";"-";"-";"-";"<E>";" toquer";"à";"la";"-";" porte";"-";"+";"-";"-";"+";"§toquer§à la porte "
"362";"+";"-";"-";"-";"+";"ne";" toucher";"à";"un";"+";" cheveu";"-";"+";"-";"-";"-";"§ne toucher§à un cheveu "
"363";"+";"-";"-";"-";"-";"<E>";" toucher";"à";"le";"-";" porte-feuille";"-";"+";"-";"-";"+";"§toucher§au porte-feuille "
"364";"+";"-";"-";"-";"-";"<E>";" toucher";"à";"le";"-";" terme";"-";"-";"+";"-";"+";"§toucher§au terme "
"365";"+";"-";"-";"-";"+";"ne";" toucher pas";"à";"un";"+";" cheveu de la tête";"-";"+";"-";"-";"+";"§ne toucher pas§à un cheveu de la tête "
"366";"-";"+";"-";"-";"-";"<E>";" tourner";"sur";"le";"+";" coeur";"+";"+";"-";"+";"-";"§tourner§sur le coeur "
"367";"+";"-";"+";"-";"-";"se";" traîner";"à";"les";"+";" pieds";"-";"+";"-";"-";"+";"§se traîner§aux pieds "
"368";"+";"-";"+";"-";"-";"se";" transporter";"à";"le";"-";" endroit";"-";"-";"+";"-";"-";"§se transporter§à l'endroit "
"369";"+";"-";"+";"-";"-";"se";" transporter";"sur";"les";"-";" lieux";"-";"-";"+";"-";"-";"§se transporter§sur les lieux "
"370";"-";"+";"-";"-";"-";"<E>";" travailler";"dans";"le";"+";" esprit";"-";"+";"-";"+";"+";"§travailler§dans l'esprit "
"371";"+";"-";"-";"-";"-";"<E>";" travailler";"par";"<E>";"-";" roulements";"+";"-";"+";"-";"-";"§travailler§par roulements "
"372";"-";"+";"-";"-";"-";"<E>";" travailler";"dans";"la";"+";" tête";"-";"+";"-";"+";"+";"§travailler§dans la tête "
"373";"+";"-";"+";"-";"-";"se";" tromper";"sur";"le";"-";" compte";"-";"+";"-";"-";"+";"§se tromper§sur le compte "
"374";"+";"-";"-";"-";"-";"<E>";" veiller";"sur";"le";"-";" sommeil";"-";"+";"-";"-";"+";"§veiller§sur le sommeil "
"375";"-";"+";"-";"-";"-";"<E>";" venir";"à";"la";"-";" attention";"-";"+";"-";"-";"+";"§venir§à l'attention "
"376";"-";"+";"-";"-";"-";"<E>";" venir";"à";"la";"+";" bouche";"+";"+";"+";"+";"-";"§venir§à la bouche "
"377";"+";"+";"-";"-";"-";"<E>";" venir";"à";"<E>";"-";" bout";"-";"+";"+";"-";"-";"§venir§à bout "
"378";"+";"-";"-";"+";"-";"en";" venir";"à";"le";"-";" but";"+";"-";"+";"-";"+";"§en venir§au but "
"379";"+";"-";"-";"-";"-";"<E>";" venir";"à";"la";"+";" cheville";"-";"+";"-";"+";"+";"§venir§à la cheville "
"380";"-";"+";"-";"-";"-";"<E>";" venir";"de";"le";"+";" coeur";"+";"+";"-";"+";"-";"§venir§du coeur "
"381";"-";"+";"-";"-";"-";"<E>";" venir";"à";"la";"-";" suite";"+";"-";"+";"-";"+";"§venir§à la suite "
"382";"+";"-";"-";"-";"-";"<E>";" vivre";"à";"les";"-";" crochets";"-";"+";"-";"-";"+";"§vivre§aux crochets "
"383";"+";"-";"-";"-";"-";"<E>";" vivre";"à";"les";"-";" dépens";"-";"+";"-";"-";"+";"§vivre§aux dépens "
"384";"+";"-";"-";"-";"-";"<E>";" vivre";"sur";"le";"+";" dos";"-";"+";"-";"-";"+";"§vivre§sur le dos "
"385";"+";"-";"-";"-";"-";"<E>";" vivre";"à";"le";"-";" marge";"-";"-";"+";"-";"-";"§vivre§au marge "
"386";"+";"-";"-";"-";"-";"<E>";" vivre";"à";"les";"-";" marges";"-";"-";"+";"-";"-";"§vivre§aux marges "
"387";"+";"-";"-";"-";"-";"<E>";" vivre";"sur";"le";"+";" pied";"-";"-";"+";"-";"-";"§vivre§sur le pied "
"388";"+";"-";"-";"-";"-";"<E>";" vivre";"sous";"le";"-";" toit";"-";"+";"-";"-";"+";"§vivre§sous le toit "
"389";"+";"-";"-";"-";"+";"ne";" voir que";"par";"les";"+";" yeux";"-";"+";"-";"-";"+";"§ne voir que§par les yeux "
"390";"+";"-";"-";"-";"-";"<E>";" voler";"à";"la";"-";" aide";"-";"+";"-";"-";"+";"§voler§à l'aide "
"391";"+";"+";"-";"-";"-";"<E>";" voler";"à";"la";"-";" heure";"-";"-";"+";"-";"-";"§voler§à l'heure "
"392";"+";"-";"-";"-";"-";"<E>";" voler";"dans";"les";"+";" plumes";"-";"+";"-";"+";"-";"§voler§dans les plumes "
"393";"+";"-";"-";"-";"-";"<E>";" voler";"à";"le";"-";" secours";"-";"+";"-";"-";"+";"§voler§au secours "
"394";"+";"-";"-";"-";"-";"<E>";" voter";"en";"<E>";"-";" faveur";"-";"+";"-";"-";"+";"§voter§en faveur "
"395";"+";"-";"-";"+";"-";"en";" vouloir";"à";"la";"+";" peau";"-";"+";"-";"-";"+";"§en vouloir§à la peau "
"396";"+";"-";"-";"+";"-";"en";" vouloir";"à";"la";"-";" vie";"-";"+";"-";"-";"+";"§en vouloir§à la vie "

