"<ID>";"<ENT>Det0";"<ENT>C0";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: me figé";"Ppv =: te figé";"Ppv =: vous figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"N1 =: Nhum";"N1 =: N-hum";"<ENT>Prép2";"N2 =: Nhum";"N2 =: N-hum";"N2 =: ce Qu Pind";"N2 =: ce Qu Psubj";"N2 =: V1-inf W";"N2 =: si P";"Exemple"
"349";"<E>";"ça";"-";"-";"-";"-";"-";"-";"+";"ne";"risquer pas";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"+";"+";"-";"ça§ne risquer pas§"
"350";"<E>";"je";"-";"-";"-";"-";"-";"-";"+";"ne";"sache pas";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"je§ne sache pas§"
"351";"<E>";"nous";"-";"-";"-";"-";"-";"-";"+";"ne";"sachons pas";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"-";"-";"+";"nous§ne sachons pas§"
"352";"<E>";"je";"-";"-";"-";"-";"-";"-";"+";"ne";"sais pas";"ce";"que je";"serais devenu sans";"+";"-";"<E>";"-";"-";"-";"-";"-";"+";"je§ne sais pas§ce que je serais devenu sans "
"353";"<E>";"Dieu";"-";"-";"-";"-";"-";"-";"-";"<E>";"sait";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"-";"-";"+";"Dieu§sait§"
"354";"<E>";"il";"-";"-";"-";"-";"-";"-";"+";"ne";"saurait";"<E>";"être";"question";"-";"-";"de";"+";"+";"-";"+";"+";"-";"il§ne saurait§est question de "
"355";"<E>";"chacun";"-";"-";"-";"-";"-";"-";"-";"<E>";"savoir";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"+";"-";"+";"chacun§sa§"
"356";"tout le";"monde";"-";"-";"-";"-";"-";"-";"-";"<E>";"savoir";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"+";"-";"+";"tout le monde§sa§"
"357";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"sembler";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"+";"-";"+";"-";"Il semble à Luc que Paul s'est trompé"
"358";"<E>";"il";"-";"-";"-";"-";"-";"-";"+";"ne";"sera pas";"<E>";"<E>";"dit";"-";"-";"<E>";"-";"+";"-";"-";"-";"-";"il§ne sera pas§dit "
"359";"<E>";"rien";"-";"-";"-";"-";"-";"-";"+";"ne";"servir";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"-";"-";"+";"rien§ne servir§à "
"360";"les";"oreilles";"-";"-";"-";"-";"-";"-";"-";"<E>";"siffler";"à";"<E>";"<E>";"+";"-";"de";"-";"-";"-";"-";"+";"-";"les oreilles§siffler§à de "
"361";"la";"heure";"-";"-";"-";"-";"-";"-";"-";"<E>";"sonner";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"l'heure§sonner§pour "
"362";"la";"image de Nhum";"-";"-";"-";"-";"-";"-";"-";"<E>";"souffrir";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"+";"+";"-";"l'image de Nhum§soufrir§"
"363";"la";"idée";"-";"-";"-";"-";"-";"-";"-";"<E>";"sourire";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"+";"-";"+";"-";"l'idée§sourire§à "
"364";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"souvenir";"à";"<E>";"<E>";"+";"-";"de";"+";"+";"+";"-";"+";"-";"Il souvient à Léa qu'elle faire la plonge"
"365";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"suffire";"à";"<E>";"<E>";"+";"+";"de";"+";"-";"-";"+";"+";"-";"Il suffit à Paul de gagner ce match"
"366";"le";"regard";"-";"-";"-";"-";"-";"-";"-";"<E>";"supplier";"<E>";"<E>";"<E>";"+";"-";"de";"-";"-";"-";"+";"+";"-";"le regard§supplier§de "
"367";"les";"yeux";"-";"-";"-";"-";"-";"-";"-";"<E>";"supplier";"<E>";"<E>";"<E>";"+";"-";"de";"-";"-";"-";"+";"+";"-";"les yeux§supplier§de "
"368";"les";"oreilles";"-";"-";"-";"-";"-";"-";"-";"<E>";"tinter";"à";"<E>";"<E>";"+";"-";"de";"-";"-";"-";"-";"+";"-";"les oreilles§tinter§à de "
"369";"le";"ciel";"-";"-";"-";"-";"-";"-";"-";"<E>";"tomber";"sur";"la";"tête de Nhum";"-";"-";"de";"-";"-";"-";"+";"+";"-";"le ciel§tomber§sur la tête de Nhum de "
"370";"la";"foudre";"-";"-";"-";"-";"-";"-";"-";"<E>";"tomberait";"sur";"<E>";"<E>";"+";"-";"<E>";"-";"-";"+";"-";"-";"-";"la foudre§tomberait§sur "
"371";"<E>";"il";"+";"-";"-";"-";"-";"-";"-";"se";"trouver";"<E>";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"il§se trouver§"
"372";"<E>";"il";"+";"-";"-";"-";"-";"-";"-";"se";"trouver";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"Il se trouve que Marie s'est trompée"
"373";"<E>";"rien";"-";"-";"-";"-";"-";"-";"+";"ne";"valoir";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"+";"-";"+";"+";"-";"rien§ne valoir§pour "
"374";"<E>";"où";"-";"-";"-";"-";"-";"-";"-";"<E>";"va-t-on ?";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"-";"-";"+";"où§va-t-on§?"
"375";"<E>";"mieux";"-";"-";"-";"-";"-";"-";"-";"<E>";"vaudrait";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"+";"-";"+";"+";"-";"mieux§vaudrait§"
"376";"la";"heure";"-";"-";"-";"-";"-";"-";"-";"<E>";"venir";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"l'heure§venir§pour "
"377";"le";"jour";"-";"-";"-";"-";"-";"-";"-";"<E>";"venir";"pour";"<E>";"<E>";"+";"-";"de";"-";"-";"+";"-";"+";"-";"le jour§venir§pour de "
"378";"la";"lumière";"-";"-";"-";"-";"-";"-";"-";"<E>";"venir";"à";"<E>";"<E>";"+";"-";"de";"-";"-";"+";"+";"+";"-";"la lumière§venir§à de "
"379";"le";"moment";"-";"-";"-";"-";"-";"-";"-";"<E>";"venir";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"le moment§venir§pour "
"380";"le";"salut";"-";"-";"-";"-";"-";"-";"-";"<E>";"venir";"<E>";"<E>";"<E>";"+";"-";"de";"+";"+";"+";"-";"+";"-";"le salut§venir§de "
"381";"le";"temps";"-";"-";"-";"-";"-";"-";"-";"<E>";"venir";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"le temps§venir§pour "
"382";"le";"tour";"-";"-";"-";"-";"-";"-";"-";"<E>";"venir";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"le tour§venir§pour "
"383";"<E>";"je";"-";"-";"-";"-";"-";"-";"-";"<E>";"veux";"que";"on me les";"coupe";"-";"-";"<E>";"-";"-";"-";"-";"-";"+";"je§veux§qu'on me les coupe "
"384";"pourquoi";"tu";"-";"-";"-";"-";"-";"-";"-";"<E>";"veux ?";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"+";"-";"+";"+";"-";"pourquoi tu§veux§?"
"385";"<E>";"que";"-";"-";"-";"-";"-";"-";"-";"<E>";"veux-tu";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"-";"+";"-";"que§veux-tu§"
"386";"<E>";"d'où";"-";"-";"-";"-";"-";"-";"-";"<E>";"vient ?";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"d'où§vient§?"
"387";"<E>";"tu";"-";"-";"-";"+";"-";"-";"-";"me";"vois";"<E>";"<E>";"Adj";"-";"-";"de";"+";"+";"-";"+";"+";"-";"tu§me vois§Adj de "
"388";"<E>";"tu";"-";"-";"-";"+";"-";"-";"-";"me";"vois";"<E>";"<E>";"content";"-";"-";"de";"+";"+";"-";"+";"+";"-";"tu§me vois§content de "
