"<ID>";"<ENT>Det0";"<ENT>C0";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: me figé";"Ppv =: te figé";"Ppv =: vous figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"N1 =: Nhum";"N1 =: N-hum";"<ENT>Prép2";"N2 =: Nhum";"N2 =: N-hum";"N2 =: ce Qu Pind";"N2 =: ce Qu Psubj";"N2 =: V1-inf W";"N2 =: si P";"Exemple"
"43";"la";"tradition";"-";"-";"-";"-";"-";"-";"-";"<E>";"demander";"<E>";"<E>";"<E>";"-";"-";"à";"-";"+";"-";"+";"-";"-";"la tradition§demander§à "
"44";"la";"tradition";"-";"-";"-";"-";"-";"-";"-";"<E>";"demander";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"+";"-";"+";"+";"-";"la tradition§demander§pour "
"45";"les";"doigts";"-";"-";"-";"-";"-";"-";"-";"<E>";"démanger";"à";"<E>";"<E>";"+";"-";"de";"-";"-";"+";"+";"+";"-";"les doigts§démanger§à de "
"46";"la";"langue";"-";"-";"-";"-";"-";"-";"-";"<E>";"démanger";"à";"<E>";"<E>";"+";"-";"de";"-";"-";"-";"+";"+";"-";"la langue§démanger§à de "
"47";"les";"mains";"-";"-";"-";"-";"-";"-";"-";"<E>";"démanger";"à";"<E>";"<E>";"+";"-";"de";"-";"-";"+";"+";"+";"-";"les mains§démanger§à de "
"48";"les";"poings";"-";"-";"-";"-";"-";"-";"-";"<E>";"démanger";"à";"<E>";"<E>";"+";"-";"de";"-";"-";"+";"+";"+";"-";"les poings§démanger§à de "
"49";"les";"faits";"-";"-";"-";"-";"-";"-";"-";"<E>";"démentir";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"les faits§démentir§"
"50";"<E>";"cela";"-";"-";"-";"-";"-";"-";"-";"<E>";"déranger ?";"<E>";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"+";"cela§déranger§?"
"51";"<E>";"cela";"-";"-";"-";"-";"-";"-";"+";"ne";"déranger pas ?";"<E>";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"+";"cela§ne déranger pas§?"
"52";"la";"enquête";"-";"-";"-";"-";"-";"-";"-";"<E>";"déterminer";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"+";"-";"+";"l'enquête§déterminer§"
"53";"la";"conscience de N1";"-";"-";"-";"-";"-";"-";"-";"<E>";"dicter";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"la conscience de N1§dicter§à "
"54";"la";"expérience";"-";"-";"-";"-";"-";"-";"-";"<E>";"dicter";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"l'expérience§dicter§à "
"55";"le bon";"sens  de N1";"-";"-";"-";"-";"-";"-";"-";"<E>";"dicter";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"le bon sens de N1§dicter§à "
"56";"le";"avenir";"-";"-";"-";"-";"-";"-";"-";"<E>";"dira";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"-";"-";"+";"l'avenir§dira§à "
"57";"le";"temps";"-";"-";"-";"-";"-";"-";"-";"<E>";"dira";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"-";"-";"+";"le temps§dira§à "
"58";"<E>";"on";"-";"-";"-";"-";"-";"-";"-";"<E>";"dirait";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"on§dirait§"
"59";"comme";"qui";"-";"-";"-";"-";"-";"-";"-";"<E>";"dirait";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"comme qui§dirait§"
"60";"<E>";"qui";"-";"-";"-";"-";"-";"-";"-";"<E>";"dirait ?";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"qui§dirait§?"
"61";"<E>";"on";"-";"-";"-";"-";"-";"-";"+";"ne";"dirait pas";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"on§ne dirait pas§"
"62";"le";"coeur";"-";"-";"-";"-";"-";"-";"-";"<E>";"dire";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"-";"+";"-";"le coeur§dire§à "
"63";"<E>";"quelque chose";"-";"-";"-";"-";"-";"-";"-";"<E>";"dire";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"+";"-";"-";"-";"quelque chose§dire§à "
"64";"<E>";"rien";"-";"-";"-";"-";"-";"-";"+";"ne";"dire";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"+";"-";"-";"-";"rien§ne dire§à "
"65";"la";"histoire";"-";"-";"-";"-";"-";"-";"+";"ne";"dire pas";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"+";"l'histoire§ne dire pas§"
"66";"<E>";"qui";"-";"-";"-";"-";"-";"-";"-";"<E>";"dit";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"+";"-";"-";"-";"qui§dit§à "
"67";"<E>";"je";"-";"-";"-";"-";"-";"-";"-";"<E>";"dois";"<E>";"<E>";"dire";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"je§dois§dire "
"68";"<E>";"tout";"-";"-";"-";"-";"-";"-";"-";"<E>";"donner";"à";"<E>";"croire";"-";"-";"<E>";"-";"+";"+";"-";"-";"-";"tout§donner§à croire "
"69";"<E>";"tout";"-";"-";"-";"-";"-";"-";"-";"<E>";"donner";"à";"<E>";"indiquer";"-";"-";"<E>";"-";"+";"+";"-";"-";"-";"tout§donner§à indiquer "
"70";"<E>";"tout";"-";"-";"-";"-";"-";"-";"-";"<E>";"donner";"à";"<E>";"penser";"-";"-";"<E>";"-";"+";"+";"-";"-";"-";"tout§donner§à penser "
"71";"Det";"idée";"-";"-";"-";"-";"-";"-";"-";"<E>";"effleurer";"<E>";"<E>";"<E>";"+";"-";"<E>";"-";"-";"+";"-";"+";"-";"un idée§effleurer§"
"72";"le";"ciel";"+";"-";"-";"-";"-";"-";"-";"s'";"effondrerait";"sur";"<E>";"<E>";"+";"-";"<E>";"-";"-";"+";"-";"-";"-";"le ciel§s'effondrerait§sur "
"73";"Det";"voix";"+";"-";"-";"-";"-";"-";"-";"s'";"élever";"Loc";"<E>";"<E>";"+";"+";"pour";"-";"-";"-";"-";"+";"-";"un voix§s'élever§Loc pour "
"74";"<E>";"il";"-";"-";"-";"-";"-";"-";"+";"n'";"empêcher";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"(E+Il) n'empêche que Max est un con"
"75";"<E>";"rien";"-";"-";"-";"-";"-";"-";"+";"n'";"empêcher";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"rien§n'empêcher§"
"76";"le";"Diable";"-";"-";"-";"-";"-";"-";"-";"<E>";"emporte";"<E>";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"-";"-";"+";"le Diable§emporte§"
"77";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"est";"<E>";"<E>";"dit";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"il§est§dit "
"78";"si";"ce";"-";"-";"-";"-";"-";"-";"+";"n'";"est pas";"<E>";"<E>";"malheureux !";"-";"-";"<E>";"-";"-";"-";"+";"+";"-";"si ce§n'est pas§malheureux! "
"79";"<E>";"il";"-";"-";"-";"-";"-";"-";"+";"n'";"est pas";"<E>";"<E>";"dit";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"il§n'est pas§dit "
"80";"<E>";"toujours";"-";"-";"-";"-";"-";"-";"-";"<E>";"est-il";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"toujours§est-il§"
"81";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"était";"<E>";"<E>";"temps";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"il§était§temps "
"82";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"était";"<E>";"moins";"une";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"il§était§moins une "
"83";"le";"ciel";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"<E>";"<E>";"témoin à Nhum";"-";"-";"de";"-";"+";"+";"-";"-";"-";"le ciel§est§témoin à Nhum de "
"84";"le bon";"Dieu";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"<E>";"<E>";"témoin à Nhum";"-";"-";"de";"-";"+";"+";"-";"-";"-";"le bon Dieu§est§témoin à Nhum de "
"85";"<E>";"Dieu";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"<E>";"<E>";"témoin à Nhum";"-";"-";"de";"-";"+";"+";"-";"-";"-";"Dieu§est§témoin à Nhum de "
"86";"le";"Seigneur";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"<E>";"<E>";"témoin à Nhum";"-";"-";"de";"-";"+";"+";"-";"-";"-";"le Seigneur§est§témoin à Nhum de "
"87";"<E>";"ce";"-";"+";"-";"-";"-";"-";"-";"en";"être";"<E>";"<E>";"assez";"-";"-";"de";"-";"+";"-";"+";"+";"-";"c'§en est§assez de "
"88";"<E>";"ce";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"<E>";"tout";"comme";"-";"-";"<E>";"-";"-";"-";"-";"-";"+";"c'§est§tout comme "
"89";"<E>";"ce";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"<E>";"<E>";"dire";"-";"-";"<E>";"-";"-";"-";"-";"-";"+";"c'§est§dire "
"90";"<E>";"ce";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"<E>";"tant";"mieux";"-";"-";"<E>";"-";"-";"-";"-";"-";"+";"c'§est§tant mieux "
"91";"<E>";"ce";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"peine";"-";"-";"<E>";"-";"-";"-";"-";"-";"+";"c'§est§à peine "
"92";"<E>";"ce";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"<E>";"tant";"pis";"-";"-";"<E>";"-";"-";"-";"-";"-";"+";"c'§est§tant pis "
"93";"<E>";"ce";"-";"+";"-";"-";"-";"-";"-";"en";"être";"<E>";"<E>";"trop";"-";"-";"de";"-";"+";"-";"+";"+";"-";"c'§en est§trop de "
"94";"la";"chose";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"la chose§est§"
"95";"le";"fait";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"le fait§est§"
"96";"<E>";"force";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"<E>";"+";"-";"de";"-";"-";"-";"-";"+";"-";"force§est§à de "
"97";"le plus";"fort";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"le plus fort§est§"
"98";"la";"heure";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"pour";"<E>";"<E>";"+";"-";"à";"-";"-";"-";"-";"+";"-";"l'heure§est§pour à "
"99";"<E>";"il";"-";"-";"-";"-";"-";"-";"+";"n'";"être";"de";"<E>";"Ntps";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"il§n'est§de Ntps "
"100";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"jusqu'à";"<E>";"<E>";"+";"+";"qui";"-";"-";"-";"-";"+";"-";"il§est§jusqu'à qui "
"101";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"<E>";"<E>";"besoin pour Nhum";"-";"-";"de";"-";"-";"-";"+";"+";"-";"il§est§besoin pour Nhum de "
"102";"<E>";"il";"-";"-";"-";"-";"-";"-";"+";"n'";"être";"<E>";"<E>";"besoin pour Nhum";"-";"-";"de";"-";"+";"-";"+";"+";"-";"il§n'est§besoin pour Nhum de "
"103";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"<E>";"<E>";"bruit";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"il§est§bruit "
"104";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"<E>";"<E>";"dit";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"il§est§dit "
"105";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"fait";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"il§est§de fait "
"106";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"<E>";"la";"heure";"-";"-";"<E>";"-";"-";"-";"+";"+";"-";"il§est§l'heure "
"107";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"<E>";"la";"heure pour Nhum";"-";"-";"<E>";"-";"-";"-";"+";"+";"-";"il§est§l'heure pour Nhum "
"108";"<E>";"il";"-";"-";"-";"-";"-";"-";"+";"n'";"être";"de";"<E>";"jour";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"il§n'est§de jour "
"109";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"<E>";"<E>";"question";"-";"-";"de";"+";"+";"-";"+";"+";"-";"il§est§question de "
"110";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"<E>";"grand";"temps";"-";"-";"<E>";"-";"-";"-";"+";"+";"-";"il§est§grand temps "
"111";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"plus";"que";"temps";"-";"-";"<E>";"-";"-";"-";"+";"+";"-";"il§est§plus que temps "
"112";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"<E>";"<E>";"temps pour Nhum";"-";"-";"<E>";"-";"-";"-";"+";"+";"-";"il§est§temps pour Nhum "
"113";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"<E>";"grand";"temps pour Nhum";"-";"-";"<E>";"-";"-";"-";"+";"+";"-";"il§est§grand temps pour Nhum "
"114";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"<E>";"trop";"tôt";"-";"-";"pour dire";"-";"-";"+";"-";"-";"+";"il§est§trop tôt pour dire "
"115";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"encore";"trop";"tôt";"-";"-";"pour";"-";"-";"-";"+";"+";"-";"il§est§encore trop tôt pour "
"116";"le";"mieux";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"le mieux§est§pour "
"117";"le";"mieux";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"+";"le mieux§est§pour "
"118";"le";"pire";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"le pire§est§pour "
"119";"le";"pire";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"+";"le pire§est§pour "
"120";"le";"plus Adj";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"le plus Adj§est§pour "
"121";"le";"plus Adj";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"+";"le plus Adj§est§pour "
"122";"le";"plus simple";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"le plus simple§est§pour "
"123";"<E>";"point";"-";"-";"-";"-";"-";"-";"+";"n'";"être";"<E>";"<E>";"besoin pour Nhum";"-";"-";"de";"-";"+";"-";"+";"+";"-";"point§n'est§besoin pour Nhum de "
"124";"<E>";"rien";"-";"-";"-";"-";"-";"-";"+";"n'";"être";"<E>";"moins";"certain";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"rien§n'est§moins certain "
"125";"<E>";"rien";"-";"-";"-";"-";"-";"-";"+";"n'";"être";"<E>";"moins";"sûr";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"rien§n'est§moins sûr "
"126";"le";"temps";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"<E>";"<E>";"loin";"-";"-";"où";"-";"-";"+";"-";"-";"-";"le temps§est§loin où "
"127";"le";"tout";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"pour";"<E>";"<E>";"+";"-";"de";"-";"-";"-";"+";"+";"-";"le tout§est§pour de "
"128";"<E>";"tout";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"<E>";"<E>";"occasion à Nhum";"-";"-";"pour";"-";"+";"-";"+";"+";"-";"tout§est§occasion à Nhum pour "
"129";"<E>";"tout";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"oeuvre";"-";"-";"pour";"-";"-";"-";"+";"+";"-";"tout§est§en oeuvre pour "
"130";"<E>";"tout";"-";"-";"-";"-";"-";"-";"-";"<E>";"être";"<E>";"<E>";"prétexte à Nhum";"-";"-";"pour";"-";"+";"-";"+";"+";"-";"tout§est§prétexte à Nhum pour "
"131";"la";"oreille de Nhum";"-";"-";"-";"-";"-";"-";"-";"<E>";"être attentive";"<E>";"<E>";"<E>";"-";"-";"à";"-";"+";"-";"+";"-";"-";"l'oreille de Nhum§est attentive§à "
"132";"<E>";"ce";"-";"-";"-";"-";"-";"-";"-";"<E>";"être bien";"<E>";"le";"Diable";"-";"-";"<E>";"-";"-";"-";"-";"-";"+";"c'§est bien§le Diable "
"133";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"être bon";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"il§est bon§pour "
"134";"<E>";"tout";"-";"-";"-";"-";"-";"-";"-";"<E>";"être bon";"à";"<E>";"<E>";"+";"-";"pour";"-";"-";"-";"+";"+";"-";"tout§est bon§à pour "
"135";"les";"chances";"-";"-";"-";"-";"-";"-";"-";"<E>";"être bonnes";"<E>";"<E>";"<E>";"-";"-";"pour";"-";"-";"-";"+";"-";"-";"les chances§est bonnes§pour "
"136";"tous les";"moyens";"-";"-";"-";"-";"-";"-";"-";"<E>";"être bons";"à";"<E>";"<E>";"+";"-";"pour";"-";"-";"-";"+";"+";"-";"tous les moyens§est bons§à pour "
"137";"tous les";"prétextes";"-";"-";"-";"-";"-";"-";"-";"<E>";"être bons";"à";"<E>";"<E>";"+";"-";"pour";"-";"-";"-";"+";"+";"-";"tous les prétextes§est bons§à pour "
"138";"la";"oreille de Nhum";"-";"-";"-";"-";"-";"-";"-";"<E>";"être complaisante";"<E>";"<E>";"<E>";"-";"-";"à";"-";"+";"-";"+";"-";"-";"l'oreille de Nhum§est complaisante§à "
"139";"<E>";"lecture";"-";"-";"-";"-";"-";"-";"-";"<E>";"être faite";"à";"<E>";"<E>";"+";"-";"de";"-";"+";"+";"-";"-";"-";"lecture§est faite§à de "
"140";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"être faux";"de";"<E>";"croire";"-";"-";"<E>";"-";"+";"+";"-";"-";"-";"il§est faux§de croire "
"141";"la";"tentation";"-";"-";"-";"-";"-";"-";"-";"<E>";"être forte";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"-";"+";"-";"la tentation§est forte§pour "
"142";"la";"tentation";"-";"-";"-";"-";"-";"-";"-";"<E>";"être grande";"pour";"<E>";"<E>";"+";"-";"de";"-";"-";"-";"-";"+";"-";"la tentation§est grande§pour de "
"143";"<E>";"ce";"-";"-";"-";"-";"-";"-";"+";"n'";"être pas";"<E>";"un";"hasard";"-";"-";"<E>";"-";"-";"-";"-";"-";"+";"ce§n'est pas§un hasard "
"144";"<E>";"il";"-";"+";"-";"-";"-";"-";"+";"n'en";"être pas";"<E>";"moins";"Adj";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"il§n'en est pas§moins Adj "
"145";"<E>";"il";"-";"-";"-";"-";"-";"-";"+";"n'";"être pas";"jusqu'à";"<E>";"<E>";"+";"-";"qui";"-";"-";"-";"+";"-";"-";"il§n'est pas§jusqu'à qui "
"146";"<E>";"il";"-";"-";"-";"-";"-";"-";"+";"n'";"être pas";"<E>";"<E>";"dit";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"il§n'est pas§dit "
"147";"<E>";"il";"-";"-";"-";"-";"-";"-";"+";"n'";"être pas";"<E>";"<E>";"interdit de penser";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"il§n'est pas§interdit de penser "
"148";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"être permis";"de";"<E>";"croire";"-";"-";"<E>";"-";"+";"+";"-";"-";"-";"il§est permis§de croire "
"149";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"être permis";"de";"<E>";"douter";"-";"-";"de";"-";"+";"+";"-";"-";"-";"il§est permis§de douter de "
"150";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"être permis";"de";"<E>";"penser";"-";"-";"<E>";"-";"+";"+";"-";"-";"-";"il§est permis§de penser "
"151";"le";"temps";"-";"-";"-";"-";"-";"-";"+";"n'";"être plus";"<E>";"<E>";"<E>";"-";"-";"où";"-";"-";"+";"-";"-";"-";"le temps§n'est plus§où "
"152";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"être prévu";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"+";"-";"+";"+";"-";"il§est prévu§pour "
"153";"<E>";"il";"-";"-";"-";"-";"-";"-";"+";"n'";"être que";"à";"<E>";"voir N";"-";"-";"pour";"-";"-";"-";"+";"+";"-";"il§n'est que§à voir N pour "
"154";"<E>";"il";"-";"-";"-";"-";"-";"-";"+";"n'";"être que";"de";"<E>";"voir N";"-";"-";"pour";"-";"-";"-";"+";"+";"-";"il§n'est que§de voir N pour "
"155";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"être question";"pour";"<E>";"<E>";"+";"+";"de";"+";"+";"-";"+";"+";"-";"Il est question pour Paul de se présenter aux élections"
"156";"<E>";"comment";"-";"-";"-";"-";"-";"-";"-";"<E>";"être-il";"<E>";"<E>";"possible ?";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"comment§est-il§possible ? "
"157";"la";"loi";"-";"-";"-";"-";"-";"-";"-";"<E>";"exiger";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"+";"-";"+";"+";"-";"la loi§exiger§pour "
"158";"le";"règlement";"-";"-";"-";"-";"-";"-";"-";"<E>";"exiger";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"+";"-";"+";"+";"-";"le règlement§exiger§pour "
"159";"la";"tradition";"-";"-";"-";"-";"-";"-";"-";"<E>";"exiger";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"+";"-";"+";"-";"-";"la tradition§exiger§"
"160";"la";"tradition";"-";"-";"-";"-";"-";"-";"-";"<E>";"exiger";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"+";"-";"+";"+";"-";"la tradition§exiger§pour "
"161";"la";"tradition";"-";"-";"-";"-";"-";"-";"-";"<E>";"exiger";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"+";"-";"+";"+";"-";"la tradition§exiger§pour "
"162";"le";"besoin";"+";"-";"-";"-";"-";"-";"-";"se";"faire";"<E>";"<E>";"sentir";"-";"-";"de";"-";"-";"-";"+";"+";"-";"le besoin§se fait§sentir de "
"163";"grand";"bien";"-";"-";"-";"-";"-";"-";"-";"<E>";"faire";"à";"<E>";"<E>";"+";"-";"de";"-";"-";"-";"+";"+";"+";"grand bien§fait§à de "
"164";"<E>";"ça";"-";"-";"-";"-";"-";"-";"-";"<E>";"faire";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"ça§fait§"
"165";"<E>";"cela";"-";"-";"-";"-";"-";"-";"-";"<E>";"faire";"de cela";"Dnum";"Ntps";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"cela§fait§de cela Dnum Ntps "
"166";"<E>";"cela";"-";"-";"-";"-";"-";"-";"-";"<E>";"faire";"de cela";"des";"Ntps et des Ntps";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"cela§fait§de cela des Ntps et des Ntps "
"167";"<E>";"cela";"-";"-";"-";"-";"-";"-";"-";"<E>";"faire";"de cela";"dix";"ans";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"cela§fait§de cela dix ans "
"168";"<E>";"cela";"-";"-";"-";"-";"-";"-";"-";"<E>";"faire";"de cela";"un";"bail";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"cela§fait§de cela un bail "
"169";"<E>";"cela";"-";"-";"-";"-";"-";"-";"-";"<E>";"faire";"de cela";"une";"éternité";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"cela§fait§de cela une éternité "
"170";"<E>";"cela";"-";"-";"-";"-";"-";"-";"+";"ne";"faire";"<E>";"<E>";"loin de Ntps";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"cela§ne fait§loin de Ntps "
"171";"<E>";"cela";"-";"-";"-";"-";"-";"-";"-";"<E>";"faire";"de cela";"<E>";"longtemps";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"cela§fait§de cela longtemps "
"172";"<E>";"cela";"-";"-";"-";"-";"-";"-";"-";"<E>";"faire";"de cela";"des";"lunes";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"cela§fait§de cela des lunes "
"173";"<E>";"cela";"-";"-";"-";"-";"-";"-";"-";"<E>";"faire";"de cela";"belle";"lurette";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"cela§fait§de cela belle lurette "
"174";"<E>";"cela";"-";"-";"-";"-";"-";"-";"-";"<E>";"faire";"de cela";"des";"lustres";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"cela§fait§de cela des lustres "
"175";"<E>";"cela";"-";"-";"-";"-";"-";"-";"-";"<E>";"faire";"de cela";"une";"paille";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"cela§fait§de cela une paille "
"176";"<E>";"cela";"-";"-";"-";"-";"-";"-";"-";"<E>";"faire";"de cela";"une";"paye";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"cela§fait§de cela une paye "
"177";"<E>";"cela";"-";"-";"-";"-";"-";"-";"+";"ne";"faire";"<E>";"<E>";"rien";"-";"-";"<E>";"-";"-";"-";"-";"-";"-";"cela§ne fait§rien "
"178";"<E>";"cela";"-";"-";"-";"-";"-";"-";"-";"<E>";"faire";"de cela";"des";"siècles";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"cela§fait§de cela des siècles "
"179";" -";"cela";"-";"-";"-";"-";"-";"-";"-";"<E>";"faire";"de cela";"un certain";"temps";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";" -cela§fait§de cela un certain temps "
"180";"<E>";"cela";"-";"-";"-";"-";"-";"-";"-";"<E>";"faire";"de cela";"beau";"temps";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"cela§fait§de cela beau temps "
"181";"<E>";"cela";"-";"-";"-";"-";"-";"-";"-";"<E>";"faire";"de cela";"pas mal de";"temps";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"cela§fait§de cela pas mal de temps "
