"<ID>";"<ENT>ce";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>est";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"ce être = il y avoir";"ce être = <E>";"C1 =: C1 Qu Pind";"C1 =: C1 Qu Psubj";"C1 =: C1 de V2-inf W";"C1 =: C1 de Nhum";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"Ce être Prép1 Det1 C1 Prép2 Det2 C2 Prép3 N3";"<ENT>Prép3";"N3 =: Nhum";"N3 =: N-hum";"N3 =: ce Qu Pind";"N3 =: ce Qu Psubj";"N3 =: (E+de) V-inf W";"Exemple"
"130";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"<E>";"dégueulasse";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§dégueulasse "
"131";"c'";"-";"-";"<E>";" être";" est";"à";"se";"demander";"-";"-";"-";"-";"-";"-";"si";"<E>";"P";"-";"-";"-";"-";"-";"-";"-";"c'§est§à se demander si P "
"132";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"der";"-";"+";"-";"-";"-";"-";"de";"les";"der";"-";"-";"-";"-";"-";"-";"-";"c'§est§la der des der "
"133";"c'";"-";"-";"<E>";" être bien";" est bien";"<E>";"le";"diable";"-";"-";"-";"-";"-";"-";"si";"<E>";"P";"-";"-";"-";"-";"-";"-";"-";"c'§est bien§le diable si P "
"134";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"Dieu";"-";"-";"-";"-";"-";"-";"<E>";"qui";"envoyer";"-";"-";"-";"-";"-";"-";"-";"c'§est§Dieu qui envoyer "
"135";"c'";"-";"-";"<E>";" être";" est";"<E>";"le bon";"Dieu";"-";"-";"-";"-";"-";"-";"<E>";"qui";"envoyer";"-";"-";"-";"-";"-";"-";"-";"c'§est§le bon Dieu qui envoyer "
"136";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"<E>";"Dieu";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"possible";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§Dieu possible "
"137";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"plus";"difficile";"-";"-";"-";"-";"-";"-";"que";"<E>";"ça";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§plus difficile que ça "
"138";"c'";"-";"-";"<E>";" être";" est";"<E>";"assez";"dire";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§assez dire "
"139";"c'";"-";"-";"<E>";" être";" est";"<E>";"tout";"dire";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§tout dire "
"140";"c'";"-";"-";"<E>";" être";" est";"<E>";"te";"dire";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§te dire "
"141";"c'";"-";"-";"<E>";" être";" est";"<E>";"vous";"dire";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§vous dire "
"142";"c'";"-";"-";"<E>";" être";" est";"pour";"<E>";"dire";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§pour dire "
"143";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"dire";"-";"-";"-";"-";"-";"-";"si";"<E>";"P";"-";"-";"-";"-";"-";"-";"-";"c'§est§dire si P "
"144";"c'";"-";"-";"<E>";" être";" est";"<E>";"te";"dire";"-";"-";"-";"-";"-";"-";"si";"<E>";"P";"-";"-";"-";"-";"-";"-";"-";"c'§est§te dire si P "
"145";"c'";"-";"-";"<E>";" être";" est";"<E>";"vous";"dire";"-";"-";"-";"-";"-";"-";"si";"<E>";"P";"-";"-";"-";"-";"-";"-";"-";"c'§est§vous dire si P "
"146";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"dit";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§dit "
"147";"c'";"-";"-";"<E>";" être";" est";"<E>";"vite";"dit";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§vite dit "
"148";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"<E>";"dit";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§dit "
"149";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"<E>";"dit";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§dit "
"150";"c'";"-";"-";"<E>";" être";" est";"<E>";"du";"Dnum";"-";"-";"-";"-";"-";"-";"à";"le";"jus";"-";"-";"-";"-";"-";"-";"-";"c'§est§du Dnum au jus "
"151";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"donnant";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"donnant";"-";"-";"-";"-";"-";"-";"-";"c'§est§donnant donnant "
"152";"c'";"-";"-";"<E>";" être";" est";"sans";"<E>";"doute";"-";"+";"+";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§sans doute "
"153";"c'";"-";"-";"<E>";" être";" est";"<E>";"les grandes";"eaux";"-";"-";"-";"-";"-";"-";"de";"<E>";"Versailles";"-";"-";"-";"-";"-";"-";"-";"c'§est§les grandes eaux de Versailles "
"154";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"écrit";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§écrit "
"155";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"elle";"-";"-";"-";"-";"-";"-";"ou";"<E>";"moi";"-";"-";"-";"-";"-";"-";"-";"c'§est§elle ou moi "
"156";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"elles";"-";"-";"-";"-";"-";"-";"ou";"<E>";"nous";"-";"-";"-";"-";"-";"-";"-";"c'§est§elles ou nous "
"157";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"<E>";"encore";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"ça";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§encore ça "
"158";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"encore";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"heureux";"+";"<E>";"-";"-";"+";"-";"-";"c'§est§encore heureux "
"159";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"entendu";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§entendu "
"160";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"la";"envie";"-";"-";"-";"-";"-";"-";"<E>";"qui en";"manque";"+";"à";"+";"-";"-";"-";"-";"ce§n'est pas§l'envie qui en manque à "
"161";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"la";"envie";"-";"-";"-";"-";"-";"-";"<E>";"qui";"manque";"+";"à";"+";"-";"-";"-";"-";"ce§n'est pas§l'envie qui manque à "
"162";"c'";"-";"-";"<E>";" être bien";" est bien";"<E>";"<E>";"envoyé";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est bien§envoyé "
"163";"c'";"-";"-";"<E>";" être";" est";"<E>";"toute une";"époque";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§toute une époque "
"164";"c'";"-";"-";"<E>";" être";" est";"<E>";"toute une";"époque";"-";"-";"-";"-";"-";"-";"<E>";"qui";"disparaître";"-";"-";"-";"-";"-";"-";"-";"c'§est§toute une époque qui disparaître "
"165";"c'";"-";"-";"<E>";" être";" est";"comme";"si ce";"était";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"fait";"-";"-";"-";"-";"-";"-";"-";"c'§est§comme si c'était fait "
"166";"c'";"-";"-";"<E>";" être bien";" est bien";"<E>";"<E>";"étudié";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est bien§étudié "
"167";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"eux";"-";"-";"-";"-";"-";"-";"ou";"<E>";"nous";"-";"-";"-";"-";"-";"-";"-";"c'§est§eux ou nous "
"168";"c'";"-";"-";"<E>";" être";" est";"sans";"<E>";"façons";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§sans façons "
"169";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"facteur !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§le facteur! "
"170";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"fadaises";"-";"-";"-";"-";"-";"-";"que";"tout";"cela";"-";"-";"-";"-";"-";"-";"-";"c'§est§fadaises que tout cela "
"171";"c'";"-";"-";"<E>";" être";" est";"à";"<E>";"faire";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"à";"+";"-";"-";"-";"-";"c'§est§à fait à "
"172";"c'";"-";"-";"<E>";" être bien";" est bien";"pour";"<E>";"faire";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"plaisir";"+";"à";"+";"-";"-";"-";"-";"c'§est bien§pour fait plaisir à "
"173";"c'";"+";"-";"en";" être";" est";"<E>";"<E>";"fait";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"de";"+";"+";"-";"+";"+";"c'§en est§fait de "
"174";"ce";"-";"+";"n'";" être pas";" est pas";"tout";"à";"fait";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"ça";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§tout à fait ça "
"175";"c'";"-";"-";"<E>";" être bien";" est bien";"<E>";"<E>";"fait";"-";"+";"-";"-";"-";"-";"pour";"la";"gueule";"+";"de";"+";"-";"-";"-";"-";"c'§est bien§fait pour la gueule de "
"176";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"fariboles";"-";"+";"-";"-";"-";"-";"que";"tout";"cela";"-";"-";"-";"-";"-";"-";"-";"c'§est§fariboles que tout cela "
"177";"ce";"-";"+";"n'";" être pas";" est pas";"de";"la";"faute";"-";"-";"-";"-";"-";"+";"si";"<E>";"P";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§de la faute si P "
"178";"c'";"-";"-";"<E>";" être";" est";"à qui";"la";"faute";"-";"-";"-";"-";"-";"+";"si";"<E>";"P ?";"-";"-";"-";"-";"-";"-";"-";"c'§est§à qui la faute si P ? "
"179";"c'";"-";"-";"<E>";" être";" est";"à";"qui";"fera N";"-";"-";"-";"-";"-";"-";"<E>";"le";"dernier";"-";"-";"-";"-";"-";"-";"-";"c'§est§à qui fera N le dernier "
"180";"c'";"-";"-";"<E>";" être";" est";"à";"qui";"fera N";"-";"-";"-";"-";"-";"-";"<E>";"le";"plus";"-";"-";"-";"-";"-";"-";"-";"c'§est§à qui fera N le plus "
"181";"c'";"-";"-";"<E>";" être";" est";"à";"qui";"fera N";"-";"-";"-";"-";"-";"-";"<E>";"le";"premier";"-";"-";"-";"-";"-";"-";"-";"c'§est§à qui fera N le premier "
"182";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"fête";"-";"-";"-";"-";"-";"-";"à";"le";"village";"-";"-";"-";"-";"-";"-";"-";"c'§est§la fête au village "
"183";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"fin";"-";"-";"-";"-";"-";"-";"de";"les";"haricots";"-";"-";"-";"-";"-";"-";"-";"c'§est§la fin des haricots "
"184";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"fin";"-";"-";"-";"-";"-";"-";"de";"<E>";"tout";"-";"-";"-";"-";"-";"-";"-";"c'§est§la fin de tout "
"185";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"fini";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"c'§est§fini pour "
"186";"ce";"+";"-";"en";" être";" est";"<E>";"<E>";"fini";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"de";"+";"+";"-";"+";"+";"c'§en est§fini de "
"187";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"fini";"-";"+";"-";"-";"-";"-";"<E>";"la";"comédie";"-";"-";"-";"-";"-";"-";"-";"c'§est§fini la comédie "
"188";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"fini";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"enne i ni";"-";"-";"-";"-";"-";"-";"-";"c'§est§fini enne i ni "
"189";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"fini";"-";"+";"-";"-";"-";"-";"<E>";"le";"N!";"-";"-";"-";"-";"-";"-";"-";"c'§est§fini le N! "
"190";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"fini";"-";"+";"-";"-";"-";"-";"entre";"<E>";"nous";"-";"-";"-";"-";"-";"-";"-";"c'§est§fini entre nous "
"191";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"fini";"-";"+";"-";"-";"-";"-";"<E>";"la";"plaisanterie";"-";"-";"-";"-";"-";"-";"-";"c'§est§fini la plaisanterie "
"192";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"fini";"-";"+";"-";"-";"-";"-";"<E>";"la";"rigolade";"-";"-";"-";"-";"-";"-";"-";"c'§est§fini la rigolade "
"193";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"fini";"-";"+";"-";"-";"-";"-";"de";"<E>";"rigoler";"-";"-";"-";"-";"-";"-";"-";"c'§est§fini de rigoler "
"194";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"fini";"-";"+";"-";"-";"-";"-";"de";"<E>";"rire";"-";"-";"-";"-";"-";"-";"-";"c'§est§fini de rire "
"195";"c'";"-";"-";"<E>";" être";" est";"<E>";"la dixième";"fois";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§la dixième fois "
"196";"c'";"-";"-";"<E>";" être";" est";"<E>";"la Dnum-ième";"fois";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§la Dnum-ième fois "
"197";"c'";"-";"-";"<E>";" être";" est";"<E>";"la dernière";"fois";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§la dernière fois "
