"<ID>";"<ENT>ce";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>est";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"ce être = il y avoir";"ce être = <E>";"C1 =: C1 Qu Pind";"C1 =: C1 Qu Psubj";"C1 =: C1 de V2-inf W";"C1 =: C1 de Nhum";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"Ce être Prép1 Det1 C1 Prép2 Det2 C2 Prép3 N3";"<ENT>Prép3";"N3 =: Nhum";"N3 =: N-hum";"N3 =: ce Qu Pind";"N3 =: ce Qu Psubj";"N3 =: (E+de) V-inf W";"Exemple"
"222";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"un";"hasard";"-";"-";"+";"-";"-";"-";"si";"<E>";"P";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§un hasard si P "
"223";"c'";"-";"-";"<E>";" être";" est";"de";"le";"hébreu";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"c'§est§de l'hébreu pour "
"224";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"heure";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"c'§est§l'heure pour "
"225";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"la";"heure";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"ce§n'est pas§l'heure pour "
"226";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"une";"heure";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"pour";"-";"-";"-";"+";"+";"ce§n'est pas§une heure pour "
"227";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"heure";"-";"-";"-";"-";"-";"-";"de";"le";"apéro";"-";"-";"-";"-";"-";"-";"-";"c'§est§l'heure de l'apéro "
"228";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"heure";"-";"-";"-";"-";"-";"-";"de";"le";"berger";"-";"-";"-";"-";"-";"-";"-";"c'§est§l'heure du berger "
"229";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"heure";"-";"-";"-";"-";"-";"-";"de";"la";"relève";"-";"-";"-";"-";"-";"-";"-";"c'§est§l'heure de la relève "
"230";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"heure";"-";"-";"-";"-";"-";"-";"de";"la";"sieste";"-";"-";"-";"-";"-";"-";"-";"c'§est§l'heure de la sieste "
"231";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"heure";"-";"-";"-";"-";"-";"-";"de";"la";"soupe";"-";"-";"-";"-";"-";"-";"-";"c'§est§l'heure de la soupe "
"232";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"hic";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§l'hic "
"233";"c'";"-";"-";"<E>";" être";" est";"<E>";"de la vieille";"histoire";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§de la vieille histoire "
"234";"c'";"-";"-";"<E>";" être";" est";"<E>";"toute une";"histoire";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§toute une histoire "
"235";"c'";"-";"-";"<E>";" être";" est";"<E>";"une vieille";"histoire";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§une vieille histoire "
"236";"c'";"-";"-";"<E>";" être";" est";"<E>";"de la";"histoire ancienne";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§de l'histoire ancienne "
"237";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"hôpital";"-";"-";"-";"-";"-";"-";"<E>";"qui se";"moque de la Charité";"-";"-";"-";"-";"-";"-";"-";"c'§est§l'hôpital qui se moque de la Charité "
"238";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"hôpital";"-";"-";"-";"-";"-";"-";"<E>";"qui";"se moque de l'infirmerie";"-";"-";"-";"-";"-";"-";"-";"c'§est§l'hôpital qui se moque de l'infirmerie "
"239";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"horreur";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§l'horreur "
"240";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"ici";"-";"-";"-";"-";"-";"-";"<E>";"le";"lieu";"+";"<E>";"-";"-";"-";"-";"+";"c'§est§ici le lieu "
"241";"c'";"-";"-";"<E>";" être";" est";"<E>";"n'";"importe";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"quoi";"+";"avec";"+";"-";"-";"-";"-";"c'§est§n'importe quoi avec "
"242";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"instant";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"c'§est§l'instant pour "
"243";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"instant";"-";"-";"-";"+";"+";"-";"ou";"<E>";"jamais";"+";"pour";"+";"-";"-";"-";"-";"c'§est§l'instant ou jamais pour "
"244";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"interdit";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"+";"à";"+";"-";"-";"-";"-";"c'§est§interdit à "
"245";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"de";"jeu";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§de jeu "
"246";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"la";"joie";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§la joie "
"247";"c'";"-";"-";"<E>";" être";" est";"<E>";"du";"joli !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§du joli! "
"248";"c'";"-";"-";"<E>";" être";" est";"<E>";"bien";"joué";"-";"+";"-";"-";"-";"-";"de";"la";"part";"+";"de";"+";"-";"-";"-";"-";"c'§est§bien joué de la part de "
"249";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"jour";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"c'§est§le jour pour "
"250";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"tous les";"jours";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"<E>";"-";"-";"-";"+";"-";"ce§n'est pas§tous les jours "
"251";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"tous les";"jours";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"dimanche";"+";"pour";"-";"-";"-";"+";"-";"ce§n'est pas§tous les jours dimanche pour "
"252";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"tous les";"jours";"-";"-";"-";"-";"-";"-";"<E>";"la";"fête";"+";"pour";"-";"-";"-";"+";"-";"ce§n'est pas§tous les jours la fête pour "
"253";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"juré";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"craché !";"-";"-";"-";"-";"-";"-";"-";"c'§est§juré craché! "
"254";"c'";"-";"-";"<E>";" être";" est";"<E>";"tout";"juste";"-";"-";"-";"-";"-";"-";"si";"<E>";"P";"-";"-";"-";"-";"-";"-";"-";"c'§est§tout juste si P "
"255";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"kif-kif";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"bourricot";"-";"-";"-";"-";"-";"-";"-";"c'§est§kif-kif bourricot "
"256";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"là";"-";"-";"-";"-";"-";"-";"que";"les";"Athéniens s'atteignirent";"-";"-";"-";"-";"-";"-";"-";"c'§est§là que les Athéniens s'atteignirent "
"257";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"là";"-";"-";"-";"-";"-";"-";"où";"on";"attendre N le moins";"-";"-";"-";"-";"-";"-";"-";"c'§est§là où on attendre N le moins "
"258";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"là";"-";"-";"-";"-";"-";"-";"où";"le";"bât blesse";"-";"-";"-";"-";"-";"-";"-";"c'§est§là où le bât blesse "
"259";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"là";"-";"-";"-";"-";"-";"-";"que";"le";"bât blesse";"-";"-";"-";"-";"-";"-";"-";"c'§est§là que le bât blesse "
"260";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"là";"-";"-";"-";"-";"-";"-";"<E>";"le";"lieu";"+";"<E>";"-";"-";"-";"-";"+";"c'§est§là le lieu "
"261";"c'";"-";"-";"<E>";" être";" est";"<E>";"une";"levée";"+";"-";"-";"-";"-";"-";"de";"<E>";"boucliers";"+";"contre";"+";"+";"-";"-";"-";"c'§est§une levée de boucliers contre "
"262";"c'";"-";"-";"<E>";" être bien";" est bien";"<E>";"<E>";"Luc";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est bien§Luc "
"263";"c'";"-";"-";"<E>";" être bien";" est bien";"de";"<E>";"Luc";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est bien§de Luc "
"264";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"Luc";"-";"-";"-";"-";"-";"-";"<E>";"tout";"craché";"-";"-";"-";"-";"-";"-";"-";"c'§est§Luc tout craché "
"265";"ce";"-";"+";"n'";" être toujours pas";" est toujours pas";"<E>";"<E>";"Luc";"-";"-";"-";"-";"-";"-";"<E>";"qui";"dira le contraire";"-";"-";"-";"-";"-";"-";"-";"ce§n'est toujours pas§Luc qui dira le contraire "
"266";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"<E>";"Luc";"-";"-";"-";"-";"-";"-";"<E>";"qui";"dira le contraire";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§Luc qui dira le contraire "
"267";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"Luc";"-";"-";"-";"-";"-";"-";"<E>";"qui le";"dit";"-";"-";"-";"-";"-";"-";"-";"c'§est§Luc qui le dit "
"268";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"Luc";"-";"-";"-";"-";"-";"-";"<E>";"qui vous le";"dit";"-";"-";"-";"-";"-";"-";"-";"c'§est§Luc qui vous le dit "
"269";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"Luc";"-";"-";"-";"-";"-";"-";"<E>";"qui te le";"dit";"-";"-";"-";"-";"-";"-";"-";"c'§est§Luc qui te le dit "
"270";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"Luc";"-";"-";"-";"-";"-";"-";"en";"moins";"grand";"-";"-";"-";"-";"-";"-";"-";"c'§est§Luc en moins grand "
"271";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"Luc";"-";"-";"-";"-";"-";"-";"en";"plus";"grand";"-";"-";"-";"-";"-";"-";"-";"c'§est§Luc en plus grand "
"272";"c'";"-";"-";"<E>";" être";" est";"comme";"<E>";"Luc";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"voudra";"-";"-";"-";"-";"-";"-";"-";"c'§est§comme Luc voudra "
"273";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"lui";"-";"-";"-";"-";"-";"-";"ou";"<E>";"moi";"-";"-";"-";"-";"-";"-";"-";"c'§est§lui ou moi "
"274";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"mal";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"+";"à";"+";"-";"-";"-";"-";"c'§est§mal à "
"275";"c'";"-";"-";"<E>";" être";" est";"<E>";"une";"maladie";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§une maladie "
"276";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"malin";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§malin "
"277";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"plus";"malin";"-";"-";"-";"-";"-";"-";"que";"<E>";"ça";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§plus malin que ça "
"278";"c'";"-";"-";"<E>";" être";" est";"sans";"<E>";"manières";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§sans manières "
"279";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"marre";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§marre "
"280";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"meilleure !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§la meilleure! "
"281";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"merde";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§la merde "
"282";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"midi sonné";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§midi sonné "
"283";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"mieux";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"ainsi";"-";"-";"-";"-";"-";"-";"-";"c'§est§mieux ainsi "
"284";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"mieux";"-";"-";"-";"-";"-";"-";"comme";"<E>";"ça";"-";"-";"-";"-";"-";"-";"-";"c'§est§mieux comme ça "
"285";"c'";"-";"-";"<E>";" être";" est";"<E>";"tant";"mieux";"-";"-";"-";"+";"-";"-";"si";"<E>";"P";"-";"-";"-";"-";"-";"-";"-";"c'§est§tant mieux si P "
"286";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"mieux";"-";"-";"-";"-";"-";"-";"que";"<E>";"rien";"-";"-";"-";"-";"-";"-";"-";"c'§est§mieux que rien "
"287";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"mieux";"-";"-";"-";"-";"-";"-";"que";"<E>";"tout";"-";"-";"-";"-";"-";"-";"-";"c'§est§mieux que tout "
"288";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"moi";"-";"-";"-";"-";"-";"-";"<E>";"qui te le";"dis";"-";"-";"-";"-";"-";"-";"-";"c'§est§moi qui te le dis "
"289";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"moi";"-";"-";"-";"-";"-";"-";"<E>";"qui vous le";"dis";"-";"-";"-";"-";"-";"-";"-";"c'§est§moi qui vous le dis "
"290";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"moi";"-";"-";"-";"-";"-";"-";"<E>";"qui te";"remercie";"-";"-";"-";"-";"-";"-";"-";"c'§est§moi qui te remercie "
"291";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"moi";"-";"-";"-";"-";"-";"-";"<E>";"qui vous";"remercie";"-";"-";"-";"-";"-";"-";"-";"c'§est§moi qui vous remercie "
"292";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"moins une";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§moins une "
"293";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"moment";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"c'§est§le moment pour "
"294";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"moment";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"c'§est§le moment pour "
"295";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"le";"moment";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"ce§n'est pas§le moment pour "
"296";"ce";"-";"+";"n'";" être pas bien";" est pas bien";"<E>";"le";"moment";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"ce§n'est pas bien§le moment pour "
"297";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"moment";"-";"-";"-";"+";"+";"-";"ou";"<E>";"jamais";"+";"pour";"+";"-";"-";"-";"-";"c'§est§le moment ou jamais pour "
"298";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"monde";"-";"-";"-";"-";"-";"-";"à";"le";"envers";"-";"-";"-";"-";"-";"-";"-";"c'§est§le monde à l'envers "
"299";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"monde";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"renversé";"-";"-";"-";"-";"-";"-";"-";"c'§est§le monde renversé "
"300";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"tout le";"monde";"-";"-";"-";"-";"-";"-";"<E>";"qui";"V-pn W";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§tout le monde qui V-pn W "
"301";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"la";"mort";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§la mort "
"302";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"la";"mort";"-";"-";"-";"-";"-";"-";"de";"le petit";"cheval";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§la mort du petit cheval "
"303";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"N";"-";"-";"-";"-";"-";"-";"en";"moins";"Adj";"-";"-";"-";"-";"-";"-";"-";"c'§est§N en moins Adj "
"304";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"N";"-";"-";"-";"-";"-";"-";"en";"plus";"Adj";"-";"-";"-";"-";"-";"-";"-";"c'§est§N en plus Adj "
"305";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"N";"-";"-";"-";"-";"-";"-";"<E>";"qui";"fait le N";"-";"-";"-";"-";"-";"-";"-";"c'§est§le N qui fait le N "
"306";"c'";"-";"-";"<E>";" être";" est";"<E>";"du";"nanan";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§du nanan "
"307";"c'";"-";"-";"<E>";" être bien";" est bien";"<E>";"<E>";"Nhum";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est bien§Nhum "
"308";"c'";"-";"-";"<E>";" être";" est";"à";"<E>";"Nhum";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"à";"-";"-";"-";"-";"+";"c'§est§à Nhum à "
"309";"c'";"-";"-";"<E>";" être";" est";"à";"<E>";"Nhum";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"de";"-";"-";"-";"-";"+";"c'§est§à Nhum de "
"310";"c'";"-";"-";"<E>";" être bien";" est bien";"de";"<E>";"Nhum";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est bien§de Nhum "
"311";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"Nhum";"-";"-";"-";"-";"-";"-";"<E>";"qui a";"commencé";"-";"-";"-";"-";"-";"-";"-";"c'§est§Nhum qui a commencé "
"312";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"Nhum";"-";"-";"-";"-";"-";"-";"<E>";"tout";"craché";"-";"-";"-";"-";"-";"-";"-";"c'§est§Nhum tout craché "
"313";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"<E>";"Nhum";"-";"-";"-";"-";"-";"-";"<E>";"qui";"dira le contraire";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§Nhum qui dira le contraire "
"314";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"Nhum";"-";"-";"-";"-";"-";"-";"<E>";"qui le";"dit";"-";"-";"-";"-";"-";"-";"-";"c'§est§Nhum qui le dit "
"315";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"Nhum";"-";"-";"-";"-";"-";"-";"<E>";"qui te le";"dit";"-";"-";"-";"-";"-";"-";"-";"c'§est§Nhum qui te le dit "
"316";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"Nhum";"-";"-";"-";"-";"-";"-";"<E>";"qui vous le";"dit";"-";"-";"-";"-";"-";"-";"-";"c'§est§Nhum qui vous le dit "
"317";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"Nhum";"-";"-";"-";"-";"-";"-";"par";"ci";"Nhum par là";"-";"-";"-";"-";"-";"-";"-";"c'§est§Nhum par ci Nhum par là "
"318";"c'";"-";"-";"<E>";" être";" est";"à";"<E>";"Nhum";"-";"-";"-";"-";"-";"-";"de";"<E>";"voir";"-";"-";"-";"-";"-";"-";"-";"c'§est§à Nhum de voir "
"319";"c'";"-";"-";"<E>";" être";" est";"comme";"<E>";"Nhum";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"vouloir";"-";"-";"-";"-";"-";"-";"-";"c'§est§comme Nhum vouloir "
"320";"ce";"-";"+";"n'";" être toujours pas";" est toujours pas";"<E>";"<E>";"Nhum";"-";"-";"-";"-";"-";"-";"<E>";"qui";"V-pn W";"-";"-";"-";"-";"-";"-";"-";"ce§n'est toujours pas§Nhum qui V-pn W "
"321";"c'";"-";"-";"<E>";" être";" est";"<E>";"tout un";"N-hum";"-";"-";"-";"-";"-";"-";"<E>";"qui";"V-pn W";"-";"-";"-";"-";"-";"-";"-";"c'§est§tout un N-hum qui V-pn W "
"322";"c'";"-";"-";"<E>";" être";" est";"comme";"si";"nous";"-";"-";"-";"-";"-";"-";"<E>";"y";"étions";"-";"-";"-";"-";"-";"-";"-";"c'§est§comme si nous y étions "
"323";"c'";"-";"-";"<E>";" être";" est";"<E>";"les dernières";"nouvelles";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§les dernières nouvelles "
"324";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"Ntps";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"c'§est§le Ntps pour "
"325";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"obligé";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§obligé "
"326";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"OK";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"+";"-";"+";"+";"c'§est§OK pour "
"327";"c'";"-";"-";"<E>";" être";" est";"<E>";"une";"ombre";"+";"-";"-";"-";"-";"-";"à";"le";"tableau";"+";"pour";"+";"+";"-";"-";"-";"c'§est§une ombre au tableau pour "
"328";"c'";"-";"-";"<E>";" être";" est";"comme";"<E>";"on";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"veut";"-";"-";"-";"-";"-";"-";"-";"c'§est§comme on veut "
"329";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"pagaille";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"Loc";"+";"+";"-";"-";"-";"c'§est§la pagaille Loc "
"330";"c'";"-";"-";"<E>";" être";" est";"<E>";"ce qu'il";"paraît";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"<E>";"-";"-";"-";"-";"-";"c'§est§ce qu'il paraît "
"331";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"pareil";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"<E>";"-";"-";"-";"-";"-";"c'§est§pareil "
"332";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"parfait";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"<E>";"-";"-";"-";"-";"-";"c'§est§parfait "
"333";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"parler";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"ça !";"-";"<E>";"-";"-";"-";"-";"-";"c'§est§parler ça! "
"334";"c'";"-";"-";"<E>";" être";" est";"de";"la";"part";"-";"-";"-";"-";"-";"-";"de";"<E>";"qui ?";"-";"<E>";"-";"-";"-";"-";"-";"c'§est§de la part de qui ? "
"335";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"parti";"-";"-";"-";"-";"-";"-";"<E>";"mon";"kiki !";"-";"<E>";"-";"-";"-";"-";"-";"c'§est§parti mon kiki! "
"336";"ce";"-";"+";"n'";" être que";" est que";"<E>";"<E>";"partie";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"remise";"+";"pour";"+";"-";"-";"-";"-";"ce§n'est que§partie remise pour "
"337";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"peine";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"c'§est§la peine pour "
"338";"c'";"-";"-";"<E>";" être bien";" est bien";"<E>";"la";"peine";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"c'§est bien§la peine pour "
"339";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"la";"peine";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"ce§n'est pas§la peine pour "
"340";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"la";"peine";"-";"-";"-";"+";"+";"-";"de";"<E>";"discuter";"+";"pour";"+";"-";"-";"-";"-";"ce§n'est pas§la peine de discuter pour "
"341";"c'";"-";"-";"<E>";" être";" est";"à";"<E>";"peine";"-";"-";"-";"-";"-";"-";"si";"<E>";"P";"-";"-";"-";"-";"-";"-";"-";"c'§est§à peine si P "
"342";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"la";"peine";"-";"-";"-";"+";"+";"-";"de";"en";"parler";"+";"pour";"+";"-";"-";"-";"-";"ce§n'est pas§la peine d'en parler pour "
"343";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"le";"Perou";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§le Perou "
"344";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"peu";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"c'§est§peu pour "
"345";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"<E>";"peu";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"dire";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§peu dire "
"346";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"pied";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§le pied "
"347";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"pire";"-";"-";"-";"-";"-";"-";"<E>";"que Nhum le";"croire";"-";"-";"-";"-";"-";"-";"-";"c'§est§pire que Nhum le croire "
