"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: le figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"N0 V";"V0-inf W";"Question indirecte";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"N1 =: Nhum";"N1 =: N-hum";"<ENT>V2";"<ENT>PrépDetv";"<ENT>Cv";"Nv =: Nhum";"Nv =: N-hum";"Exemple"
"119";"-";"+";"-";"-";"-";"-";"<E>";" être";"-";"+";"-";"à";"<E>";"<E>";"-";"-";"pisser";"<E>";"partout";"-";"-";"§est§à pisser partout "
"120";"+";"-";"-";"-";"-";"+";"n'";" être";"-";"+";"-";"à";"<E>";"<E>";"-";"-";"plaindre";"<E>";"<E>";"-";"-";"§n'est§à plaindre "
"121";"-";"+";"-";"-";"-";"-";"<E>";" être";"-";"+";"-";"pour";"<E>";"<E>";"-";"-";"plaire";"à";"<E>";"+";"-";"§est§pour plaire à "
"122";"-";"+";"-";"-";"-";"-";"<E>";" être";"-";"-";"-";"à";"<E>";"<E>";"-";"-";"prendre";"ou à";"laisser";"-";"-";"§est§à prendre ou à laisser "
"123";"+";"-";"-";"-";"-";"-";"<E>";" être";"-";"-";"-";"à";"<E>";"<E>";"-";"-";"tuer";"<E>";"<E>";"-";"-";"§est§à tuer "
"124";"-";"+";"-";"-";"-";"-";"<E>";" être";"-";"-";"-";"à";"<E>";"<E>";"-";"-";"vomir";"<E>";"<E>";"-";"-";"§est§à vomir "
"125";"-";"+";"-";"-";"-";"-";"<E>";" être";"-";"+";"-";"à";"<E>";"faire";"-";"-";"rougir";"un";"singe";"-";"-";"§est§à fait rougir un singe "
"126";"+";"+";"-";"-";"-";"-";"<E>";" être";"-";"-";"-";"comme";"<E>";"il";"-";"-";"faut";"<E>";"<E>";"-";"-";"§est§comme il faut "
"127";"+";"+";"-";"-";"-";"-";"<E>";" être";"-";"-";"+";"ce";"que";"il";"-";"-";"y avoir";"de";"meilleur";"-";"-";"§est§ce qu'il y a de meilleur "
"128";"+";"+";"-";"-";"-";"-";"<E>";" être";"-";"-";"+";"ce";"que";"il";"-";"-";"y avoir";"de";"mieux";"-";"-";"§est§ce qu'il y a de mieux "
