"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: le figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"N0 V";"V0-inf W";"Question indirecte";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"N1 =: Nhum";"N1 =: N-hum";"<ENT>V2";"<ENT>PrépDetv";"<ENT>Cv";"Nv =: Nhum";"Nv =: N-hum";"Exemple"
"221";"+";"-";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"valoir";"auprès de";"<E>";"+";"-";"§se faire§valoir auprès de "
"222";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"valoir";"Poss0";"camelote";"-";"-";"§faire§valoir sa camelote "
"223";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"valoir";"Poss0";"droits";"-";"-";"§faire§valoir ses droits "
"224";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"valoir";"Poss0";"droits à la retraite";"-";"-";"§faire§valoir son droits à la retraite "
"225";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"valoir";"Poss0";"marchandise";"-";"-";"§faire§valoir s marchandise "
"226";"-";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"venir";"<E>";"<E>";"+";"-";"§faire§venir "
"227";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"venir";"<E>";"<E>";"+";"+";"§faire§venir "
"228";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"vibrer";"la";"corde sensible";"-";"-";"§faire§vibrer la corde sensible "
"229";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"vivre";"<E>";"<E>";"+";"-";"§faire§vivre "
"230";"-";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"vivre";"<E>";"<E>";"+";"-";"§faire§vivre "
"231";"-";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"vivre";"<E>";"<E>";"-";"-";"§faire§vivre "
"232";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"+";"-";"de";"<E>";"<E>";"+";"-";"voir";"<E>";"bien";"+";"-";"§faire§de voir bien "
"233";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"+";"-";"de";"<E>";"<E>";"+";"-";"voir";"<E>";"mal";"+";"-";"§faire§de voir mal "
"234";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"à";"<E>";"<E>";"-";"-";"voir";"<E>";"plaisir";"-";"-";"§faire§à voir plaisir "
"235";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"à";"<E>";"<E>";"-";"-";"voir";"<E>";"plaisir";"-";"-";"§faire§à voir plaisir "
"236";"+";"+";"-";"+";"-";"-";"en";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"voir";"à";"<E>";"+";"-";"§en faire§voir à "
"237";"-";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"bien";"-";"-";"augurer";"de";"<E>";"+";"-";"§faire§bien augurer de "
"238";"+";"-";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"<E>";"<E>";"bien";"-";"-";"comprendre";"par";"<E>";"+";"-";"§se faire§bien comprendre par "
"239";"+";"-";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"<E>";"<E>";"bien";"-";"-";"voir";"de";"<E>";"+";"-";"§se faire§bien voir de "
"240";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"sur";"Poss0";"genoux";"-";"-";"sauter";"<E>";"<E>";"+";"-";"§faire§sur ses genoux sauter "
"241";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"dans";"la";"gorge de Nhum";"-";"-";"rentrer";"les";"paroles";"-";"-";"§faire§dans la gorge de Nhum rentrer les paroles "
"242";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"+";"avec ce";"que";"Il-0";"+";"-";"avoir";"<E>";"<E>";"-";"-";"§faire§avec ce qu'il a "
"243";"-";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"mal";"-";"-";"augurer";"de";"<E>";"+";"-";"§faire§mal augurer de "
"244";"+";"-";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"<E>";"<E>";"mal";"-";"-";"voir";"de";"<E>";"+";"-";"§se faire§mal voir de "
"245";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"à";"la";"mémoire de Nhum";"-";"-";"chanter";"une";"messe";"-";"-";"§faire§à la mémoire de Nhum chanter une messe "
"246";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"à";"<E>";"petit feu";"-";"-";"mourir";"<E>";"<E>";"+";"-";"§faire§à petit feu mourir "
"247";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"à";"<E>";"petits feux";"-";"-";"mourir";"<E>";"<E>";"+";"-";"§faire§à petits feux mourir "
"248";"+";"-";"-";"-";"+";"+";"ne le";" faire pas";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"dire";"à";"<E>";"+";"-";"§ne le faire pas§dire à "
"249";"+";"-";"-";"-";"-";"+";"ne";" faire que";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"commencer";"<E>";"<E>";"-";"-";"§ne faire que§commencer "
"250";"+";"-";"-";"-";"-";"+";"ne";" faire que";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"débuter";"<E>";"<E>";"-";"-";"§ne faire que§débuter "
"251";"+";"-";"-";"-";"-";"+";"ne";" faire que";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"démarrer";"<E>";"<E>";"-";"-";"§ne faire que§démarrer "
"252";"+";"-";"-";"-";"-";"+";"ne";" faire que";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"entrer";"et";"sortir";"-";"-";"§ne faire que§entrer et sortir "
"253";"+";"-";"-";"-";"-";"+";"ne";" faire que";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"passer";"<E>";"<E>";"-";"-";"§ne faire que§passer "
"254";"+";"-";"-";"-";"-";"-";"<E>";" gagner";"-";"+";"-";"à";"<E>";"<E>";"-";"-";"être";"<E>";"connu";"-";"-";"§gagner§à est connu "
"255";"+";"-";"+";"-";"-";"-";"s'";" imaginer";"-";"-";"-";"que";"<E>";"ce";"-";"-";"être";"<E>";"arrivé";"-";"-";"§s'imaginer§que c'est arrivé "
"256";"+";"-";"-";"-";"-";"-";"<E>";" jouer";"-";"+";"-";"et";"<E>";"<E>";"-";"-";"gagner";"<E>";"<E>";"-";"-";"§jouer§et gagner "
"257";"+";"-";"-";"-";"-";"-";"<E>";" jouer";"-";"+";"-";"à";"<E>";"<E>";"-";"-";"se faire";"<E>";"peur";"-";"-";"§jouer§à se fait peur "
"258";"+";"-";"-";"-";"-";"-";"<E>";" jouer";"-";"-";"+";"à";"<E>";"qui";"-";"-";"perd";"<E>";"gagne";"-";"-";"§jouer§à qui perd gagne "
"259";"+";"-";"+";"-";"-";"-";"se";" laisser";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"abattre";"<E>";"<E>";"-";"-";"§se laisser§abattre "
"260";"+";"-";"+";"+";"-";"-";"s'en";" laisser";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"accroire";"par";"<E>";"+";"-";"§s'en laisser§accroire par "
"261";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"agir";"la";"nature";"-";"-";"§laisser§agir la nature "
"262";"+";"-";"+";"-";"-";"-";"se";" laisser";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"aller";"<E>";"<E>";"-";"-";"§se laisser§aller "
"263";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"aller";"<E>";"<E>";"+";"-";"§laisser§aller "
"264";"-";"+";"+";"-";"-";"-";"se";" laisser";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"boire";"<E>";"<E>";"-";"-";"§se laisser§boire "
"265";"+";"-";"+";"-";"-";"-";"se";" laisser";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"choir";"LOC";"<E>";"-";"+";"§se laisser§choir LOC "
"266";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"choir";"<E>";"<E>";"+";"+";"§laisser§choir "
"267";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"choir";"<E>";"<E>";"+";"+";"§laisser§choir "
"268";"+";"-";"+";"+";"-";"-";"s'en";" laisser";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"conter";"par";"<E>";"+";"-";"§s'en laisser§conter par "
"269";"+";"-";"+";"-";"-";"-";"se";" laisser";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"déborder";"par";"<E>";"+";"+";"§se laisser§déborder par "
"270";"-";"+";"-";"-";"-";"-";"<E>";" laisser";"-";"-";"-";"à";"<E>";"<E>";"-";"-";"désirer";"<E>";"<E>";"-";"-";"§laisser§à désirer "
"271";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"échapper";"<E>";"<E>";"+";"-";"§laisser§échapper "
"272";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"échapper";"un";"cri";"-";"-";"§laisser§échapper un cri "
"273";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"échapper";"ue";"plainte";"-";"-";"§laisser§échapper ue plainte "
"274";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"échapper";"un";"gémissement";"-";"-";"§laisser§échapper un gémissement "
"275";"+";"-";"+";"-";"-";"-";"se";" laisser";"+";"+";"-";"<E>";"<E>";"<E>";"-";"-";"faire";"par";"<E>";"+";"-";"§se laisser§fait par "
"276";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"faire";"<E>";"<E>";"-";"-";"§laisser§fait "
"277";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"faire";"la";"nature";"-";"-";"§laisser§fait la nature "
"278";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"filer";"<E>";"<E>";"+";"-";"§laisser§filer "
"279";"+";"-";"+";"-";"-";"-";"se";" laisser";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"glisser";"<E>";"<E>";"-";"-";"§se laisser§glisser "
"280";"-";"+";"+";"-";"-";"-";"se";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"lire";"<E>";"<E>";"-";"-";"§se laisser§lire "
"281";"-";"+";"+";"-";"-";"-";"se";" laisser";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"manger";"<E>";"<E>";"-";"-";"§se laisser§manger "
"282";"+";"-";"+";"-";"-";"-";"se";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"marcher";"sur les";"pieds";"-";"-";"§se laisser§marcher sur les pieds "
"283";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"passer";"le";"bout de l'oreille";"-";"-";"§laisser§passer le bout de l'oreille "
"284";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"passer";"une";"chance de V W";"-";"-";"§laisser§passer une chance de V W "
"285";"+";"-";"-";"-";"-";"+";"ne";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"perdre";"<E>";"rien";"-";"-";"§ne laisser§perdre rien "
"286";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"pisser";"le";"mérinos";"-";"-";"§laisser§pisser le mérinos "
"287";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"pisser";"<E>";"<E>";"+";"+";"§laisser§pisser "
"288";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"pointer";"le";"bout de l'oreille";"-";"-";"§laisser§pointer le bout de l'oreille "
"289";"+";"-";"+";"-";"-";"-";"se";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"prendre";"à";"<E>";"-";"+";"§se laisser§prendre à "
"290";"+";"-";"+";"-";"-";"-";"se";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"prendre";"aux";"charmes";"-";"-";"§se laisser§prendre aux charmes "
"291";"+";"-";"+";"-";"-";"-";"se";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"prendre";"au";"jeu";"-";"-";"§se laisser§prendre au jeu "
"292";"+";"-";"+";"-";"-";"-";"se";" laisser";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"prier";"par";"<E>";"+";"-";"§se laisser§prier par "
"293";"-";"+";"+";"-";"-";"-";"se";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"regarder";"<E>";"<E>";"-";"-";"§se laisser§regarder "
"294";"+";"-";"+";"-";"-";"-";"se";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"tenter";"par";"<E>";"-";"+";"§se laisser§tenter par "
"295";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"tomber";"<E>";"<E>";"+";"+";"§laisser§tomber "
"296";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"venir";"<E>";"<E>";"-";"-";"§laisser§venir "
"297";"+";"-";"+";"-";"-";"-";"se";" laisser";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"vivre";"<E>";"<E>";"-";"-";"§se laisser§vivre "
"298";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"-";"-";"-";"<E>";"les";"morts";"-";"-";"enterrer";"les";"morts";"-";"-";"§laisser§les morts enterrer les morts "
"299";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"-";"-";"-";"<E>";"la";"occasion";"-";"-";"filer";"<E>";"<E>";"-";"-";"§laisser§l'occasion filer "
"300";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"-";"-";"-";"<E>";"la";"occasion";"-";"-";"passer";"<E>";"<E>";"-";"-";"§laisser§l'occasion passer "
"301";"+";"-";"-";"-";"-";"-";"<E>";" manger";"+";"+";"-";"à";"<E>";"s'en faire";"-";"-";"péter";"la";"sous-ventrière";"-";"-";"§manger§à s'en fait péter la sous-ventrière "
"302";"-";"+";"-";"-";"-";"+";"ne";" manquer";"-";"+";"-";"de";"<E>";"<E>";"-";"-";"surprendre";"<E>";"<E>";"-";"-";"§ne manquer§de surprendre "
"303";"+";"-";"-";"-";"-";"-";"<E>";" mener";"-";"-";"-";"<E>";"les";"cadavres";"-";"-";"chier";"<E>";"<E>";"-";"-";"§mener§les cadavres chier "
"304";"+";"-";"-";"-";"-";"-";"<E>";" mener";"-";"-";"-";"<E>";"les";"poules";"-";"-";"pisser";"<E>";"<E>";"-";"-";"§mener§les poules pisser "
"305";"+";"-";"-";"-";"-";"+";"n'";" oser";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"croire";"à";"<E>";"-";"+";"§n'oser§croire à "
"306";"+";"-";"-";"-";"-";"-";"<E>";" oublier";"-";"+";"-";"de";"<E>";"<E>";"-";"-";"être";"<E>";"bête";"-";"-";"§oublier§d'est bête "
"307";"+";"-";"-";"-";"-";"-";"<E>";" oublier";"-";"+";"-";"de";"<E>";"<E>";"-";"-";"respirer";"<E>";"<E>";"-";"-";"§oublier§de respirer "
"308";"+";"-";"-";"-";"-";"-";"<E>";" parler";"-";"+";"-";"pour";"<E>";"<E>";"-";"-";"parler";"<E>";"<E>";"-";"-";"§parler§pour parler "
"309";"+";"-";"-";"-";"-";"-";"<E>";" parler";"-";"+";"-";"pour";"ne";"rien";"-";"-";"dire";"<E>";"<E>";"-";"-";"§parler§pour ne rien dire "
"310";"+";"-";"-";"-";"-";"-";"<E>";" partir";"+";"+";"-";"sans";"<E>";"<E>";"-";"-";"demander";"Poss0";"reste";"-";"-";"§partir§sans demander son reste "
"311";"+";"-";"-";"-";"-";"-";"<E>";" partir";"+";"+";"-";"sans";"<E>";"<E>";"-";"-";"laisser";"de";"adresse";"-";"-";"§partir§sans laisser d'adresse "
"312";"+";"-";"-";"-";"-";"-";"<E>";" partir";"-";"+";"-";"pour";"<E>";"<E>";"-";"-";"ne revenir";"<E>";"plus";"-";"-";"§partir§pour ne revenir plus "
"313";"+";"-";"-";"-";"-";"-";"<E>";" passer";"-";"-";"-";"et";"<E>";"<E>";"-";"-";"repasser";"Loc";"<E>";"-";"+";"§passer§et repasser Loc"
"314";"+";"-";"-";"-";"-";"-";"<E>";" penser";"-";"-";"-";"que";"<E>";"ce";"-";"-";"être";"<E>";"arrivé";"-";"-";"§penser§que c'est arrivé "
"315";"+";"-";"-";"-";"-";"-";"<E>";" persiste";"-";"+";"-";"et";"<E>";"<E>";"-";"-";"signe";"<E>";"<E>";"-";"-";"§persiste§et signe "
"316";"+";"-";"+";"-";"-";"-";"se";" plaindre";"-";"-";"-";"de ce";"que la";"mariée";"-";"-";"être";"trop";"belle";"-";"-";"§se plaindre§de ce que la mariée est trop belle "
"317";"+";"+";"-";"-";"-";"-";"<E>";" pourrait";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"aller";"<E>";"mieux";"-";"-";"§pourrait§aller mieux "
"318";"+";"-";"-";"-";"-";"+";"ne";" pouvoir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"arquer";"<E>";"<E>";"-";"-";"§ne pouvoir§arquer "
"319";"+";"-";"-";"-";"-";"-";"<E>";" pouvoir";"-";"+";"-";"à";"<E>";"<E>";"+";"-";"dire";"au";"revoir";"-";"-";"§pouvoir§à dire au revoir "
"320";"-";"+";"-";"-";"-";"+";"ne";" pouvoir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"durer";"<E>";"<E>";"-";"-";"§ne pouvoir§durer "
"321";"+";"-";"-";"-";"-";"-";"<E>";" pouvoir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"en croire";"<E>";"<E>";"+";"-";"§pouvoir§en croire "
"322";"+";"-";"-";"-";"-";"+";"ne";" pouvoir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"en dire";"<E>";"autant";"-";"-";"§ne pouvoir§en dire autant "
"323";"-";"+";"-";"-";"-";"-";"<E>";" pouvoir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"être";"<E>";"pire";"-";"-";"§pouvoir§est pire "
"324";"+";"-";"-";"-";"-";"+";"ne";" pouvoir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"être";"plus";"clair";"-";"-";"§ne pouvoir§est plus clair "
"325";"+";"-";"-";"-";"-";"-";"<E>";" pouvoir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"faire";"Poss0";"prière";"-";"-";"§pouvoir§fait ses prière "
"326";"+";"-";"-";"-";"-";"-";"<E>";" pouvoir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"faire";"Poss0";"prières";"-";"-";"§pouvoir§fait ses prières "
"327";"+";"-";"-";"-";"-";"+";"ne";" pouvoir";"-";"+";"-";"à";"<E>";"<E>";"+";"-";"faire";"<E>";"ça";"-";"-";"§ne pouvoir§à fait ça "
"328";"+";"-";"-";"-";"-";"-";"<E>";" pouvoir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"rêver";"<E>";"<E>";"-";"-";"§pouvoir§rêver "
"329";"+";"-";"-";"-";"-";"+";"ne";" pouvoir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"rêver";"<E>";"mieux";"-";"-";"§ne pouvoir§rêver mieux "
"330";"+";"-";"-";"-";"-";"-";"<E>";" pouvoir";"-";"+";"-";"avec";"<E>";"<E>";"+";"-";"se donner";"la";"main";"-";"-";"§pouvoir§avec se donner la main "
"331";"+";"-";"-";"-";"-";"-";"<E>";" pouvoir";"-";"+";"-";"avec";"<E>";"<E>";"+";"-";"se donner";"la";"main";"-";"-";"§pouvoir§avec se donner la main "
"332";"+";"-";"-";"-";"-";"-";"<E>";" pouvoir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"voir";"<E>";"venir";"-";"-";"§pouvoir§voir venir "
"333";"+";"-";"-";"-";"-";"-";"<E>";" pouvoir";"-";"+";"-";"<E>";"<E>";"aller";"-";"-";"se faire";"<E>";"soigner";"-";"-";"§pouvoir§aller se fait soigner "
"334";"+";"-";"-";"-";"-";"+";"ne";" pouvoir";"-";"+";"-";"devant";"le";"autre";"-";"-";"mettre";"un";"pied";"-";"-";"§ne pouvoir§devant l'autre mettre un pied "
"335";"-";"+";"-";"-";"-";"-";"<E>";" pouvoir";"-";"+";"-";"<E>";"<E>";"bien";"-";"-";"faire";"<E>";"quoi ?";"-";"-";"§pouvoir§bien fait quoi ? "
"336";"+";"-";"-";"-";"-";"-";"<E>";" pouvoir";"-";"+";"-";"en";"<E>";"face";"-";"-";"regarder";"<E>";"<E>";"+";"+";"§pouvoir§en face regarder "
"337";"+";"-";"-";"-";"-";"-";"<E>";" pouvoir";"-";"+";"-";"<E>";"<E>";"mieux";"-";"-";"faire";"<E>";"<E>";"-";"-";"§pouvoir§mieux fait "
"338";"+";"-";"-";"-";"-";"+";"ne";" pouvoir plus";"-";"+";"-";"en";"<E>";"face";"-";"-";"regarder";"<E>";"<E>";"+";"+";"§ne pouvoir plus§en face regarder "
"339";"+";"-";"-";"-";"-";"+";"ne";" pouvoir que";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"s'en prendre";"à";"Lui-0-même";"-";"-";"§ne pouvoir que§s'en prendre à lui-même "
"340";"+";"-";"-";"-";"-";"-";"<E>";" préférer";"-";"+";"-";"en";"<E>";"photo qu'en pension";"-";"-";"avoir";"<E>";"<E>";"+";"-";"§préférer§en photo qu'en pension a "
"341";"+";"-";"-";"-";"-";"-";"<E>";" progresser";"-";"+";"-";"sans";"<E>";"<E>";"-";"-";"rencontrer";"de";"résistance";"-";"-";"§progresser§sans rencontrer de résistance "
"342";"+";"-";"-";"-";"-";"-";"<E>";" récolter";"-";"-";"+";"ce";"que";"Il-0";"+";"-";"semer";"<E>";"<E>";"-";"-";"§récolter§ce qu'il semer "
"343";"+";"-";"-";"-";"-";"-";"<E>";" reculer";"-";"+";"-";"pour";"<E>";"mieux";"-";"-";"sauter";"<E>";"<E>";"-";"-";"§reculer§pour mieux sauter "
"344";"+";"-";"-";"-";"-";"-";"<E>";" regarder";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"passer";"les";"trains";"-";"-";"§regarder§passer les trains "
"345";"-";"+";"-";"-";"-";"-";"<E>";" rester";"-";"-";"-";"à";"<E>";"<E>";"-";"-";"voir";"<E>";"<E>";"-";"-";"§rester§à voir "
"346";"+";"-";"+";"-";"-";"-";"se";" retirer";"-";"+";"-";"pour";"<E>";"<E>";"-";"-";"délibérer";"<E>";"<E>";"-";"-";"§se retirer§pour délibérer "
"347";"+";"-";"-";"-";"-";"-";"<E>";" rire";"+";"+";"-";"à";"<E>";"<E>";"-";"-";"en décrocher";"Poss0";"mâchoire";"-";"-";"§rire§à en décrocher sa mâchoire "
"348";"+";"-";"-";"-";"-";"-";"<E>";" rire";"+";"+";"-";"à";"<E>";"<E>";"-";"-";"en décrocher";"Poss0";"râtelier";"-";"-";"§rire§à en décrocher son râtelier "
"349";"+";"-";"-";"-";"-";"-";"<E>";" rire";"+";"+";"-";"à";"<E>";"<E>";"-";"-";"en décrocher";"Poss0";"dentier";"-";"-";"§rire§à en décrocher son dentier "
"350";"+";"-";"-";"-";"-";"-";"<E>";" rire";"+";"+";"-";"à";"<E>";"<E>";"-";"-";"s'en décrocher";"la";"mâchoire";"-";"-";"§rire§à s'en décrocher la mâchoire "
"351";"+";"-";"-";"-";"-";"-";"<E>";" rire";"+";"+";"-";"à";"<E>";"<E>";"-";"-";"s'en décrocher";"le";"râtelier";"-";"-";"§rire§à s'en décrocher le râtelier "
"352";"+";"-";"-";"-";"-";"-";"<E>";" rire";"+";"+";"-";"à";"<E>";"<E>";"-";"-";"s'en décrocher";"la";"dentier";"-";"-";"§rire§à s'en décrocher la dentier "
"353";"+";"-";"-";"-";"-";"-";"<E>";" saisir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"arrêter";"<E>";"<E>";"-";"-";"§saisir§arrêter "
"354";"+";"-";"-";"-";"-";"-";"<E>";" saisir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"brandonner";"<E>";"<E>";"-";"-";"§saisir§brandonner "
"355";"+";"-";"-";"-";"-";"-";"<E>";" saisir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"exécuter";"<E>";"<E>";"-";"-";"§saisir§exécuter "
"356";"+";"-";"-";"-";"-";"-";"<E>";" saisir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"gager";"<E>";"<E>";"-";"-";"§saisir§gager "
"357";"+";"-";"-";"-";"-";"-";"<E>";" saisir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"revendiquer";"<E>";"<E>";"-";"-";"§saisir§revendiquer "
"358";"+";"-";"-";"-";"-";"-";"<E>";" savoir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"nager";"<E>";"<E>";"-";"-";"§savoir§nager "
"359";"+";"-";"-";"-";"-";"-";"<E>";" savoir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"naviguer";"<E>";"<E>";"-";"-";"§savoir§naviguer "
"360";"+";"-";"-";"-";"-";"-";"<E>";" savoir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"trouver";"les";"mots";"-";"-";"§savoir§trouver les mots "
"361";"+";"-";"-";"-";"-";"-";"<E>";" savoir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"vivre";"<E>";"<E>";"-";"-";"§savoir§vivre "
"362";"+";"-";"-";"-";"-";"-";"<E>";" savoir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"y faire";"<E>";"<E>";"-";"-";"§savoir§y fait "
"363";"+";"-";"-";"-";"-";"-";"<E>";" savoir";"-";"-";"+";"de quoi";"le";"avenir";"-";"-";"être";"<E>";"fait";"-";"-";"§savoir§de quoi l'avenir est fait "
"364";"+";"-";"-";"-";"-";"-";"<E>";" savoir";"-";"+";"+";"par";"quel";"bout";"-";"-";"prendre";"<E>";"<E>";"+";"-";"§savoir§par quel bout prendre "
"365";"+";"-";"-";"-";"-";"+";"ne";" savoir";"-";"-";"-";"<E>";"si";"ce";"-";"-";"être";"du";"lard ou du cochon";"-";"-";"§ne savoir§si c'est du lard ou du cochon "
