"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"Nc =: Nhum";"Nc =: N-hum";"N0 être Prép1 Det1 C1";"Det1 C1 de Nc = Poss C1";"Prép1 C1 = où ?";"Exemple"
"709";"-";"+";"+";"-";"-";"<E>";"être";"dans";"les";"plans";"+";"-";"-";"+";"-";"§être§dans les plans "
"710";"+";"+";"-";"-";"-";"<E>";"être";"sous";"une";"pluie";"-";"+";"-";"-";"+";"§être§sous une pluie "
"711";"-";"+";"-";"-";"-";"<E>";"être";"de";"la";"plume";"+";"-";"-";"+";"-";"§être§de la plume "
"712";"+";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"plus";"+";"+";"+";"-";"-";"§être§en plus "
"713";"-";"+";"-";"-";"-";"<E>";"être";"dans";"la";"poche";"+";"-";"-";"+";"+";"§être§dans la poche "
"714";"+";"-";"-";"-";"-";"<E>";"être";"sur";"le";"poil";"+";"-";"-";"+";"-";"§être§sur le poil "
"715";"+";"+";"-";"-";"-";"<E>";"être";"à";"un";"point critique";"-";"+";"-";"-";"-";"§être§à un point critique "
"716";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"point culminant";"-";"+";"+";"-";"+";"§être§au point culminant "
"717";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"point culminant";"-";"+";"+";"-";"-";"§être§au point culminant "
"718";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"pointe";"-";"+";"-";"+";"+";"§être§à la pointe "
"719";"-";"+";"-";"-";"+";"n'";"être pas";"pour";"la";"pomme";"+";"-";"-";"+";"-";"§n'est pas§pour la pomme "
"720";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"pont";"-";"+";"+";"-";"+";"§être§au pont "
"721";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"porte";"-";"+";"+";"-";"-";"§être§à la porte "
"722";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"porte";"-";"+";"-";"+";"+";"§être§à la porte "
"723";"+";"+";"-";"-";"-";"<E>";"être";"hors de";"<E>";"portée";"+";"-";"-";"+";"+";"§être§hors de portée "
"724";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"portée";"+";"-";"-";"+";"+";"§être§à la portée "
"725";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"portée";"+";"-";"-";"+";"-";"§être§à la portée "
"726";"+";"+";"-";"-";"-";"<E>";"être";"hors de";"la";"portée";"+";"-";"-";"+";"+";"§être§hors de la portée "
"727";"-";"+";"+";"-";"-";"<E>";"être";"hors de";"la";"portée";"+";"-";"-";"+";"-";"§être§hors de la portée "
"728";"+";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"portée de canon";"+";"+";"+";"-";"+";"§être§à portée de canon "
"729";"+";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"portée de fusil";"+";"+";"+";"-";"+";"§être§à portée de fusil "
"730";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"portée de la bourse";"+";"-";"-";"-";"-";"§être§à la portée de la bourse "
"731";"+";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"portée de la main";"+";"-";"-";"-";"+";"§être§à portée de la main "
"732";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"portée de la main";"+";"-";"-";"-";"+";"§être§à la portée de la main "
"733";"+";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"portée de voix";"+";"+";"+";"-";"+";"§être§à portée de voix "
"734";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"portée immédiate";"+";"-";"-";"+";"+";"§être§à la portée immédiate "
"735";"+";"+";"-";"-";"-";"<E>";"être";"à";"les";"portes";"-";"+";"-";"+";"+";"§être§aux portes "
"736";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"possession";"+";"-";"-";"-";"-";"§être§en possession "
"737";"-";"+";"-";"-";"-";"<E>";"être";"dans";"la";"possession";"+";"-";"-";"+";"-";"§être§dans la possession "
"738";"+";"-";"-";"-";"-";"<E>";"être";"en";"la";"possession";"+";"-";"-";"+";"-";"§être§en la possession "
"739";"+";"+";"-";"-";"-";"<E>";"être";"sur";"le";"pourtour";"-";"+";"+";"+";"+";"§être§sur le pourtour "
"740";"-";"+";"+";"-";"-";"<E>";"être";"de";"le";"pouvoir";"+";"-";"-";"+";"-";"§être§du pouvoir "
"741";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"préférence";"+";"-";"-";"+";"-";"§être§à la préférence "
"742";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"préjudice";"+";"+";"-";"+";"-";"§être§au préjudice "
"743";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"présence";"+";"+";"-";"-";"-";"§être§en présence "
"744";"+";"+";"-";"-";"-";"<E>";"être";"en";"la";"présence";"+";"-";"-";"+";"-";"§être§en la présence "
"745";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"présentation";"-";"+";"-";"-";"+";"§être§en présentation "
"746";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"présidence";"+";"-";"-";"+";"-";"§être§sous la présidence "
"747";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"présidence d'honneur";"+";"-";"-";"+";"-";"§être§sous la présidence d'honneur "
"748";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"presqu'île";"-";"+";"+";"-";"+";"§être§à la presqu'île "
"749";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"presqu'île";"-";"+";"+";"-";"+";"§être§dans la presqu'île "
"750";"+";"+";"-";"-";"-";"<E>";"être";"sur";"la";"presqu'île";"-";"+";"+";"-";"+";"§être§sur la presqu'île "
"751";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"pression";"+";"+";"-";"+";"-";"§être§sous la pression "
"752";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"prévision";"-";"-";"+";"-";"-";"§être§en prévision "
