"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"Nc =: Nhum";"Nc =: N-hum";"N0 être Prép1 Det1 C1";"Det1 C1 de Nc = Poss C1";"Prép1 C1 = où ?";"Exemple"
"858";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"sujétion";"+";"+";"-";"+";"-";"§être§dans la sujétion "
"859";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"sujétion";"+";"+";"-";"+";"-";"§être§sous la sujétion "
"860";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"summum";"-";"+";"+";"+";"-";"§être§au summum "
"861";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"superficie";"-";"+";"+";"+";"+";"§être§à la superficie "
"862";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"supervision";"+";"-";"-";"+";"-";"§être§sous la supervision "
"863";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"supplément";"-";"+";"+";"-";"-";"§être§en supplément "
"864";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"surcharge";"-";"+";"+";"-";"-";"§être§en surcharge "
"865";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"surcroît";"-";"+";"-";"-";"-";"§être§en surcroît "
"866";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"surface";"-";"+";"+";"+";"+";"§être§à la surface "
"867";"-";"+";"+";"-";"-";"<E>";"être";"pour";"le";"surlendemain";"-";"+";"+";"-";"-";"§être§pour le surlendemain "
"868";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"surplomb";"-";"+";"-";"-";"+";"§être§en surplomb "
"869";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"surplus";"-";"+";"-";"-";"-";"§être§en surplus "
"870";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"surveillance";"+";"-";"-";"+";"-";"§être§sous la surveillance "
"871";"+";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"sus";"+";"+";"+";"-";"-";"§être§en sus "
"872";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"tableau d'honneur";"-";"+";"+";"+";"-";"§être§au tableau d'honneur "
"873";"+";"+";"-";"-";"-";"<E>";"être";"sur";"les";"tablettes";"+";"-";"-";"+";"-";"§être§sur les tablettes "
"874";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"taille";"+";"-";"-";"+";"-";"§être§à la taille "
"875";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"taille";"+";"-";"-";"+";"-";"§être§à la taille "
"876";"-";"+";"-";"-";"-";"<E>";"être";"autour de";"la";"taille";"+";"-";"-";"+";"+";"§être§autour de la taille "
"877";"+";"-";"-";"-";"-";"<E>";"être";"sur";"les";"talons";"+";"-";"-";"+";"-";"§être§sur les talons "
"878";"+";"-";"-";"-";"-";"<E>";"être";"sous";"la";"tentation";"-";"+";"-";"-";"-";"§être§sous la tentation "
"879";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"tenue";"+";"+";"+";"-";"-";"§être§en tenue "
"880";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"terme";"-";"+";"-";"+";"-";"§être§au terme "
"881";"+";"-";"-";"-";"-";"<E>";"être";"sur";"le";"terrain";"+";"-";"-";"+";"+";"§être§sur le terrain "
"882";"+";"+";"-";"-";"-";"<E>";"être";"sur";"les";"terres";"+";"+";"-";"+";"+";"§être§sur les terres "
"883";"+";"-";"-";"-";"-";"<E>";"être";"sur";"le";"territoire";"+";"-";"-";"+";"+";"§être§sur le territoire "
"884";"+";"+";"-";"-";"-";"<E>";"être";"sur";"le";"testament";"+";"-";"-";"+";"-";"§être§sur le testament "
"885";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"tête";"-";"+";"+";"-";"+";"§être§en tête "
"886";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"tête";"-";"+";"-";"+";"-";"§être§à la tête "
"887";"-";"+";"-";"-";"-";"<E>";"être";"autour de";"la";"tête";"+";"-";"-";"+";"+";"§être§autour de la tête "
"888";"-";"+";"-";"-";"-";"<E>";"être";"dans";"la";"tête";"+";"-";"-";"+";"-";"§être§dans la tête "
"889";"-";"+";"-";"-";"-";"<E>";"être";"sous";"la";"tête";"+";"-";"-";"+";"+";"§être§sous la tête "
"890";"-";"+";"-";"-";"-";"<E>";"être";"sur";"la";"tête";"+";"-";"-";"+";"+";"§être§sur la tête "
"891";"-";"+";"-";"-";"-";"<E>";"être";"sous";"le";"timbre";"+";"+";"-";"+";"-";"§être§sous le timbre "
"892";"+";"+";"-";"-";"-";"<E>";"être";"sous";"le";"tir";"+";"+";"+";"+";"-";"§être§sous le tir "
"893";"+";"+";"-";"-";"-";"<E>";"être";"sous";"les";"tirs";"+";"+";"+";"+";"-";"§être§sous les tirs "
"894";"-";"+";"-";"-";"-";"<E>";"être";"sur";"<E>";"toile de fond";"-";"+";"-";"-";"-";"§être§sur toile de fond "
"895";"+";"+";"-";"-";"-";"<E>";"être";"sous";"les";"toits";"-";"+";"-";"+";"+";"§être§sous les toits "
"896";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"top niveau";"-";"+";"+";"+";"-";"§être§au top niveau "
"897";"+";"-";"-";"-";"-";"<E>";"être";"sur";"la";"trace";"+";"+";"+";"+";"-";"§être§sur la trace "
"898";"+";"-";"-";"-";"-";"<E>";"être";"sur";"les";"traces";"+";"+";"-";"+";"-";"§être§sur les traces "
"899";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"traîne";"+";"+";"+";"+";"-";"§être§à la traîne "
"900";"+";"+";"-";"-";"-";"<E>";"être";"sur";"la";"trajectoire";"-";"+";"-";"+";"+";"§être§sur la trajectoire "
"901";"+";"+";"-";"-";"-";"<E>";"être";"sur";"le";"trajet";"-";"+";"+";"+";"+";"§être§sur le trajet "
"902";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"travers";"-";"+";"+";"-";"+";"§être§en travers "
"903";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"travers des projets";"+";"+";"+";"-";"-";"§être§en travers des projets "
"904";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"travers du chemin";"+";"+";"+";"-";"-";"§être§en travers du chemin "
"905";"+";"-";"-";"-";"-";"<E>";"être";"de";"la";"trempe";"+";"-";"-";"+";"-";"§être§de la trempe "
"906";"+";"-";"-";"-";"-";"<E>";"être";"sur";"le";"trîne";"+";"+";"+";"+";"+";"§être§sur le trîne "
"907";"+";"-";"-";"-";"-";"<E>";"être";"à";"les";"trousses";"+";"-";"-";"+";"-";"§être§aux trousses "
"908";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"tutelle";"+";"-";"-";"+";"-";"§être§sous la tutelle "
"909";"-";"+";"-";"-";"-";"<E>";"être";"de";"le";"type";"-";"+";"-";"+";"-";"§être§du type "
"910";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"une";"-";"+";"+";"-";"-";"§être§à l'une "
"911";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"uniforme";"+";"-";"+";"-";"-";"§être§en uniforme "
"912";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"usage";"+";"-";"-";"+";"-";"§être§à l'usage "
"913";"-";"+";"+";"-";"-";"<E>";"être";"pour";"la";"veille";"-";"+";"+";"-";"-";"§être§pour la veille "
"914";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"veine";"-";"+";"-";"-";"-";"§être§en veine "
"915";"+";"+";"-";"-";"-";"<E>";"être";"sur";"un";"versant";"-";"+";"-";"+";"+";"§être§sur un versant "
"916";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"verso";"-";"+";"+";"+";"+";"§être§au verso "
"917";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"verticale";"-";"+";"-";"+";"+";"§être§à la verticale "
"918";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"vigilance";"+";"-";"-";"+";"-";"§être§sous la vigilance "
"919";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"violation";"-";"+";"-";"-";"-";"§être§en violation "
"920";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"vitesse";"+";"+";"-";"+";"-";"§être§à la vitesse "
"921";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"vitrine";"-";"+";"-";"-";"+";"§être§en vitrine "
"922";"+";"+";"-";"-";"-";"<E>";"être";"sur";"la";"voie";"-";"+";"-";"-";"-";"§être§sur la voie "
"923";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"voisinage";"-";"+";"+";"+";"+";"§être§au voisinage "
"924";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"voisinage";"-";"+";"+";"+";"+";"§être§dans le voisinage "
"925";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"volant";"-";"+";"+";"+";"-";"§être§au volant "
"926";"+";"+";"-";"-";"-";"<E>";"être";"à";"six";"volts";"-";"+";"+";"-";"-";"§être§à six volts "
"927";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"vue";"+";"+";"-";"-";"-";"§être§en vue "
"928";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"vue";"+";"-";"+";"-";"-";"§être§en vue "
"929";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"vue";"+";"+";"-";"-";"-";"§être§à la vue "
"930";"+";"+";"-";"-";"-";"<E>";"être";"hors de";"la";"vue";"+";"+";"-";"-";"-";"§être§hors de la vue "
"931";"-";"+";"-";"-";"-";"<E>";"être";"sous";"les";"yeux";"+";"-";"-";"+";"+";"§être§sous les yeux "
"932";"-";"+";"-";"-";"+";"n'";"être pas";"pour";"les beaux";"yeux";"+";"-";"-";"+";"-";"§n'est pas§pour les beaux yeux "
"933";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"zénith";"-";"+";"+";"+";"+";"§être§au zénith "

