"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: le figé";"Ppv =: la figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"N0 V";"N0 V Prép1 Det1 C1";"C1 =: Npc";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"N0 V Prép2 (Det2 C2+N2)";"N2 =: Npc";"N2 =: Nhum";"N2 =: N-hum";"Exemple"
"184";"+";"-";"+";"-";"-";"-";"-";"-";"se";" prendre";"-";"-";"-";"de";"<E>";"passion";"pour";"<E>";"<E>";"-";"-";"+";"+";"§se prendre§de passion "
"185";"+";"-";"+";"-";"-";"-";"-";"-";"se";" prendre";"-";"-";"-";"de";"<E>";"querelle";"avec";"<E>";"<E>";"-";"-";"+";"-";"§se prendre§de querelle "
"186";"+";"-";"+";"-";"-";"-";"-";"-";"se";" prendre";"-";"-";"-";"de";"<E>";"rage";"contre";"<E>";"<E>";"-";"-";"+";"+";"§se prendre§de rage "
"187";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";" procéder";"-";"-";"-";"de";"le";"simple";"à";"le";"particulier";"-";"-";"-";"-";"§procéder§du simple "
"188";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" protester";"-";"+";"-";"de";"Poss0 bonne";"foi";"auprès de";"<E>";"<E>";"-";"-";"+";"-";"§protester§de sa bonne foi "
"189";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" reculer";"-";"+";"-";"de";"<E>";"effroi";"devant";"<E>";"<E>";"-";"-";"+";"+";"§reculer§d'effroi "
"190";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" reculer";"-";"+";"-";"de";"<E>";"épouvante";"devant";"<E>";"<E>";"-";"-";"+";"+";"§reculer§d'épouvante "
"191";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" reculer";"-";"+";"-";"de";"<E>";"frayeur";"devant";"<E>";"<E>";"-";"-";"+";"+";"§reculer§de frayeur "
"192";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" reculer";"-";"+";"-";"de";"<E>";"horreur";"devant";"<E>";"<E>";"-";"-";"+";"+";"§reculer§d'horreur "
"193";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" reculer";"-";"+";"-";"de";"<E>";"peur";"devant";"<E>";"<E>";"-";"-";"+";"+";"§reculer§de peur "
"194";"+";"-";"+";"-";"-";"-";"-";"-";"se";" regarder";"-";"-";"-";"en";"<E>";"chiens de faïence";"avec";"<E>";"<E>";"-";"-";"+";"-";"§se regarder§en chiens de faïence "
"195";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" régner";"-";"-";"-";"en";"<E>";"maître";"sur";"<E>";"<E>";"+";"-";"+";"+";"§régner§en maître "
"196";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" remonter";"-";"-";"-";"de";"un";"cran";"dans";"la";"estime de Nhum";"+";"-";"-";"-";"§remonter§d'un cran "
"197";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" renoncer";"-";"+";"-";"à";"le";"monde";"et à";"ses";"pompes";"-";"-";"-";"-";"§renoncer§au monde "
"198";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";" rentrer";"-";"+";"-";"en";"<E>";"grâce";"auprès de";"<E>";"<E>";"-";"-";"+";"-";"§rentrer§en grâce "
"199";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" répondre";"-";"+";"-";"de";"Poss0";"actes";"devant";"la";"justice";"-";"-";"-";"-";"§répondre§de ses actes "
"200";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" répondre";"-";"+";"-";"de";"Poss0";"actes";"devant";"les";"tribunaux";"-";"-";"-";"-";"§répondre§de ses actes "
"201";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" répondre";"-";"-";"-";"par";"la";"affirmative";"à";"<E>";"<E>";"+";"-";"+";"-";"§répondre§par l'affirmative "
"202";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" répondre";"-";"+";"-";"de";"Poss0";"crimes";"devant";"la";"justice";"-";"-";"-";"-";"§répondre§de ses crimes "
"203";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" répondre";"-";"+";"-";"de";"Poss0";"crimes";"devant";"les";"tribunaux";"-";"-";"-";"-";"§répondre§de ses crimes "
"204";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" répondre";"-";"+";"-";"par";"une";"fin de non recevoir";"à";"<E>";"<E>";"-";"-";"+";"+";"§répondre§par une fin de non recevoir "
"205";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" répondre";"-";"-";"-";"à";"la";"force";"par";"la";"force";"+";"-";"-";"-";"§répondre§à la force "
"206";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";" répondre";"-";"-";"-";"par";"la";"négative";"à";"<E>";"<E>";"+";"-";"+";"-";"§répondre§par la négative "
"207";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" répondre";"-";"+";"-";"par";"<E>";"non";"à";"<E>";"<E>";"+";"-";"+";"+";"§répondre§par non "
"208";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" répondre";"-";"-";"-";"de";"le";"tac";"à";"le";"tac";"-";"-";"-";"-";"§répondre§du tac "
"209";"+";"-";"+";"-";"-";"-";"-";"-";"se";" reposer";"-";"-";"-";"de";"<E>";"tout";"sur";"<E>";"<E>";"+";"-";"+";"-";"§se reposer§de tout "
"210";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";" revenir";"-";"+";"-";"en";"<E>";"boomerang";"à";"<E>";"<E>";"-";"-";"+";"-";"§revenir§en boomerang "
"211";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";" revenir";"-";"-";"-";"de";"<E>";"droit";"à";"<E>";"<E>";"-";"-";"+";"-";"§revenir§de droit "
"212";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";" revenir";"-";"-";"-";"en";"<E>";"mémoire";"à";"<E>";"<E>";"+";"-";"+";"-";"§revenir§en mémoire "
"213";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" sauter";"-";"-";"-";"de";"le";"coq";"à";"le";"âne";"-";"-";"-";"-";"§sauter§du coq "
"214";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" sauter";"-";"-";"+";"à";"<E>";"pieds joints";"sur";"<E>";"<E>";"+";"-";"-";"+";"§sauter§à pieds joints "
"215";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" sauter";"-";"-";"-";"à";"<E>";"pieds joints";"sur";"Det";"occasion";"+";"-";"-";"-";"§sauter§à pieds joints "
"216";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" sauter";"-";"-";"-";"de";"le";"train";"en";"<E>";"marche";"-";"-";"-";"-";"§sauter§du train "
"217";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" sauter";"-";"-";"-";"dans";"le";"train";"en";"<E>";"marche";"-";"-";"-";"-";"§sauter§dans le train "
"218";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" servir";"-";"+";"-";"à";"<E>";"boire";"à";"<E>";"<E>";"-";"-";"+";"-";"§servir§à boire "
"219";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" servir";"-";"+";"-";"à";"<E>";"déjeuner";"à";"<E>";"<E>";"-";"-";"+";"-";"§servir§à déjeuner "
"220";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" servir";"-";"+";"-";"à";"<E>";"dîner";"à";"<E>";"<E>";"-";"-";"+";"-";"§servir§à dîner "
"221";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";" servir";"-";"+";"-";"de";"<E>";"exemple";"à";"<E>";"<E>";"-";"-";"+";"-";"§servir§d'exemple "
"222";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" servir";"-";"-";"+";"de";"<E>";"faire-valoir";"à";"<E>";"<E>";"-";"-";"+";"-";"§servir§de fait-valoir "
"223";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" servir";"-";"+";"-";"à";"<E>";"goûter";"à";"<E>";"<E>";"-";"-";"+";"-";"§servir§à goûter "
"224";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";" servir";"-";"-";"-";"de";"<E>";"leçon";"à";"<E>";"<E>";"-";"-";"+";"-";"§servir§de leçon "
"225";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" servir";"-";"+";"-";"à";"<E>";"manger";"à";"<E>";"<E>";"-";"-";"+";"-";"§servir§à manger "
"226";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" servir";"-";"-";"+";"de";"<E>";"marche-pied";"à";"<E>";"<E>";"-";"-";"+";"-";"§servir§de marche-pied "
"227";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";" servir";"-";"+";"-";"de";"<E>";"monnaie d'échange";"à";"<E>";"<E>";"-";"-";"+";"-";"§servir§de monnaie d'échange "
"228";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";" servir";"-";"-";"-";"de";"<E>";"paravent";"à";"<E>";"<E>";"-";"-";"+";"-";"§servir§de paravent "
"229";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" servir";"-";"+";"-";"de";"<E>";"repoussoir";"à";"<E>";"<E>";"-";"-";"+";"-";"§servir§de repoussoir "
"230";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" servir";"-";"+";"-";"à";"<E>";"souper";"à";"<E>";"<E>";"-";"-";"+";"-";"§servir§à souper "
"231";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" taper";"-";"-";"+";"de";"le";"poing";"sur";"la";"table";"-";"-";"-";"-";"§taper§du poing "
"232";"+";"-";"-";"-";"-";"-";"-";"+";"ne";" tarir";"-";"+";"-";"de";"<E>";"éloges";"sur";"<E>";"<E>";"+";"-";"+";"+";"§ne tarir§d'éloges "
"233";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";" tenir";"-";"-";"+";"à";"<E>";"coeur";"à";"<E>";"<E>";"-";"-";"+";"-";"§tenir§à coeur "
"234";"+";"-";"+";"-";"-";"-";"-";"-";"se";" tenir";"-";"-";"+";"par";"la";"main";"avec";"<E>";"<E>";"-";"-";"+";"-";"§se tenir§par la main "
"235";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" tirer";"-";"+";"-";"à";"<E>";"balles";"sur";"<E>";"<E>";"-";"-";"+";"-";"§tirer§à balles "
"236";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" tirer";"-";"+";"-";"à";"<E>";"blanc";"sur";"<E>";"<E>";"+";"-";"+";"+";"§tirer§à blanc "
"237";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" tirer";"-";"-";"-";"à";"<E>";"boulets rouges";"sur";"<E>";"<E>";"-";"-";"+";"-";"§tirer§à boulets rouges "
"238";"+";"-";"+";"-";"-";"-";"-";"-";"se";" tirer";"-";"-";"-";"à";"bon";"compte";"de";"<E>";"<E>";"+";"-";"-";"+";"§se tirer§à bon compte "
"239";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" tirer";"-";"+";"-";"sur";"la";"corde";"jusqu'à";"ce";"qu'elle casse";"-";"-";"-";"-";"§tirer§sur la corde "
"240";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" tirer";"-";"-";"-";"sur";"la";"ficelle";"jusqu'à";"ce";"qu'elle casse";"-";"-";"-";"-";"§tirer§sur la ficelle "
"241";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" tirer";"+";"+";"-";"sans";"<E>";"sommations";"sur";"<E>";"<E>";"-";"-";"+";"-";"§tirer§sans sommations "
"242";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" tirer";"+";"+";"-";"après";"les";"sommations d'usage";"sur";"<E>";"<E>";"-";"-";"+";"-";"§tirer§après les sommations d'usage "
"243";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" tirer";"+";"+";"-";"à";"<E>";"vue";"sur";"<E>";"<E>";"+";"-";"+";"+";"§tirer§à vue "
"244";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" tomber";"-";"-";"+";"à";"<E>";"bras raccourcis";"sur";"<E>";"<E>";"-";"-";"+";"-";"§tomber§à bras raccourcis "
"245";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" tomber";"-";"-";"-";"de";"<E>";"Charibe";"en";"<E>";"Scylla";"-";"-";"-";"-";"§tomber§de Charibe "
"246";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" tomber";"-";"-";"-";"de";"un";"excès";"dans";"le";"autre";"-";"-";"-";"-";"§tomber§d'un excès "
"247";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" tomber";"-";"-";"-";"sur";"plus";"fort";"que";"<E>";"Lui-0";"-";"-";"-";"-";"§tomber§sur plus fort "
"248";"+";"-";"-";"-";"-";"-";"-";"+";"ne";" toucher";"-";"-";"-";"avec";"des";"pincettes";"à";"<E>";"<E>";"-";"-";"+";"+";"§ne toucher§avec des pincettes "
"249";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" user";"-";"+";"-";"de";"<E>";"diplomatie";"avec";"<E>";"<E>";"-";"-";"-";"-";"§user§de diplomatie "
"250";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";" varier";"-";"-";"-";"de";"un";"lit";"à";"le";"autre";"-";"-";"-";"-";"§varier§d'un lit "
"251";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";" varier";"-";"-";"-";"de";"un";"N";"à";"le";"autre";"-";"-";"-";"-";"§varier§d'un N "
"252";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";" venir";"-";"-";"-";"en";"<E>";"aide";"à";"<E>";"<E>";"-";"-";"+";"-";"§venir§en aide "
"253";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";" venir";"-";"-";"-";"en";"<E>";"appui";"à";"<E>";"<E>";"-";"-";"+";"+";"§venir§en appui "
"254";"+";"-";"-";"+";"-";"-";"-";"-";"en";" venir";"-";"+";"-";"à";"les";"armes";"avec";"<E>";"<E>";"-";"-";"+";"-";"§en venir§aux armes "
"255";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";" venir";"-";"-";"-";"en";"<E>";"complément";"à";"<E>";"<E>";"-";"-";"-";"+";"§venir§en complément "
"256";"+";"-";"-";"+";"-";"-";"-";"-";"en";" venir";"-";"+";"-";"à";"les";"extrémités";"avec";"<E>";"<E>";"-";"-";"+";"-";"§en venir§aux extrémités "
"257";"+";"-";"-";"+";"-";"-";"-";"-";"en";" venir";"-";"+";"+";"à";"les";"mains";"avec";"<E>";"<E>";"-";"-";"+";"-";"§en venir§aux mains "
"258";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";" venir";"-";"-";"-";"en";"<E>";"soutien";"à";"<E>";"<E>";"-";"-";"+";"+";"§venir§en soutien "
"259";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";" venir";"-";"-";"-";"en";"<E>";"supplément";"à";"<E>";"<E>";"-";"-";"-";"+";"§venir§en supplément "
"260";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" verser";"-";"-";"-";"à";"<E>";"boire";"à";"<E>";"<E>";"-";"-";"+";"-";"§verser§à boire "
"261";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" vivre";"-";"-";"-";"de";"<E>";"amour";"et de";"<E>";"eau fraîche";"-";"-";"-";"-";"§vivre§d'amour "
"262";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" vivre";"-";"-";"-";"en";"bonne";"communauté";"avec";"<E>";"<E>";"-";"-";"+";"-";"§vivre§en bonne communauté "
"263";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" vivre";"-";"-";"-";"en";"bonne";"intelligence";"avec";"<E>";"<E>";"-";"-";"+";"-";"§vivre§en bonne intelligence "
"264";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" vivre";"-";"-";"-";"à";"le";"jour";"<E>";"le";"jour";"-";"-";"-";"-";"§vivre§au jour "

