"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: le figé";"Ppv =: la figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"N0 V";"N0 V Prép1 Det1 C1";"C1 =: Npc";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"N0 V Prép2 (Det2 C2+N2)";"N2 =: Npc";"N2 =: Nhum";"N2 =: N-hum";"Exemple"
"82";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" être";"-";"-";"-";"comme";"le";"oiseau";"sur";"la";"branche";"-";"-";"-";"-";"§est§comme l'oiseau "
"83";"+";"-";"-";"-";"-";"-";"-";"+";"n'";" être";"-";"-";"-";"pour";"<E>";"personne";"Loc";"<E>";"<E>";"-";"-";"+";"+";"§n'est§pour personne "
"84";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" être";"-";"-";"-";"comme";"un";"poisson";"dans";"la";"eau";"-";"-";"-";"-";"§est§comme un poisson "
"85";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";" être";"-";"-";"-";"pour";"<E>";"quelque chose";"Loc";"<E>";"<E>";"-";"-";"-";"+";"§est§pour quelque chose "
"86";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" être";"-";"-";"-";"en";"<E>";"retard";"de";"une";"guerre";"-";"-";"-";"-";"§est§en retard "
"87";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" être";"-";"-";"-";"en";"<E>";"retard";"de";"un";"train";"-";"-";"-";"-";"§est§en retard "
"88";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" exciper";"-";"+";"-";"de";"Poss0 bonne";"foi";"auprès de";"<E>";"<E>";"-";"-";"+";"-";"§exciper§de sa bonne foi "
"89";"+";"-";"-";"-";"-";"+";"-";"-";"le";" faire";"-";"+";"-";"à";"le";"culot";"à";"<E>";"<E>";"-";"-";"+";"-";"§le fait§au culot "
"90";"+";"-";"-";"-";"-";"+";"-";"-";"le";" faire";"-";"+";"-";"à";"la";"épate";"à";"<E>";"<E>";"-";"-";"+";"-";"§le fait§à l'épate "
"91";"+";"-";"-";"-";"-";"+";"-";"-";"le";" faire";"-";"+";"-";"à";"la";"esbrouffe";"à";"<E>";"<E>";"-";"-";"+";"-";"§le fait§à l'esbrouffe "
"92";"+";"-";"-";"-";"-";"+";"-";"-";"le";" faire";"-";"+";"+";"à";"le";"estomac";"à";"<E>";"<E>";"-";"-";"+";"-";"§le fait§à l'estomac "
"93";"+";"-";"-";"-";"-";"+";"-";"-";"le";" faire";"-";"+";"-";"à";"la";"influence";"à";"<E>";"<E>";"-";"-";"+";"-";"§le fait§à l'influence "
"94";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" faire";"-";"+";"-";"de";"<E>";"même";"que";"<E>";"<E>";"-";"-";"+";"-";"§fait§de même "
"95";"+";"-";"-";"-";"-";"-";"+";"-";"la";" faire";"-";"+";"-";"à";"le";"sentiment";"à";"<E>";"<E>";"-";"-";"+";"-";"§la fait§au sentiment "
"96";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" foncer";"-";"+";"-";"à";"la";"attaque";"contre";"<E>";"<E>";"-";"-";"+";"+";"§foncer§à l'attaque "
"97";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" frapper";"-";"+";"-";"de";"le";"poing";"sur";"la";"table";"+";"-";"-";"-";"§frapper§du poing "
