"<ID>";"<ENT>Det0";"Det0 pluriel";"C0 =: Npc";"<ENT>C0";"C0 =: C0 de Nhum";"Ppv =: en figé";"Ppv =: me figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>est";"<ENT>Prép1";"C1 =: Npc";"C1 =: C1 de Nhum";"<ENT>Det1";"<ENT>C1";"Vop = avoir un";"Vop = N-hum donner";"Exemple"
"282";"<E>";"-";"-";" il";"-";"+";"-";"-";"en";" être";" est";"de";"-";"-";"une";"façon différente de N";"-";"-";"il§en est§d'une façon différente de N "
"283";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" était";"<E>";"-";"-";"une";"fois un N qui V W";"-";"-";"il§était§une fois un N qui V W "
"284";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"la";"heure";"-";"-";"il§est§l'heure "
"285";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"bonne";"heure";"-";"-";"il§est§de bonne heure "
"286";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"quelle";"heure ?";"-";"-";"il§est§quelle heure ? "
"287";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"la";"heure d'aller au lit";"-";"-";"il§est§l'heure d'aller au lit "
"288";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"la";"heure de déjeuner";"-";"-";"il§est§l'heure de déjeuner "
"289";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"la";"heure de dîner";"-";"-";"il§est§l'heure de dîner "
"290";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"la";"heure de dormir";"-";"-";"il§est§l'heure de dormir "
"291";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"la";"heure de goûter";"-";"-";"il§est§l'heure de goûter "
"292";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"la";"heure de manger";"-";"-";"il§est§l'heure de manger "
"293";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"la";"heure de se coucher";"-";"-";"il§est§l'heure de se coucher "
"294";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"la";"heure de souper";"-";"-";"il§est§l'heure de souper "
"295";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"la";"heure pour Max de venir ici";"-";"-";"il§est§l'heure pour Max de venir ici "
"296";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"la";"heure pour Max que il vienne ici";"-";"-";"il§est§l'heure pour Max qu'il vienne ici "
"297";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"la";"heure pour Nhum de V-inf W";"-";"-";"il§est§l'heure pour Nhum de V-inf W "
"298";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"la";"heure pour Nhum que Psubj";"-";"-";"il§est§l'heure pour Nhum que Psubj "
"299";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" sera";"<E>";"-";"-";"Dnum";"heures Dnum minutes au quatrième top";"-";"-";"il§sera§Dnum heures Dnum minutes au quatrième top "
"300";"<E>";"-";"-";" il";"-";"+";"-";"-";"en";" être";" est";"de";"-";"-";"une";"manière autre de N";"-";"-";"il§en est§d'une manière autre de N "
"301";"<E>";"-";"-";" il";"-";"+";"-";"-";"en";" être";" est";"de";"-";"-";"une";"manière différente de N";"-";"-";"il§en est§d'une manière différente de N "
"302";"<E>";"-";"-";" il";"-";"+";"-";"-";"en";" être";" est";"de";"-";"-";"<E>";"même de N";"-";"-";"il§en est§de même de N "
"303";"<E>";"-";"-";" il";"-";"+";"-";"-";"en";" être";" est";"<E>";"-";"-";"<E>";"quoi de N ?";"-";"-";"il§en est§quoi de N ? "
"304";"<E>";"-";"-";" il";"-";"+";"-";"+";"n'en";" être";" est";"<E>";"-";"-";"<E>";"rien";"-";"-";"il§n'en est§rien "
"305";"<E>";"-";"-";" il";"-";"+";"-";"+";"n'en";" être";" est";"<E>";"-";"-";"<E>";"rien !";"-";"-";"il§n'en est§rien! "
"306";"<E>";"-";"-";" il";"-";"+";"-";"+";"n'en";" être point";" est point";"de";"-";"-";"<E>";"salut hors deN";"-";"-";"il§n'en est point§de salut hors deN "
"307";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" fut";"<E>";"-";"-";"un";"temps où Max venait ici";"-";"-";"il§fut§un temps où Max venait ici "
"308";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" fut";"<E>";"-";"-";"un";"temps où P";"-";"-";"il§fut§un temps où P "
"309";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"<E>";"temps pour Max de venir ici";"-";"-";"il§est§temps pour Max de venir ici "
"310";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"grand";"temps pour Max de venir ici";"-";"-";"il§est§grand temps pour Max de venir ici "
"311";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"plus que";"temps pour Max de venir ici";"-";"-";"il§est§plus que temps pour Max de venir ici "
"312";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"<E>";"temps pour Max que il vienne ici";"-";"-";"il§est§temps pour Max qu'il vienne ici "
"313";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"plus que";"temps pour Max que il vienne ici";"-";"-";"il§est§plus que temps pour Max qu'il vienne ici "
"314";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"<E>";"temps pour Nhum de V-inf W";"-";"-";"il§est§temps pour Nhum de V-inf W "
"315";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"plus que";"temps pour Nhum de V-inf W";"-";"-";"il§est§plus que temps pour Nhum de V-inf W "
"316";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"<E>";"temps pour Nhum que Psubj";"-";"-";"il§est§temps pour Nhum que Psubj "
"317";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"plus que";"temps pour Nhum que Psubj";"-";"-";"il§est§plus que temps pour Nhum que Psubj "
"318";"<E>";"-";"-";" ils";"-";"-";"-";"-";"<E>";" être";" sont";"parmi";"-";"-";"les";"leurs";"-";"-";"ils§sont§parmi les leurs "
"319";"Det";"-";"-";" indicateur";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"rouge";"-";"-";"un indicateur§est§au rouge "
"320";"Det";"-";"-";" indice d'écoute";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"baisse";"+";"-";"un indice d'écoute§est§en baisse "
"321";"Det";"-";"-";" indice d'écoute";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"hausse";"+";"-";"un indice d'écoute§est§en hausse "
"322";"la";"-";"-";" inductance";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"henry";"+";"-";"l'inductance§est§de Dnum henry "
"323";"la";"-";"-";" intensité électrique";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"ampère";"+";"-";"l'intensité électrique§est§de Dnum ampère "
"324";"les";"-";"+";" jambes";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"coton";"-";"-";"les jambes§sont§en coton "
"325";"les";"-";"+";" jambes";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"coton flanelle";"+";"-";"les jambes§sont§en coton flanelle "
"326";"les";"-";"+";" jambes";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"étoupe";"+";"+";"les jambes§sont§en étoupe "
"327";"les";"-";"+";" jambes";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"flanelle";"+";"+";"les jambes§sont§en flanelle "
"328";"les";"-";"+";" jambes";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"parenthèses";"+";"+";"les jambes§sont§en parenthèses "
"329";"les";"-";"+";" jambes";"+";"-";"-";"-";"<E>";" être";" sont";"comme";"-";"-";"des";"poteaux";"+";"+";"les jambes§sont§comme des poteaux "
"330";"<E>";"-";"-";" je";"-";"-";"-";"-";"<E>";" être";" suis";"parmi";"-";"-";"les";"miens";"-";"-";"je§suis§parmi les miens "
"331";"<E>";"-";"-";" je";"-";"-";"-";"-";"<E>";" être";" suis";"<E>";"-";"-";"ton";"serviteur";"-";"-";"je§suis§ton serviteur "
"332";"<E>";"-";"-";" je";"-";"-";"-";"-";"<E>";" être";" suis";"<E>";"-";"-";"votre";"serviteur";"-";"-";"je§suis§votre serviteur "
"333";"<E>";"-";"-";" je";"-";"-";"-";"-";"<E>";" être";" suis";"à";"-";"-";"<E>";"toi";"-";"-";"je§suis§à toi "
"334";"<E>";"-";"-";" je";"-";"-";"-";"-";"<E>";" être";" suis";"à";"-";"-";"<E>";"vous";"-";"-";"je§suis§à vous "
"335";"les";"-";"+";" joues";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"feu";"+";"-";"les joues§sont§en feu "
"336";"les";"-";"-";" jours";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"danger";"-";"-";"les jours§sont§en danger "
"337";"les";"-";"-";" jours";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"péril";"-";"-";"les jours§sont§en péril "
"338";"Det";"-";"-";" jugement";"+";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"appel";"+";"-";"un jugement§est§sans appel "
"339";"Det";"-";"-";" langage";"-";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"ambiguïté";"-";"-";"un langage§est§sans ambiguïté "
"340";"la";"-";"-";" largeur";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"mètre";"+";"-";"la largeur§est§de Dnum mètre "
"341";"Det";"-";"-";" ligne";"-";"-";"-";"-";"<E>";" être";" est";"près de";"+";"-";"le";"corps";"-";"-";"un ligne§est§près du corps "
"342";"le";"-";"-";" linge";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"sécher";"+";"-";"le linge§est§à sécher "
"343";"Det";"-";"-";" lit";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"carré";"+";"-";"un lit§est§au carré "
"344";"Det";"-";"-";" lit";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"portefeuille";"+";"-";"un lit§est§en portefeuille "
"345";"la";"-";"-";" loi";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"le";"côté";"+";"-";"la loi§est§du côté "
"346";"la";"-";"-";" longueur";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"mètre";"+";"-";"la longueur§est§de Dnum mètre "
"347";"la";"-";"-";" lune";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"Poss0 dernier";"quartier";"-";"-";"la lune§est§à son dernier quartier "
"348";"la";"-";"-";" lune";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"Poss0 premier";"quartier";"-";"-";"la lune§est§à son premier quartier "
"349";"la";"-";"-";" lutte contre N";"+";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"merci";"-";"-";"la lutte contre N§est§sans merci "
"350";"la";"-";"-";" lutte entre N";"-";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"merci";"-";"-";"la lutte entre N§est§sans merci "
"351";"Det";"+";"-";" magasin";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"succursales multiples";"-";"-";"un magasin§est§à succursales multiples "
"352";"la";"-";"+";" main";"+";"-";"-";"-";"<E>";" être";" est";"dans";"+";"+";"la";"main";"+";"-";"la main§est§dans la main "
"353";"les";"-";"+";" mains";"+";"-";"-";"-";"<E>";" être";" sont";"comme";"-";"-";"des";"battoirs";"+";"+";"les mains§sont§comme des battoirs "
"354";"Det";"+";"-";" marché";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"contraction";"-";"-";"un marché§est§en contraction "
"355";"le";"-";"-";" marché";"-";"-";"-";"-";"<E>";" être";" est";"dans";"+";"+";"les";"mains";"+";"-";"le marché§est§dans les mains "
"356";"le";"-";"-";" marché";"-";"-";"-";"-";"<E>";" être";" est";"entre";"+";"+";"les";"mains";"+";"-";"le marché§est§entre les mains "
"357";"Det";"+";"-";" matrice";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"ordre Dnum";"-";"-";"un matrice§est§d'ordre Dnum "
"358";"Det";"+";"-";" matrice carrée";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"ordre Dnum";"-";"-";"un matrice carrée§est§d'ordre Dnum "
"359";"Det";"-";"-";" médicament";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"vente libre";"-";"-";"un médicament§est§en vente libre "
"360";"le";"-";"+";" menton";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"galoche";"+";"-";"le menton§est§en galoche "
"361";"les";"-";"+";" miches";"+";"-";"-";"-";"<E>";" être";" sont";"à";"-";"-";"<E>";"zéro";"-";"-";"les miches§sont§à zéro "
"362";"Det";"-";"-";" mine";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"ciel ouvert";"-";"-";"un mine§est§au ciel ouvert "
"363";"les";"-";"-";" moeurs";"+";"-";"-";"-";"<E>";" être";" sont";"à";"-";"-";"<E>";"part";"+";"+";"les moeurs§sont§à part "
"364";"tout le";"-";"-";" monde";"-";"-";"-";"-";"<E>";" être";" est";"sur";"-";"-";"le";"pont";"-";"-";"tout le monde§est§sur le pont "
"365";"le";"-";"-";" moral";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le plus";"bas";"-";"-";"le moral§est§au plus bas "
"366";"le";"-";"-";" moral";"+";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"fer";"+";"+";"le moral§est§de fer "
"367";"le";"-";"-";" moral";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le plus";"haut";"-";"-";"le moral§est§au plus haut "
"368";"le";"-";"-";" moral";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"zéro";"-";"-";"le moral§est§à zéro "
"369";"la";"-";"-";" mort";"-";"-";"-";"-";"<E>";" être";" est";"dans";"+";"+";"la";"âme";"-";"-";"la mort§est§dans l'âme "
"370";"la";"-";"-";" mort";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"rendez-vous";"-";"-";"la mort§est§au rendez-vous "
"371";"Det";"-";"-";" mot";"-";"-";"-";"-";"<E>";" être";" est";"sur";"+";"+";"le";"bout de la langue";"-";"-";"un mot§est§sur le bout de la langue "
"372";"Det";"+";"-";" moteur";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"deux";"temps";"-";"-";"un moteur§est§à deux temps "
"373";"Det";"+";"-";" moteur";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"quatre";"temps";"-";"-";"un moteur§est§à quatre temps "
"374";"la";"-";"+";" moustache";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"brosse";"+";"-";"la moustache§est§en brosse "
"375";"la";"+";"+";" moustache";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"croc";"+";"-";"la moustache§est§en croc "
"376";"les";"-";"+";" nerfs";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"acier";"+";"+";"les nerfs§sont§en acier "
"377";"les";"-";"+";" nerfs";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"boule";"-";"-";"les nerfs§sont§en boule "
"378";"les";"-";"+";" nerfs";"+";"-";"-";"-";"<E>";" être";" sont";"à";"-";"-";"toute";"épreuve";"+";"-";"les nerfs§sont§à toute épreuve "
"379";"les";"-";"+";" nerfs";"+";"-";"-";"-";"<E>";" être";" sont";"à";"-";"-";"<E>";"fleur de peau";"-";"-";"les nerfs§sont§à fleur de peau "
"380";"les";"-";"+";" nerfs";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"pelotte";"-";"-";"les nerfs§sont§en pelotte "
"381";"les";"-";"+";" nerfs";"+";"-";"-";"-";"<E>";" être";" sont";"à";"-";"-";"<E>";"vif";"+";"-";"les nerfs§sont§à vif "
"382";"le";"-";"+";" nez";"+";"-";"-";"-";"<E>";" être";" est";"dans";"-";"+";"Poss0c";"caca";"+";"-";"le nez§est§dans son caca "
"383";"le";"-";"+";" nez";"+";"-";"-";"-";"<E>";" être";" est";"dans";"-";"-";"Poss0c";"merde";"+";"-";"le nez§est§dans sa merde "
"384";"le";"-";"+";" nez";"+";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"travers";"+";"+";"le nez§est§de travers "
"385";"le";"-";"+";" nez";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"trompette";"+";"-";"le nez§est§en trompette "
"386";"Det";"-";"-";" nom";"-";"-";"-";"-";"<E>";" être";" est";"dans";"-";"-";"le";"annuaire";"+";"-";"un nom§est§dans l'annuaire "
"387";"le";"-";"-";" nom";"+";"-";"-";"-";"<E>";" être";" est";"sur";"+";"-";"toutes les";"bouches";"+";"-";"le nom§est§sur toutes les bouches "
"388";"Det";"-";"-";" nom";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"coucher dehors";"+";"-";"un nom§est§à coucher dehors "
"389";"le";"-";"-";" nom";"+";"-";"-";"-";"<E>";" être";" est";"sur";"+";"-";"toutes les";"lèvres";"+";"-";"le nom§est§sur toutes les lèvres "
"390";"<E>";"-";"-";" nous";"-";"-";"-";"-";"<E>";" être";" sommes";"<E>";"-";"-";"le";"combien ?";"-";"-";"nous§sommes§le combien ? "
"391";"<E>";"-";"-";" nous";"-";"-";"-";"-";"<E>";" être";" sommes";"<E>";"-";"-";"quel";"jour ?";"-";"-";"nous§sommes§quel jour ? "
"392";"<E>";"-";"-";" nous";"-";"-";"-";"-";"<E>";" être";" sommes";"parmi";"-";"-";"les";"nôtres";"-";"-";"nous§sommes§parmi les nôtres "
"393";"<E>";"-";"-";" nous";"-";"-";"-";"-";"<E>";" être";" sommes";"entre";"-";"-";"<E>";"nous";"-";"-";"nous§sommes§entre nous "
"394";"<E>";"-";"-";" nous";"-";"-";"-";"-";"<E>";" être";" sommes";"à";"-";"-";"<E>";"vous";"-";"-";"nous§sommes§à vous "
"395";"Det";"-";"-";" numéro";"-";"-";"-";"-";"<E>";" être";" est";"dans";"-";"-";"le";"annuaire";"+";"-";"un numéro§est§dans l'annuaire "
"396";"le";"+";"+";" oeil";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"beurre noir";"+";"-";"l'oeil§est§au beurre noir "
"397";"le";"-";"+";" oeil";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"demi";"éteint";"+";"+";"l'oeil§est§à demi éteint "
"398";"le";"+";"+";" oeil droit";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"beurre noir";"+";"-";"l'oeil droit§est§au beurre noir "
"399";"le";"+";"+";" oeil gauche";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"beurre noir";"+";"-";"l'oeil gauche§est§au beurre noir "
"400";"Det";"+";"-";" oeuf";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"coque";"-";"-";"un oeuf§est§à la coque "
"401";"les";"-";"-";" oeufs";"+";"-";"-";"-";"<E>";" être";" sont";"dans";"-";"-";"le même";"panier";"-";"-";"les oeufs§sont§dans le même panier "
"402";"le";"-";"-";" oiseau";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"nid";"-";"-";"l'oiseau§est§au nid "
"403";"<E>";"-";"-";" on";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"République !";"-";"-";"on§est§en République! "
"404";"<E>";"-";"-";" on";"-";"-";"-";"+";"n'";" être pas";" est pas";"<E>";"-";"-";"des";"boeufs !";"-";"-";"on§n'est pas§des boeufs! "
"405";"<E>";"-";"-";" on";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"le";"combien ?";"-";"-";"on§est§le combien ? "
"406";"<E>";"-";"-";" on";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"quel";"jour ?";"-";"-";"on§est§quel jour ? "
"407";"<E>";"-";"-";" on";"-";"-";"-";"-";"<E>";" être";" est";"entre";"-";"-";"<E>";"nous";"-";"-";"on§est§entre nous "
"408";"les";"-";"+";" ongles";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"deuil";"+";"-";"les ongles§sont§en deuil "
"409";"le";"+";"-";" opposant";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"Poss0c";"hauteur";"+";"+";"l'opposant§est§à sa hauteur "
"410";"le";"+";"-";" opposant";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"Poss0c";"taille";"+";"+";"l'opposant§est§à sa taille "
"411";"le";"-";"-";" orchestre";"-";"-";"-";"-";"<E>";" être";" est";"sous";"-";"+";"la";"baguette";"-";"-";"l'orchestre§est§sous la baguette "
"412";"les";"-";"+";" oreilles";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"feuilles de chou";"+";"-";"les oreilles§sont§en feuilles de chou "
"413";"les";"-";"+";" oreilles";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"portes de grange";"+";"+";"les oreilles§sont§en portes de grange "
"414";"Det";"+";"-";" paiement";"-";"-";"-";"-";"<E>";" être";" est";"par";"-";"-";"<E>";"carte de crédit";"-";"-";"un paiement§est§par carte de crédit "
"415";"Det";"+";"-";" paiement";"-";"-";"-";"-";"<E>";" être";" est";"par";"-";"-";"<E>";"chèque";"-";"-";"un paiement§est§par chèque "
"416";"Det";"+";"-";" palais";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"ruines";"-";"-";"un palais§est§en ruines "
"417";"les";"-";"-";" papiers";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"règle";"+";"-";"les papiers§sont§en règle "
"418";"Det";"-";"-";" parachute";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"torche";"-";"-";"un parachute§est§en torche "
"419";"le";"-";"-";" parcours";"+";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"faute";"-";"-";"le parcours§est§sans faute "
"420";"les";"+";"-";" paris";"-";"-";"-";"-";"<E>";" être";" sont";"à";"-";"-";"<E>";"Dnum contre un";"-";"-";"les paris§sont§à Dnum contre un "
"421";"la";"-";"-";" parole";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"les";"armes";"-";"-";"la parole§est§aux armes "
"422";"la";"-";"-";" parole";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"défense";"-";"-";"la parole§est§à la défense "
"423";"la";"+";"-";" parole";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"doute";"-";"-";"la parole§est§en doute "
"424";"Det";"-";"-";" parti";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"pouvoir";"-";"-";"un parti§est§au pouvoir "
"425";"Det";"-";"-";" parties";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"présence";"-";"-";"un parties§est§en présence "
"426";"Det";"-";"-";" pas";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"direction de N";"-";"-";"un pas§est§en direction de N "
"427";"le";"-";"-";" passé";"+";"-";"-";"-";"<E>";" être";" est";"derrière";"-";"-";"<E>";"Lui-0c";"+";"-";"le passé§est§derrière luic "
"428";"le";"-";"-";" passé";"+";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"tache";"+";"+";"le passé§est§sans tache "
"429";"la";"-";"-";" patience";"+";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"borne";"+";"-";"la patience§est§sans borne "
"430";"la";"-";"-";" patience";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"bout";"-";"-";"la patience§est§à bout "
"431";"la";"-";"-";" patience";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"dure";"épreuve";"+";"-";"la patience§est§à dure épreuve "
"432";"la";"-";"-";" patience";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"épreuve";"+";"-";"la patience§est§à l'épreuve "
"433";"la";"-";"-";" patience";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"rude";"épreuve";"+";"-";"la patience§est§à rude épreuve "
"434";"la";"-";"-";" patience";"+";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"limite";"+";"-";"la patience§est§sans limite "
"435";"la";"-";"-";" patrie";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"danger";"-";"-";"la patrie§est§en danger "
"436";"Det";"+";"-";" pavillon";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"berne";"-";"-";"un pavillon§est§en berne "
"437";"Det";"-";"-";" pays";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"expression Adjlang";"-";"-";"un pays§est§d'expression Adjlang "
"438";"Det";"-";"-";" pays";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"expression française";"-";"-";"un pays§est§d'expression française "
"439";"la";"-";"-";" perfection";"-";"-";"-";"+";"n'";" être pas";" est pas";"de";"-";"-";"ce";"monde";"-";"-";"la perfection§n'est pas§de ce monde "
"440";"Det";"+";"-";" photo";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"flash";"-";"-";"un photo§est§au flash "
"441";"Det";"+";"-";" photographie";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"flash";"-";"-";"un photographie§est§au flash "
"442";"Det";"-";"-";" pièce";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"+";"le";"dossier";"-";"-";"un pièce§est§au dossier "
"443";"Det";"-";"-";" pièce";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"un";"four";"-";"-";"un pièce§est§un four "
"444";"le";"-";"+";" pied";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"étrier";"+";"+";"le pied§est§à l'étrier "
"445";"le";"-";"+";" pied";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"plancher";"-";"-";"le pied§est§au plancher "
"446";"les";"+";"+";" pieds";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"dedans";"+";"+";"les pieds§sont§en dedans "
"447";"le";"-";"-";" pire";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"craindre";"-";"-";"le pire§est§à craindre "
"448";"le";"-";"-";" pire";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"faire";"-";"-";"le pire§est§à fait "
