"<ID>";"<ENT>Det0";"Det0 pluriel";"C0 =: Npc";"<ENT>C0";"C0 =: C0 de Nhum";"Ppv =: en figé";"Ppv =: me figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>est";"<ENT>Prép1";"C1 =: Npc";"C1 =: C1 de Nhum";"<ENT>Det1";"<ENT>C1";"Vop = avoir un";"Vop = N-hum donner";"Exemple"
"158";"le";"-";"+";" cul";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"chou-fleur";"-";"-";"le cul§est§en chou-fleur "
"159";"la";"-";"+";" dalle";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"pente";"+";"-";"la dalle§est§en pente "
"160";"Det";"+";"-";" date";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"retenir";"-";"-";"un date§est§à retenir "
"161";"la";"+";"-";" décision";"+";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"appel";"-";"-";"la décision§est§sans appel "
"162";"Det";"+";"-";" décolleté";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"V";"+";"-";"un décolleté§est§en V "
"163";"Det";"+";"-";" décolleté";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"pointe";"+";"-";"un décolleté§est§en pointe "
"164";"Det";"-";"-";" demande";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"bonne et due";"forme";"+";"-";"un demande§est§en bonne et due forme "
"165";"les";"-";"-";" désirs";"+";"-";"-";"-";"<E>";" être";" sont";"<E>";"-";"-";"des";"ordres";"-";"-";"les désirs§sont§des ordres "
"166";"le";"-";"-";" destin";"+";"-";"-";"-";"<E>";" être";" est";"hors de";"+";"+";"le";"commun";"+";"-";"le destin§est§hors du commun "
"167";"le";"-";"-";" destin";"+";"-";"-";"-";"<E>";" être";" est";"dans";"+";"+";"les";"mains";"+";"-";"le destin§est§dans les mains "
"168";"le";"-";"-";" destin";"+";"-";"-";"-";"<E>";" être";" est";"entre";"+";"+";"les";"mains";"+";"-";"le destin§est§entre les mains "
"169";"la";"-";"-";" destinée";"+";"-";"-";"-";"<E>";" être";" est";"hors de";"+";"+";"le";"commun";"+";"-";"la destinée§est§hors du commun "
"170";"la";"-";"-";" destinée";"+";"-";"-";"-";"<E>";" être";" est";"dans";"+";"+";"les";"mains";"+";"-";"la destinée§est§dans les mains "
"171";"la";"-";"-";" destinée";"+";"-";"-";"-";"<E>";" être";" est";"entre";"+";"+";"les";"mains";"+";"-";"la destinée§est§entre les mains "
"172";"Det";"-";"-";" différence";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"taille";"-";"-";"un différence§est§de taille "
"173";"le plus";"-";"-";" difficile";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"faire";"-";"-";"le plus difficile§est§à fait "
"174";"le plus";"-";"-";" difficile";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"venir";"-";"-";"le plus difficile§est§à venir "
"175";"les";"+";"-";" dires";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"doute";"-";"-";"les dires§sont§en doute "
"176";"la";"-";"-";" distance";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"mètre";"+";"-";"la distance§est§de Dnum mètre "
"177";"la";"-";"-";" distance de N à N";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"année lumière";"+";"-";"la distance de N à N§est§de Dnum année lumière "
"178";"la";"-";"-";" distance de N à N";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"parsec";"+";"-";"la distance de N à N§est§de Dnum parsec "
"179";"Det";"+";"-";" divorce";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"+";"les";"torts";"-";"-";"un divorce§est§aux torts "
"180";"le";"-";"+";" doigt";"+";"-";"-";"-";"<E>";" être";" est";"entre";"-";"-";"le";"arbre et l'écorce";"+";"-";"le doigt§est§entre l'arbre et l'écorce "
"181";"le petit";"-";"+";" doigt";"+";"-";"-";"-";"<E>";" être";" est";"sur";"-";"-";"la";"couture du pantalon";"-";"-";"le petit doigt§est§sur la couture du pantalon "
"182";"le";"-";"+";" doigt";"+";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"<E>";"dessus";"+";"-";"le doigt§est§dessus "
"183";"le";"-";"+";" doigt";"+";"-";"-";"-";"<E>";" être";" est";"dans";"+";"-";"le";"engrenage";"+";"-";"le doigt§est§dans l'engrenage "
"184";"les";"-";"+";" doigts de pied";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"éventail";"-";"-";"les doigts de pied§sont§en éventail "
"185";"Det";"+";"-";" drapeau";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"berne";"-";"-";"un drapeau§est§en berne "
"186";"le";"-";"-";" droit";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"le";"côté";"+";"-";"le droit§est§du côté "
"187";"Det";"-";"-";" eau oxygénée";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"Dnum";"volume";"-";"-";"un eau oxygénée§est§à Dnum volume "
"188";"le";"-";"-";" écartement";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"mètre";"+";"-";"l'écartement§est§de Dnum mètre "
"189";"Det";"-";"-";" élection";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"proportionnelle";"-";"-";"un élection§est§à la proportionnelle "
"190";"Det";"-";"-";" électorat";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"le";"centre";"-";"-";"un électorat§est§du centre "
"191";"Det";"-";"-";" électorat";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"droite";"-";"-";"un électorat§est§de droite "
"192";"Det";"-";"-";" électorat";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"gauche";"-";"-";"un électorat§est§de gauche "
"193";"Det";"-";"-";" émotion";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"Poss0";"comble";"-";"-";"un émotion§est§à sa comble "
"194";"Det";"+";"-";" encolure";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"V";"+";"-";"un encolure§est§en V "
"195";"Det";"+";"-";" encolure";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"pointe";"+";"-";"un encolure§est§en pointe "
"196";"la";"-";"-";" énergie";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"watt";"+";"-";"l'énergie§est§de Dnum watt "
"197";"le";"+";"-";" ennemi";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"Poss0c";"hauteur";"+";"+";"l'ennemi§est§à sa hauteur "
"198";"Det";"-";"-";" ennemi";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"nos";"portes";"-";"-";"un ennemi§est§à nos portes "
"199";"Det";"-";"-";" ennemi";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"les";"portes de Nloc";"-";"-";"un ennemi§est§aux portes de Nloc "
"200";"le";"+";"-";" ennemi";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"Poss0c";"taille";"+";"+";"l'ennemi§est§à sa taille "
"201";"le";"+";"-";" ennemi";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"Poss0c";"trousses";"+";"+";"l'ennemi§est§à sa trousses "
"202";"Det";"-";"-";" enquête";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"point mort";"-";"-";"un enquête§est§au point mort "
"203";"la";"-";"-";" épaisseur";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"mètre";"+";"-";"l'épaisseur§est§de Dnum mètre "
"204";"les";"-";"+";" épaules";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"bouteille de Saint-Galmier";"+";"+";"les épaules§sont§en bouteille de Saint-Galmier "
"205";"les";"-";"+";" épaules";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"portemanteau";"+";"+";"les épaules§sont§en portemanteau "
"206";"la";"-";"-";" épée";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"+";"le";"service";"-";"-";"l'épée§est§au service "
"207";"la";"-";"-";" époque";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"les";"restrictions";"-";"-";"l'époque§est§aux restrictions "
"208";"la";"-";"-";" époque";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"sérieux";"-";"-";"l'époque§est§au sérieux "
"209";"Det";"+";"-";" équation";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"ordre Dnum";"-";"-";"un équation§est§d'ordre Dnum "
"210";"Det";"+";"-";" équation différentielle";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"ordre Dnum";"-";"-";"un équation différentielle§est§d'ordre Dnum "
"211";"Det";"-";"-";" escalier";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"colimaçon";"-";"-";"un escalier§est§en colimaçon "
"212";"le";"-";"-";" esprit";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"ébullition";"+";"-";"l'esprit§est§en ébullition "
"213";"le";"-";"-";" esprit";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"éveil";"+";"-";"l'esprit§est§en éveil "
"214";"le";"-";"-";" esprit";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"torture";"-";"-";"l'esprit§est§à la torture "
"215";"le";"-";"-";" essentiel";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"faire";"-";"-";"l'essentiel§est§à fait "
"216";"le";"-";"+";" estomac";"+";"-";"-";"-";"<E>";" être";" est";"dans";"+";"-";"Poss0c";"talons";"-";"-";"l'estomac§est§dans ses talons "
"217";"Det";"-";"-";" étape";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"direction de N";"-";"-";"un étape§est§en direction de N "
"218";"Det";"+";"-";" étoile";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"première";"grandeur";"-";"-";"un étoile§est§de première grandeur "
"219";"la";"-";"-";" existence";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"danger";"-";"-";"l'existence§est§en danger "
"220";"la";"-";"-";" existence";"+";"-";"-";"-";"<E>";" être";" est";"dans";"+";"+";"les";"mains";"+";"-";"l'existence§est§dans les mains "
"221";"la";"-";"-";" existence";"+";"-";"-";"-";"<E>";" être";" est";"entre";"+";"+";"les";"mains";"+";"-";"l'existence§est§entre les mains "
"222";"la";"-";"-";" existence";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"péril";"-";"-";"l'existence§est§en péril "
"223";"la";"+";"-";" expérience";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"double";"aveugle";"-";"-";"l'expérience§est§en double aveugle "
"224";"la";"+";"-";" expérimentation";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"double";"aveugle";"-";"-";"l'expérimentation§est§en double aveugle "
"225";"ce qui est";"-";"-";" fait";"-";"-";"-";"+";"n'";" être";" est";"à";"-";"-";"<E>";"faire";"-";"-";"ce qui est fait§n'est plus§à fait "
"226";"Det";"-";"-";" fait";"-";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"précédent";"-";"-";"un fait§est§sans précédent "
"227";"Det";"-";"-";" famille";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"deuil";"-";"-";"un famille§est§en deuil "
"228";"la";"-";"-";" faute";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"qui ?";"-";"-";"la faute§est§à qui ? "
"229";"les";"-";"+";" fesses";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"goutte d'huile";"+";"-";"les fesses§sont§en goutte d'huile "
"230";"la";"-";"+";" figure";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"lame de couteau";"+";"+";"la figure§est§en lame de couteau "
"231";"Det";"+";"-";" film";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"cinemascope";"-";"-";"un film§est§en cinemascope "
"232";"Det";"+";"-";" film";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"technicolor";"-";"-";"un film§est§en technicolor "
"233";"Det";"+";"-";" film";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"noir et blanc";"-";"-";"un film§est§en noir et blanc "
"234";"Det";"+";"-";" film";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"sketches";"-";"-";"un film§est§à sketches "
"235";"les";"-";"-";" finances";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"sec";"-";"-";"les finances§est§à sec "
"236";"Det";"-";"-";" fois";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"la";"bonne";"-";"-";"un fois§est§la bonne "
"237";"une";"-";"-";" fois";"-";"-";"-";"+";"n'";" être pas";" est pas";"<E>";"-";"-";"<E>";"coutume";"-";"-";"une fois§n'est pas§coutume "
"238";"Det";"-";"-";" fonctionnaire";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"activité";"-";"-";"un fonctionnaire§est§en activité "
"239";"les";"-";"-";" fonds";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"baisse";"-";"-";"les fonds§sont§en baisse "
"240";"les";"-";"-";" fonds";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"hausse";"-";"-";"les fonds§sont§en hausse "
"241";"<E>";"-";"-";" force";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"constater que P";"-";"-";"force§est§de constater que P "
"242";"la";"-";"-";" force";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"newton";"+";"-";"la force§est§de Dnum newton "
"243";"<E>";"-";"-";" force";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"reconnaître que P";"-";"-";"force§est§de reconnaître que P "
"244";"la";"-";"-";" foule";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"délire";"-";"-";"la foule§est§en délire "
"245";"la";"-";"-";" foule";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"liesse";"-";"-";"la foule§est§en liesse "
"246";"Det";"-";"-";" fromage";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"coupe";"-";"-";"un fromage§est§à la coupe "
"247";"la";"-";"+";" gorge";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"feu";"-";"-";"la gorge§est§en feu "
"248";"le";"-";"+";" gosier";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"feu";"-";"-";"le gosier§est§en feu "
"249";"le";"-";"+";" gosier";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"pente";"+";"-";"le gosier§est§en pente "
"250";"Det";"-";"-";" goufre";"-";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"fond";"-";"-";"un goufre§est§sans fond "
"251";"la";"-";"-";" hauteur";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"mètre";"+";"-";"l'hauteur§est§de Dnum mètre "
"252";"la";"-";"-";" hauteur";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"mètre";"+";"-";"l'hauteur§est§de Dnum mètre "
