"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"N0 être Prép1 Det1 C1";"Prép1 C1 = où ?";"Exemple"
"929";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"veine";"de";"<E>";"confidences";"-";"-";"§être§en veine de confidences "
"930";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"vêtement";"de";"<E>";"sport";"-";"-";"§être§en vêtement de sport "
"931";"+";"-";"-";"-";"-";"<E>";"être";"dans";"les";"vignes";"de";"le";"Seigneur";"-";"-";"§être§dans les vignes du Seigneur "
"932";"+";"-";"-";"-";"-";"<E>";"être";"à";"un";"vin";"de";"<E>";"honneur";"-";"+";"§être§à un vin d'honneur "
"933";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"voie";"de";"<E>";"achèvement";"-";"-";"§être§en voie d'achèvement "
"934";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"voie";"de";"<E>";"amélioration";"-";"-";"§être§en voie d'amélioration "
"935";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"voie";"de";"<E>";"amortissement";"-";"-";"§être§en voie d'amortissement "
"936";"+";"-";"-";"-";"-";"<E>";"être";"sur";"la";"voie";"de";"les";"aveux";"-";"-";"§être§sur la voie des aveux "
"937";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"voie";"de";"<E>";"convalescence";"-";"-";"§être§en voie de convalescence "
"938";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"voie";"de";"<E>";"développement";"-";"-";"§être§en voie de développement "
"939";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"voie";"de";"<E>";"disparition";"-";"-";"§être§en voie de disparition "
"940";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"voie";"de";"<E>";"extinction";"-";"-";"§être§en voie d'extinction "
"941";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"voie";"de";"<E>";"formation";"-";"-";"§être§en voie de formation "
"942";"+";"+";"-";"-";"-";"<E>";"être";"sur";"une";"voie";"de";"<E>";"garage";"-";"-";"§être§sur une voie de garage "
"943";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"voie";"de";"<E>";"guérison";"-";"-";"§être§en voie de guérison "
"944";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"voie";"de";"<E>";"récupération";"-";"-";"§être§en voie de récupération "
"945";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"voie";"de";"<E>";"redressement";"-";"-";"§être§en voie de redressement "
"946";"+";"+";"-";"-";"-";"<E>";"être";"sur";"la";"voie";"de";"le";"redressement";"-";"-";"§être§sur la voie du redressement "
"947";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"voie";"de";"<E>";"règlement";"-";"-";"§être§en voie de règlement "
"948";"+";"+";"-";"-";"-";"<E>";"être";"sur";"la";"voie";"de";"la";"sagesse";"-";"-";"§être§sur la voie de la sagesse "
"949";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"volant";"de";"une";"N-automobile";"-";"-";"§être§au volant d'une N-automobile "
"950";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"volant";"de";"un";"N-véhicule";"-";"-";"§être§au volant d'un N-véhicule "
"951";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un";"volume";"de";"Dnum";"N-mesure-de-volume";"-";"+";"§être§dans un volume de Dnum N-mesure-de-volume "
"952";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"voyage";"de";"<E>";"affaires";"-";"-";"§être§en voyage d'affaires "
"953";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"voyage";"de";"<E>";"agrément";"-";"-";"§être§en voyage d'agrément "

