"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"N0 être Prép1 Det1 C1";"Prép1 C1 = où ?";"Exemple"
"103";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"bord";"de";"le";"suicide";"-";"-";"§être§au bord du suicide "
"104";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"bord";"de";"la";"tombe";"-";"-";"§être§au bord de la tombe "
"105";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"bordure";"de";"<E>";"mer";"-";"+";"§être§en bordure de mer "
"106";"-";"+";"-";"-";"-";"<E>";"être";"pour";"une";"bouchée";"de";"<E>";"pain";"-";"-";"§être§pour une bouchée de pain "
"107";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"bout";"de";"<E>";"chaîne";"-";"-";"§être§en bout de chaîne "
"108";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"bout";"de";"<E>";"course";"-";"-";"§être§à bout de course "
"109";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"bout";"de";"<E>";"course";"-";"-";"§être§en bout de course "
"110";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"bout";"de";"le";"fil";"-";"-";"§être§au bout du fil "
"111";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"bout";"de";"<E>";"forces";"-";"-";"§être§à bout de forces "
"112";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"bout";"de";"<E>";"ligne";"-";"+";"§être§en bout de ligne "
"113";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"bout";"de";"le";"monde";"-";"+";"§être§au bout du monde "
"114";"+";"-";"-";"-";"-";"<E>";"être";"à";"l'autre";"bout";"de";"le";"monde";"-";"+";"§être§à l'autre bout du monde "
"115";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"bout";"de";"<E>";"nerfs";"-";"-";"§être§à bout de nerfs "
"116";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"bout";"de";"<E>";"patience";"-";"-";"§être§à bout de patience "
"117";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"bout";"de";"Poss0";"peines";"-";"-";"§être§au bout de ses peines "
"118";"+";"-";"-";"-";"+";"n'";"être pas";"à";"le";"bout";"de";"Poss0";"peines";"-";"-";"§n'est pas§au bout de ses peines "
"119";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"bout";"de";"<E>";"piste";"-";"+";"§être§en bout de piste "
"120";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"bout";"de";"<E>";"ressources";"-";"-";"§être§à bout de ressources "
"121";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"bout";"de";"le";"rouleau";"-";"-";"§être§au bout du rouleau "
"122";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"bout";"de";"<E>";"souffle";"-";"-";"§être§à bout de souffle "
"123";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"bout";"de";"<E>";"table";"-";"+";"§être§en bout de table "
"124";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"bout";"de";"le";"tunnel";"-";"-";"§être§au bout du tunnel "
"125";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"bout";"de";"Poss0";"voyage";"-";"-";"§être§au bout de son voyage "
"126";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"bras";"de";"<E>";"chemise";"-";"-";"§être§en bras de chemise "
"127";"+";"-";"-";"-";"-";"<E>";"être";"dans";"les";"bras";"de";"<E>";"Morphée";"-";"-";"§être§dans les bras de Morphée "
"128";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"caisse";"de";"<E>";"épargne";"-";"+";"§être§à la caisse d'épargne "
"129";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"caleçon";"de";"<E>";"bain";"-";"-";"§être§en caleçon de bain "
"130";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"camp";"de";"<E>";"concentration";"-";"+";"§être§en camp de concentration "
"131";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"camp";"de";"<E>";"vacances";"-";"+";"§être§en camp de vacances "
"132";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"caractères";"de";"<E>";"imprimerie";"-";"-";"§être§en caractères d'imprimerie "
"133";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"carrefour";"de";"la";"rue X et de la rue Y";"-";"+";"§être§au carrefour de la rue X et de la rue Y "
"134";"+";"+";"+";"-";"-";"<E>";"être";"à";"le";"centre";"de";"les";"débats";"-";"-";"§être§au centre des débats "
"135";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"centre";"de";"une";"toile d'araignée";"-";"-";"§être§au centre d'une toile d'araignée "
"136";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un";"cercle";"de";"Dnum";"N-mesure-de-longueur de rayon";"-";"+";"§être§dans un cercle de Dnum N-mesure-de-longueur de rayon "
"137";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un";"cercle";"de";"un";"rayon de Dnum N-mesure-de-longueur";"-";"-";"§être§dans un cercle d'un rayon de Dnum N-mesure-de-longueur "
"138";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un";"cercle";"de";"<E>";"rayon Dnum N-mesure-de-longueur";"-";"-";"§être§dans un cercle de rayon Dnum N-mesure-de-longueur "
"139";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"cessation";"de";"<E>";"paiements";"-";"-";"§être§en cessation de paiements "
"140";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"chaleur";"de";"le";"débat";"-";"-";"§être§dans la chaleur du débat "
"141";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"chaleur";"de";"les";"débats";"-";"-";"§être§dans la chaleur des débats "
"142";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"chaleur";"de";"la";"discussion";"-";"-";"§être§dans la chaleur de la discussion "
"143";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"championnat";"de";"<E>";"France";"-";"-";"§être§en championnat de France "
"144";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"championnat";"de";"le";"monde";"-";"-";"§être§en championnat du monde "
"145";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"charge";"de";"le";"locataire";"-";"-";"§être§à la charge du locataire "
"146";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"charge";"de";"le";"propriétaire";"-";"-";"§être§à la charge du propriétaire "
"147";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"charge";"de";"<E>";"revanche";"-";"-";"§être§à charge de revanche "
"148";"+";"-";"-";"-";"-";"<E>";"être";"sur";"Poss0";"chemin";"de";"<E>";"croix";"-";"-";"§être§sur son chemin de croix "
"149";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"chemin";"de";"<E>";"fer";"-";"-";"§être§en chemin de fer "
"150";"+";"+";"-";"-";"-";"<E>";"être";"sur";"le";"chemin";"de";"le";"retour";"-";"-";"§être§sur le chemin du retour "
"151";"+";"+";"-";"-";"-";"<E>";"être";"à";"mi-";"chemin";"de";"la";"vérité";"-";"-";"§être§à mi-chemin de la vérité "
"152";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"chemise";"de";"<E>";"nuit";"-";"-";"§être§en chemise de nuit "
"153";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"cheval";"de";"<E>";"arçon";"-";"-";"§être§au cheval d'arçon "
"154";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"chien";"de";"<E>";"fusil";"-";"-";"§être§en chien de fusil "
"155";"+";"+";"-";"-";"-";"<E>";"être";"dans";"une";"circonférence";"de";"Dnum";"N-mesure-de-longueur de rayon";"-";"+";"§être§dans une circonférence de Dnum N-mesure-de-longueur de rayon "
"156";"+";"+";"-";"-";"-";"<E>";"être";"dans";"une";"circonférence";"de";"un";"rayon de Dnum N-mesure-de-longueur";"-";"+";"§être§dans une circonférence d'un rayon de Dnum N-mesure-de-longueur "
"157";"+";"+";"-";"-";"-";"<E>";"être";"dans";"une";"circonférence";"de";"<E>";"rayon Dnum N-mesure-de-longueur";"-";"+";"§être§dans une circonférence de rayon Dnum N-mesure-de-longueur "
"158";"+";"+";"-";"-";"-";"<E>";"être";"en";"plein";"clair";"de";"<E>";"lune";"-";"-";"§être§en plein clair de lune "
"159";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"clarté";"de";"les";"étoiles";"-";"-";"§être§sous la clarté des étoiles "
"160";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"classe";"de";"<E>";"Dnum-ième";"-";"+";"§être§en classe de Dnum-ième "
"161";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"classe";"de";"<E>";"première";"-";"+";"§être§en classe de première "
"162";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"classe";"de";"<E>";"seconde";"-";"+";"§être§en classe de seconde "
"163";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"classe";"de";"<E>";"sixième";"-";"+";"§être§en classe de sixième "
"164";"+";"+";"+";"-";"-";"<E>";"être";"à";"le";"coeur";"de";"la";"actualité";"-";"-";"§être§au coeur de l'actualité "
"165";"+";"+";"+";"-";"-";"<E>";"être";"à";"le";"coeur";"de";"le";"débat";"-";"-";"§être§au coeur du débat "
"166";"+";"+";"+";"-";"-";"<E>";"être";"dans";"le";"coeur";"de";"le";"débat";"-";"-";"§être§dans le coeur du débat "
"167";"+";"+";"+";"-";"-";"<E>";"être";"à";"le";"coeur";"de";"les";"débats";"-";"-";"§être§au coeur des débats "
"168";"+";"+";"+";"-";"-";"<E>";"être";"dans";"le";"coeur";"de";"les";"débats";"-";"-";"§être§dans le coeur des débats "
"169";"+";"+";"+";"-";"-";"<E>";"être";"à";"le";"coeur";"de";"le";"problème";"-";"-";"§être§au coeur du problème "
"170";"+";"+";"+";"-";"-";"<E>";"être";"dans";"le";"coeur";"de";"le";"problème";"-";"-";"§être§dans le coeur du problème "
"171";"+";"+";"+";"-";"-";"<E>";"être";"à";"le";"coeur";"de";"la";"question";"-";"-";"§être§au coeur de la question "
"172";"+";"+";"+";"-";"-";"<E>";"être";"dans";"le";"coeur";"de";"la";"question";"-";"-";"§être§dans le coeur de la question "
"173";"+";"+";"+";"-";"-";"<E>";"être";"à";"le";"coeur";"de";"le";"sujet";"-";"-";"§être§au coeur du sujet "
"174";"+";"+";"+";"-";"-";"<E>";"être";"dans";"le";"coeur";"de";"le";"sujet";"-";"-";"§être§dans le coeur du sujet "
"175";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"coin";"de";"le";"feu";"-";"+";"§être§au coin du feu "
"176";"+";"+";"-";"-";"-";"<E>";"être";"à";"un";"coin";"de";"<E>";"table";"-";"+";"§être§à un coin de table "
"177";"+";"+";"-";"-";"-";"<E>";"être";"à";"les quatre";"coins";"de";"le";"monde";"-";"+";"§être§aux quatre coins du monde "
"178";"+";"+";"-";"-";"-";"<E>";"être";"dans";"une";"colonie";"de";"<E>";"vacances";"-";"+";"§être§dans une colonie de vacances "
"179";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"colonie";"de";"<E>";"vacances";"-";"+";"§être§en colonie de vacances "
"180";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"comble";"de";"le";"bonheur";"-";"-";"§être§au comble du bonheur "
"181";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"comble";"de";"la";"joie";"-";"-";"§être§au comble de la joie "
"182";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"comble";"de";"la";"satisfaction";"-";"-";"§être§au comble de la satisfaction "
"183";"+";"-";"-";"-";"-";"<E>";"être";"à";"les";"commandes";"de";"un";"Airbus A320";"-";"-";"§être§aux commandes d'un Airbus A320 "
"184";"+";"-";"-";"-";"-";"<E>";"être";"à";"les";"commandes";"de";"un";"Boeing 747";"-";"-";"§être§aux commandes d'un Boeing 747 "
"185";"+";"-";"-";"-";"-";"<E>";"être";"à";"les";"commandes";"de";"un";"N-avion";"-";"-";"§être§aux commandes d'un N-avion "
"186";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"commencement";"de";"<E>";"exercice";"-";"-";"§être§en commencement d'exercice "
"187";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"commencement";"de";"le";"match";"-";"-";"§être§au commencement du match "
"188";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"commencement";"de";"le";"mois";"-";"-";"§être§au commencement du mois "
"189";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"commencement";"de";"un";"mois difficile";"-";"-";"§être§au commencement d'un mois difficile "
"190";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"commencement";"de";"un";"Ntps";"-";"-";"§être§au commencement d'un Ntps "
"191";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"commencement";"de";"la";"séance";"-";"-";"§être§au commencement de la séance "
"192";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"confluent";"de";"le";"N-fleuve et de le N-fleuve";"-";"+";"§être§au confluent du N-fleuve et du N-fleuve "
"193";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"confluent";"de";"la";"Seine et du Loing";"-";"+";"§être§au confluent de la Seine et du Loing "
"194";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"congé";"de";"longue";"durée";"-";"-";"§être§en congé de longue durée "
"195";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"congé";"de";"<E>";"formation";"-";"-";"§être§en congé de formation "
"196";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"congé";"de";"<E>";"maladie";"-";"-";"§être§en congé de maladie "
"197";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"congé";"de";"<E>";"maternité";"-";"-";"§être§en congé de maternité "
"198";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"conseil";"de";"<E>";"discipline";"-";"-";"§être§en conseil de discipline "
"199";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"corvée";"de";"<E>";"eau";"-";"-";"§être§de corvée d'eau "
"200";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"corvée";"de";"<E>";"patates";"-";"-";"§être§de corvée de patates "
"201";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"corvée";"de";"<E>";"vaisselle";"-";"-";"§être§de corvée de vaisselle "
"202";"+";"-";"-";"-";"-";"<E>";"être";"dans";"le";"costume";"de";"<E>";"Adam";"-";"-";"§être§dans le costume de Adam "
"203";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"costume";"de";"<E>";"Adam";"-";"-";"§être§en costume de Adam "
"204";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"costume";"de";"<E>";"apparat";"-";"-";"§être§en costume d'apparat "
"205";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"costume";"de";"le";"dimanche";"-";"-";"§être§en costume du dimanche "
"206";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"costume";"de";"les";"dimanches";"-";"-";"§être§en costume des dimanches "
"207";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"costume";"de";"<E>";"époque";"-";"-";"§être§en costume d'époque "
"208";"+";"-";"-";"-";"-";"<E>";"être";"dans";"le";"costume";"de";"<E>";"Eve";"-";"-";"§être§dans le costume de Eve "
"209";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"costume";"de";"<E>";"Eve";"-";"-";"§être§en costume de Eve "
"210";"+";"+";"-";"-";"-";"<E>";"être";"de";"l'autre";"côté";"de";"le";"Atlantique";"-";"+";"§être§de l'autre côté du Atlantique "
"211";"+";"+";"-";"-";"-";"<E>";"être";"de";"chaque";"côté";"de";"le";"canal";"-";"+";"§être§de chaque côté du canal "
"212";"+";"-";"-";"-";"-";"<E>";"être";"de";"le";"côté";"de";"le";"manche";"-";"-";"§être§du côté du manche "
"213";"+";"+";"-";"-";"-";"<E>";"être";"de";"chaque";"côté";"de";"le";"N-bilatéral";"-";"+";"§être§de chaque côté du N-bilatéral "
"214";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"côté";"de";"la";"plaque";"-";"-";"§être§à côté de la plaque "
"215";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"côté";"de";"Poss0";"pompes";"-";"-";"§être§à côté de ses pompes "
"216";"+";"+";"-";"-";"-";"<E>";"être";"de";"chaque";"côté";"de";"la";"route";"-";"+";"§être§de chaque côté de la route "
"217";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"côté";"de";"le";"sujet";"-";"-";"§être§à côté du sujet "
"218";"-";"+";"-";"-";"-";"<E>";"être";"à";"les";"couleurs";"de";"le";"arc-en-ciel";"-";"-";"§être§aux couleurs de l'arc-en-ciel "
"219";"-";"+";"-";"-";"-";"<E>";"être";"à";"les";"couleurs";"de";"les";"Etats-unis";"-";"-";"§être§aux couleurs des Etats-unis "
"220";"-";"+";"-";"-";"-";"<E>";"être";"à";"les";"couleurs";"de";"la";"France";"-";"-";"§être§aux couleurs de la France "
"221";"-";"+";"-";"-";"-";"<E>";"être";"à";"les";"couleurs";"de";"le";"Panama";"-";"-";"§être§aux couleurs du Panama "
"222";"-";"+";"-";"-";"-";"<E>";"être";"à";"les";"couleurs";"de";"le";"Panama";"-";"-";"§être§aux couleurs du Panama "
"223";"+";"-";"-";"-";"-";"<E>";"être";"sous";"le";"coup";"de";"une";"condamnation";"-";"-";"§être§sous le coup d'une condamnation "
"224";"+";"-";"-";"+";"+";"n'en";"être";"à";"Poss0";"coup";"de";"<E>";"essai";"-";"-";"§n'en est§à son coup d'essai "
"225";"+";"-";"-";"-";"-";"<E>";"être";"sous";"le";"coup";"de";"une";"inculpation";"-";"-";"§être§sous le coup d'une inculpation "
"226";"-";"+";"-";"-";"-";"<E>";"être";"sous";"le";"coup";"de";"une";"interdiction";"-";"-";"§être§sous le coup d'une interdiction "
"227";"-";"+";"-";"-";"-";"<E>";"être";"sous";"le";"coup";"de";"une";"interdiction de séjour";"-";"-";"§être§sous le coup d'une interdiction de séjour "
"228";"-";"+";"-";"-";"-";"<E>";"être";"sous";"le";"coup";"de";"un";"interdit";"-";"-";"§être§sous le coup d'un interdit "
"229";"-";"+";"-";"-";"-";"<E>";"être";"sous";"le";"coup";"de";"la";"loi";"-";"-";"§être§sous le coup de la loi "
"230";"+";"-";"-";"-";"-";"<E>";"être";"sous";"le";"coup";"de";"un";"mandat d'amener";"-";"-";"§être§sous le coup d'un mandat d'amener "
"231";"+";"+";"-";"-";"-";"<E>";"être";"sur";"le";"coup";"de";"<E>";"midi";"-";"-";"§être§sur le coup de midi "
"232";"+";"+";"-";"-";"-";"<E>";"être";"sur";"le";"coup";"de";"<E>";"minuit";"-";"-";"§être§sur le coup de minuit "
"233";"+";"-";"-";"-";"-";"<E>";"être";"sous";"le";"coup";"de";"une";"peine de prison";"-";"-";"§être§sous le coup d'une peine de prison "
"234";"+";"-";"-";"-";"-";"<E>";"être";"sous";"le";"coup";"de";"une";"sanction";"-";"-";"§être§sous le coup d'une sanction "
"235";"+";"+";"-";"-";"-";"<E>";"être";"sur";"le";"coup de Dnum heures";"de";"le";"matin";"+";"-";"§être§sur le coup de Dnum heures du matin "
"236";"+";"+";"-";"-";"-";"<E>";"être";"sur";"le";"coup de Dnum heures";"de";"le";"soir";"+";"-";"§être§sur le coup de Dnum heures du soir "
"237";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"Coupe";"de";"<E>";"Europe";"-";"-";"§être§en Coupe de Europe "
"238";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"Coupe";"de";"<E>";"France";"-";"-";"§être§en Coupe de France "
"239";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"Coupe";"de";"le";"monde";"-";"-";"§être§en Coupe du monde "
"240";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"Cour";"de";"<E>";"Appe";"-";"-";"§être§en Cour de Appe "
"241";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"Cour";"de";"<E>";"Assises";"-";"-";"§être§en Cour de Assises "
"242";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"Cour";"de";"<E>";"Cassation";"-";"-";"§être§en Cour de Cassation "
"243";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"cour";"de";"les";"grands";"-";"-";"§être§dans la cour des grands "
"244";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"courant";"de";"<E>";"mai";"-";"-";"§être§dans le courant de mai "
"245";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"courant";"de";"le";"mois de mai";"-";"-";"§être§dans le courant du mois de mai "
"246";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"courant";"de";"<E>";"Ntps";"-";"-";"§être§dans le courant de Ntps "
"247";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"cours";"de";"<E>";"achèvement";"-";"-";"§être§en cours d'achèvement "
"248";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"cours";"de";"<E>";"aménagement";"-";"-";"§être§en cours d'aménagement "
"249";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"cours";"de";"<E>";"examen";"-";"-";"§être§en cours d'examen "
"250";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"cours";"de";"<E>";"Naction";"-";"-";"§être§en cours de Naction "
"251";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"cours";"de";"<E>";"ravalement";"-";"-";"§être§en cours de ravalement "
"252";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"cours";"de";"<E>";"réaménagement";"-";"-";"§être§en cours de réaménagement "
"253";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"cours";"de";"<E>";"réfection";"-";"-";"§être§en cours de réfection "
"254";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"cours";"de";"<E>";"réparation";"-";"-";"§être§en cours de réparation "
"255";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"cours";"de";"<E>";"route";"-";"-";"§être§en cours de route "
"256";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"cours";"de";"<E>";"validité";"-";"-";"§être§en cours de validité "
"257";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"court";"de";"<E>";"argent";"+";"-";"§être§à court d'argent "
"258";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"court";"de";"<E>";"arguments";"+";"-";"§être§à court d'arguments "
"259";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"court";"de";"<E>";"idées";"+";"-";"§être§à court d'idées "
"260";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"couverture";"de";"tous les";"journaux";"-";"-";"§être§en couverture de tous les journaux "
"261";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"creux";"de";"la";"vague";"-";"-";"§être§au creux de la vague "
"262";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"creux";"de";"la";"vague";"-";"-";"§être§dans le creux de la vague "
"263";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"croisée";"de";"les";"chemins";"-";"-";"§être§à la croisée des chemins "
"264";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"croisement";"de";"la";"rue X et de la rue Y";"-";"+";"§être§au croisement de la rue X et de la rue Y "
"265";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un";"cul-";"de";"<E>";"sac";"-";"-";"§être§dans un cul-de-sac "
"266";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"cure";"de";"<E>";"désintoxication";"-";"-";"§être§en cure de désintoxication "
"267";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"cure";"de";"<E>";"sommeil";"-";"-";"§être§en cure de sommeil "
"268";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"cycle";"de";"<E>";"violence";"-";"-";"§être§dans un cycle de violence "
"269";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"danger";"de";"<E>";"disparition";"-";"-";"§être§en danger de disparition "
"270";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"danger";"de";"<E>";"extinction";"-";"-";"§être§en danger d'extinction "
"271";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"danger";"de";"<E>";"mort";"-";"-";"§être§en danger de mort "
"272";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"danger";"de";"<E>";"rupture";"-";"-";"§être§en danger de rupture "
"273";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"date";"de";"le";"N-date";"-";"-";"§être§en date du N-date "
"274";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"date";"de";"le";"six mai 1990";"-";"-";"§être§en date du six mai 1990 "
"275";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"début";"de";"<E>";"carrière";"-";"-";"§être§en début de carrière "
"276";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"début";"de";"<E>";"exercice";"-";"-";"§être§en début d'exercice "
"277";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"début";"de";"le";"match";"-";"-";"§être§au début du match "
"278";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"début";"de";"<E>";"match";"-";"-";"§être§en début de match "
"279";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"début";"de";"le";"mois";"-";"-";"§être§au début du mois "
"280";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"début";"de";"un";"mois difficile";"-";"-";"§être§au début d'un mois difficile "
"281";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"début";"de";"un";"Ntps";"-";"-";"§être§au début d'un Ntps "
"282";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"début";"de";"<E>";"parcours";"-";"-";"§être§en début de parcours "
"283";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"début";"de";"<E>";"rencontre";"-";"-";"§être§en début de rencontre "
"284";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"début";"de";"la";"séance";"-";"-";"§être§au début de la séance "
"285";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"début";"de";"<E>";"séance";"-";"-";"§être§en début de séance "
"286";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"deçà";"de";"une certaine";"limite";"-";"-";"§être§en deçà d'une certaine limite "
"287";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"deçà";"de";"un certain";"seuil";"-";"-";"§être§en deçà d'un certain seuil "
"288";"+";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"deçà";"de";"la";"vérité";"-";"-";"§être§en deçà de la vérité "
"289";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"découvert";"de";"mille";"dollars";"+";"-";"§être§à découvert de mille dollars "
"290";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"découvert";"de";"mille";"dollars";"+";"-";"§être§en découvert de mille dollars "
"291";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"découvert";"de";"Dnum";"N-monnaie";"+";"-";"§être§à découvert de Dnum N-monnaie "
"292";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"découvert";"de";"Dnum";"N-monnaie";"+";"-";"§être§en découvert de Dnum N-monnaie "
"293";"+";"+";"-";"-";"-";"<E>";"être";"à";"un haut";"degré";"de";"<E>";"civilisation";"-";"-";"§être§à un haut degré de civilisation "
"294";"+";"+";"-";"-";"-";"<E>";"être";"à";"un";"degré avancé";"de";"<E>";"civilisation";"-";"-";"§être§à un degré avancé de civilisation "
