"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prép2";"N2 =: Nhum";"N2 =: N-hum";"N2 =: ce Qu Pind";"N2 =: ce Qu Psubj";"Prép N2 =: Prép ce Qu P = Qu P";"N2 =: V0-inf W";"N0 être Prép1 Det1 C1";"Prép2 N2hum = Ppv =: lui";"Prép2 N2-hum = Ppv";"Exemple"
"95";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"limite";"de";"-";"+";"+";"+";"-";"+";"-";"-";"+";"§être§à la limite de "
"96";"+";"-";"-";"-";"-";"<E>";"être";"à";"les premières";"loges";"pour";"-";"+";"-";"+";"-";"-";"+";"-";"-";"§être§aux premières loges pour "
"97";"+";"+";"+";"-";"-";"<E>";"être";"<E>";"<E>";"loin";"de";"-";"+";"-";"-";"-";"+";"-";"-";"+";"§être§loin de "
"98";"+";"+";"-";"-";"+";"n'";"être pas";"<E>";"<E>";"long";"à";"-";"+";"-";"+";"-";"-";"-";"-";"-";"§n'est pas§long à "
"99";"-";"+";"+";"-";"-";"<E>";"être";"<E>";"la meilleure";"manière";"de";"-";"+";"-";"-";"+";"-";"+";"-";"+";"§être§la meilleure manière de "
"100";"-";"+";"+";"-";"-";"<E>";"être";"<E>";"une";"manoeuvre de Nhum";"pour";"-";"+";"-";"+";"-";"+";"+";"-";"-";"§être§une manoeuvre de Nhum pour "
"101";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"même";"de";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§à même de "
"102";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"mesure";"de";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§en mesure de "
"103";"-";"+";"+";"-";"-";"<E>";"être";"de";"<E>";"nature";"à";"-";"+";"-";"+";"-";"-";"-";"-";"-";"§être§de nature à "
"104";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"nécessité";"de";"-";"+";"+";"+";"-";"+";"-";"-";"-";"§être§dans la nécessité de "
"105";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"obligation";"de";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§dans l'obligation de "
"106";"-";"+";"+";"-";"-";"<E>";"être";"<E>";"un";"obstacle";"à";"-";"-";"+";"+";"-";"+";"+";"-";"-";"§être§un obstacle à "
"107";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"opinion";"à";"-";"+";"+";"+";"-";"-";"-";"-";"-";"§être§d'opinion à "
"108";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"opposé";"de";"-";"+";"+";"+";"+";"+";"-";"-";"+";"§être§à l'opposé de "
"109";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"parfum";"de";"+";"-";"+";"-";"-";"+";"+";"-";"-";"§être§au parfum de "
"110";"+";"-";"-";"-";"-";"<E>";"être";"à";"deux";"pas";"de";"-";"+";"+";"+";"-";"+";"-";"-";"+";"§être§à deux pas de "
"111";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"passe";"de";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§en passe de "
"112";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"peine";"de";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§en peine de "
"113";"+";"-";"-";"-";"+";"n'";"être";"en";"<E>";"peine";"de";"-";"+";"+";"+";"-";"-";"+";"-";"+";"§n'est§en peine de "
"114";"+";"-";"-";"-";"+";"n'";"être pas";"en";"<E>";"peine";"de";"-";"+";"+";"+";"-";"-";"+";"-";"+";"§n'est pas§en peine de "
"115";"+";"-";"-";"+";"-";"en";"être";"à";"<E>";"penser";"<E>";"+";"-";"-";"-";"-";"+";"-";"+";"-";"§en est§à penser "
"116";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"perspective";"de";"+";"+";"+";"+";"-";"+";"-";"-";"-";"§être§en perspective de "
"117";"-";"+";"+";"-";"-";"<E>";"être";"dans";"la";"perspective";"de";"+";"+";"+";"+";"-";"+";"-";"-";"-";"§être§dans la perspective de "
"118";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"peur constante";"de";"+";"+";"+";"+";"-";"+";"-";"-";"-";"§être§dans la peur constante de "
"119";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"peur constante";"de";"+";"+";"+";"+";"-";"+";"-";"-";"-";"§être§dans une peur constante de "
"120";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"place";"pour";"-";"+";"-";"+";"-";"-";"+";"-";"-";"§être§en place pour "
"121";"+";"-";"-";"-";"-";"<E>";"être";"en";"bonne";"place";"pour";"-";"+";"-";"+";"-";"-";"+";"-";"-";"§être§en bonne place pour "
"122";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"plusieurs";"pour";"-";"+";"-";"+";"-";"-";"+";"-";"-";"§être§à plusieurs pour "
"123";"+";"-";"-";"-";"-";"<E>";"être";"à";"un";"poil";"de";"-";"+";"+";"+";"-";"+";"-";"-";"+";"§être§à un poil de "
"124";"+";"-";"-";"+";"-";"en";"être";"à";"le";"point";"de";"+";"-";"+";"+";"-";"-";"-";"-";"-";"§en est§au point de "
"125";"+";"+";"-";"-";"-";"<E>";"être";"sur";"le";"point";"de";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§sur le point de "
"126";"+";"+";"-";"-";"-";"<E>";"être";"à";"ce";"point de incompétence";"<E>";"-";"-";"+";"-";"-";"-";"+";"-";"-";"§être§à ce point d'incompétence "
"127";"+";"+";"-";"-";"-";"<E>";"être";"à";"ce";"point de N-hum";"<E>";"-";"-";"+";"-";"-";"-";"+";"-";"-";"§être§à ce point de N-hum "
"128";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"position";"de";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§en position de "
"129";"+";"-";"-";"-";"-";"<E>";"être";"en";"bonne";"position";"pour";"-";"+";"-";"+";"-";"-";"+";"-";"-";"§être§en bonne position pour "
"130";"+";"-";"-";"-";"-";"<E>";"être";"en";"excellente";"position";"pour";"-";"+";"-";"+";"-";"-";"+";"-";"-";"§être§en excellente position pour "
"131";"+";"-";"-";"-";"-";"<E>";"être";"en";"mauvaise";"position";"pour";"-";"+";"-";"+";"-";"-";"+";"-";"-";"§être§en mauvaise position pour "
"132";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"posture";"de";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§en posture de "
"133";"+";"+";"-";"-";"-";"<E>";"être";"<E>";"le";"premier";"à";"-";"-";"-";"-";"-";"+";"-";"-";"-";"§être§le premier à "
"134";"+";"+";"-";"-";"+";"n'";"être pas";"<E>";"le";"premier";"à";"-";"-";"-";"-";"-";"+";"-";"-";"-";"§n'est pas§le premier à "
"135";"-";"+";"+";"-";"-";"<E>";"être";"en";"avant-";"première";"à";"-";"+";"-";"+";"-";"-";"+";"-";"-";"§être§en avant-première à "
"136";"+";"+";"-";"-";"-";"<E>";"être";"<E>";"l'un des";"premiers";"à";"-";"-";"-";"-";"-";"+";"-";"-";"-";"§être§l'un des premiers à "
"137";"+";"+";"+";"-";"-";"<E>";"être";"<E>";"<E>";"près";"de";"-";"+";"-";"-";"-";"+";"-";"-";"+";"§être§près de "
"138";"+";"+";"+";"-";"+";"n'";"être pas";"<E>";"<E>";"près";"de";"-";"-";"-";"-";"-";"+";"-";"-";"-";"§n'est pas§près de "
"139";"+";"+";"+";"-";"+";"n'";"être pas";"<E>";"<E>";"près";"de";"-";"-";"-";"-";"-";"+";"-";"-";"+";"§n'est pas§près de "
