"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prép2";"N2 =: Nhum";"N2 =: N-hum";"N2 =: ce Qu Pind";"N2 =: ce Qu Psubj";"Prép N2 =: Prép ce Qu P = Qu P";"N2 =: V0-inf W";"N0 être Prép1 Det1 C1";"Prép2 N2hum = Ppv =: lui";"Prép2 N2-hum = Ppv";"Exemple"
"175";"+";"-";"-";"-";"-";"<E>";"être";"<E>";"<E>";"toujours";"à";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§toujours à "
"176";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"train";"de";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§en train de "
"177";"-";"+";"+";"-";"-";"<E>";"être";"<E>";"un";"truc de Nhum";"pour";"-";"+";"-";"+";"-";"+";"+";"-";"-";"§être§un truc de Nhum pour "
"178";"+";"-";"-";"-";"-";"<E>";"être";"de";"le";"type";"à";"-";"+";"-";"+";"-";"+";"-";"-";"+";"§être§du type à "
"179";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"veille";"de";"-";"+";"+";"+";"-";"+";"-";"-";"+";"§être§à la veille de "
"180";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"vertu";"de";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§en vertu de "
"181";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"violation";"de";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§en violation de "
"182";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"voie";"de";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§en voie de "
"183";"+";"-";"-";"-";"-";"<E>";"être";"en";"bonne";"voie";"de";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§en bonne voie de "
"184";"+";"+";"-";"-";"-";"<E>";"être";"sur";"la";"voie";"de";"-";"-";"-";"+";"-";"+";"-";"-";"-";"§être§sur la voie de "
"185";"-";"+";"+";"-";"-";"<E>";"être";"<E>";"si";"vrai";"<E>";"-";"-";"+";"-";"-";"-";"+";"-";"-";"§être§si vrai "

