"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>C1";"x1";"x2";"x3";"Exemple"
"62";"-";"+";"+";"-";"<E>";" être";"le";"coup de pied de l'âne ";"-";"-";"-";"§est§le coup de pied de l'âne "
"63";"-";"+";"+";"-";"<E>";" être";"un";"coup du sort";"-";"-";"-";"§est§un coup du sort "
"64";"-";"+";"+";"+";"n'";" être pas";"un";"crime";"-";"-";"-";"§n'est pas§un crime "
"65";"-";"+";"-";"+";"n'";" être pas";"ce que tu";"crois";"-";"-";"-";"§n'est pas§ce que tu crois "
"66";"-";"+";"-";"+";"n'";" être pas";"ce que vous";"croyez";"-";"-";"-";"§n'est pas§ce que vous croyez "
"67";"+";"-";"-";"+";"n'";" être pas";"celle que vous";"croyez";"-";"-";"-";"§n'est pas§celle que vous croyez "
"68";"+";"-";"-";"+";"n'";" être pas";"celui que vous";"croyez";"-";"-";"-";"§n'est pas§celui que vous croyez "
"69";"-";"+";"+";"-";"<E>";" être";"du tout";"cuit";"-";"-";"-";"§est§du tout cuit "
"70";"-";"+";"+";"-";"<E>";" être";"un bon";"débarras";"-";"-";"-";"§est§un bon débarras "
"71";"+";"-";"-";"+";"n'";" être pas";"le";"diable";"-";"-";"-";"§n'est pas§le diable "
"72";"-";"+";"+";"+";"n'";" être pas";"le";"diable";"-";"-";"-";"§n'est pas§le diable "
"73";"+";"-";"-";"-";"<E>";" être";"le";"dindon de la farce";"-";"-";"-";"§est§le dindon de la farce "
"74";"+";"-";"-";"-";"<E>";" être";"le";"dos au mur";"-";"-";"-";"§est§le dos au mur "
"75";"-";"+";"-";"-";"<E>";" être";"tout le";"effet que cela fait à Nhum";"-";"-";"-";"§est§tout l'effet que cela fait à Nhum "
"76";"+";"+";"+";"-";"<E>";" être";"bon";"enfant";"-";"-";"-";"§est§bon enfant "
"77";"+";"-";"-";"+";"n'";" être plus";"un";"enfant";"-";"-";"-";"§n'est plus§un enfant "
"78";"+";"-";"-";"+";"n'";" être";"un";"enfant de choeur";"-";"-";"-";"§n'est§un enfant de choeur "
"79";"+";"-";"-";"-";"<E>";" être";"un véritable";"enfant de choeur";"-";"-";"-";"§est§un véritable enfant de choeur "
"80";"-";"+";"+";"-";"<E>";" être";"tout un";"ensemble";"-";"-";"-";"§est§tout un ensemble "
"81";"+";"+";"-";"-";"<E>";" être";"ce que IL-0";"est";"-";"-";"-";"§est§ce qu'IL-0 est "
"82";"+";"+";"-";"+";"n'";" être plus";"ce que IL-0";"était";"-";"-";"-";"§n'est plus§ce qu'IL-0 était "
"83";"-";"+";"+";"-";"<E>";" être";"la";"évidence même";"-";"-";"-";"§est§l'évidence même "
"84";"-";"+";"+";"-";"<E>";" être";"la";"exception";"-";"-";"-";"§est§l'exception "
"85";"-";"+";"+";"-";"<E>";" être";"la";"exception qui confirme la règle";"-";"-";"-";"§est§l'exception qui confirme la règle "
"86";"+";"-";"-";"-";"<E>";" être";"<E>";"face contre terre";"-";"-";"-";"§est§face contre terre "
"87";"-";"+";"+";"-";"<E>";" être";"un";"fait";"-";"-";"-";"§est§un fait "
"88";"-";"+";"+";"-";"<E>";" être";"un haut";"fait";"-";"-";"-";"§est§un haut fait "
"89";"-";"+";"+";"-";"<E>";" être";"de la";"farce";"-";"-";"-";"§est§de la farce "
"90";"-";"+";"+";"-";"<E>";" être";"une";"farce";"-";"-";"-";"§est§une farce "
"91";"-";"+";"-";"-";"<E>";" être";"un";"feu d'artifice";"-";"-";"-";"§est§un feu d'artifice "
"92";"+";"-";"-";"-";"<E>";" être";"belle";"fille";"-";"-";"-";"§est§belle fille "
"93";"+";"-";"-";"-";"<E>";" être";"jolie";"fille";"-";"-";"-";"§est§jolie fille "
"94";"+";"-";"-";"+";"n'";" être";"une mauvaise";"fille";"-";"-";"-";"§n'est§une mauvaise fille "
"95";"+";"+";"+";"-";"<E>";" être";"<E>";"fin de siècle";"-";"-";"-";"§est§fin de siècle "
"96";"-";"+";"+";"-";"<E>";" être";"du";"flan";"-";"-";"-";"§est§du flan "
"97";"+";"-";"-";"-";"<E>";" être";"<E>";"fleur bleue";"-";"-";"-";"§est§fleur bleue "
"98";"-";"+";"+";"-";"<E>";" être";"une";"formalité";"-";"-";"-";"§est§une formalité "
"99";"+";"+";"-";"-";"<E>";" être";"<E>";"foule";"-";"-";"-";"§est§foule "
"100";"+";"+";"-";"-";"<E>";" être";"vieille";"France";"-";"-";"-";"§est§vieille France "
"101";"-";"+";"+";"-";"<E>";" être";"de la";"frime";"-";"-";"-";"§est§de la frime "
"102";"+";"-";"-";"-";"<E>";" être";"beau";"garçon";"-";"-";"-";"§est§beau garçon "
"103";"+";"-";"-";"-";"<E>";" être";"joli";"garçon";"-";"-";"-";"§est§joli garçon "
"104";"+";"-";"-";"+";"n'";" être";"un mauvais";"garçon";"-";"-";"-";"§n'est§un mauvais garçon "
"105";"+";"-";"-";"+";"n'";" être";"un mauvais";"gars";"-";"-";"-";"§n'est§un mauvais gars "
