"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>C1";"x1";"x2";"x3";"Exemple"
"162";"+";"+";"-";"-";"<E>";" être";"<E>";"m'as-tu vu";"-";"-";"-";"§est§m'as-tu vu "
"163";"+";"+";"-";"-";"<E>";" être";"un";"m'as-tu vu";"-";"-";"-";"§est§un m'as-tu vu "
"164";"+";"-";"-";"+";"n'";" être plus";"le";"même";"-";"-";"-";"§n'est plus§le même "
"165";"-";"+";"+";"+";"n'";" être pas";"la";"mer à boire";"-";"-";"-";"§n'est pas§la mer à boire "
"166";"-";"+";"+";"-";"<E>";" être";"<E>";"merveille";"-";"-";"-";"§est§merveille "
"167";"-";"+";"+";"-";"<E>";" être";"un";"mieux";"-";"-";"-";"§est§un mieux "
"168";"+";"-";"-";"-";"<E>";" être";"un autre";"moi-même";"-";"-";"-";"§est§un autre moi-même "
"169";"+";"-";"-";"+";"n'";" être pas";"tout le";"monde";"-";"-";"-";"§n'est pas§tout le monde "
"170";"-";"+";"+";"-";"<E>";" être";"<E>";"monnaie courante";"-";"-";"-";"§est§monnaie courante "
"171";"+";"-";"-";"-";"<E>";" être";"un";"monstre d'égoïsme";"-";"-";"-";"§est§un monstre d'égoïsme "
"172";"+";"-";"-";"-";"<E>";" être";"un";"monstre d'ingratitude";"-";"-";"-";"§est§un monstre d'ingratitude "
"173";"-";"+";"+";"+";"n'";" être pas";"la";"mort";"-";"-";"-";"§n'est pas§la mort "
"174";"-";"+";"+";"-";"<E>";" être";"une autre";"musique";"-";"-";"-";"§est§une autre musique "
"175";"-";"+";"+";"-";"<E>";" être";"du";"nanan";"-";"-";"-";"§est§du nanan "
"176";"+";"-";"-";"-";"<E>";" être";"<E>";"nature";"-";"-";"-";"§est§nature "
"177";"+";"-";"-";"-";"<E>";" être";"une petite";"nature";"-";"-";"-";"§est§une petite nature "
"178";"+";"-";"-";"-";"<E>";" être";"le";"Nhum-même";"-";"-";"-";"§est§le Nhum-même "
"179";"+";"-";"-";"+";"n'";" être pas";"<E>";"n'importe qui";"-";"-";"-";"§n'est pas§n'importe qui "
"180";"-";"+";"+";"+";"n'";" être pas";"<E>";"n'importe quoi";"-";"-";"-";"§n'est pas§n'importe quoi "
"181";"+";"-";"-";"+";"n'";" être pas";"un";"ogre";"-";"-";"-";"§n'est pas§un ogre "
"182";"+";"-";"-";"+";"n'";" être plus que";"la";"ombre de lui-0-même";"-";"-";"-";"§n'est plus que§l'ombre de lui-0-même "
"183";"-";"+";"-";"-";"<E>";" être";"une";"paille";"-";"-";"-";"§est§une paille "
"184";"-";"+";"+";"-";"<E>";" être";"<E>";"pain béni";"-";"-";"+";"§est§pain béni "
