"<ID>";"<ENT>Conj";"<ENT>Det0";"<ENT>C0";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: me figé";"Ppv =: vous figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Det1";"<ENT>C1";"<ENT>Conj-2";"<ENT>Det0-2";"<ENT>C0-2";"<ENT>V-2";"<ENT>Det1-2";"<ENT>C1-2";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Npc";"N0 =: Qu P";"C0 =: C0 de Nhum";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Npc";"N1 =: Qu P";"C1 =: C1 de Nhum";"C1 =: C1 de N-hum";"Exemple"
"142";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" partir";"<E>";"<E>";"pour";"<E>";"<E>";"ne plus revenir";"<E>";"<E>";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§partir§pour ne plus revenir "
"143";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" passe encore";"si";"P";"mais pas si";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§passe encore§si P mais pas si "
"144";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" passe encore";"que";"Psubj";"mais pas que";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"§passe encore§que Psubj mais pas que "
"145";"<E>";"<E>";"tout";"+";"-";"-";"-";"-";"-";"se";" passer";"<E>";"<E>";"comme si";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"tout§se passer§comme si "
"146";"<E>";"<E>";"ça";"-";"-";"-";"-";"-";"-";"<E>";" passera";"à";"<E>";"avant que";"<E>";"ça";"ne me reprenne";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"ça§passera§à avant que ça ne me reprenne "
"147";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" passerait";"entre une";"affiche et le mur";"sans";"<E>";"<E>";"la décoller";"<E>";"<E>";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§passerait§entre une affiche et le mur sans la décoller "
"148";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" perdre";"en";"<E>";"ce que";"<E>";"<E>";"gagner";"en";"<E>";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"§perdre§en ce que gagner en "
"149";"ce";"est toi";"qui";"-";"-";"-";"-";"-";"-";"<E>";" pètes";"<E>";"<E>";"ce";"est moi";"qui";"pue";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"c'est toi qui§pètes§ce est moi qui pue "
"150";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" peut-être";"bien";"que oui";"<E>";"<E>";"<E>";"peut-être";"bien";"que non";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§peut-est§bien qu'oui peut-est bien que non "
"151";"si";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"ne";" plaît pas";"à";"<E>";"<E>";"<E>";"ce";"est";"le même";"prix";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"si§ne plaît pas§à c'est le même prix "
