"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Npc";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>C1";"N0 V Det1 C1";"Nc =: Nhum";"Nc =: N-hum";"Nc =: ce Qu Pind";"Nc =: ce Qu Psubj";"Nc =: V-inf W";"Det1 C1 de Nc = Poss C1";"N0 en être Det1 C1";"N0 être Det1 C1 pour Nc";"Nc avoir Det1 C1";"Exemple"
"535";"+";"-";"-";"-";"<E>";" être";"un farouche";"partisan";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un farouche partisan "
"536";"+";"-";"-";"-";"<E>";" être";"un ferme";"partisan";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un ferme partisan "
"537";"+";"-";"-";"-";"<E>";" être";"un fervent";"partisan";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un fervent partisan "
"538";"+";"-";"-";"-";"<E>";" être";"un";"partisan";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un partisan "
"539";"+";"-";"-";"-";"<E>";" être";"<E>";"partisan";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"§être§partisan "
"540";"-";"+";"-";"-";"<E>";" être";"le";"passe-temps";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"§être§le passe-temps "
"541";"+";"-";"-";"-";"<E>";" être";"un";"passionné";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un passionné "
"542";"-";"+";"-";"-";"<E>";" être";"le";"pays natal";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le pays natal "
"543";"-";"+";"-";"-";"<E>";" être";"un";"péché mignon";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§un péché mignon "
"544";"+";"+";"-";"-";"<E>";" être";"le";"pendant";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le pendant "
"545";"+";"-";"-";"-";"<E>";" être";"le";"pénultième";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§le pénultième "
"546";"-";"+";"-";"-";"<E>";" être";"une";"pépinière";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§être§une pépinière "
"547";"+";"-";"-";"-";"<E>";" être";"le";"perdant";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§le perdant "
"548";"+";"-";"-";"-";"<E>";" être";"le grand";"perdant";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§le grand perdant "
"549";"+";"-";"-";"-";"<E>";" être";"le";"père";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§le père "
"550";"+";"-";"-";"-";"<E>";" être";"le";"père";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§le père "
"551";"+";"-";"-";"-";"<E>";" être";"le beau-";"père";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§le beau-père "
"552";"+";"-";"-";"-";"<E>";" être";"le";"père nourricier";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§le père nourricier "
"553";"-";"+";"-";"-";"<E>";" être";"toute une";"période";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"§être§toute une période "
"554";"+";"+";"-";"-";"<E>";" être";"la";"perle";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§la perle "
