"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Npc";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>C1";"N0 V Det1 C1";"Nc =: Nhum";"Nc =: N-hum";"Nc =: ce Qu Pind";"Nc =: ce Qu Psubj";"Nc =: V-inf W";"Det1 C1 de Nc = Poss C1";"N0 en être Det1 C1";"N0 être Det1 C1 pour Nc";"Nc avoir Det1 C1";"Exemple"
"670";"+";"-";"-";"-";"<E>";" être";"une grande";"soeur";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§une grande soeur "
"671";"+";"-";"-";"-";"<E>";" être";"une petite";"soeur";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§une petite soeur "
"672";"+";"-";"-";"-";"<E>";" être";"une";"soeur aînée";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§une soeur aînée "
"673";"+";"-";"-";"-";"<E>";" être";"une";"soeur cadette";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§une soeur cadette "
"674";"+";"-";"-";"-";"<E>";" être";"une";"soeur de lait";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§une soeur de lait "
"675";"+";"-";"-";"-";"<E>";" être";"une";"soeur jumelle";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§une soeur jumelle "
"676";"-";"+";"-";"-";"<E>";" être";"le";"soir de garde";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le soir de garde "
"677";"-";"+";"-";"-";"<E>";" être";"le";"sommet";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"§être§le sommet "
"678";"-";"+";"-";"-";"<E>";" être";"le";"sort";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"§être§le sort "
"679";"+";"-";"-";"-";"<E>";" être";"le";"sosie";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"§être§le sosie "
"680";"-";"+";"-";"-";"<E>";" être";"un";"soubassement";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§un soubassement "
"681";"-";"+";"-";"-";"<E>";" être";"un";"souci";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§un souci "
"682";"-";"+";"-";"-";"<E>";" être";"un";"souci constant";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§un souci constant "
"683";"-";"+";"-";"-";"<E>";" être";"le";"souci numéro un";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le souci numéro un "
"684";"+";"+";"-";"-";"<E>";" être";"le moindre des";"soucis";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§le moindre des soucis "
"685";"+";"-";"-";"-";"<E>";" être";"le";"souffre-douleur";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le souffre-douleur "
"686";"+";"+";"-";"-";"<E>";" être";"une";"source";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§une source "
"687";"-";"+";"-";"-";"<E>";" être";"un";"souvenir de guerre";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"§être§un souvenir de guerre "
"688";"-";"+";"-";"-";"<E>";" être";"un";"souvenir d'enfance";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"§être§un souvenir d'enfance "
"689";"+";"-";"-";"-";"<E>";" être";"un";"spécialiste incontesté";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un spécialiste incontesté "
"690";"+";"-";"-";"-";"<E>";" être";"une";"splendeur";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§être§une splendeur "
"691";"-";"+";"-";"-";"<E>";" être";"le";"sport favori";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§le sport favori "
"692";"+";"-";"-";"-";"<E>";" être";"le";"subordonné";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le subordonné "
"693";"+";"+";"-";"-";"<E>";" être";"un";"substitut";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un substitut "
"694";"+";"-";"-";"-";"<E>";" être";"le";"successeur";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"§être§le successeur "
"695";"+";"-";"-";"-";"<E>";" être";"le digne";"successeur";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"§être§le digne successeur "
"696";"-";"+";"-";"-";"<E>";" être";"une";"succession";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§une succession "
"697";"-";"+";"-";"-";"<E>";" être";"la";"suite";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§la suite "
"698";"-";"+";"-";"-";"<E>";" être";"une";"suite";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§une suite "
"699";"-";"+";"-";"-";"<E>";" être";"une";"suite logique";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"§être§une suite logique "
"700";"-";"+";"-";"-";"<E>";" être";"le";"sujet";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§le sujet "
"701";"+";"-";"-";"-";"<E>";" être";"un";"sujet";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"§être§un sujet "
"702";"+";"-";"-";"-";"<E>";" être";"le";"supérieur";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le supérieur "
"703";"+";"-";"-";"-";"<E>";" être";"le";"supérieur direct";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le supérieur direct "
"704";"+";"-";"-";"-";"<E>";" être";"le";"supérieur hiérarchique";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le supérieur hiérarchique "
"705";"-";"+";"-";"-";"<E>";" être";"la";"surprise de la vie";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§la surprise de la vie "
"706";"-";"+";"-";"-";"<E>";" être";"le";"symétrique";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le symétrique "
"707";"-";"+";"-";"-";"<E>";" être";"un";"tableau";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un tableau "
"708";"+";"-";"-";"-";"<E>";" être";"une";"tante";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§une tante "
"709";"+";"-";"-";"-";"<E>";" être";"une grand";"tante";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§une grand tante "
"710";"+";"-";"-";"-";"<E>";" être";"une grande";"tante";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§une grande tante "
"711";"+";"-";"-";"-";"<E>";" être";"une";"tante éloignée";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§une tante éloignée "
"712";"+";"-";"-";"-";"<E>";" être";"une";"tante maternelle";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§une tante maternelle "
"713";"+";"-";"-";"-";"<E>";" être";"une";"tante paternelle";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§une tante paternelle "
"714";"-";"+";"-";"+";"n'";" être pas";"la";"tasse de thé";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§n'est pas§la tasse de thé "
"715";"+";"-";"-";"-";"<E>";" être";"une";"tata";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§une tata "
"716";"-";"+";"-";"-";"<E>";" être";"un";"témoignage";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un témoignage "
"717";"+";"-";"-";"-";"<E>";" être";"<E>";"témoin";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"§être§témoin "
"718";"+";"+";"-";"-";"<E>";" être";"un";"témoin";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§un témoin "
"719";"+";"-";"-";"-";"<E>";" être";"un";"témoin privilégié";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§un témoin privilégié "
"720";"-";"+";"-";"-";"<E>";" être";"un";"temps fort";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un temps fort "
"721";"+";"-";"-";"-";"<E>";" être";"un";"tenant";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un tenant "
"722";"-";"+";"-";"-";"<E>";" être";"la";"terre des ancêtres";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§la terre des ancêtres "
"723";"-";"+";"-";"-";"<E>";" être";"la";"terre natale";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§la terre natale "
"724";"+";"+";"-";"-";"<E>";" être";"la";"terreur";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"§être§la terreur "
"725";"+";"-";"+";"-";"<E>";" être";"une";"tête";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§une tête "
"726";"+";"-";"-";"-";"<E>";" être";"une";"tête d'affiche";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§une tête d'affiche "
"727";"+";"-";"-";"-";"<E>";" être";"la";"tête de Turc";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"§être§la tête de Turc "
"728";"-";"+";"-";"-";"<E>";" être";"le";"théâtre";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§le théâtre "
"729";"-";"+";"-";"-";"<E>";" être";"un";"thème";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§un thème "
"730";"-";"+";"-";"-";"<E>";" être";"un";"thème récurrent dans l'oeuvre";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"§être§un thème récurrent dans l'oeuvre "
"731";"-";"+";"-";"-";"<E>";" être";"une";"théorie";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"§être§une théorie "
"732";"-";"+";"-";"-";"<E>";" être";"un";"thermomètre";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§un thermomètre "
"733";"-";"+";"-";"-";"<E>";" être";"le";"tiers";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§le tiers "
"734";"-";"+";"-";"-";"<E>";" être";"les deux";"tiers";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§les deux tiers "
"735";"-";"+";"-";"-";"<E>";" être";"un";"tissu";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un tissu "
"736";"-";"+";"-";"-";"<E>";" être";"la";"toile de fond";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"§être§la toile de fond "
"737";"+";"-";"-";"-";"<E>";" être";"un";"tonton";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un tonton "
"738";"+";"-";"-";"-";"<E>";" être";"un";"toqué";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un toqué "
"739";"-";"+";"-";"-";"<E>";" être";"le";"tour";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§le tour "
"740";"-";"+";"-";"-";"<E>";" être";"un";"tournant de la vie";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"§être§un tournant de la vie "
"741";"-";"+";"-";"-";"<E>";" être";"un";"tournant de l'histoire";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"§être§un tournant de l'histoire "
"742";"-";"+";"-";"-";"<E>";" être";"la";"tournée";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§la tournée "
"743";"-";"+";"-";"-";"<E>";" être";"une";"trace";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"§être§une trace "
"744";"+";"+";"-";"-";"<E>";" être";"un";"trésor";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un trésor "
"745";"-";"+";"-";"-";"<E>";" être";"le";"triple";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§le triple "
"746";"-";"+";"-";"+";"n'";" être pas";"le";"truc";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§n'est pas§le truc "
"747";"+";"-";"-";"-";"<E>";" être";"le";"tuteur";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"§être§le tuteur "
"748";"+";"-";"-";"-";"<E>";" être";"le";"tuteur légal";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"§être§le tuteur légal "
"749";"+";"-";"-";"-";"<E>";" être";"le";"type";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§le type "
"750";"-";"+";"-";"-";"<E>";" être";"un";"type";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un type "
"751";"+";"-";"-";"-";"<E>";" être";"le";"type même";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§être§le type même "
"752";"+";"-";"-";"-";"<E>";" être";"le";"valet";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le valet "
"753";"+";"-";"-";"-";"<E>";" être";"le";"vassal";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le vassal "
"754";"+";"-";"-";"-";"<E>";" être";"<E>";"vendeur";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§vendeur "
"755";"+";"-";"-";"-";"<E>";" être";"un nouveau";"venu";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"§être§un nouveau venu "
"756";"+";"-";"-";"-";"<E>";" être";"le dernier";"venu";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"§être§le dernier venu "
"757";"+";"+";"-";"-";"<E>";" être";"une";"vérole";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"§être§une vérole "
"758";"-";"+";"-";"-";"<E>";" être";"un";"vestige";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un vestige "
"759";"+";"-";"-";"-";"<E>";" être";"un";"vétéran";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§un vétéran "
"760";"+";"-";"-";"-";"<E>";" être";"la";"veuve";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§la veuve "
"761";"-";"+";"-";"-";"<E>";" être";"de la";"viande";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§de la viande "
"762";"+";"+";"-";"-";"<E>";" être";"<E>";"victime";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"§être§victime "
"763";"+";"-";"-";"-";"<E>";" être";"la";"victime";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§la victime "
"764";"-";"+";"-";"-";"<E>";" être";"la";"vie";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§la vie "
"765";"-";"+";"-";"-";"<E>";" être";"la";"vie quotidienne";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§la vie quotidienne "
"766";"-";"+";"-";"-";"<E>";" être";"le";"village natal";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le village natal "
"767";"-";"+";"-";"-";"<E>";" être";"la";"ville natale";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§la ville natale "
"768";"+";"-";"-";"-";"<E>";" être";"le";"vis-à-vis";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"§être§le vis-à-vis "
"769";"-";"+";"-";"-";"<E>";" être";"une";"vision";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§une vision "
"770";"-";"+";"-";"-";"<E>";" être";"une";"vision des choses";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§une vision des choses "
"771";"-";"+";"-";"-";"<E>";" être";"un";"vivier";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un vivier "
"772";"+";"-";"-";"-";"<E>";" être";"le";"voisin d'appartement";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"§être§le voisin d'appartement "
"773";"+";"-";"-";"-";"<E>";" être";"le";"voisin de palier";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"§être§le voisin de palier "
"774";"+";"-";"-";"-";"<E>";" être";"le";"voisin d'en face";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"§être§le voisin d'en face "
"775";"+";"-";"-";"-";"<E>";" être";"le";"voisin d'immeuble";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"§être§le voisin d'immeuble "
"776";"+";"-";"-";"-";"<E>";" être";"le";"voisin du dessous";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"§être§le voisin du dessous "
"777";"+";"-";"-";"-";"<E>";" être";"le";"voisin du dessus";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"§être§le voisin du dessus "
"778";"-";"+";"-";"-";"<E>";" être";"un";"volet";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un volet "
"779";"-";"+";"-";"-";"<E>";" être";"le bon";"vouloir";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"§être§le bon vouloir "
"780";"-";"+";"-";"-";"<E>";" être";"le mauvais";"vouloir";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"§être§le mauvais vouloir "
"781";"-";"+";"-";"-";"<E>";" être";"une";"xérox";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§une xérox "

