"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"C1 =: Npc";"<ENT>C1";"N0 V Prép1 Det1 C1";"C1 =: C1 de Nhum";"C1 =: C1 de N-hum";"C1 de Nhum = Ppv-C1 =: lui-C1";"Det1 C1 de Nc = Poss C1";"N0 =: Qu Pind extrap";"N0 =: Qu Psubj extrap";"N0 =: de V1c-inf W extrap";"N0 V Prép1 Det1 C1 pour Nc Qu Psubj";"Exemple"
"97";"-";"+";"-";"<E>";" sauter";"à";"les";"+";" yeux";"+";"+";"-";"+";"-";"-";"-";"-";"+";"§sauter§aux yeux "
"98";"-";"+";"-";"<E>";" sonner";"à";"les";"+";" oreilles";"-";"+";"-";"+";"+";"+";"-";"-";"-";"§sonner§aux oreilles "
"99";"-";"+";"-";"<E>";" sortir";"de";"le";"+";" coeur";"+";"+";"-";"+";"-";"+";"-";"-";"-";"§sortir§du coeur "
"100";"+";"+";"-";"<E>";" sortir";"de";"la";"-";" mémoire";"+";"+";"-";"+";"+";"+";"-";"+";"-";"§sortir§de la mémoire "
"101";"-";"+";"-";"<E>";" surnager";"dans";"la";"-";" mémoire";"-";"+";"-";"-";"+";"+";"+";"+";"-";"§surnager§dans la mémoire "
"102";"-";"+";"-";"<E>";" surnager";"dans";"les";"-";" souvenirs";"-";"+";"-";"-";"+";"+";"+";"+";"-";"§surnager§dans les souvenirs "
"103";"-";"+";"-";"<E>";" taper";"sur";"les";"+";" nerfs";"+";"+";"-";"+";"-";"+";"-";"-";"+";"§taper§sur les nerfs "
"104";"-";"+";"-";"<E>";" taper";"sur";"le";"+";" système";"+";"+";"-";"+";"+";"-";"+";"+";"-";"§taper§sur le système "
"105";"-";"+";"-";"<E>";" tomber";"<E>";"<E>";"+";" dessus à Nhum";"-";"+";"-";"+";"-";"+";"-";"-";"+";"§tomber§dessus à Nhum "
"106";"-";"+";"-";"<E>";" tomber";"sur";"le";"+";" dos";"-";"+";"-";"+";"-";"+";"-";"-";"+";"§tomber§sur le dos "
