"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"N1 =: Nhum";"N1 =: N-hum";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"N2 =: Nhum";"N2 =: N-hum";"<ENT>Prép3";"<ENT>Det3";"<ENT>C3";"N3 =: Nhum";"N3 =: N-hum";"Prép3 N3 = Ppv";"[passif]";"Exemple"
"339";"+";"-";"-";"-";"-";"<E>";" recevoir";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"retour de N-hum";"-";"-";"de";"<E>";"<E>";"+";"-";"+";"+";"§recevoir§en retour de N-hum de "
"340";"+";"-";"-";"-";"-";"<E>";" remettre";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"dépôt";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§remettre§en dépôt à "
"341";"+";"-";"-";"-";"-";"<E>";" remettre";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"mains propres";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§remettre§en mains propres à "
"342";"+";"-";"-";"-";"-";"<E>";" rendre";"<E>";"<E>";"-";"+";" <E>";"à";"le";"n-uple";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§rendre§au n-uple à "
"343";"+";"-";"-";"-";"-";"<E>";" rendre";"<E>";"<E>";"-";"+";" <E>";"à";"le";"centuple";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§rendre§au centuple à "
"344";"+";"-";"-";"-";"-";"<E>";" rendre";"<E>";"<E>";"-";"+";" <E>";"avec";"<E>";"intérêt";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§rendre§avec intérêt à "
"345";"+";"-";"-";"-";"-";"<E>";" rendre";"<E>";"<E>";"-";"+";" <E>";"avec";"<E>";"usure";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§rendre§avec usure à "
"346";"+";"-";"-";"-";"-";"<E>";" rendre";"<E>";"<E>";"-";"-";" coup";"pour";"<E>";"coup";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§rendre§coup pour coup à "
"347";"+";"-";"-";"-";"-";"<E>";" rendre";"<E>";"le";"-";"-";" mal";"pour";"le";"mal";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§rendre§le mal pour le mal à "
"348";"+";"-";"-";"-";"-";"<E>";" rendre";"<E>";"la";"-";"-";" monnaie";"sur";"<E>";"Nsomme";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§rendre§la monnaie sur Nsomme à "
