"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"N1 =: Nhum";"N1 =: N-hum";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"N2 =: Nhum";"N2 =: N-hum";"<ENT>Prép3";"<ENT>Det3";"<ENT>C3";"N3 =: Nhum";"N3 =: N-hum";"Prép3 N3 = Ppv";"[passif]";"Exemple"
"34";"-";"+";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"-";"-";" perclu";"<E>";"<E>";"<E>";"+";"-";"de";"<E>";"douleurs";"-";"-";"-";"+";"§a§perclu de douleurs "
"35";"-";"+";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"-";"-";" perclu";"<E>";"<E>";"<E>";"+";"-";"de";"<E>";"rhumatismes";"-";"-";"-";"+";"§a§perclu de rhumatismes "
"36";"+";"-";"-";"-";"-";"<E>";" avoir";"plus";"à";"-";"-";" perdre";"que";"à";"gagner";"-";"-";"Loc";"<E>";"<E>";"-";"+";"-";"-";"§a§plus à perdre qu'à gagner Loc "
"37";"+";"+";"-";"-";"-";"<E>";" avoir";"<E>";"une";"-";"-";" place";"à";"<E>";"part";"-";"-";"Loc";"<E>";"<E>";"+";"+";"+";"-";"§a§une place à part Loc "
"38";"+";"+";"-";"-";"-";"<E>";" avoir";"<E>";"deux";"-";"-";" poids";"<E>";"deux";"mesures";"-";"-";"avec";"<E>";"<E>";"+";"+";"-";"-";"§a§deux poids deux mesures avec "
"39";"-";"+";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"-";"-";" recrû";"<E>";"<E>";"<E>";"+";"-";"de";"<E>";"fatigue";"-";"-";"-";"+";"§a§recrû de fatigue "
"40";"+";"-";"-";"-";"+";"n'";" avoir";"<E>";"<E>";"-";"-";" rien";"à";"se";"dire";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"-";"§n'a§rien à se dire avec "
"41";"+";"+";"-";"-";"+";"n'";" avoir";"<E>";"<E>";"-";"-";" rien";"à";"<E>";"envier";"-";"-";"à";"<E>";"<E>";"+";"+";"+";"-";"§n'a§rien à envier à "
"42";"-";"+";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"-";"-";" rompu";"<E>";"<E>";"<E>";"+";"-";"de";"<E>";"fatigue";"-";"-";"-";"+";"§a§rompu de fatigue "
"43";"+";"-";"-";"-";"-";"<E>";" avoir";"<E>";"Dnum";"-";"-";" tête";"de";"<E>";"plus";"-";"-";"que";"<E>";"<E>";"+";"-";"-";"-";"§a§Dnum tête de plus que "
"44";"-";"+";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"-";"-";" toqué";"<E>";"<E>";"<E>";"+";"-";"de";"<E>";"<E>";"+";"+";"+";"+";"§a§toqué de "
"45";"+";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"-";"-";" toujours";"<E>";"un";"pied";"-";"-";"en";"le";"air";"-";"-";"-";"-";"§a§toujours un pied en l'air "
"46";"+";"-";"-";"-";"+";"n'";" avoir pas";"<E>";"grand";"-";"-";" chose";"à";"se";"dire";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"-";"§n'a pas§grand chose à se dire avec "
"47";"+";"-";"-";"-";"-";"<E>";" bâtir";"<E>";"<E>";"-";"+";" <E>";"à";"<E>";"chaux";"-";"-";"et à";"<E>";"sable";"-";"-";"-";"+";"§bâtir§à chaux et à sable "
"48";"+";"-";"+";"-";"-";"se";" battre";"à";"le";"-";"-";" corps";"à";"<E>";"corps";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"-";"§se battre§au corps à corps avec "
"49";"+";"-";"-";"-";"+";"ne";" céder";"<E>";"Poss0";"-";"-";" place";"pour";"un";"boulet de canon";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§ne céder§sa place pour un boulet de canon à "
"50";"+";"-";"-";"-";"+";"ne";" céder";"<E>";"Poss0";"-";"-";" place";"pour";"un";"empire";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§ne céder§sa place pour un empire à "
"51";"+";"-";"-";"-";"-";"<E>";" combattre";"à";"le";"-";"-";" corps";"à";"<E>";"corps";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"-";"§combattre§au corps à corps avec "
"52";"+";"-";"-";"-";"-";"<E>";" compter";"<E>";"<E>";"-";"+";" <E>";"sur";"les";"doigts";"-";"-";"de";"une";"main";"-";"-";"-";"-";"§compter§sur les doigts d'une main "
"53";"+";"-";"-";"-";"-";"<E>";" condamner";"<E>";"<E>";"+";"-";" <E>";"à";"Dnum";"Ntps";"-";"-";"de";"<E>";"prison";"-";"-";"-";"+";"§condamner§à Dnum Ntps de prison "
"54";"+";"-";"-";"-";"-";"<E>";" condamner";"<E>";"<E>";"+";"-";" <E>";"à";"Dnum";"années";"-";"-";"de";"<E>";"prison";"-";"-";"-";"+";"§condamner§à Dnum années de prison "
"55";"+";"-";"-";"-";"-";"<E>";" condamner";"<E>";"<E>";"+";"-";" <E>";"à";"Dnum";"ans";"-";"-";"de";"<E>";"prison";"-";"-";"-";"+";"§condamner§à Dnum ans de prison "
"56";"+";"-";"-";"-";"-";"<E>";" condamner";"<E>";"<E>";"+";"-";" <E>";"à";"Dnum";"jours";"-";"-";"de";"<E>";"prison";"-";"-";"-";"+";"§condamner§à Dnum jours de prison "
"57";"+";"-";"-";"-";"-";"<E>";" condamner";"<E>";"<E>";"+";"-";" <E>";"à";"Dnum";"mois";"-";"-";"de";"<E>";"prison";"-";"-";"-";"+";"§condamner§à Dnum mois de prison "
"58";"+";"-";"-";"-";"-";"<E>";" condamner";"<E>";"<E>";"+";"-";" <E>";"à";"Dnum";"semaines";"-";"-";"de";"<E>";"prison";"-";"-";"-";"+";"§condamner§à Dnum semaines de prison "
"59";"+";"-";"-";"-";"-";"<E>";" confier";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"dépôt";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§confier§en dépôt à "
"60";"+";"-";"-";"-";"+";"ne";" connaître";"<E>";"<E>";"-";"+";" <E>";"ni de";"<E>";"Eve";"-";"-";"ni de";"<E>";"Adam";"-";"-";"-";"+";"§ne connaître§ni de Eve ni de Adam "
"61";"+";"+";"-";"-";"-";"<E>";" conserver";"<E>";"la";"-";"-";" balance";"<E>";"<E>";"égale";"-";"-";"entre";"<E>";"<E>";"+";"+";"-";"+";"§conserver§la balance égale entre "
"62";"+";"-";"-";"-";"-";"<E>";" conserver";"<E>";"le";"-";"-";" meilleur";"pur";"la";"fin";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§conserver§le meilleur pur la fin à "
"63";"-";"+";"-";"-";"-";"<E>";" couper";"<E>";"<E>";"-";"-";" bras";"et";"<E>";"jambes";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§couper§bras et jambes à "
"64";"-";"+";"-";"-";"-";"<E>";" coûter";"<E>";"zéro";"-";"-";" franc";"<E>";"zéro";"centime";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§coûter§zéro franc zéro centime à "
"65";"-";"+";"-";"-";"-";"<E>";" coûter";"<E>";"des";"-";"-";" mille";"et";"des";"cents";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§coûter§des mille et des cents à "
"66";"+";"-";"-";"-";"-";"<E>";" danser";"<E>";"<E>";"-";"-";" joue";"contre";"<E>";"joue";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"-";"§danser§joue contre joue avec "
"67";"+";"-";"-";"-";"-";"<E>";" décliner";"<E>";"Poss0";"-";"-";" nom";"<E>";"<E>";"prénom";"-";"-";"et";"<E>";"qualités";"-";"-";"-";"+";"§décliner§son nom prénom et qualités "
"68";"+";"-";"-";"-";"-";"<E>";" demander";"<E>";"Poss3";"-";"-";" fille";"en";"<E>";"mariage";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§demander§sa fille en mariage à "
"69";"+";"-";"-";"-";"-";"<E>";" demander";"<E>";"<E>";"-";"-";" lecture";"de";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§demander§lecture d'à "
"70";"+";"-";"-";"-";"-";"<E>";" demander";"<E>";"un certain";"-";"-";" prix";"pour";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§demander§un certain prix pour à "
"71";"+";"-";"-";"-";"-";"<E>";" demander";"<E>";"<E>";"-";"-";" raison";"de";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§demander§raison d'à "
"72";"+";"-";"-";"-";"-";"<E>";" demander";"<E>";"<E>";"-";"-";" raison";"de";"Poss3";"conduite";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§demander§raison de sa conduite à "
"73";"+";"-";"-";"-";"-";"<E>";" demander";"<E>";"<E>";"-";"-";" raison";"de";"Poss3";"propos";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§demander§raison de son propos à "
"74";"+";"-";"-";"-";"-";"<E>";" demander";"<E>";"<E>";"-";"-";" réparation de N-hum";"par";"les";"armes";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§demander§réparation de N-hum par les armes à "
"75";"+";"-";"-";"-";"-";"<E>";" deviser";"<E>";"<E>";"-";"-";" gaiement";"de";"<E>";"<E>";"+";"+";"avec";"<E>";"<E>";"+";"-";"-";"-";"§deviser§gaiement d'avec "
"76";"+";"-";"-";"+";"-";"en";" dire";"<E>";"de";"-";"-";" belles";"sur";"<E>";"<E>";"+";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§en dire§de belles sur à "
"77";"+";"-";"-";"-";"-";"<E>";" dire";"<E>";"du";"-";"-";" bien";"de";"<E>";"<E>";"+";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§dire§du bien d'à "
"78";"+";"-";"-";"+";"-";"en";" dire";"<E>";"une";"-";"-";" bien bonne";"sur";"<E>";"<E>";"+";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§en dire§une bien bonne sur à "
"79";"+";"-";"-";"-";"-";"<E>";" dire";"<E>";"bien des";"-";"-";" choses";"de la part de";"<E>";"<E>";"+";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§dire§bien des choses de la part d'à "
"80";"+";"-";"-";"+";"-";"en";" dire";"<E>";"de toutes les";"-";"-";" couleurs";"sur";"<E>";"<E>";"+";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§en dire§de toutes les couleurs sur à "
"81";"+";"-";"-";"+";"-";"en";" dire";"<E>";"de";"-";"-";" drôles";"sur";"<E>";"<E>";"+";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§en dire§de drôles sur à "
"82";"+";"-";"-";"-";"-";"<E>";" dire";"<E>";"trois";"-";"-";" fois";"<E>";"<E>";"merci";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§dire§trois fois merci à "
"83";"+";"+";"-";"+";"+";"n'en";" dire";"<E>";"<E>";"-";"-";" gras";"sur";"<E>";"<E>";"+";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§n'en dire§gras sur à "
"84";"+";"+";"-";"+";"-";"en";" dire";"<E>";"<E>";"-";"-";" long";"sur";"<E>";"<E>";"+";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§en dire§long sur à "
"85";"+";"-";"-";"+";"+";"n'en";" dire";"<E>";"<E>";"-";"-";" lourd";"sur";"<E>";"<E>";"+";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§n'en dire§lourd sur à "
"86";"+";"-";"-";"-";"-";"<E>";" dire";"<E>";"du";"-";"-";" mal";"de";"<E>";"<E>";"+";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§dire§du mal d'à "
"87";"+";"+";"-";"+";"+";"n'en";" dire";"<E>";"des";"-";"-";" masses";"sur";"<E>";"<E>";"+";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§n'en dire§des masses sur à "
"88";"+";"-";"-";"-";"-";"<E>";" dire";"<E>";"<E>";"-";"-";" monts et merveilles";"de";"<E>";"<E>";"+";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§dire§monts et merveilles d'à "
"89";"+";"-";"-";"-";"+";"ne";" dire";"<E>";"un";"-";"-";" mot";"<E>";"plus";"haut";"-";"-";"que";"le";"autre";"-";"-";"-";"+";"§ne dire§un mot plus haut que l'autre "
"90";"+";"-";"-";"-";"-";"<E>";" dire";"<E>";"deux";"-";"-";" mots";"de";"<E>";"<E>";"+";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§dire§deux mots d'à "
"91";"+";"-";"-";"-";"-";"<E>";" dire";"<E>";"<E>";"-";"-";" Nmot";"<E>";"<E>";"comment ?";"-";"-";"en";"<E>";"Nlangue";"-";"-";"-";"+";"§dire§Nmot comment ? en Nlangue "
"92";"+";"-";"-";"-";"-";"<E>";" dire";"<E>";"<E>";"-";"-";" Nmot";"<E>";"<E>";"comment ?";"-";"-";"en";"<E>";"français";"-";"-";"-";"+";"§dire§Nmot comment ? en français "
"93";"+";"-";"-";"-";"+";"ne";" dire";"<E>";"une";"-";"-";" parole";"<E>";"plus";"haute";"-";"-";"que";"le";"autre";"-";"-";"-";"+";"§ne dire§une parole plus haute que l'autre "
"94";"+";"-";"-";"-";"-";"<E>";" dire";"<E>";"<E>";"-";"-";" pis";"que";"<E>";"pendre";"-";"-";"de";"<E>";"<E>";"+";"+";"+";"-";"§dire§pis que pendre de "
"95";"+";"-";"-";"+";"-";"en";" dire";"<E>";"de";"-";"-";" raides";"sur";"<E>";"<E>";"+";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§en dire§de raides sur à "
"96";"+";"-";"-";"-";"+";"ne";" dire";"<E>";"<E>";"-";"-";" rien";"sur";"<E>";"<E>";"+";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§ne dire§rien sur à "
"97";"+";"-";"-";"+";"-";"en";" dire";"<E>";"<E>";"-";"-";" trop";"ou";"pas";"assez";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§en dire§trop ou pas assez à "
"98";"+";"-";"-";"+";"-";"en";" dire";"<E>";"des";"-";"-";" vertes";"et";"des pas";"mûres";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§en dire§des vertes et des pas mûres à "
"99";"+";"-";"-";"-";"+";"ne";" dire ni";"<E>";"<E>";"-";"-";" oui";"ni";"<E>";"non";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§ne dire ni§oui ni non à "
"100";"-";"+";"-";"-";"-";"<E>";" disposer";"<E>";"<E>";"-";"-";" bien";"<E>";"<E>";"<E>";"+";"-";"envers";"<E>";"<E>";"+";"-";"-";"+";"§disposer§bien envers "
"101";"-";"+";"-";"-";"-";"<E>";" disposer";"<E>";"<E>";"-";"-";" mal";"<E>";"<E>";"<E>";"+";"-";"envers";"<E>";"<E>";"+";"-";"-";"+";"§disposer§mal envers "
"102";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"+";"-";" <E>";"en";"<E>";"aumône";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§en aumône à "
"103";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"+";"-";" <E>";"en";"<E>";"cadeau";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§en cadeau à "
"104";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"compensation de N-hum";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§en compensation de N-hum à "
"105";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"-";"+";" <E>";"à";"le";"compte-goutte";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§au compte-goutte à "
"106";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"consolation de N-hum";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§en consolation de N-hum à "
"107";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"dépôt";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§en dépôt à "
"108";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"dot";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§en dot à "
"109";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"échange de N-hum";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§en échange de N-hum à "
"110";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"échange de N-hum";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§en échange de N-hum à "
"111";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"+";"-";" <E>";"pour";"<E>";"épouse";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§pour épouse à "
"112";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"+";"-";" <E>";"en";"<E>";"exemple";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§en exemple à "
"113";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"-";"-";" <E>";"en";"<E>";"fermage";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§en fermage à "
"114";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"gage";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§en gage à "
"115";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"gage de N-hum";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§en gage de N-hum à "
"116";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"+";"+";" <E>";"<E>";"<E>";"gagnant";"-";"-";"à";"<E>";"Dnum contre un";"-";"-";"-";"+";"§donner§gagnant à Dnum contre un "
"117";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"garantie de N-hum";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§en garantie de N-hum à "
"118";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"+";"+";" <E>";"en";"<E>";"holocauste";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§en holocauste à "
"119";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"lecture";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§en lecture à "
"120";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"-";"+";" <E>";"de";"la";"main à la main";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§de la main à la main à "
"121";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"+";"-";" <E>";"pour";"<E>";"mari";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§pour mari à "
"122";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"+";"-";" <E>";"en";"<E>";"mariage";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§en mariage à "
"123";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"+";"+";" <E>";"en";"<E>";"offrande";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§en offrande à "
"124";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"partage";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§en partage à "
"125";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"+";"+";" <E>";"en";"<E>";"pâture";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§en pâture à "
"126";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"+";"+";" <E>";"<E>";"<E>";"perdant";"-";"-";"à";"<E>";"Dnum contre un";"-";"-";"-";"+";"§donner§perdant à Dnum contre un "
"127";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"proie";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§en proie à "
"128";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"récompense de N-hum";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§en récompense de N-hum à "
"129";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"reconnaissance de N-hum";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§en reconnaissance de N-hum à "
"130";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"retour de N-hum";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§en retour de N-hum à "
"131";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"spectacle";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§en spectacle à "
"132";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"+";"+";" <E>";"pour";"ce que Il-0";"vaut";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§pour ce qu'il vaut à "
"133";"+";"+";"-";"-";"-";"<E>";" donner";"<E>";"des";"-";"-";" armes";"contre";"<E>";"Lui-0";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§donner§des armes contre lui à "
"134";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"un";"-";"-";" avis";"sur";"<E>";"<E>";"+";"+";"à";"<E>";"<E>";"+";"-";"+";"-";"§donner§un avis sur à "
"135";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"le";"-";"-";" bâton";"pour";"Se-0";"faire battre";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§donner§le bâton pour Se-0 fait battre à "
"136";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"le";"-";"-";" bâton";"pour";"Se-0";"faire fouetter";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§donner§le bâton pour Se-0 fait fouetter à "
"137";"+";"-";"+";"-";"-";"se";" donner";"<E>";"<E>";"-";"-";" corps";"et";"<E>";"âme";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§----"
"138";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"des";"-";"-";" détails";"sur";"<E>";"<E>";"+";"+";"à";"<E>";"<E>";"+";"-";"+";"-";"§donner§des détails sur à "
"139";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"le bon";"-";"-";" dieu";"sans";"<E>";"confession";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§donner§le bon dieu sans confession à "
"140";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"un";"-";"-";" échantillon";"de";"Poss0";"possibiltés";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§un échantillon de ses possibiltés à "
"141";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"un";"-";"-";" échantillon";"de";"Poss0";"talent";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§un échantillon de son talent à "
"142";"+";"-";"-";"-";"-";"<E>";" donner";"pour";"<E>";"+";"-";" époux";"<E>";"<E>";"<E>";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§pour époux à "
"143";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"<E>";"-";"-";" lecture";"de";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§lecture d'à "
"144";"+";"+";"-";"-";"-";"<E>";" donner";"<E>";"la";"-";"-";" marche";"à";"<E>";"suivre";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§la marche à suivre à "
"145";"+";"+";"-";"-";"-";"<E>";" donner";"<E>";"une";"-";"-";" marque";"de";"Poss0";"sérieux";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§une marque de son sérieux à "
"146";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"la";"-";"-";" mesure";"de";"Poss0";"possibilités";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§la mesure de ses possibilités à "
"147";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"la";"-";"-";" mesure";"de";"Poss0";"talent";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§la mesure de son talent à "
"148";"+";"+";"-";"-";"-";"<E>";" donner";"<E>";"le";"-";"-";" pas";"sur";"<E>";"<E>";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§donner§le pas sur à "
"149";"+";"-";"-";"-";"+";"ne";" donner";"<E>";"Poss0";"-";"-";" place";"pour";"un";"boulet de canon";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§ne donner§sa place pour un boulet de canon à "
"150";"+";"-";"-";"-";"+";"ne";" donner";"<E>";"Poss0";"-";"-";" place";"pour";"un";"empire";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§ne donner§sa place pour un empire à "
"151";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"un";"-";"-";" tableau noir";"de";"la";"situation";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§donner§un tableau noir de la situation à "
"152";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"des";"-";"-";" verges";"pour";"Se-0";"faire battre";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§donner§des verges pour Se-0 fait battre à "
"153";"+";"-";"-";"-";"-";"<E>";" donner";"<E>";"des";"-";"-";" verges";"pour";"Se-0";"faire fouetter";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§donner§des verges pour Se-0 fait fouetter à "
"154";"+";"-";"-";"-";"-";"<E>";" dresser";"<E>";"un";"-";"-";" tableau noir";"de";"la";"situation";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§dresser§un tableau noir de la situation à "
"155";"+";"-";"-";"-";"-";"<E>";" écrire";"<E>";"<E>";"-";"-";" Nmot";"<E>";"<E>";"comment ?";"-";"-";"en";"<E>";"Nlangue";"-";"-";"-";"+";"§écrire§Nmot comment ? en Nlangue "
"156";"+";"-";"-";"-";"-";"<E>";" écrire";"<E>";"<E>";"-";"-";" Nmot";"<E>";"<E>";"comment ?";"-";"-";"en";"<E>";"français";"-";"-";"-";"+";"§écrire§Nmot comment ? en français "
"157";"+";"-";"-";"-";"-";"<E>";" élever";"<E>";"une";"-";"-";" perpendiculaire";"en";"<E>";"A";"-";"-";"à";"<E>";"D";"-";"-";"-";"+";"§élever§une perpendiculaire en A à D "
"158";"+";"-";"-";"-";"-";"<E>";" élever";"<E>";"une";"-";"-";" perpendiculaire";"en";"<E>";"A";"-";"-";"à";"<E>";"P";"-";"-";"-";"+";"§élever§une perpendiculaire en A à P "
"159";"+";"-";"-";"-";"-";"<E>";" élever";"<E>";"une";"-";"-";" perpendiculaire";"à";"<E>";"D";"-";"-";"de";"le";"point A";"-";"-";"-";"+";"§élever§une perpendiculaire à D du point A "
